"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","2.290","2.330","2.330","2.280","1.01M","-0.43%"
"11/30/2025","2.300","2.300","2.320","2.280","704.66K","0.44%"
"11/27/2025","2.290","2.280","2.300","2.260","787.76K","0.88%"
"11/26/2025","2.270","2.340","2.340","2.270","1.09M","-1.73%"
"11/25/2025","2.310","2.420","2.420","2.310","1.66M","-3.75%"
"11/24/2025","2.400","2.420","2.420","2.370","818.53K","0.84%"
"11/23/2025","2.380","2.420","2.420","2.380","852.40K","-0.83%"
"11/20/2025","2.400","2.400","2.440","2.400","1.19M","0.42%"
"11/19/2025","2.390","2.420","2.470","2.360","1.95M","-1.24%"
"11/18/2025","2.420","2.430","2.520","2.410","2.30M","-0.41%"
"11/17/2025","2.430","2.450","2.460","2.410","1.44M","0.00%"
"11/16/2025","2.430","2.480","2.490","2.430","1.62M","-0.82%"
"11/13/2025","2.450","2.510","2.540","2.430","4.88M","-2.78%"
"11/12/2025","2.520","2.520","2.580","2.510","1.39M","0.00%"
"11/11/2025","2.520","2.560","2.590","2.510","1.59M","-1.18%"
"11/10/2025","2.550","2.540","2.570","2.510","3.10M","0.79%"
"11/09/2025","2.530","2.590","2.600","2.530","3.42M","-1.56%"
"11/06/2025","2.570","2.600","2.740","2.560","20.19M","0.39%"
"11/05/2025","2.560","2.620","2.640","2.490","4.92M","-2.29%"
"11/04/2025","2.620","2.470","2.620","2.470","13.23M","6.50%"
"11/03/2025","2.460","2.480","2.500","2.450","2.10M","-0.81%"
"11/02/2025","2.480","2.400","2.490","2.400","2.85M","3.77%"
"10/30/2025","2.390","2.400","2.410","2.380","842.16K","0.42%"
"10/29/2025","2.380","2.390","2.410","2.380","884.88K","0.00%"
"10/28/2025","2.380","2.470","2.480","2.380","2.61M","-2.86%"
"10/27/2025","2.450","2.500","2.530","2.450","5.32M","-0.81%"
"10/26/2025","2.470","2.400","2.480","2.380","3.95M","3.78%"
"10/23/2025","2.380","2.400","2.420","2.380","1.77M","-0.42%"
"10/22/2025","2.390","2.410","2.430","2.390","1.74M","-0.83%"
"10/21/2025","2.410","2.440","2.450","2.380","2.70M","-1.23%"
"10/20/2025","2.440","2.450","2.480","2.420","2.73M","-0.41%"
"10/19/2025","2.450","2.420","2.480","2.400","4.32M","2.08%"
"10/16/2025","2.400","2.450","2.460","2.400","3.30M","-1.23%"
"10/15/2025","2.430","2.390","2.500","2.380","17.04M","2.97%"
"10/14/2025","2.360","2.280","2.360","2.250","4.97M","4.42%"
"10/13/2025","2.260","2.280","2.280","2.220","1.27M","0.44%"
"10/12/2025","2.250","2.290","2.290","2.250","1.35M","-0.88%"
"10/08/2025","2.270","2.340","2.340","2.270","1.96M","-1.73%"
"10/07/2025","2.310","2.300","2.360","2.280","2.31M","0.87%"
"10/06/2025","2.290","2.270","2.330","2.260","2.47M","1.78%"
