"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","3.360","3.270","3.390","3.260","3.39M","3.38%"
"11/30/2025","3.250","3.260","3.310","3.230","1.94M","0.00%"
"11/27/2025","3.250","3.280","3.350","3.220","774.47K","-0.91%"
"11/26/2025","3.280","3.290","3.340","3.160","2.66M","0.61%"
"11/25/2025","3.260","3.140","3.270","3.110","1.75M","3.16%"
"11/24/2025","3.160","3.220","3.280","3.120","1.30M","-2.17%"
"11/23/2025","3.230","3.260","3.320","3.220","1.22M","-0.92%"
"11/20/2025","3.260","3.330","3.430","3.250","1.81M","-2.10%"
"11/19/2025","3.330","3.300","3.380","3.250","1.52M","1.52%"
"11/18/2025","3.280","3.260","3.380","3.230","2.42M","1.23%"
"11/17/2025","3.240","3.350","3.360","3.220","2.55M","-2.99%"
"11/16/2025","3.340","3.250","3.360","3.230","1.86M","2.77%"
"11/13/2025","3.250","3.420","3.450","3.240","2.82M","-4.69%"
"11/12/2025","3.410","3.440","3.440","3.330","1.28M","0.29%"
"11/11/2025","3.400","3.540","3.590","3.370","2.92M","-3.41%"
"11/10/2025","3.520","3.380","3.550","3.350","1.94M","3.53%"
"11/09/2025","3.400","3.470","3.500","3.400","1.52M","-2.02%"
"11/06/2025","3.470","3.420","3.550","3.370","6.39M","2.06%"
"11/05/2025","3.400","3.260","3.410","3.220","5.92M","4.62%"
"11/04/2025","3.250","3.150","3.340","3.120","9.09M","3.50%"
"11/03/2025","3.140","3.190","3.200","3.120","1.47M","-0.32%"
"11/02/2025","3.150","3.200","3.220","3.150","4.49M","0.00%"
"10/30/2025","3.150","3.040","3.150","3.020","2.10M","3.62%"
"10/29/2025","3.040","3.080","3.100","3.010","984.31K","-0.98%"
"10/28/2025","3.070","3.140","3.140","3.060","1.29M","-1.92%"
"10/27/2025","3.130","3.150","3.160","3.110","994.10K","-0.63%"
"10/26/2025","3.150","3.150","3.180","3.070","4.19M","0.64%"
"10/23/2025","3.130","3.100","3.220","3.090","5.06M","1.29%"
"10/22/2025","3.090","2.940","3.180","2.910","13.37M","5.82%"
"10/21/2025","2.920","2.900","2.940","2.890","715.74K","0.34%"
"10/20/2025","2.910","2.910","2.940","2.880","992.06K","0.00%"
"10/19/2025","2.910","2.860","2.980","2.830","3.29M","2.46%"
"10/16/2025","2.840","2.830","2.860","2.830","747.61K","0.71%"
"10/15/2025","2.820","2.830","2.840","2.810","619.04K","-0.35%"
"10/14/2025","2.830","2.840","2.850","2.820","575.47K","0.00%"
"10/13/2025","2.830","2.870","2.880","2.810","965.73K","-0.35%"
"10/12/2025","2.840","2.860","2.890","2.820","835.94K","-0.35%"
"10/08/2025","2.850","2.930","2.940","2.850","1.84M","-2.40%"
"10/07/2025","2.920","2.950","2.950","2.920","1.01M","0.00%"
"10/06/2025","2.920","2.950","2.950","2.900","1.43M","0.00%"
"10/05/2025","2.920","2.820","2.960","2.820","3.11M","3.91%"
"10/02/2025","2.810","2.820","2.840","2.800","614.54K","-0.35%"
"10/01/2025","2.820","2.850","2.870","2.810","851.26K","-1.05%"
"09/30/2025","2.850","2.850","2.890","2.840","1.01M","0.00%"
"09/29/2025","2.850","2.820","2.850","2.800","779.81K","1.06%"
"09/28/2025","2.820","2.830","2.850","2.810","275.80K","0.00%"
"09/25/2025","2.820","2.860","2.870","2.800","655.10K","-0.70%"
"09/24/2025","2.840","2.730","2.920","2.710","2.93M","4.41%"
"09/23/2025","2.720","2.700","2.750","2.700","293.78K","0.74%"
"09/22/2025","2.700","2.740","2.740","2.640","720.45K","-0.74%"
"09/21/2025","2.720","2.770","2.790","2.680","316.11K","-1.45%"
"09/18/2025","2.760","2.780","2.790","2.750","336.46K","0.00%"
"09/17/2025","2.760","2.780","2.790","2.730","205.44K","0.36%"
"09/16/2025","2.750","2.830","2.830","2.720","545.25K","-2.14%"
"09/15/2025","2.810","2.850","2.850","2.810","356.68K","-0.71%"
"09/14/2025","2.830","2.850","2.880","2.820","646.13K","0.35%"
"09/11/2025","2.820","2.800","2.860","2.800","613.77K","1.44%"
"09/10/2025","2.780","2.820","2.820","2.770","473.50K","-0.71%"
"09/09/2025","2.800","2.800","2.830","2.800","521.24K","-0.36%"
"09/08/2025","2.810","2.850","2.850","2.800","525.50K","-0.71%"
"09/07/2025","2.830","2.840","2.870","2.810","336.06K","0.71%"
"09/03/2025","2.810","2.870","2.870","2.800","1.10M","-1.40%"
"09/02/2025","2.850","2.860","2.900","2.840","586.48K","0.35%"
"09/01/2025","2.840","2.890","2.890","2.820","292.76K","-0.35%"
"08/31/2025","2.850","2.910","2.910","2.840","907.19K","-0.35%"
"08/28/2025","2.860","2.880","2.920","2.850","1.27M","0.00%"
"08/27/2025","2.860","2.880","2.900","2.850","449.55K","-0.35%"
"08/26/2025","2.870","2.880","2.900","2.840","1.01M","0.70%"
"08/25/2025","2.850","2.860","2.890","2.810","1.17M","-0.35%"
"08/24/2025","2.860","2.900","2.910","2.850","576.44K","-1.04%"
"08/21/2025","2.890","2.920","2.940","2.850","940.81K","-1.03%"
"08/20/2025","2.920","2.970","2.980","2.920","798.61K","-1.35%"
"08/19/2025","2.960","2.970","2.980","2.940","498.10K","0.34%"
"08/18/2025","2.950","2.960","2.980","2.950","489.34K","-0.34%"
"08/17/2025","2.960","2.960","2.990","2.950","205.53K","0.34%"
"08/14/2025","2.950","2.950","3.000","2.940","685.84K","0.00%"
"08/13/2025","2.950","2.990","3.010","2.950","865.49K","-1.01%"
"08/12/2025","2.980","2.960","3.000","2.950","388.28K","0.68%"
"08/11/2025","2.960","2.960","2.980","2.940","723.57K","0.34%"
"08/10/2025","2.950","3.000","3.010","2.950","978.64K","-1.01%"
"08/07/2025","2.980","3.000","3.020","2.980","1.39M","-0.33%"
"08/06/2025","2.990","2.950","3.050","2.920","5.02M","2.40%"
"08/05/2025","2.920","2.890","2.970","2.880","1.50M","1.04%"
"08/04/2025","2.890","2.910","2.920","2.860","934.58K","0.00%"
"08/03/2025","2.890","2.870","2.900","2.850","667.68K","1.40%"
"07/31/2025","2.850","2.870","2.900","2.830","2.33M","-0.35%"
"07/30/2025","2.860","2.890","2.940","2.860","1.14M","-1.04%"
"07/29/2025","2.890","2.880","2.900","2.840","691.96K","0.70%"
"07/28/2025","2.870","2.960","2.970","2.860","2.09M","-2.38%"
"07/27/2025","2.940","2.950","2.980","2.910","1.21M","0.00%"
"07/23/2025","2.940","2.980","2.990","2.920","1.37M","-1.01%"
"07/22/2025","2.970","3.030","3.040","2.960","2.48M","-1.66%"
"07/21/2025","3.020","3.020","3.050","3.000","2.56M","0.67%"
"07/20/2025","3.000","3.060","3.070","3.000","3.93M","-0.66%"
"07/17/2025","3.020","3.070","3.080","3.020","1.46M","-0.66%"
"07/16/2025","3.040","3.130","3.140","3.040","2.50M","-1.62%"
"07/15/2025","3.090","3.030","3.130","3.010","6.39M","3.00%"
"07/14/2025","3.000","3.020","3.070","3.000","1.38M","-0.66%"
"07/13/2025","3.020","3.050","3.070","3.000","1.78M","-0.66%"
"07/10/2025","3.040","3.140","3.170","3.040","3.81M","-1.94%"
"07/09/2025","3.100","2.990","3.130","2.980","3.30M","2.99%"
"07/07/2025","3.010","3.050","3.050","3.000","1.71M","-0.33%"
"07/06/2025","3.020","3.000","3.060","3.000","2.20M","0.67%"
"07/02/2025","3.000","2.950","3.050","2.950","1.87M","0.33%"
"07/01/2025","2.990","3.060","3.090","2.950","2.79M","-2.61%"
"06/30/2025","3.070","3.130","3.170","3.070","1.72M","-1.92%"
"06/29/2025","3.130","3.110","3.210","3.110","3.33M","1.29%"
"06/25/2025","3.090","3.050","3.100","3.000","1.34M","1.31%"
"06/24/2025","3.050","2.980","3.050","2.950","2.90M","4.45%"
"06/23/2025","2.920","2.800","3.000","2.800","4.45M","4.29%"
"06/22/2025","2.800","2.730","2.830","2.530","973.36K","2.56%"
"06/19/2025","2.730","2.900","2.910","2.700","2.33M","-4.88%"
"06/18/2025","2.870","2.860","2.940","2.830","1.16M","0.00%"
"06/17/2025","2.870","2.980","2.980","2.860","1.41M","-3.69%"
"06/16/2025","2.980","3.060","3.090","2.970","1.34M","-1.32%"
"06/15/2025","3.020","3.030","3.070","2.660","2.50M","-4.43%"
"06/12/2025","3.160","3.230","3.250","3.140","2.16M","-2.77%"
