"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","45.75","45.51","46.69","45.05","324.12K","0.55%"
"11/30/2025","45.50","46.74","47.79","45.50","337.92K","-1.34%"
"11/27/2025","46.12","47.00","47.30","46.12","130.08K","-1.52%"
"11/26/2025","46.83","48.67","48.67","46.70","291.84K","-4.02%"
"11/25/2025","48.79","48.32","49.30","47.40","985.99K","0.66%"
"11/24/2025","48.47","48.05","48.61","47.80","705.02K","0.69%"
"11/23/2025","48.14","48.40","48.53","47.71","314.61K","0.29%"
"11/20/2025","48.00","47.35","48.35","47.02","612.82K","1.76%"
"11/19/2025","47.17","45.77","47.24","45.52","226.94K","3.06%"
"11/18/2025","45.77","47.65","47.80","45.61","261.62K","-3.74%"
"11/17/2025","47.55","47.20","47.69","46.81","398.06K","1.82%"
"11/16/2025","46.70","45.72","47.30","45.10","358.12K","2.14%"
"11/13/2025","45.72","45.84","46.19","45.30","79.30K","-0.26%"
"11/12/2025","45.84","45.68","46.00","45.06","217.18K","0.92%"
"11/11/2025","45.42","46.20","46.35","45.15","266.92K","-1.48%"
"11/10/2025","46.10","46.98","46.98","45.75","134.20K","-1.31%"
"11/09/2025","46.71","46.95","47.55","46.28","671.80K","-0.38%"
"11/06/2025","46.89","45.80","47.19","45.50","411.13K","2.38%"
"11/05/2025","45.80","47.36","47.85","45.55","332.59K","-3.29%"
"11/04/2025","47.36","48.52","49.30","47.36","649.08K","-1.82%"
"11/03/2025","48.24","47.91","48.70","47.85","154.71K","0.71%"
"11/02/2025","47.90","48.40","48.80","47.53","304.30K","-0.62%"
"10/30/2025","48.20","48.30","48.98","48.01","527.21K","0.06%"
"10/29/2025","48.17","50.25","50.94","48.17","706.52K","-4.14%"
"10/28/2025","50.25","51.50","51.50","49.22","397.56K","-2.99%"
"10/27/2025","51.80","52.01","52.98","49.56","690.30K","-1.60%"
"10/26/2025","52.64","50.50","53.85","50.50","441.11K","4.32%"
"10/23/2025","50.46","49.60","50.51","49.04","821.66K","1.94%"
"10/22/2025","49.50","49.19","49.86","48.70","429.94K","1.02%"
"10/21/2025","49.00","47.80","49.23","47.70","899.80K","2.60%"
"10/20/2025","47.76","47.38","48.20","47.06","492.63K","0.80%"
"10/19/2025","47.38","46.05","48.36","46.05","890.01K","2.89%"
"10/16/2025","46.05","46.82","46.98","46.04","324.19K","-1.69%"
"10/15/2025","46.84","46.03","47.35","46.03","446.13K","0.45%"
"10/14/2025","46.63","46.02","46.73","45.21","494.39K","0.32%"
"10/13/2025","46.48","44.20","47.40","44.01","1.52M","5.23%"
"10/12/2025","44.17","44.00","44.65","43.50","179.29K","0.11%"
"10/08/2025","44.12","43.70","44.15","43.66","226.61K","0.27%"
"10/07/2025","44.00","44.44","44.45","43.54","247.18K","-0.34%"
"10/06/2025","44.15","44.50","45.45","43.95","1.22M","-0.34%"
"10/05/2025","44.30","43.66","44.50","42.86","561.60K","3.14%"
"10/02/2025","42.95","43.10","44.00","42.50","905.08K","1.06%"
"10/01/2025","42.50","41.83","44.39","41.77","1.65M","1.89%"
"09/30/2025","41.71","42.10","42.40","41.51","278.81K","-0.76%"
"09/29/2025","42.03","42.19","42.73","41.92","313.25K","0.02%"
"09/28/2025","42.02","41.00","42.69","40.92","998.80K","4.48%"
"09/25/2025","40.22","41.20","41.95","40.15","467.49K","1.85%"
"09/24/2025","39.49","38.55","39.89","38.55","115.88K","2.44%"
"09/23/2025","38.55","39.02","39.49","38.23","95.17K","-0.80%"
"09/22/2025","38.86","40.00","40.33","38.62","185.73K","-2.92%"
"09/21/2025","40.03","40.03","41.30","39.80","520.63K","0.23%"
"09/18/2025","39.94","40.51","41.40","39.86","223.73K","-1.11%"
"09/17/2025","40.39","40.17","40.59","39.29","147.44K","0.62%"
"09/16/2025","40.14","41.99","42.00","39.67","531.30K","-4.18%"
"09/15/2025","41.89","42.08","42.25","41.05","448.40K","0.58%"
"09/14/2025","41.65","41.00","42.79","40.52","1.04M","1.86%"
"09/11/2025","40.89","41.01","41.30","40.00","656.56K","-0.20%"
"09/10/2025","40.97","40.15","41.50","39.81","310.25K","2.40%"
"09/09/2025","40.01","41.02","42.25","39.80","948.88K","-1.70%"
"09/08/2025","40.70","38.30","42.89","38.00","3.16M","6.71%"
