Date,Price,Open,High,Low,Vol.,Change %
12/1/2025,27.1,26.03,27.9,25.81,5.52M,4.35%
11/30/2025,25.97,24.56,26,24.56,2.88M,5.78%
11/27/2025,24.55,23.88,24.88,23.6,2.07M,2.85%
11/26/2025,23.87,23.79,23.99,23.5,1.03M,0.34%
11/25/2025,23.79,24.35,24.6,23.74,1.39M,-2.30%
11/24/2025,24.35,25.11,25.29,24.25,1.50M,-2.21%
11/23/2025,24.9,25.64,25.95,24.81,1.02M,-1.62%
11/20/2025,25.31,25,26.04,24.99,4.11M,1.28%
11/19/2025,24.99,25.47,25.7,24.53,4.06M,-1.23%
11/18/2025,25.3,25.68,25.95,25.05,1.42M,-1.48%
11/17/2025,25.68,26.26,26.7,25.03,2.62M,3.46%
11/16/2025,24.82,24.21,25.26,23.95,3.97M,2.63%
11/13/2025,24.18,24.44,24.65,23.95,1.60M,-0.75%
11/12/2025,24.37,23.95,24.82,23.9,4.15M,2.30%
11/11/2025,23.82,22.87,24.45,22.87,6.24M,4.19%
11/10/2025,22.86,23.08,23.34,22.67,2.26M,-13.73%
11/9/2025,26.5,25.98,26.7,25.68,2.61M,2.28%
11/6/2025,25.91,26.31,26.58,25.9,2.00M,-1.41%
11/5/2025,26.28,26.1,26.65,25.91,2.97M,1.08%
11/4/2025,26,26.17,26.4,25.93,1.25M,-0.57%
11/3/2025,26.15,26,26.37,25.89,1.65M,0.58%
11/2/2025,26,26.31,26.65,25.94,1.22M,-0.91%
10/30/2025,26.24,25.9,26.88,25.77,3.56M,1.31%
10/29/2025,25.9,24.85,26.19,24.55,4.51M,3.89%
10/28/2025,24.93,25.13,25.46,24.92,2.17M,-0.40%
10/27/2025,25.03,25.39,25.89,24.8,2.98M,-1.30%
10/26/2025,25.36,25,25.89,25,2.14M,1.89%
10/23/2025,24.89,24.45,25,24.45,1.87M,1.80%
10/22/2025,24.45,24.22,24.99,24.2,3.29M,0.95%
10/21/2025,24.22,24.27,24.42,24,2.63M,-0.12%
