"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","45.62","46.00","46.18","45.60","830.94K","-0.70%"
"11/30/2025","45.94","46.18","46.30","45.90","635.23K","-0.13%"
"11/27/2025","46.00","46.10","46.25","45.50","880.25K","-0.02%"
"11/26/2025","46.01","46.12","46.23","46.00","607.31K","-0.24%"
"11/25/2025","46.12","46.50","46.66","46.02","686.68K","-0.77%"
"11/24/2025","46.48","46.72","46.80","46.41","737.53K","-0.26%"
"11/23/2025","46.60","46.51","46.98","46.51","592.61K","0.22%"
"11/20/2025","46.50","46.68","46.77","46.35","687.52K","-0.32%"
"11/19/2025","46.65","46.86","47.00","46.46","770.52K","0.11%"
"11/18/2025","46.60","46.17","46.98","46.04","1.68M","1.22%"
"11/17/2025","46.04","46.35","46.43","46.00","858.99K","-0.30%"
"11/16/2025","46.18","46.31","46.49","46.11","797.42K","-0.04%"
"11/13/2025","46.20","46.48","46.57","46.20","776.15K","-0.22%"
"11/12/2025","46.30","46.36","46.54","46.20","851.48K","0.11%"
"11/11/2025","46.25","46.50","46.67","46.07","1.88M","-0.30%"
"11/10/2025","46.39","46.90","46.92","46.05","1.95M","-0.43%"
"11/09/2025","46.59","46.97","47.28","46.48","1.52M","-0.30%"
"11/06/2025","46.73","46.70","47.05","46.45","1.16M","0.69%"
"11/05/2025","46.41","47.51","47.79","46.00","2.32M","-2.21%"
"11/04/2025","47.46","47.69","47.85","47.45","903.56K","-0.29%"
"11/03/2025","47.60","48.65","48.69","47.52","1.83M","-2.08%"
"11/02/2025","48.61","48.84","48.92","48.51","323.55K","0.02%"
"10/30/2025","48.60","48.55","48.86","48.48","496.39K","0.21%"
"10/29/2025","48.50","48.61","48.84","48.18","587.10K","-0.10%"
"10/28/2025","48.55","48.48","48.58","47.98","1.28M","0.50%"
"10/27/2025","48.31","49.45","49.48","48.25","1.82M","-1.87%"
"10/26/2025","49.23","49.45","49.50","48.95","586.95K","0.08%"
"10/23/2025","49.19","49.98","50.34","48.99","1.08M","-1.42%"
"10/22/2025","49.90","48.40","50.10","48.12","2.68M","-7.02%"
"10/21/2025","53.67","53.90","53.99","53.55","1.96M","-0.41%"
"10/20/2025","53.89","53.90","53.99","53.63","704.56K","0.04%"
"10/19/2025","53.87","53.79","54.05","53.54","835.52K","0.92%"
"10/16/2025","53.38","53.31","54.19","53.19","980.04K","0.53%"
"10/15/2025","53.10","53.49","53.50","53.01","314.65K","-0.19%"
"10/14/2025","53.20","52.62","53.40","52.61","708.99K","1.20%"
"10/13/2025","52.57","53.30","53.46","52.25","1.61M","-0.81%"
"10/12/2025","53.00","53.41","53.79","52.52","1.44M","-0.93%"
"10/08/2025","53.50","53.95","53.98","53.50","823.22K","-0.71%"
"10/07/2025","53.88","54.09","54.19","53.80","378.20K","-0.22%"
"10/06/2025","54.00","54.01","54.29","53.70","609.95K","0.26%"
"10/05/2025","53.86","53.51","54.14","53.50","577.20K","0.80%"
"10/02/2025","53.43","53.54","53.54","53.04","359.64K","0.24%"
"10/01/2025","53.30","53.50","53.55","52.97","593.62K","0.00%"
"09/30/2025","53.30","52.90","53.55","52.80","792.47K","0.79%"
"09/29/2025","52.88","53.44","53.67","52.40","1.23M","-0.49%"
"09/28/2025","53.14","53.00","53.59","52.70","1.33M","2.37%"
