"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","31.50","32.20","32.65","31.50","1.08M","-1.96%"
"11/30/2025","32.13","32.80","32.98","32.01","132.89K","-1.59%"
"11/27/2025","32.65","32.17","32.98","32.12","129.30K","0.15%"
"11/26/2025","32.60","32.11","32.97","32.10","262.55K","1.53%"
"11/25/2025","32.11","32.85","33.06","32.00","116.54K","-2.70%"
"11/24/2025","33.00","33.00","33.45","33.00","726.42K","0.00%"
"11/23/2025","33.00","33.14","33.32","32.77","200.33K","-0.42%"
"11/20/2025","33.14","33.70","33.79","33.11","235.54K","-1.37%"
"11/19/2025","33.60","33.50","33.69","33.06","354.23K","0.60%"
"11/18/2025","33.40","33.90","33.90","33.00","334.33K","-1.71%"
"11/17/2025","33.98","33.55","34.00","33.10","673.42K","0.12%"
"11/16/2025","33.94","34.29","34.80","32.60","871.75K","-1.14%"
"11/13/2025","34.33","34.69","35.40","33.85","714.82K","-1.04%"
"11/12/2025","34.69","34.20","34.80","34.15","1.16M","1.70%"
"11/11/2025","34.11","33.40","34.70","33.40","2.20M","3.36%"
"11/10/2025","33.00","32.20","33.18","32.10","718.85K","2.10%"
"11/09/2025","32.32","32.40","32.79","32.25","217.41K","-0.25%"
"11/06/2025","32.40","32.80","33.06","32.34","437.09K","-1.01%"
"11/05/2025","32.73","33.14","33.42","32.40","764.93K","-0.94%"
"11/04/2025","33.04","32.07","33.20","32.01","527.50K","3.02%"
"11/03/2025","32.07","32.00","32.40","31.85","186.13K","0.41%"
"11/02/2025","31.94","32.59","32.59","31.52","214.96K","-0.90%"
"10/30/2025","32.23","32.90","33.16","32.03","325.98K","-2.07%"
"10/29/2025","32.91","33.20","33.28","32.61","217.72K","-0.87%"
"10/28/2025","33.20","33.40","33.80","32.80","1.44M","1.47%"
"10/27/2025","32.72","32.50","32.99","32.50","761.24K","1.77%"
"10/26/2025","32.15","31.60","32.50","31.11","680.77K","2.00%"
"10/23/2025","31.52","32.34","32.34","30.20","363.50K","-1.56%"
"10/22/2025","32.02","32.00","32.75","31.92","253.35K","0.38%"
"10/21/2025","31.90","32.48","32.73","31.80","425.17K","-1.54%"
"10/20/2025","32.40","32.76","33.07","31.66","146.90K","-0.98%"
"10/19/2025","32.72","33.00","33.40","32.67","214.73K","-0.37%"
"10/16/2025","32.84","32.90","33.56","32.80","459.95K","0.09%"
"10/15/2025","32.81","33.49","33.75","32.81","542.64K","-1.12%"
"10/14/2025","33.18","31.97","34.16","31.86","2.43M","4.21%"
"10/13/2025","31.84","31.34","32.24","31.34","690.89K","2.45%"
"10/12/2025","31.08","30.52","31.40","30.42","270.97K","1.83%"
"10/08/2025","30.52","30.80","30.95","30.20","155.15K","-0.46%"
"10/07/2025","30.66","30.82","31.10","30.58","126.01K","-0.42%"
"10/06/2025","30.79","31.30","31.48","30.71","297.80K","-1.00%"
"10/05/2025","31.10","30.00","31.86","29.85","896.17K","4.26%"
"10/02/2025","29.83","30.19","30.20","29.65","254.76K","-0.10%"
"10/01/2025","29.86","29.52","30.61","29.43","301.67K","0.57%"
"09/30/2025","29.69","29.85","30.18","29.48","224.27K","0.88%"
"09/29/2025","29.43","29.20","30.25","29.01","478.63K","1.45%"
"09/28/2025","29.01","28.42","29.45","28.42","147.08K","2.11%"
"09/25/2025","28.41","28.88","28.88","28.30","117.63K","-0.11%"
"09/24/2025","28.44","28.32","28.89","28.22","141.79K","0.18%"
"09/23/2025","28.39","28.80","28.80","28.00","208.27K","0.14%"
"09/22/2025","28.35","28.31","28.96","28.31","128.30K","0.14%"
"09/21/2025","28.31","29.48","29.48","28.26","221.86K","-2.35%"
"09/18/2025","28.99","29.55","29.80","28.94","212.44K","-1.90%"
"09/17/2025","29.55","29.60","29.99","29.40","146.72K","-0.17%"
"09/16/2025","29.60","30.60","30.89","29.12","377.14K","-3.01%"
"09/15/2025","30.52","31.88","31.88","30.50","439.57K","-3.36%"
"09/14/2025","31.58","31.85","31.96","31.40","289.07K","-0.06%"
"09/11/2025","31.60","31.50","31.86","31.34","158.60K","0.67%"
"09/10/2025","31.39","31.60","31.67","31.23","143.93K","0.10%"
"09/09/2025","31.36","31.78","31.97","31.30","173.50K","-1.17%"
"09/08/2025","31.73","32.00","32.35","31.73","370.67K","-0.41%"
"09/07/2025","31.86","31.85","32.19","31.67","321.90K","0.19%"
"09/03/2025","31.80","32.08","32.50","31.65","177.34K","-0.53%"
"09/02/2025","31.97","31.50","32.60","31.50","317.91K","1.40%"
"09/01/2025","31.53","31.62","32.18","31.18","339.28K","1.38%"
"08/31/2025","31.10","32.51","32.95","31.10","656.07K","-3.33%"
"08/28/2025","32.17","31.39","32.90","31.15","899.48K","3.37%"
"08/27/2025","31.12","31.50","31.50","31.06","217.68K","-1.21%"
"08/26/2025","31.50","32.00","32.50","31.30","486.11K","-1.07%"
"08/25/2025","31.84","31.49","32.50","31.31","1.15M","1.73%"
"08/24/2025","31.30","30.32","31.40","30.32","750.25K","3.44%"
"08/21/2025","30.26","30.77","30.88","30.22","231.94K","-1.14%"
"08/20/2025","30.61","31.21","31.45","30.60","242.41K","-1.92%"
"08/19/2025","31.21","31.25","31.50","31.03","269.57K","0.68%"
"08/18/2025","31.00","31.16","31.70","30.85","529.66K","-0.10%"
"08/17/2025","31.03","31.31","31.67","31.00","304.88K","-0.86%"
"08/14/2025","31.30","31.50","31.77","31.00","399.96K","-0.54%"
"08/13/2025","31.47","31.97","31.99","31.30","350.93K","0.16%"
"08/12/2025","31.42","31.14","32.10","31.14","589.42K","0.96%"
"08/11/2025","31.12","31.90","31.92","30.91","422.12K","-2.45%"
"08/10/2025","31.90","31.83","32.00","31.63","267.95K","0.28%"
"08/07/2025","31.81","31.69","32.28","31.41","389.35K","1.27%"
"08/06/2025","31.41","31.55","31.90","31.28","279.86K","-0.38%"
"08/05/2025","31.53","31.91","32.30","31.45","341.63K","-0.28%"
"08/04/2025","31.62","32.65","32.70","31.58","329.73K","-1.65%"
"08/03/2025","32.15","30.80","32.70","30.61","623.59K","3.74%"
"07/31/2025","30.99","31.27","31.52","30.81","442.50K","-0.29%"
"07/30/2025","31.08","32.00","32.28","30.90","269.92K","-2.88%"
"07/29/2025","32.00","31.76","32.72","31.41","341.79K","0.82%"
"07/28/2025","31.74","33.02","33.25","31.74","499.74K","-3.88%"
"07/27/2025","33.02","32.40","33.50","32.40","487.06K","0.98%"
"07/23/2025","32.70","33.10","33.52","32.31","429.76K","-0.94%"
