"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.655","0.610","0.655","0.608","254.22M","7.73%"
"11/30/2025","0.608","0.611","0.615","0.603","63.21M","0.50%"
"11/27/2025","0.605","0.599","0.614","0.593","43.13M","1.17%"
"11/26/2025","0.598","0.610","0.614","0.597","37.09M","-1.97%"
"11/25/2025","0.610","0.626","0.628","0.597","77.17M","-2.24%"
"11/24/2025","0.624","0.593","0.627","0.585","135.21M","5.05%"
"11/23/2025","0.594","0.608","0.610","0.593","50.21M","-1.49%"
"11/20/2025","0.603","0.610","0.614","0.602","51.06M","-0.17%"
"11/19/2025","0.604","0.600","0.618","0.600","82.77M","0.50%"
"11/18/2025","0.601","0.617","0.629","0.601","127.21M","-2.28%"
"11/17/2025","0.615","0.648","0.656","0.614","344.18M","-1.60%"
"11/16/2025","0.625","0.598","0.628","0.584","382.76M","6.84%"
"11/13/2025","0.585","0.570","0.594","0.568","70.93M","2.63%"
"11/12/2025","0.570","0.573","0.579","0.566","44.43M","0.88%"
"11/11/2025","0.565","0.566","0.568","0.560","22.49M","0.00%"
"11/10/2025","0.565","0.570","0.572","0.560","33.66M","-0.35%"
"11/09/2025","0.567","0.583","0.586","0.566","89.14M","-2.24%"
"11/06/2025","0.580","0.547","0.589","0.540","215.66M","7.01%"
"11/05/2025","0.542","0.535","0.553","0.533","45.75M","1.50%"
"11/04/2025","0.534","0.534","0.537","0.533","10.78M","0.00%"
"11/03/2025","0.534","0.535","0.537","0.531","8.74M","-0.19%"
"11/02/2025","0.535","0.535","0.537","0.530","14.86M","0.19%"
"10/30/2025","0.534","0.537","0.539","0.533","12.82M","-0.37%"
"10/29/2025","0.536","0.539","0.540","0.535","12.98M","-0.19%"
"10/28/2025","0.537","0.543","0.547","0.536","19.85M","-1.10%"
"10/27/2025","0.543","0.544","0.547","0.540","21.85M","0.56%"
"10/26/2025","0.540","0.541","0.546","0.540","22.67M","0.19%"
"10/23/2025","0.539","0.541","0.550","0.535","41.87M","-0.37%"
"10/22/2025","0.541","0.553","0.555","0.541","35.09M","-1.64%"
"10/21/2025","0.550","0.541","0.574","0.541","220.54M","4.17%"
"10/20/2025","0.528","0.527","0.530","0.523","33.81M","0.38%"
"10/19/2025","0.526","0.522","0.526","0.518","26.29M","1.74%"
"10/16/2025","0.517","0.515","0.523","0.512","33.78M","0.98%"
"10/15/2025","0.512","0.519","0.520","0.510","25.43M","-1.16%"
"10/14/2025","0.518","0.521","0.521","0.518","22.63M","-0.38%"
"10/13/2025","0.520","0.520","0.524","0.518","11.68M","0.39%"
"10/12/2025","0.518","0.525","0.527","0.516","17.84M","-1.15%"
"10/08/2025","0.524","0.527","0.530","0.523","20.62M","-0.57%"
"10/07/2025","0.527","0.527","0.537","0.525","42.31M","0.00%"
"10/06/2025","0.527","0.530","0.532","0.524","35.94M","-0.75%"
"10/05/2025","0.531","0.531","0.534","0.528","15.70M","0.57%"
"10/02/2025","0.528","0.534","0.534","0.528","9.87M","-0.94%"
"10/01/2025","0.533","0.532","0.536","0.529","19.29M","0.57%"
"09/30/2025","0.530","0.534","0.534","0.529","6.72M","-0.38%"
