"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","3.99","4.01","4.03","3.97","714.73K","-0.25%"
"11/30/2025","4.00","3.99","4.04","3.97","626.89K","0.76%"
"11/27/2025","3.97","3.98","3.99","3.95","818.87K","0.00%"
"11/26/2025","3.97","3.95","4.02","3.95","1.24M","-0.50%"
"11/25/2025","3.99","4.08","4.08","3.94","1.83M","-1.24%"
"11/24/2025","4.04","4.01","4.10","3.99","4.38M","1.25%"
"11/23/2025","3.99","3.97","4.02","3.95","847.71K","1.01%"
"11/20/2025","3.95","3.97","3.99","3.94","964.84K","-0.25%"
"11/19/2025","3.96","3.98","4.01","3.94","1.40M","-0.50%"
"11/18/2025","3.98","4.04","4.05","3.98","1.69M","-1.00%"
"11/17/2025","4.02","4.01","4.04","4.00","1.28M","0.50%"
"11/16/2025","4.00","4.09","4.09","4.00","1.90M","-1.72%"
"11/13/2025","4.07","4.09","4.11","4.03","1.54M","-0.49%"
"11/12/2025","4.09","4.10","4.12","4.05","1.89M","-0.24%"
"11/11/2025","4.10","4.00","4.15","3.98","3.95M","3.02%"
"11/10/2025","3.98","3.97","3.99","3.92","1.35M","0.51%"
"11/09/2025","3.96","4.03","4.03","3.95","1.75M","-1.00%"
"11/06/2025","4.00","4.05","4.07","4.00","3.30M","-1.23%"
"11/05/2025","4.05","4.09","4.12","4.02","2.44M","-0.98%"
"11/04/2025","4.09","4.12","4.13","4.08","2.74M","0.00%"
"11/03/2025","4.09","4.10","4.13","4.07","2.19M","-0.24%"
"11/02/2025","4.10","4.14","4.22","4.09","6.31M","-0.49%"
"10/30/2025","4.12","4.11","4.19","4.07","6.67M","1.23%"
"10/29/2025","4.07","4.10","4.11","4.06","2.96M","0.00%"
"10/28/2025","4.07","4.13","4.14","4.03","3.47M","-1.21%"
"10/27/2025","4.12","4.14","4.24","4.09","6.71M","0.49%"
"10/26/2025","4.10","4.04","4.15","4.01","6.59M","2.24%"
"10/23/2025","4.01","3.99","4.04","3.95","2.53M","1.26%"
"10/22/2025","3.96","4.00","4.03","3.95","1.65M","-1.00%"
"10/21/2025","4.00","4.03","4.03","3.97","1.78M","-0.25%"
"10/20/2025","4.01","4.07","4.08","4.00","2.43M","-0.25%"
"10/19/2025","4.02","4.00","4.05","3.99","2.39M","0.75%"
"10/16/2025","3.99","4.02","4.03","3.97","2.61M","-0.25%"
"10/15/2025","4.00","4.04","4.06","3.97","3.26M","-0.50%"
"10/14/2025","4.02","4.09","4.13","4.01","3.48M","-0.99%"
"10/13/2025","4.06","4.00","4.07","3.94","2.32M","1.50%"
"10/12/2025","4.00","4.06","4.12","3.98","3.77M","-1.48%"
"10/08/2025","4.06","4.10","4.21","4.05","4.20M","-0.98%"
"10/07/2025","4.10","4.21","4.23","4.05","3.26M","-1.91%"
"10/06/2025","4.18","4.30","4.42","4.15","8.78M","-2.79%"
"10/05/2025","4.30","4.50","4.50","4.13","14.33M","14.67%"
"10/02/2025","3.75","3.81","3.81","3.74","1.54M","-1.32%"
"10/01/2025","3.80","3.86","3.88","3.76","2.41M","-0.52%"
"09/30/2025","3.82","3.85","3.90","3.81","1.11M","-0.52%"
"09/29/2025","3.84","3.84","3.86","3.80","967.20K","0.79%"
"09/28/2025","3.81","3.90","3.93","3.80","948.28K","-1.04%"
"09/25/2025","3.85","3.77","3.92","3.76","3.28M","2.94%"
"09/24/2025","3.74","3.72","3.76","3.70","866.55K","0.81%"
"09/23/2025","3.71","3.67","3.78","3.66","1.19M","1.64%"
"09/22/2025","3.65","3.70","3.70","3.60","1.44M","-0.82%"
"09/21/2025","3.68","3.74","3.74","3.67","772.04K","-0.54%"
"09/18/2025","3.70","3.80","3.85","3.62","2.73M","-2.12%"
"09/17/2025","3.78","3.77","3.80","3.73","769.88K","0.27%"
"09/16/2025","3.77","3.90","3.92","3.73","1.36M","-3.33%"
"09/15/2025","3.90","3.94","3.98","3.85","1.47M","-1.02%"
"09/14/2025","3.94","3.99","4.03","3.93","2.24M","0.00%"
"09/11/2025","3.94","3.87","4.00","3.85","2.39M","2.60%"
"09/10/2025","3.84","3.81","3.87","3.81","753.01K","0.52%"
"09/09/2025","3.82","3.85","3.87","3.80","1.31M","-0.26%"
"09/08/2025","3.83","3.87","3.89","3.77","2.04M","-0.78%"
"09/07/2025","3.86","4.00","4.00","3.82","2.00M","-3.02%"
"09/03/2025","3.98","4.02","4.06","3.97","2.03M","-0.50%"
"09/02/2025","4.00","3.98","4.08","3.95","1.13M","1.01%"
"09/01/2025","3.96","4.00","4.04","3.91","1.02M","-1.00%"
"08/31/2025","4.00","4.07","4.09","3.99","2.23M","-0.50%"
"08/28/2025","4.02","4.07","4.15","4.02","2.83M","-0.99%"
"08/27/2025","4.06","4.11","4.18","4.05","1.87M","-0.98%"
"08/26/2025","4.10","4.28","4.30","4.09","2.84M","-3.98%"
"08/25/2025","4.27","4.30","4.40","4.25","4.49M","0.71%"
"08/24/2025","4.24","4.20","4.36","4.20","4.74M","1.68%"
"08/21/2025","4.17","4.17","4.24","4.15","2.24M","0.48%"
"08/20/2025","4.15","4.30","4.32","4.14","2.63M","-2.35%"
"08/19/2025","4.25","4.34","4.37","4.23","1.74M","-1.85%"
"08/18/2025","4.33","4.36","4.47","4.32","5.29M","0.00%"
"08/17/2025","4.33","4.20","4.35","4.15","4.46M","3.59%"
"08/14/2025","4.18","4.26","4.33","4.17","3.05M","-1.88%"
"08/13/2025","4.26","4.41","4.44","4.25","2.64M","-3.18%"
"08/12/2025","4.40","4.40","4.47","4.30","1.77M","-0.68%"
"08/11/2025","4.43","4.51","4.53","4.36","4.89M","-2.21%"
"08/10/2025","4.53","4.46","4.65","4.43","11.43M","2.26%"
"08/07/2025","4.43","4.11","4.46","4.08","23.96M","8.85%"
"08/06/2025","4.07","4.20","4.26","4.03","8.86M","-1.45%"
"08/05/2025","4.13","3.73","4.16","3.73","19.42M","11.62%"
"08/04/2025","3.70","3.58","3.74","3.57","4.38M","4.52%"
"08/03/2025","3.54","3.60","3.60","3.52","1.33M","-1.39%"
"07/31/2025","3.59","3.64","3.66","3.58","4.38M","-0.55%"
