"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","24.85","24.09","25.09","23.85","2.35M","4.15%"
"11/30/2025","23.86","24.15","24.28","23.83","803.52K","-0.62%"
"11/27/2025","24.01","24.20","24.62","23.77","1.12M","-0.79%"
"11/26/2025","24.20","25.00","25.50","24.00","1.90M","-2.69%"
"11/25/2025","24.87","24.62","25.84","23.78","3.73M","0.97%"
"11/24/2025","24.63","25.98","25.99","24.51","2.49M","-4.87%"
"11/23/2025","25.89","24.60","27.27","24.55","6.54M","9.43%"
"11/20/2025","23.66","20.69","24.45","20.69","9.29M","14.35%"
"11/19/2025","20.69","20.61","20.92","20.50","685.15K","0.44%"
"11/18/2025","20.60","20.90","21.08","20.58","620.81K","-1.39%"
"11/17/2025","20.89","20.99","21.09","20.81","397.99K","-0.05%"
"11/16/2025","20.90","21.28","21.30","20.90","481.50K","-1.65%"
"11/13/2025","21.25","21.10","21.28","21.01","519.17K","0.66%"
"11/12/2025","21.11","21.25","21.45","21.00","662.52K","-0.38%"
"11/11/2025","21.19","21.46","21.53","21.10","1.40M","-8.07%"
"11/10/2025","23.05","23.01","23.33","22.92","2.61M","0.30%"
"11/09/2025","22.98","22.76","23.10","22.76","998.28K","1.19%"
"11/06/2025","22.71","22.78","22.90","22.61","293.67K","-0.31%"
"11/05/2025","22.78","22.99","23.00","22.41","672.72K","-0.91%"
"11/04/2025","22.99","22.80","23.04","22.75","549.84K","0.92%"
"11/03/2025","22.78","22.96","22.96","22.66","358.24K","-0.57%"
"11/02/2025","22.91","22.90","23.10","22.81","332.25K","0.31%"
"10/30/2025","22.84","22.80","23.08","22.74","421.65K","0.18%"
"10/29/2025","22.80","22.76","22.94","22.76","303.56K","-0.18%"
"10/28/2025","22.84","23.10","23.25","22.75","830.06K","-0.83%"
"10/27/2025","23.03","22.62","23.25","22.62","1.83M","1.86%"
"10/26/2025","22.61","22.41","22.74","22.31","604.17K","1.03%"
"10/23/2025","22.38","22.65","22.68","22.34","436.46K","-0.89%"
"10/22/2025","22.58","22.78","22.87","22.47","665.60K","-0.66%"
"10/21/2025","22.73","22.33","22.75","22.30","1.45M","1.97%"
"10/20/2025","22.29","22.20","22.58","22.20","1.31M","0.63%"
"10/19/2025","22.15","22.10","22.19","22.03","519.48K","0.54%"
"10/16/2025","22.03","21.82","22.17","21.80","761.09K","1.01%"
"10/15/2025","21.81","21.81","22.02","21.73","897.43K","0.28%"
"10/14/2025","21.75","22.10","22.15","21.73","326.89K","-1.14%"
"10/13/2025","22.00","22.00","22.20","21.87","363.38K","0.73%"
"10/12/2025","21.84","21.80","22.20","21.70","1.06M","0.74%"
"10/08/2025","21.68","21.75","21.79","21.48","280.07K","-0.05%"
"10/07/2025","21.69","21.85","21.90","21.50","215.10K","-0.55%"
"10/06/2025","21.81","21.65","21.97","21.50","775.75K","0.97%"
"10/05/2025","21.60","21.38","21.66","21.27","745.33K","1.93%"
"10/02/2025","21.19","21.40","21.49","21.11","355.82K","-1.07%"
"10/01/2025","21.42","21.42","21.49","21.32","364.99K","0.09%"
"09/30/2025","21.40","21.44","21.44","21.26","187.62K","0.14%"
"09/29/2025","21.37","21.40","21.50","21.30","188.13K","-0.19%"
"09/28/2025","21.41","21.33","21.50","21.20","269.96K","0.38%"
"09/25/2025","21.33","21.40","21.58","21.25","245.21K","-0.14%"
"09/24/2025","21.36","21.10","21.54","21.06","504.13K","1.47%"
"09/23/2025","21.05","21.09","21.29","21.01","141.37K","0.14%"
"09/22/2025","21.02","21.00","21.11","20.82","136.30K","0.10%"
"09/21/2025","21.00","21.14","21.20","20.97","123.25K","-0.19%"
"09/18/2025","21.04","20.83","21.28","20.80","309.81K","1.15%"
"09/17/2025","20.80","20.79","20.97","20.60","152.03K","0.05%"
"09/16/2025","20.79","21.00","21.06","20.58","410.51K","-0.95%"
"09/15/2025","20.99","20.92","21.08","20.85","500.47K","0.38%"
"09/14/2025","20.91","21.15","21.22","20.89","330.19K","-0.52%"
