"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.640","1.660","1.710","1.620","16.75M","-1.20%"
"11/30/2025","1.660","1.710","1.710","1.640","12.65M","-1.78%"
"11/27/2025","1.690","1.690","1.730","1.670","12.21M","0.60%"
"11/26/2025","1.680","1.670","1.760","1.650","15.07M","0.60%"
"11/25/2025","1.670","1.720","1.770","1.660","17.46M","-3.47%"
"11/24/2025","1.730","1.790","1.790","1.720","12.63M","-2.81%"
"11/23/2025","1.780","1.830","1.840","1.770","12.05M","-2.20%"
"11/20/2025","1.820","1.830","1.880","1.810","17.95M","0.00%"
"11/19/2025","1.820","1.800","1.820","1.770","13.48M","1.68%"
"11/18/2025","1.790","1.820","1.840","1.790","8.40M","-1.10%"
"11/17/2025","1.810","1.830","1.850","1.800","11.51M","-0.55%"
"11/16/2025","1.820","1.850","1.870","1.810","16.88M","-1.09%"
"11/13/2025","1.840","1.870","1.920","1.830","41.01M","-1.60%"
"11/12/2025","1.870","1.810","1.900","1.810","43.19M","3.89%"
"11/11/2025","1.800","1.800","1.850","1.780","24.89M","1.12%"
"11/10/2025","1.780","1.800","1.800","1.740","20.03M","-0.56%"
"11/09/2025","1.790","1.840","1.850","1.790","14.93M","-1.65%"
"11/06/2025","1.820","1.830","1.860","1.790","32.00M","-0.55%"
"11/05/2025","1.830","1.890","1.900","1.790","56.13M","-2.14%"
"11/04/2025","1.870","1.860","1.930","1.850","57.41M","2.19%"
"11/03/2025","1.830","1.820","1.850","1.760","65.11M","1.10%"
"11/02/2025","1.810","1.750","1.810","1.730","35.20M","5.23%"
"10/30/2025","1.720","1.740","1.780","1.700","16.99M","-1.71%"
"10/29/2025","1.750","1.650","1.830","1.640","95.94M","6.06%"
"10/28/2025","1.650","1.700","1.710","1.620","15.59M","-2.94%"
"10/27/2025","1.700","1.730","1.740","1.660","23.27M","-0.58%"
"10/26/2025","1.710","1.560","1.780","1.540","83.79M","10.32%"
"10/23/2025","1.550","1.560","1.660","1.540","68.92M","0.65%"
"10/22/2025","1.540","1.400","1.640","1.390","143.83M","10.00%"
"10/21/2025","1.400","1.430","1.430","1.370","21.82M","-0.71%"
"10/20/2025","1.410","1.430","1.460","1.410","45.98M","0.71%"
"10/19/2025","1.400","1.360","1.420","1.360","48.53M","3.70%"
"10/16/2025","1.350","1.250","1.380","1.250","92.69M","8.87%"
"10/15/2025","1.240","1.210","1.240","1.200","10.11M","3.33%"
"10/14/2025","1.200","1.220","1.230","1.200","6.70M","-0.83%"
"10/13/2025","1.210","1.230","1.230","1.210","3.75M","-0.82%"
"10/12/2025","1.220","1.240","1.260","1.220","16.45M","-1.61%"
"10/08/2025","1.240","1.190","1.250","1.180","16.79M","4.20%"
"10/07/2025","1.190","1.210","1.210","1.190","4.20M","-0.83%"
"10/06/2025","1.200","1.220","1.230","1.190","6.38M","-0.83%"
"10/05/2025","1.210","1.210","1.220","1.200","3.37M","0.83%"
"10/02/2025","1.200","1.200","1.220","1.190","12.09M","0.00%"
"10/01/2025","1.200","1.210","1.220","1.190","2.75M","0.00%"
"09/30/2025","1.200","1.210","1.230","1.190","9.69M","0.00%"
"09/29/2025","1.200","1.200","1.210","1.180","4.11M","0.84%"
"09/28/2025","1.190","1.200","1.210","1.190","1.19M","0.00%"
"09/25/2025","1.190","1.180","1.200","1.170","3.19M","1.71%"
"09/24/2025","1.170","1.170","1.180","1.160","1.71M","0.86%"
"09/23/2025","1.160","1.180","1.190","1.160","1.23M","-1.69%"
"09/22/2025","1.180","1.190","1.190","1.160","2.07M","0.00%"
"09/21/2025","1.180","1.210","1.210","1.170","6.86M","-0.84%"
"09/18/2025","1.190","1.200","1.210","1.180","2.47M","-0.83%"
"09/17/2025","1.200","1.200","1.210","1.180","2.90M","-0.83%"
"09/16/2025","1.210","1.230","1.240","1.190","3.85M","-1.63%"
"09/15/2025","1.230","1.270","1.270","1.230","5.22M","-2.38%"
"09/14/2025","1.260","1.270","1.280","1.260","2.86M","-0.79%"
"09/11/2025","1.270","1.260","1.280","1.260","3.15M","0.79%"
"09/10/2025","1.260","1.270","1.280","1.260","1.58M","-0.79%"
"09/09/2025","1.270","1.280","1.290","1.270","1.76M","0.00%"
"09/08/2025","1.270","1.270","1.290","1.270","3.84M","0.00%"
