"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","8.090","7.910","8.150","7.900","1.30M","2.28%"
"11/30/2025","7.910","7.920","7.960","7.890","289.46K","-0.13%"
"11/27/2025","7.920","7.990","8.000","7.900","406.63K","-0.88%"
"11/26/2025","7.990","8.050","8.050","7.960","331.11K","-0.13%"
"11/25/2025","8.000","8.050","8.140","7.940","671.73K","-0.99%"
"11/24/2025","8.080","8.120","8.210","8.060","723.48K","-0.25%"
"11/23/2025","8.100","8.220","8.220","8.100","447.86K","-1.10%"
"11/20/2025","8.190","8.240","8.250","8.100","514.75K","0.37%"
"11/19/2025","8.160","8.250","8.320","8.100","746.31K","-1.57%"
"11/18/2025","8.290","8.390","8.430","8.200","4.90M","-1.31%"
"11/17/2025","8.400","8.350","8.440","8.340","1.83M","1.45%"
"11/16/2025","8.280","8.120","8.340","8.120","2.38M","1.97%"
"11/13/2025","8.120","8.110","8.250","8.100","1.22M","0.25%"
"11/12/2025","8.100","8.020","8.150","8.000","1.45M","1.00%"
"11/11/2025","8.020","8.050","8.070","7.970","528.91K","-0.37%"
"11/10/2025","8.050","8.070","8.090","7.950","478.01K","0.12%"
"11/09/2025","8.040","8.070","8.130","8.010","466.49K","0.12%"
"11/06/2025","8.030","8.070","8.200","8.000","857.36K","0.00%"
"11/05/2025","8.030","8.130","8.260","8.000","1.05M","-0.86%"
"11/04/2025","8.100","8.070","8.140","8.050","484.22K","0.37%"
"11/03/2025","8.070","8.150","8.150","8.050","488.15K","-0.86%"
"11/02/2025","8.140","8.080","8.160","8.000","1.08M","1.12%"
"10/30/2025","8.050","8.170","8.180","8.040","614.59K","-0.98%"
"10/29/2025","8.130","8.210","8.270","8.120","816.14K","-0.37%"
"10/28/2025","8.160","8.100","8.300","8.070","3.68M","1.12%"
"10/27/2025","8.070","8.090","8.130","8.050","1.40M","0.62%"
"10/26/2025","8.020","8.000","8.080","7.970","678.26K","0.88%"
"10/23/2025","7.950","7.910","8.040","7.890","2.20M","0.63%"
"10/22/2025","7.900","7.960","8.000","7.880","1.08M","-0.38%"
"10/21/2025","7.930","7.950","8.020","7.860","619.79K","-0.25%"
"10/20/2025","7.950","8.100","8.120","7.920","828.07K","-1.24%"
"10/19/2025","8.050","8.070","8.160","8.010","815.84K","0.37%"
"10/16/2025","8.020","8.060","8.070","8.000","424.72K","0.12%"
"10/15/2025","8.010","8.060","8.080","7.950","913.42K","0.25%"
"10/14/2025","7.990","8.100","8.140","7.960","896.79K","-0.25%"
"10/13/2025","8.010","7.840","8.160","7.800","3.88M","2.56%"
"10/12/2025","7.810","7.750","7.850","7.720","586.88K","0.77%"
"10/08/2025","7.750","7.800","7.810","7.680","590.87K","0.00%"
"10/07/2025","7.750","7.780","7.820","7.730","387.63K","0.13%"
