"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.215","0.206","0.221","0.204","1.40B","4.37%"
"11/30/2025","0.206","0.209","0.211","0.204","131.23M","-0.48%"
"11/27/2025","0.207","0.210","0.215","0.202","468.58M","-0.96%"
"11/26/2025","0.209","0.215","0.225","0.205","1.42B","-0.48%"
"11/25/2025","0.210","0.178","0.212","0.177","1.90B","18.64%"
"11/24/2025","0.177","0.180","0.180","0.177","41.34M","-1.12%"
"11/23/2025","0.179","0.176","0.180","0.175","61.60M","1.70%"
"11/20/2025","0.176","0.176","0.177","0.175","29.96M","0.00%"
"11/19/2025","0.176","0.178","0.179","0.175","41.00M","-0.56%"
"11/18/2025","0.177","0.179","0.182","0.177","67.70M","-0.56%"
"11/17/2025","0.178","0.177","0.180","0.176","93.23M","1.14%"
"11/16/2025","0.176","0.175","0.177","0.174","20.22M","0.57%"
"11/13/2025","0.175","0.176","0.177","0.174","27.90M","-0.57%"
"11/12/2025","0.176","0.177","0.178","0.175","48.09M","0.00%"
"11/11/2025","0.176","0.176","0.178","0.173","67.71M","0.57%"
"11/10/2025","0.175","0.176","0.176","0.173","70.49M","0.00%"
"11/09/2025","0.175","0.178","0.179","0.175","31.67M","-0.57%"
"11/06/2025","0.176","0.175","0.181","0.174","124.07M","1.15%"
"11/05/2025","0.174","0.175","0.177","0.174","59.26M","-1.14%"
"11/04/2025","0.176","0.178","0.178","0.175","79.00M","-0.56%"
"11/03/2025","0.177","0.182","0.182","0.174","146.92M","-2.75%"
"11/02/2025","0.182","0.185","0.185","0.180","64.09M","-1.09%"
"10/30/2025","0.184","0.184","0.186","0.183","65.21M","0.00%"
"10/29/2025","0.184","0.185","0.187","0.182","74.79M","0.00%"
"10/28/2025","0.184","0.186","0.187","0.183","53.47M","-1.08%"
"10/27/2025","0.186","0.187","0.188","0.185","72.64M","-0.53%"
"10/26/2025","0.187","0.189","0.189","0.186","103.54M","-1.06%"
"10/23/2025","0.189","0.189","0.190","0.186","80.73M","1.07%"
"10/22/2025","0.187","0.182","0.189","0.181","185.33M","3.31%"
"10/21/2025","0.181","0.183","0.184","0.181","37.49M","-0.55%"
"10/20/2025","0.182","0.186","0.187","0.182","73.05M","-1.62%"
"10/19/2025","0.185","0.185","0.186","0.184","77.25M","1.09%"
"10/16/2025","0.183","0.180","0.188","0.179","198.43M","2.23%"
"10/15/2025","0.179","0.178","0.180","0.176","55.10M","0.56%"
"10/14/2025","0.178","0.180","0.180","0.178","40.60M","-0.56%"
"10/13/2025","0.179","0.180","0.180","0.178","54.29M","0.00%"
"10/12/2025","0.179","0.180","0.181","0.179","64.03M","-0.56%"
"10/08/2025","0.180","0.182","0.183","0.179","142.39M","-1.10%"
"10/07/2025","0.182","0.183","0.184","0.181","69.24M","0.00%"
"10/06/2025","0.182","0.183","0.184","0.181","50.72M","-0.55%"
"10/05/2025","0.183","0.183","0.184","0.182","33.27M","0.55%"
"10/02/2025","0.182","0.182","0.184","0.181","24.97M","0.00%"
"10/01/2025","0.182","0.183","0.184","0.182","29.78M","0.55%"
"09/30/2025","0.181","0.184","0.185","0.181","80.92M","-1.09%"
"09/29/2025","0.183","0.183","0.185","0.182","24.66M","0.00%"
"09/28/2025","0.183","0.185","0.185","0.183","21.12M","-0.54%"
"09/25/2025","0.184","0.185","0.186","0.184","31.48M","-0.54%"
"09/24/2025","0.185","0.183","0.186","0.182","32.68M","1.09%"
"09/23/2025","0.183","0.183","0.184","0.182","31.98M","0.55%"
"09/22/2025","0.182","0.184","0.185","0.182","26.25M","-0.55%"
"09/21/2025","0.183","0.186","0.187","0.183","44.08M","-1.08%"
"09/18/2025","0.185","0.187","0.190","0.184","80.55M","-0.54%"
"09/17/2025","0.186","0.185","0.187","0.184","25.18M","0.00%"
"09/16/2025","0.186","0.189","0.190","0.185","49.78M","-1.06%"
"09/15/2025","0.188","0.191","0.196","0.188","244.62M","-1.05%"
"09/14/2025","0.190","0.191","0.195","0.189","176.27M","0.53%"
"09/11/2025","0.189","0.183","0.194","0.182","285.64M","3.28%"
"09/10/2025","0.183","0.183","0.184","0.182","20.69M","0.00%"
"09/09/2025","0.183","0.185","0.186","0.182","41.67M","-1.08%"
"09/08/2025","0.185","0.186","0.187","0.184","29.65M","-0.54%"
"09/07/2025","0.186","0.187","0.188","0.185","39.53M","0.00%"
"09/03/2025","0.186","0.188","0.188","0.185","40.54M","-0.53%"
"09/02/2025","0.187","0.189","0.189","0.187","24.85M","0.00%"
"09/01/2025","0.187","0.188","0.189","0.186","33.85M","0.54%"
"08/31/2025","0.186","0.191","0.193","0.186","139.80M","-2.11%"
"08/28/2025","0.190","0.189","0.191","0.188","58.68M","1.06%"
"08/27/2025","0.188","0.189","0.190","0.187","31.95M","0.00%"
"08/26/2025","0.188","0.189","0.191","0.188","48.31M","-0.53%"
"08/25/2025","0.189","0.190","0.191","0.189","35.88M","0.00%"
"08/24/2025","0.189","0.190","0.191","0.189","31.99M","0.00%"
"08/21/2025","0.189","0.190","0.191","0.188","58.74M","-0.53%"
"08/20/2025","0.190","0.191","0.192","0.189","87.51M","0.53%"
"08/19/2025","0.189","0.192","0.193","0.189","76.78M","-1.56%"
"08/18/2025","0.192","0.193","0.197","0.191","139.08M","0.00%"
"08/17/2025","0.192","0.189","0.192","0.188","117.21M","2.13%"
"08/14/2025","0.188","0.191","0.191","0.187","74.61M","-1.57%"
"08/13/2025","0.191","0.194","0.194","0.189","126.36M","-1.04%"
"08/12/2025","0.193","0.194","0.194","0.192","35.00M","-0.52%"
"08/11/2025","0.194","0.194","0.195","0.192","49.68M","0.00%"
"08/10/2025","0.194","0.193","0.195","0.192","62.90M","0.00%"
"08/07/2025","0.194","0.194","0.197","0.193","59.34M","0.00%"
"08/06/2025","0.194","0.196","0.198","0.193","88.96M","-1.02%"
"08/05/2025","0.196","0.194","0.199","0.193","158.16M","1.55%"
"08/04/2025","0.193","0.193","0.195","0.192","48.33M","0.00%"
"08/03/2025","0.193","0.195","0.196","0.191","50.68M","-0.52%"
"07/31/2025","0.194","0.194","0.196","0.191","90.62M","1.57%"
"07/30/2025","0.191","0.204","0.206","0.181","451.79M","-5.91%"
"07/29/2025","0.203","0.205","0.206","0.202","106.28M","-0.49%"
"07/28/2025","0.204","0.210","0.211","0.204","215.07M","-2.39%"
"07/27/2025","0.209","0.210","0.211","0.208","351.38M","0.00%"
"07/23/2025","0.209","0.209","0.214","0.207","531.30M","0.48%"
"07/22/2025","0.208","0.208","0.211","0.205","300.67M","0.97%"
"07/21/2025","0.206","0.201","0.213","0.201","406.76M","2.49%"
"07/20/2025","0.201","0.205","0.207","0.199","131.14M","-1.95%"
"07/17/2025","0.205","0.207","0.209","0.205","72.99M","-0.97%"
"07/16/2025","0.207","0.209","0.211","0.205","95.75M","-0.48%"
"07/15/2025","0.208","0.211","0.214","0.205","176.84M","-0.95%"
"07/14/2025","0.210","0.219","0.220","0.208","241.78M","-4.55%"
"07/13/2025","0.220","0.222","0.224","0.219","156.45M","-0.45%"
"07/10/2025","0.221","0.223","0.224","0.220","133.55M","0.45%"
"07/09/2025","0.220","0.223","0.229","0.219","267.43M","0.00%"
"07/07/2025","0.220","0.226","0.250","0.218","1.21B","-2.65%"
"07/06/2025","0.226","0.226","0.228","0.225","10.12M","0.44%"
"07/02/2025","0.225","0.228","0.229","0.225","35.18M","-0.88%"
"07/01/2025","0.227","0.228","0.229","0.226","9.68M","0.00%"
"06/30/2025","0.227","0.230","0.232","0.227","20.87M","-0.87%"
"06/29/2025","0.229","0.229","0.230","0.227","18.79M","0.88%"
"06/25/2025","0.227","0.222","0.230","0.221","37.36M","2.25%"
"06/24/2025","0.222","0.220","0.223","0.219","27.65M","2.78%"
"06/23/2025","0.216","0.215","0.217","0.213","10.66M","1.41%"
"06/22/2025","0.213","0.204","0.220","0.200","27.90M","4.41%"
"06/19/2025","0.204","0.212","0.214","0.204","11.16M","-3.77%"
"06/18/2025","0.212","0.213","0.216","0.210","13.12M","0.47%"
"06/17/2025","0.211","0.218","0.219","0.211","16.14M","-2.31%"
"06/16/2025","0.216","0.219","0.223","0.215","24.12M","0.47%"
"06/15/2025","0.215","0.225","0.225","0.200","21.47M","-5.70%"
"06/12/2025","0.228","0.231","0.231","0.228","18.84M","-1.30%"
"06/11/2025","0.231","0.230","0.232","0.228","26.23M","0.43%"
"06/10/2025","0.230","0.229","0.232","0.229","14.01M","0.44%"
"06/04/2025","0.229","0.229","0.233","0.228","20.33M","0.44%"
"06/03/2025","0.228","0.228","0.230","0.227","14.72M","0.00%"
"06/02/2025","0.228","0.229","0.230","0.227","15.72M","0.00%"
"06/01/2025","0.228","0.230","0.232","0.227","12.02M","0.00%"
"05/29/2025","0.228","0.232","0.233","0.228","17.32M","-1.72%"
"05/28/2025","0.232","0.235","0.236","0.231","20.79M","-0.85%"
"05/27/2025","0.234","0.229","0.237","0.227","51.47M","2.63%"
"05/26/2025","0.228","0.230","0.231","0.227","11.82M","-0.87%"
