"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","4.240","4.220","4.320","4.220","1.56M","0.47%"
"11/30/2025","4.220","4.300","4.320","4.180","1.90M","-1.17%"
"11/27/2025","4.270","4.340","4.410","4.250","2.89M","-1.61%"
"11/26/2025","4.340","4.190","4.340","4.140","3.49M","4.08%"
"11/25/2025","4.170","4.290","4.400","4.160","4.96M","-0.71%"
"11/24/2025","4.200","4.000","4.350","3.990","9.05M","6.06%"
"11/23/2025","3.960","4.110","4.140","3.950","2.28M","-3.41%"
"11/20/2025","4.100","4.210","4.290","4.100","1.75M","-1.91%"
"11/19/2025","4.180","4.250","4.280","4.000","4.86M","0.00%"
"11/18/2025","4.180","4.300","4.320","4.160","1.10M","-1.42%"
"11/17/2025","4.240","4.210","4.300","4.170","1.69M","0.71%"
"11/16/2025","4.210","4.320","4.350","4.160","2.22M","-2.09%"
"11/13/2025","4.300","4.490","4.510","4.300","2.65M","-3.15%"
"11/12/2025","4.440","4.460","4.550","4.430","867.68K","-0.89%"
"11/11/2025","4.480","4.420","4.560","4.420","2.68M","1.36%"
"11/10/2025","4.420","4.450","4.490","4.400","3.14M","-0.45%"
"11/09/2025","4.440","4.490","4.550","4.400","4.02M","-1.55%"
"11/06/2025","4.510","4.680","4.770","4.480","13.62M","-2.59%"
"11/05/2025","4.630","4.600","4.840","4.480","10.25M","1.76%"
"11/04/2025","4.550","4.450","4.720","4.410","4.83M","3.64%"
"11/03/2025","4.390","4.480","4.520","4.380","2.90M","-1.35%"
"11/02/2025","4.450","4.180","4.690","4.100","23.24M","7.49%"
"10/30/2025","4.140","4.300","4.350","4.120","6.10M","-2.59%"
"10/29/2025","4.250","4.130","4.280","4.020","14.57M","5.72%"
"10/28/2025","4.020","3.900","4.030","3.770","11.26M","3.34%"
"10/27/2025","3.890","3.850","4.140","3.850","26.96M","3.18%"
"10/26/2025","3.770","3.650","3.770","3.640","12.86M","4.72%"
"10/23/2025","3.600","3.550","3.700","3.500","6.42M","1.69%"
"10/22/2025","3.540","3.550","3.600","3.530","756.22K","0.00%"
"10/21/2025","3.540","3.600","3.630","3.530","1.85M","-1.12%"
"10/20/2025","3.580","3.510","3.710","3.500","7.69M","2.29%"
"10/19/2025","3.500","3.450","3.510","3.440","1.83M","1.45%"
"10/16/2025","3.450","3.500","3.530","3.420","2.31M","-0.58%"
"10/15/2025","3.470","3.520","3.550","3.440","2.48M","-0.29%"
"10/14/2025","3.480","3.430","3.580","3.420","5.87M","1.75%"
"10/13/2025","3.420","3.430","3.450","3.370","3.20M","0.00%"
"10/12/2025","3.420","3.580","3.600","3.420","6.41M","-4.20%"
"10/08/2025","3.570","3.560","3.700","3.550","4.77M","0.56%"
"10/07/2025","3.550","3.600","3.620","3.540","2.52M","-0.84%"
"10/06/2025","3.580","3.620","3.720","3.550","10.24M","0.28%"
"10/05/2025","3.570","3.300","3.660","3.300","38.22M","8.51%"
"10/02/2025","3.290","3.280","3.330","3.260","1.54M","0.61%"
"10/01/2025","3.270","3.330","3.390","3.260","4.62M","-0.61%"
"09/30/2025","3.290","3.300","3.400","3.280","8.58M","1.54%"
"09/29/2025","3.240","3.260","3.260","3.210","1.57M","0.62%"
"09/28/2025","3.220","3.230","3.270","3.200","1.73M","0.31%"
"09/25/2025","3.210","3.160","3.210","3.140","1.83M","2.23%"
"09/24/2025","3.140","3.040","3.140","3.030","1.25M","3.97%"
"09/23/2025","3.020","3.050","3.110","3.020","889.79K","-0.33%"
"09/22/2025","3.030","3.040","3.060","2.980","573.38K","0.33%"
"09/21/2025","3.020","3.140","3.140","3.010","858.95K","-2.27%"
"09/18/2025","3.090","3.080","3.120","3.060","1.63M","1.31%"
"09/17/2025","3.050","3.100","3.120","3.010","2.76M","-1.61%"
"09/16/2025","3.100","3.170","3.170","2.980","2.11M","-1.59%"
"09/15/2025","3.150","3.190","3.200","3.090","2.62M","-0.94%"
"09/14/2025","3.180","3.270","3.320","3.170","3.40M","-3.05%"
"09/11/2025","3.280","3.340","3.360","3.280","2.92M","-1.80%"
"09/10/2025","3.340","3.220","3.370","3.200","3.39M","3.73%"
"09/09/2025","3.220","3.280","3.310","3.210","1.52M","-1.53%"
"09/08/2025","3.270","3.350","3.380","3.260","4.13M","-1.80%"
"09/07/2025","3.330","3.430","3.460","3.330","3.48M","-2.35%"
"09/03/2025","3.410","3.350","3.480","3.330","9.10M","2.10%"
"09/02/2025","3.340","3.400","3.420","3.320","3.26M","-0.89%"
