"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.375","0.370","0.385","0.370","67.00M","1.90%"
"11/30/2025","0.368","0.364","0.372","0.358","28.65M","2.22%"
"11/27/2025","0.360","0.362","0.368","0.359","23.70M","0.00%"
"11/26/2025","0.360","0.362","0.380","0.357","46.34M","-0.55%"
"11/25/2025","0.362","0.360","0.375","0.360","49.62M","0.56%"
"11/24/2025","0.360","0.362","0.366","0.357","30.65M","0.00%"
"11/23/2025","0.360","0.378","0.379","0.359","32.82M","-5.76%"
"11/20/2025","0.382","0.375","0.390","0.367","78.15M","1.60%"
"11/19/2025","0.376","0.354","0.376","0.347","114.53M","7.12%"
"11/18/2025","0.351","0.349","0.355","0.342","39.46M","1.15%"
"11/17/2025","0.347","0.349","0.351","0.335","47.02M","-0.29%"
"11/16/2025","0.348","0.348","0.356","0.339","58.56M","0.29%"
"11/13/2025","0.347","0.338","0.348","0.334","77.88M","3.27%"
"11/12/2025","0.336","0.319","0.339","0.316","155.71M","6.67%"
"11/11/2025","0.315","0.304","0.318","0.302","101.12M","4.30%"
"11/10/2025","0.302","0.306","0.306","0.297","15.63M","-0.98%"
"11/09/2025","0.305","0.303","0.308","0.299","20.13M","1.33%"
"11/06/2025","0.301","0.293","0.305","0.292","27.88M","2.73%"
"11/05/2025","0.293","0.300","0.300","0.292","6.59M","-2.33%"
"11/04/2025","0.300","0.293","0.300","0.290","14.09M","2.39%"
"11/03/2025","0.293","0.295","0.296","0.291","8.63M","0.00%"
"11/02/2025","0.293","0.298","0.301","0.290","15.09M","-1.68%"
"10/30/2025","0.298","0.300","0.302","0.296","13.71M","0.00%"
"10/29/2025","0.298","0.297","0.305","0.296","26.23M","0.34%"
"10/28/2025","0.297","0.304","0.305","0.295","25.15M","-1.98%"
"10/27/2025","0.303","0.309","0.310","0.303","18.21M","-0.98%"
"10/26/2025","0.306","0.300","0.311","0.299","50.71M","2.68%"
"10/23/2025","0.298","0.298","0.303","0.295","49.73M","0.34%"
"10/22/2025","0.297","0.295","0.325","0.293","11.04M","1.37%"
"10/21/2025","0.293","0.292","0.299","0.291","17.71M","0.00%"
"10/20/2025","0.293","0.300","0.303","0.292","10.93M","-1.35%"
"10/19/2025","0.297","0.305","0.307","0.295","28.03M","-1.00%"
"10/16/2025","0.300","0.287","0.310","0.287","112.01M","5.26%"
"10/15/2025","0.285","0.283","0.290","0.283","9.51M","0.71%"
"10/14/2025","0.283","0.279","0.291","0.279","32.25M","1.43%"
"10/13/2025","0.279","0.279","0.282","0.278","5.55M","0.00%"
"10/12/2025","0.279","0.279","0.281","0.277","5.80M","-0.36%"
"10/08/2025","0.280","0.281","0.282","0.279","6.42M","0.00%"
"10/07/2025","0.280","0.283","0.283","0.279","7.85M","-0.36%"
"10/06/2025","0.281","0.281","0.283","0.280","4.59M","0.00%"
"10/05/2025","0.281","0.281","0.285","0.280","3.90M","0.72%"
"10/02/2025","0.279","0.281","0.282","0.277","6.67M","-0.36%"
"10/01/2025","0.280","0.282","0.284","0.279","7.02M","-0.71%"
"09/30/2025","0.282","0.282","0.285","0.281","8.35M","0.00%"
"09/29/2025","0.282","0.285","0.285","0.279","10.79M","-1.05%"
"09/28/2025","0.285","0.284","0.285","0.279","9.30M","1.06%"
"09/25/2025","0.282","0.271","0.286","0.270","50.22M","4.44%"
"09/24/2025","0.270","0.270","0.273","0.268","4.26M","0.00%"
"09/23/2025","0.270","0.272","0.275","0.266","15.00M","-0.74%"
"09/22/2025","0.272","0.276","0.280","0.264","29.85M","-1.45%"
"09/21/2025","0.276","0.282","0.283","0.276","12.84M","-1.43%"
"09/18/2025","0.280","0.285","0.286","0.280","10.10M","-1.06%"
"09/17/2025","0.283","0.288","0.288","0.282","13.04M","-1.74%"
"09/16/2025","0.288","0.298","0.298","0.288","24.17M","-2.70%"
"09/15/2025","0.296","0.298","0.300","0.294","24.44M","-0.67%"
"09/14/2025","0.298","0.302","0.303","0.297","12.93M","-1.32%"
