"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","51.20","51.81","51.98","51.02","176.67K","-1.16%"
"11/30/2025","51.80","51.48","51.99","50.82","380.99K","1.57%"
"11/27/2025","51.00","48.67","51.00","48.66","1.28M","4.79%"
"11/26/2025","48.67","49.55","50.96","48.65","438.11K","-1.88%"
"11/25/2025","49.60","50.29","50.76","48.76","363.90K","-1.35%"
"11/24/2025","50.28","51.34","51.81","50.28","259.02K","-2.05%"
"11/23/2025","51.33","51.90","52.15","51.03","403.46K","0.63%"
"11/20/2025","51.01","51.00","52.74","51.00","1.20M","0.51%"
"11/19/2025","50.75","51.38","52.25","50.25","601.36K","-0.51%"
"11/18/2025","51.01","53.12","53.87","51.01","478.21K","-3.57%"
"11/17/2025","52.90","52.60","54.40","52.13","966.06K","0.76%"
"11/16/2025","52.50","53.86","54.00","52.02","832.78K","-0.94%"
"11/13/2025","53.00","56.33","60.40","52.59","4.27M","-3.67%"
"11/12/2025","55.02","48.50","58.20","48.50","3.60M","13.44%"
"11/11/2025","48.50","48.74","49.00","47.70","447.84K","-0.04%"
"11/10/2025","48.52","47.50","49.29","47.50","1.43M","2.15%"
"11/09/2025","47.50","45.98","47.50","45.59","403.89K","4.90%"
"11/06/2025","45.28","45.36","46.45","44.94","791.15K","0.07%"
"11/05/2025","45.25","46.68","47.10","44.92","837.42K","-2.90%"
"11/04/2025","46.60","46.60","47.40","46.60","842.09K","0.19%"
"11/03/2025","46.51","45.01","46.55","44.13","319.63K","2.47%"
"11/02/2025","45.39","46.70","46.95","44.75","355.14K","-2.26%"
"10/30/2025","46.44","47.03","47.68","46.43","556.38K","-1.19%"
"10/29/2025","47.00","47.32","47.89","46.90","250.93K","0.00%"
"10/28/2025","47.00","47.30","47.50","46.55","347.44K","-0.21%"
"10/27/2025","47.10","48.20","48.48","47.00","490.24K","-1.88%"
"10/26/2025","48.00","48.04","49.00","47.54","2.37M","1.27%"
"10/23/2025","47.40","47.00","48.48","46.75","3.17M","1.46%"
