"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.312","0.313","0.319","0.311","40.73M","-0.32%"
"11/30/2025","0.313","0.315","0.320","0.312","43.24M","-0.63%"
"11/27/2025","0.315","0.301","0.316","0.300","49.79M","5.00%"
"11/26/2025","0.300","0.304","0.306","0.298","46.74M","-0.66%"
"11/25/2025","0.302","0.313","0.313","0.302","50.66M","-2.58%"
"11/24/2025","0.310","0.320","0.321","0.308","67.72M","-2.52%"
"11/23/2025","0.318","0.323","0.326","0.317","125.95M","0.32%"
"11/20/2025","0.317","0.305","0.317","0.304","168.85M","4.62%"
"11/19/2025","0.303","0.305","0.310","0.301","52.44M","-0.33%"
"11/18/2025","0.304","0.310","0.316","0.303","132.20M","-1.62%"
"11/17/2025","0.309","0.300","0.309","0.297","70.28M","4.75%"
"11/16/2025","0.295","0.295","0.298","0.292","16.31M","1.03%"
"11/13/2025","0.292","0.300","0.300","0.292","18.53M","-1.35%"
"11/12/2025","0.296","0.288","0.305","0.286","68.70M","3.50%"
"11/11/2025","0.286","0.288","0.288","0.285","12.80M","0.35%"
"11/10/2025","0.285","0.291","0.291","0.284","15.43M","-1.38%"
"11/09/2025","0.289","0.289","0.292","0.287","11.66M","0.70%"
"11/06/2025","0.287","0.289","0.290","0.287","17.83M","-0.35%"
"11/05/2025","0.288","0.291","0.294","0.287","12.98M","-1.03%"
"11/04/2025","0.291","0.290","0.293","0.289","11.94M","0.34%"
"11/03/2025","0.290","0.294","0.296","0.289","23.95M","-1.02%"
"11/02/2025","0.293","0.300","0.300","0.290","12.40M","-1.68%"
"10/30/2025","0.298","0.300","0.301","0.297","11.13M","-0.67%"
"10/29/2025","0.300","0.304","0.304","0.299","20.50M","0.00%"
"10/28/2025","0.300","0.306","0.309","0.298","36.52M","-1.96%"
"10/27/2025","0.306","0.309","0.310","0.305","23.30M","-0.33%"
"10/26/2025","0.307","0.308","0.310","0.303","34.67M","0.66%"
"10/23/2025","0.305","0.308","0.310","0.303","42.46M","0.33%"
"10/22/2025","0.304","0.295","0.315","0.295","167.87M","3.40%"
"10/21/2025","0.294","0.297","0.299","0.294","28.53M","-0.34%"
"10/20/2025","0.295","0.297","0.298","0.294","18.14M","0.34%"
"10/19/2025","0.294","0.292","0.299","0.292","53.55M","1.03%"
"10/16/2025","0.291","0.292","0.296","0.290","25.85M","-0.34%"
"10/15/2025","0.292","0.289","0.294","0.285","14.31M","1.04%"
"10/14/2025","0.289","0.294","0.300","0.289","35.95M","-1.03%"
"10/13/2025","0.292","0.287","0.296","0.283","61.40M","2.10%"
"10/12/2025","0.286","0.293","0.295","0.285","30.25M","-2.05%"
"10/08/2025","0.292","0.297","0.297","0.291","18.95M","-1.02%"
"10/07/2025","0.295","0.298","0.299","0.292","38.29M","-0.67%"
"10/06/2025","0.297","0.300","0.301","0.297","13.15M","-0.67%"
"10/05/2025","0.299","0.300","0.303","0.297","16.99M","0.00%"
"10/02/2025","0.299","0.300","0.302","0.296","13.06M","-0.33%"
"10/01/2025","0.300","0.302","0.304","0.300","26.35M","-0.66%"
"09/30/2025","0.302","0.303","0.306","0.299","31.77M","0.33%"
"09/29/2025","0.301","0.301","0.304","0.299","13.48M","0.00%"
"09/28/2025","0.301","0.303","0.305","0.300","40.30M","-0.33%"
"09/25/2025","0.302","0.299","0.305","0.299","41.31M","1.00%"
"09/24/2025","0.299","0.302","0.306","0.297","56.34M","-0.33%"
"09/23/2025","0.300","0.301","0.304","0.299","16.25M","-0.33%"
"09/22/2025","0.301","0.302","0.304","0.300","14.71M","0.00%"
"09/21/2025","0.301","0.306","0.308","0.301","17.42M","-0.33%"
"09/18/2025","0.302","0.303","0.308","0.302","31.97M","0.00%"
"09/17/2025","0.302","0.301","0.305","0.299","19.95M","0.33%"
"09/16/2025","0.301","0.312","0.314","0.297","46.42M","-3.22%"
"09/15/2025","0.311","0.318","0.320","0.310","59.42M","-1.89%"
"09/14/2025","0.317","0.307","0.322","0.307","75.91M","3.59%"
"09/11/2025","0.306","0.308","0.311","0.306","39.47M","-0.97%"
"09/10/2025","0.309","0.308","0.310","0.306","19.40M","0.32%"
"09/09/2025","0.308","0.308","0.317","0.306","64.52M","0.33%"
"09/08/2025","0.307","0.310","0.311","0.306","21.64M","-0.32%"
"09/07/2025","0.308","0.311","0.314","0.308","13.64M","-0.96%"
"09/03/2025","0.311","0.315","0.316","0.307","32.67M","-0.96%"
