"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","38.31","37.90","38.50","37.61","360.70K","1.94%"
"11/30/2025","37.58","35.09","38.00","35.00","477.65K","7.37%"
"11/27/2025","35.00","34.50","35.13","34.10","238.75K","0.66%"
"11/26/2025","34.77","34.91","35.00","33.83","79.85K","-0.43%"
"11/25/2025","34.92","35.35","36.50","34.38","227.35K","-0.82%"
"11/24/2025","35.21","34.20","35.40","34.15","114.13K","3.10%"
"11/23/2025","34.15","35.00","35.38","33.90","94.58K","-2.65%"
"11/20/2025","35.08","36.00","36.15","29.26","100.07K","-2.20%"
"11/19/2025","35.87","36.00","36.80","35.58","48.81K","-1.67%"
"11/18/2025","36.48","37.00","37.10","35.12","187.11K","-1.41%"
"11/17/2025","37.00","37.20","37.47","36.65","1.15M","-0.46%"
"11/16/2025","37.17","35.05","37.73","35.05","1.33M","6.08%"
"11/13/2025","35.04","35.20","35.88","34.50","522.07K","-0.43%"
"11/12/2025","35.19","35.49","35.65","34.71","500.60K","0.54%"
"11/11/2025","35.00","34.84","36.30","34.21","4.16M","1.16%"
"11/10/2025","34.60","35.58","36.60","34.57","2.28M","-2.26%"
"11/09/2025","35.40","34.61","35.41","34.35","406.88K","2.55%"
"11/06/2025","34.52","33.40","34.87","33.27","387.96K","3.32%"
"11/05/2025","33.41","33.63","34.50","33.20","299.27K","-0.45%"
"11/04/2025","33.56","32.80","34.48","32.52","533.94K","2.32%"
"11/03/2025","32.80","32.54","32.89","32.20","112.07K","0.80%"
"11/02/2025","32.54","32.58","33.24","32.25","280.07K","0.03%"
"10/30/2025","32.53","32.00","32.70","31.89","120.12K","2.04%"
"10/29/2025","31.88","32.40","32.41","31.86","49.99K","-1.09%"
"10/28/2025","32.23","32.50","32.63","31.84","95.46K","-1.13%"
"10/27/2025","32.60","32.33","32.94","32.01","201.94K","0.84%"
"10/26/2025","32.33","32.90","33.25","32.00","833.28K","-1.85%"
"10/23/2025","32.94","32.88","33.60","32.46","292.69K","1.82%"
"10/22/2025","32.35","32.78","33.14","32.30","168.17K","-1.31%"
"10/21/2025","32.78","30.75","32.95","30.75","666.46K","6.81%"
"10/20/2025","30.69","30.77","31.30","30.56","84.81K","-1.03%"
"10/19/2025","31.01","31.05","31.10","30.62","97.64K","-0.06%"
"10/16/2025","31.03","30.67","31.54","30.60","301.08K","1.17%"
"10/15/2025","30.67","30.88","31.00","30.62","80.64K","-0.68%"
"10/14/2025","30.88","30.80","31.10","30.60","548.53K","-0.06%"
"10/13/2025","30.90","31.00","31.24","30.50","82.19K","0.23%"
"10/12/2025","30.83","30.51","31.30","30.15","58.83K","-0.23%"
"10/08/2025","30.90","30.50","30.90","29.81","183.71K","1.48%"
"10/07/2025","30.45","30.27","30.65","30.15","45.10K","-0.07%"
"10/06/2025","30.47","30.54","30.96","30.10","58.64K","-0.23%"
"10/05/2025","30.54","31.00","31.00","30.50","55.01K","-1.48%"
"10/02/2025","31.00","31.00","31.11","29.50","307.54K","0.06%"
"10/01/2025","30.98","30.00","31.30","29.61","677.39K","4.80%"
"09/30/2025","29.56","29.10","30.40","29.01","639.93K","1.83%"
"09/29/2025","29.03","28.46","29.20","28.40","152.97K","2.29%"
"09/28/2025","28.38","28.30","28.75","28.01","215.74K","0.82%"
"09/25/2025","28.15","28.30","28.34","28.06","26.88K","0.29%"
"09/24/2025","28.07","27.92","28.25","27.92","37.11K","0.07%"
"09/23/2025","28.05","27.89","28.20","27.89","92.96K","0.25%"
"09/22/2025","27.98","28.49","28.49","27.90","49.40K","-0.85%"
"09/21/2025","28.22","28.08","28.59","28.08","32.85K","0.14%"
"09/18/2025","28.18","28.22","28.43","28.10","35.23K","-0.63%"
"09/17/2025","28.36","28.58","28.59","28.10","20.75K","0.21%"
"09/16/2025","28.30","28.50","28.80","28.19","53.86K","-2.01%"
"09/15/2025","28.88","28.51","29.00","28.50","101.90K","0.98%"
"09/14/2025","28.60","28.18","28.83","28.15","69.92K","1.49%"
"09/11/2025","28.18","28.40","28.74","28.06","130.93K","0.28%"
"09/10/2025","28.10","28.25","28.48","28.00","45.15K","-0.53%"
"09/09/2025","28.25","28.19","28.50","28.19","32.09K","0.04%"
"09/08/2025","28.24","28.50","28.79","28.16","45.19K","-0.84%"
"09/07/2025","28.48","28.99","29.37","28.20","29.90K","-0.84%"
"09/03/2025","28.72","29.10","29.60","28.65","90.98K","-1.34%"
"09/02/2025","29.11","29.22","29.57","29.01","49.05K","-0.48%"
