"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","3.270","3.200","3.270","3.150","218.99M","2.83%"
"11/30/2025","3.180","3.080","3.190","3.070","202.11M","4.61%"
"11/27/2025","3.040","2.940","3.090","2.920","131.48M","4.11%"
"11/26/2025","2.920","2.920","3.010","2.900","51.79M","0.34%"
"11/25/2025","2.910","2.920","3.000","2.890","48.30M","-0.34%"
"11/24/2025","2.920","2.910","3.000","2.850","19.10M","0.69%"
"11/23/2025","2.900","2.910","2.960","2.870","38.33M","0.00%"
"11/20/2025","2.900","2.970","3.010","2.900","28.64M","-2.36%"
"11/19/2025","2.970","2.860","2.980","2.840","30.72M","3.85%"
"11/18/2025","2.860","2.910","2.910","2.840","21.06M","-1.38%"
"11/17/2025","2.900","2.990","3.010","2.900","55.39M","-2.68%"
"11/16/2025","2.980","2.940","3.030","2.920","29.79M","1.36%"
"11/13/2025","2.940","3.060","3.060","2.940","38.40M","-4.23%"
"11/12/2025","3.070","3.050","3.070","3.030","21.51M","0.66%"
"11/11/2025","3.050","2.950","3.060","2.930","56.59M","3.74%"
"11/10/2025","2.940","2.880","2.950","2.840","38.66M","2.44%"
"11/09/2025","2.870","2.810","2.910","2.800","36.03M","2.87%"
"11/06/2025","2.790","2.730","2.830","2.710","48.12M","2.95%"
"11/05/2025","2.710","2.800","2.810","2.650","36.35M","-2.87%"
"11/04/2025","2.790","2.820","2.860","2.780","20.59M","-0.71%"
"11/03/2025","2.810","2.820","2.830","2.770","24.44M","0.36%"
"11/02/2025","2.800","3.000","3.000","2.800","59.75M","-6.04%"
"10/30/2025","2.980","3.080","3.100","2.980","48.09M","-3.56%"
"10/29/2025","3.090","3.060","3.130","2.970","124.57M","-1.28%"
"10/28/2025","3.130","3.150","3.180","3.120","39.90M","-0.63%"
"10/27/2025","3.150","3.080","3.160","3.060","54.77M","2.61%"
"10/26/2025","3.070","3.060","3.100","3.060","36.55M","0.33%"
"10/23/2025","3.060","2.990","3.090","2.990","41.40M","2.34%"
"10/22/2025","2.990","3.020","3.030","2.990","33.44M","-0.99%"
"10/21/2025","3.020","3.070","3.080","3.010","29.39M","-1.63%"
"10/20/2025","3.070","3.090","3.090","3.060","17.35M","-0.32%"
"10/19/2025","3.080","3.070","3.110","3.060","26.51M","0.33%"
"10/16/2025","3.070","3.050","3.090","3.040","78.46M","1.32%"
"10/15/2025","3.030","3.050","3.060","3.020","14.93M","-0.66%"
"10/14/2025","3.050","3.070","3.090","3.040","35.61M","-0.33%"
"10/13/2025","3.060","3.010","3.070","2.990","51.84M","2.00%"
"10/12/2025","3.000","3.010","3.040","2.980","44.57M","0.00%"
"10/08/2025","3.000","3.040","3.050","3.000","27.59M","-0.99%"
"10/07/2025","3.030","3.080","3.080","3.020","64.68M","-0.98%"
"10/06/2025","3.060","3.100","3.110","3.060","30.02M","-1.61%"
"10/05/2025","3.110","3.100","3.110","3.070","21.96M","0.65%"
"10/02/2025","3.090","3.140","3.160","3.070","79.06M","-1.28%"
"10/01/2025","3.130","3.160","3.170","3.130","37.44M","-0.63%"
"09/30/2025","3.150","3.150","3.200","3.120","57.08M","0.64%"
"09/29/2025","3.130","3.120","3.150","3.110","24.03M","0.32%"
"09/28/2025","3.120","3.190","3.210","3.120","61.72M","-1.58%"
"09/25/2025","3.170","3.180","3.230","3.170","68.04M","0.00%"
"09/24/2025","3.170","3.120","3.170","3.100","32.26M","2.26%"
"09/23/2025","3.100","3.100","3.170","3.080","109.59M","0.00%"
"09/22/2025","3.100","3.090","3.120","3.080","27.39M","0.32%"
"09/21/2025","3.090","3.100","3.120","3.050","35.80M","0.32%"
"09/18/2025","3.080","3.060","3.120","3.050","55.96M","0.98%"
"09/17/2025","3.050","3.080","3.090","3.030","22.84M","-0.97%"
"09/16/2025","3.080","3.080","3.090","3.030","25.08M","0.00%"
"09/15/2025","3.080","3.130","3.150","3.070","25.41M","-1.28%"
"09/14/2025","3.120","3.130","3.170","3.120","80.98M","0.00%"
"09/11/2025","3.120","3.160","3.190","3.120","56.02M","-0.95%"
"09/10/2025","3.150","3.100","3.170","3.080","70.23M","1.61%"
"09/09/2025","3.100","3.100","3.130","3.080","56.69M","0.32%"
"09/08/2025","3.090","3.090","3.120","3.070","29.74M","0.32%"
"09/07/2025","3.080","3.030","3.100","2.990","36.21M","2.33%"
"09/03/2025","3.010","3.070","3.080","3.010","54.71M","-1.95%"
"09/02/2025","3.070","3.090","3.110","3.050","44.33M","-0.65%"
"09/01/2025","3.090","3.070","3.090","3.050","14.77M","0.65%"
"08/31/2025","3.070","3.160","3.170","3.060","24.96M","-2.23%"
"08/28/2025","3.140","3.160","3.190","3.120","43.78M","-0.32%"
"08/27/2025","3.150","3.180","3.220","3.150","55.46M","-0.63%"
"08/26/2025","3.170","3.110","3.200","3.100","156.79M","2.26%"
"08/25/2025","3.100","3.100","3.140","3.100","61.29M","0.32%"
"08/24/2025","3.090","3.060","3.130","3.060","81.51M","1.31%"
"08/21/2025","3.050","3.070","3.090","3.040","23.15M","-0.65%"
"08/20/2025","3.070","3.110","3.150","3.070","74.71M","-0.97%"
"08/19/2025","3.100","3.050","3.120","3.030","74.98M","1.97%"
"08/18/2025","3.040","3.030","3.090","3.010","54.23M","1.00%"
"08/17/2025","3.010","3.010","3.040","2.950","110.27M","0.33%"
"08/14/2025","3.000","3.090","3.110","2.990","48.41M","-2.60%"
"08/13/2025","3.080","3.120","3.140","3.070","31.19M","-0.96%"
"08/12/2025","3.110","3.080","3.140","3.060","58.09M","1.30%"
"08/11/2025","3.070","3.170","3.180","3.060","60.49M","-2.54%"
"08/10/2025","3.150","3.130","3.160","3.100","55.62M","1.61%"
"08/07/2025","3.100","3.150","3.150","3.070","69.62M","-0.96%"
"08/06/2025","3.130","3.260","3.260","3.090","103.65M","-3.40%"
"08/05/2025","3.240","3.260","3.310","3.220","50.68M","-0.31%"
"08/04/2025","3.250","3.280","3.340","3.220","43.09M","-0.31%"
"08/03/2025","3.260","3.380","3.390","3.260","57.26M","-3.26%"
"07/31/2025","3.370","3.290","3.410","3.170","148.92M","4.66%"
"07/30/2025","3.220","3.540","3.550","3.010","175.17M","-9.04%"
"07/29/2025","3.540","3.510","3.580","3.450","58.68M","0.85%"
"07/28/2025","3.510","3.610","3.670","3.490","69.55M","-2.50%"
"07/27/2025","3.600","3.550","3.650","3.550","63.83M","1.69%"
"07/23/2025","3.540","3.500","3.550","3.450","41.28M","1.43%"
"07/22/2025","3.490","3.500","3.500","3.420","46.24M","0.00%"
"07/21/2025","3.490","3.540","3.610","3.470","56.11M","-0.57%"
"07/20/2025","3.510","3.390","3.570","3.380","62.81M","4.15%"
"07/17/2025","3.370","3.470","3.490","3.360","35.24M","-2.60%"
"07/16/2025","3.460","3.580","3.600","3.440","48.75M","-2.81%"
"07/15/2025","3.560","3.540","3.640","3.540","65.84M","0.85%"
"07/14/2025","3.530","3.420","3.550","3.420","40.34M","3.52%"
"07/13/2025","3.410","3.500","3.520","3.400","17.69M","-2.01%"
"07/10/2025","3.480","3.500","3.540","3.480","31.35M","-0.57%"
"07/09/2025","3.500","3.510","3.560","3.460","27.43M","0.00%"
"07/07/2025","3.500","3.580","3.630","3.500","49.97M","-1.69%"
"07/06/2025","3.560","3.540","3.650","3.520","56.43M","1.14%"
"07/02/2025","3.520","3.500","3.560","3.480","38.56M","1.44%"
"07/01/2025","3.470","3.660","3.680","3.470","78.48M","-6.72%"
"06/30/2025","3.720","3.650","3.740","3.570","92.94M","2.20%"
"06/29/2025","3.640","3.680","3.790","3.640","58.31M","-0.82%"
"06/25/2025","3.670","3.560","3.670","3.500","78.60M","3.38%"
"06/24/2025","3.550","3.460","3.560","3.460","90.50M","4.72%"
"06/23/2025","3.390","3.250","3.460","3.250","124.28M","4.95%"
"06/22/2025","3.230","3.000","3.260","2.950","109.14M","6.25%"
"06/19/2025","3.040","3.130","3.150","3.030","39.52M","-2.56%"
"06/18/2025","3.120","3.050","3.140","2.990","64.21M","2.63%"
"06/17/2025","3.040","3.100","3.130","3.030","49.75M","-0.98%"
"06/16/2025","3.070","3.100","3.210","3.060","109.77M","-0.65%"
"06/15/2025","3.090","3.000","3.110","2.880","131.67M","-3.44%"
"06/12/2025","3.200","3.260","3.300","3.160","82.21M","-3.03%"
"06/11/2025","3.300","3.250","3.340","3.230","69.70M","1.85%"
"06/10/2025","3.240","3.150","3.250","3.140","64.89M","3.51%"
"06/04/2025","3.130","2.960","3.190","2.950","99.00M","6.10%"
"06/03/2025","2.950","3.060","3.090","2.950","45.34M","-3.28%"
"06/02/2025","3.050","3.080","3.110","3.050","31.32M","-0.97%"
"06/01/2025","3.080","3.050","3.180","3.040","104.70M","0.98%"
"05/29/2025","3.050","2.940","3.050","2.920","84.56M","3.74%"
"05/28/2025","2.940","3.010","3.060","2.940","103.91M","-2.00%"
"05/27/2025","3.000","2.830","3.050","2.810","202.31M","6.76%"
"05/26/2025","2.810","2.930","2.960","2.790","105.65M","-4.42%"
"05/25/2025","2.940","2.790","2.940","2.750","127.03M","5.00%"
"05/22/2025","2.800","2.650","2.820","2.620","222.60M","5.26%"
"05/21/2025","2.660","2.560","2.660","2.510","115.22M","4.31%"
"05/20/2025","2.550","2.360","2.560","2.360","201.84M","8.05%"
"05/19/2025","2.360","2.370","2.380","2.340","18.17M","-0.42%"
"05/18/2025","2.370","2.380","2.410","2.370","20.97M","0.00%"
"05/15/2025","2.370","2.410","2.420","2.370","15.37M","-1.25%"
"05/14/2025","2.400","2.350","2.430","2.340","95.18M","3.00%"
"05/13/2025","2.330","2.310","2.350","2.310","20.81M","0.87%"
"05/12/2025","2.310","2.330","2.340","2.300","13.42M","-0.43%"
"05/11/2025","2.320","2.390","2.410","2.310","45.94M","-2.52%"
"05/08/2025","2.380","2.330","2.380","2.310","45.20M","2.15%"
"05/07/2025","2.330","2.240","2.380","2.230","149.81M","3.56%"
"05/06/2025","2.250","2.250","2.250","2.210","20.51M","0.45%"
"05/05/2025","2.240","2.240","2.270","2.220","38.99M","0.45%"
"05/04/2025","2.230","2.190","2.240","2.180","30.30M","2.29%"
"04/30/2025","2.180","2.180","2.210","2.170","23.39M","0.46%"
"04/29/2025","2.170","2.210","2.210","2.170","26.73M","-1.36%"
"04/28/2025","2.200","2.240","2.250","2.190","31.47M","-0.90%"
"04/27/2025","2.220","2.180","2.280","2.170","99.36M","2.30%"
"04/23/2025","2.170","2.070","2.190","2.060","93.06M","5.85%"
"04/22/2025","2.050","2.050","2.090","2.030","41.77M","0.99%"
"04/17/2025","2.030","2.050","2.060","2.030","30.82M","-0.98%"
"04/16/2025","2.050","2.040","2.070","2.020","47.43M","0.00%"
"04/15/2025","2.050","2.030","2.080","2.000","37.68M","1.49%"
"04/14/2025","2.020","2.040","2.060","2.020","24.28M","-0.98%"
"04/13/2025","2.040","2.030","2.060","2.020","21.55M","0.99%"
"04/10/2025","2.020","2.040","2.050","2.020","20.05M","1.00%"
"04/09/2025","2.000","2.040","2.050","2.000","53.39M","-1.96%"
"04/08/2025","2.040","2.060","2.080","2.030","22.28M","0.49%"
"04/07/2025","2.030","2.010","2.050","1.990","57.77M","0.00%"
"04/06/2025","2.030","2.040","2.070","1.950","88.20M","-4.25%"
"04/03/2025","2.120","2.080","2.130","2.080","16.27M","1.44%"
"03/27/2025","2.090","2.130","2.130","2.070","27.71M","-1.42%"
"03/26/2025","2.120","2.120","2.160","2.060","48.52M","0.95%"
"03/25/2025","2.100","2.150","2.160","2.100","32.79M","-1.87%"
"03/24/2025","2.140","2.190","2.210","2.140","23.10M","-1.83%"
"03/23/2025","2.180","2.190","2.200","2.160","20.37M","-0.46%"
"03/20/2025","2.190","2.210","2.230","2.150","27.14M","-0.90%"
"03/19/2025","2.210","2.260","2.280","2.180","69.65M","-1.34%"
"03/18/2025","2.240","2.210","2.290","2.200","114.83M","2.28%"
"03/17/2025","2.190","2.240","2.250","2.180","35.60M","-1.35%"
"03/16/2025","2.220","2.150","2.270","2.130","69.06M","3.74%"
"03/13/2025","2.140","2.190","2.200","2.110","28.54M","-1.38%"
"03/12/2025","2.170","2.180","2.210","2.170","27.72M","0.46%"
"03/11/2025","2.160","2.180","2.200","2.150","11.74M","-0.46%"
"03/10/2025","2.170","2.260","2.280","2.160","44.42M","-3.56%"
"03/09/2025","2.250","2.260","2.300","2.250","32.02M","-0.44%"
"03/06/2025","2.260","2.270","2.270","2.230","12.99M","0.00%"
"03/05/2025","2.260","2.270","2.280","2.190","35.25M","0.00%"
"03/04/2025","2.260","2.350","2.360","2.230","40.06M","-4.24%"
"03/03/2025","2.360","2.360","2.370","2.320","15.45M","0.43%"
"03/02/2025","2.350","2.460","2.460","2.340","27.72M","2.51%"
"02/27/2025","2.292","2.230","2.301","2.212","56.68M","3.20%"
"02/26/2025","2.221","2.257","2.283","2.221","19.68M","-1.19%"
"02/25/2025","2.248","2.230","2.275","2.195","21.83M","1.61%"
"02/24/2025","2.212","2.248","2.257","2.204","17.84M","-1.19%"
"02/23/2025","2.239","2.257","2.266","2.230","17.42M","-11.50%"
"02/20/2025","2.530","2.630","2.670","2.530","38.36M","-3.07%"
"02/19/2025","2.610","2.680","2.720","2.610","58.96M","-2.61%"
"02/18/2025","2.680","2.640","2.690","2.580","38.84M","1.52%"
"02/17/2025","2.640","2.490","2.660","2.490","71.83M","7.32%"
"02/16/2025","2.460","2.410","2.470","2.410","9.48M","2.93%"
"02/13/2025","2.390","2.420","2.430","2.390","8.33M","-0.83%"
"02/12/2025","2.410","2.420","2.420","2.370","10.00M","-0.82%"
"02/11/2025","2.430","2.500","2.500","2.410","15.08M","-2.41%"
"02/10/2025","2.490","2.480","2.520","2.460","10.35M","0.81%"
"02/09/2025","2.470","2.490","2.520","2.460","11.18M","-0.40%"
"02/06/2025","2.480","2.530","2.560","2.480","16.07M","-1.98%"
"02/05/2025","2.530","2.540","2.560","2.510","25.52M","0.00%"
"02/04/2025","2.530","2.530","2.610","2.520","53.54M","0.80%"
"02/03/2025","2.510","2.410","2.570","2.410","81.04M","4.58%"
"02/02/2025","2.400","2.480","2.480","2.400","11.70M","-2.83%"
"01/30/2025","2.470","2.450","2.470","2.440","8.46M","1.23%"
"01/29/2025","2.440","2.400","2.460","2.390","12.17M","2.09%"
"01/28/2025","2.390","2.400","2.430","2.390","10.36M","-0.42%"
"01/27/2025","2.400","2.460","2.460","2.390","11.72M","-2.04%"
"01/26/2025","2.450","2.460","2.500","2.440","9.84M","0.00%"
"01/23/2025","2.450","2.470","2.490","2.440","10.57M","-0.81%"
"01/22/2025","2.470","2.520","2.540","2.470","22.28M","-1.59%"
"01/21/2025","2.510","2.450","2.520","2.440","20.40M","2.87%"
"01/20/2025","2.440","2.470","2.490","2.430","14.52M","-1.21%"
"01/19/2025","2.470","2.440","2.500","2.430","27.53M","1.65%"
"01/16/2025","2.430","2.370","2.440","2.350","21.59M","3.40%"
"01/15/2025","2.350","2.350","2.380","2.330","24.67M","0.43%"
"01/14/2025","2.340","2.320","2.360","2.270","17.27M","0.00%"
"01/13/2025","2.340","2.400","2.430","2.330","17.79M","-2.09%"
