"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","18.80","18.52","18.99","18.52","164.06K","1.40%"
"11/30/2025","18.54","18.06","18.90","18.06","161.69K","2.71%"
"11/27/2025","18.05","18.07","18.10","17.90","43.23K","0.11%"
"11/26/2025","18.03","17.89","18.10","17.56","78.91K","0.39%"
"11/25/2025","17.96","18.48","18.48","17.51","146.15K","-1.26%"
"11/24/2025","18.19","18.20","18.55","18.00","79.58K","0.06%"
"11/23/2025","18.18","18.22","18.58","18.13","56.51K","-0.60%"
"11/20/2025","18.29","18.91","18.91","18.01","83.33K","-1.45%"
"11/19/2025","18.56","18.91","19.39","18.41","162.13K","-1.85%"
"11/18/2025","18.91","18.69","19.99","18.59","574.67K","3.56%"
"11/17/2025","18.26","18.23","18.69","18.00","153.47K","-0.38%"
"11/16/2025","18.33","18.40","18.75","18.08","113.22K","-0.38%"
"11/13/2025","18.40","19.00","19.00","18.40","122.34K","-1.60%"
"11/12/2025","18.70","19.00","19.27","18.62","108.63K","-1.32%"
"11/11/2025","18.95","18.90","19.30","18.90","144.80K","-0.52%"
"11/10/2025","19.05","19.24","19.30","18.81","180.08K","0.26%"
"11/09/2025","19.00","19.00","19.30","18.62","264.52K","1.50%"
"11/06/2025","18.72","18.58","18.94","18.25","221.36K","0.86%"
"11/05/2025","18.56","18.71","19.08","18.51","167.91K","-0.64%"
"11/04/2025","18.68","19.07","19.19","18.63","264.96K","-2.05%"
"11/03/2025","19.07","18.63","19.33","18.63","257.61K","0.90%"
"11/02/2025","18.90","18.90","19.35","18.62","198.43K","-0.58%"
"10/30/2025","19.01","19.00","19.36","18.80","316.43K","0.11%"
"10/29/2025","18.99","18.80","19.15","18.61","115.22K","-0.63%"
"10/28/2025","19.11","19.70","19.79","18.62","547.11K","-2.99%"
"10/27/2025","19.70","19.99","19.99","19.50","178.97K","-1.50%"
"10/26/2025","20.00","19.92","20.20","19.63","575.90K","0.35%"
"10/23/2025","19.93","20.00","20.68","19.60","543.97K","-0.35%"
"10/22/2025","20.00","19.24","20.33","19.00","1.04M","3.52%"
"10/21/2025","19.32","19.48","19.58","18.80","569.13K","-1.02%"
"10/20/2025","19.52","19.75","19.88","18.69","617.56K","-0.91%"
"10/19/2025","19.70","18.22","20.00","18.22","1.85M","7.65%"
"10/16/2025","18.30","17.80","18.50","17.73","1.05M","2.75%"
"10/15/2025","17.81","17.98","18.19","17.67","872.90K","-0.84%"
"10/14/2025","17.96","18.41","18.42","17.82","1.43M","-1.37%"
"10/13/2025","18.21","16.90","18.99","16.80","4.02M","7.75%"
"10/12/2025","16.90","16.55","17.25","16.32","2.06M","2.61%"
"10/08/2025","16.47","16.09","16.65","15.90","1.09M","2.36%"
"10/07/2025","16.09","16.00","16.40","15.80","833.73K","0.63%"
"10/06/2025","15.99","16.00","16.22","15.71","550.34K","-0.06%"
"10/05/2025","16.00","15.65","16.15","15.61","1.21M","2.50%"
"10/02/2025","15.61","15.35","15.97","15.17","1.89M","2.09%"
"10/01/2025","15.29","15.20","15.93","15.10","2.41M","2.27%"
"09/30/2025","14.95","14.69","15.45","14.69","2.14M","3.10%"
