"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.390","1.390","1.400","1.380","6.02M","0.00%"
"11/30/2025","1.390","1.410","1.420","1.390","8.28M","-0.71%"
"11/27/2025","1.400","1.390","1.420","1.380","12.30M","1.45%"
"11/26/2025","1.380","1.400","1.410","1.380","3.96M","-0.72%"
"11/25/2025","1.390","1.410","1.420","1.390","4.74M","-1.42%"
"11/24/2025","1.410","1.450","1.460","1.410","13.56M","-2.08%"
"11/23/2025","1.440","1.420","1.460","1.400","18.44M","2.86%"
"11/20/2025","1.400","1.390","1.430","1.380","8.01M","1.45%"
"11/19/2025","1.380","1.390","1.400","1.380","4.93M","-0.72%"
"11/18/2025","1.390","1.410","1.420","1.380","6.16M","-0.71%"
"11/17/2025","1.400","1.410","1.440","1.400","11.53M","0.72%"
"11/16/2025","1.390","1.380","1.400","1.380","4.68M","0.72%"
"11/13/2025","1.380","1.410","1.410","1.370","6.56M","-1.43%"
"11/12/2025","1.400","1.410","1.420","1.390","7.60M","-0.71%"
"11/11/2025","1.410","1.420","1.440","1.410","4.71M","-1.40%"
"11/10/2025","1.430","1.440","1.440","1.410","6.26M","0.00%"
"11/09/2025","1.430","1.440","1.460","1.420","10.53M","0.00%"
"11/06/2025","1.430","1.430","1.460","1.430","8.15M","0.00%"
"11/05/2025","1.430","1.460","1.470","1.430","9.05M","-2.05%"
"11/04/2025","1.460","1.460","1.480","1.450","5.92M","0.69%"
"11/03/2025","1.450","1.460","1.480","1.440","5.97M","0.00%"
"11/02/2025","1.450","1.470","1.480","1.430","7.51M","-0.68%"
"10/30/2025","1.460","1.470","1.490","1.460","5.72M","-0.68%"
"10/29/2025","1.470","1.500","1.500","1.460","10.02M","-1.34%"
"10/28/2025","1.490","1.540","1.540","1.490","27.48M","-1.97%"
"10/27/2025","1.520","1.510","1.540","1.490","24.94M","1.33%"
"10/26/2025","1.500","1.510","1.520","1.480","18.54M","0.67%"
"10/23/2025","1.490","1.460","1.530","1.440","42.42M","2.76%"
"10/22/2025","1.450","1.470","1.480","1.440","9.33M","-0.68%"
"10/21/2025","1.460","1.470","1.480","1.450","8.30M","-0.68%"
"10/20/2025","1.470","1.450","1.500","1.450","18.55M","2.08%"
"10/19/2025","1.440","1.440","1.460","1.430","8.57M","0.70%"
"10/16/2025","1.430","1.440","1.460","1.430","12.71M","0.00%"
"10/15/2025","1.430","1.430","1.450","1.420","19.53M","0.00%"
"10/14/2025","1.430","1.460","1.490","1.430","32.90M","-1.38%"
"10/13/2025","1.450","1.470","1.490","1.450","22.14M","-1.36%"
"10/12/2025","1.470","1.480","1.490","1.450","11.49M","-2.00%"
"10/08/2025","1.500","1.520","1.530","1.470","16.74M","0.00%"
"10/07/2025","1.500","1.480","1.530","1.460","51.16M","1.35%"
"10/06/2025","1.480","1.430","1.480","1.420","45.54M","3.50%"
"10/05/2025","1.430","1.430","1.450","1.410","22.82M","0.70%"
"10/02/2025","1.420","1.470","1.490","1.410","66.32M","-2.07%"
"10/01/2025","1.450","1.340","1.510","1.330","116.07M","9.02%"
"09/30/2025","1.330","1.370","1.370","1.330","10.85M","-2.21%"
"09/29/2025","1.360","1.390","1.390","1.360","11.27M","-1.45%"
"09/28/2025","1.380","1.360","1.390","1.360","15.67M","1.47%"
