"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","25.80","27.53","28.35","25.68","7.95M","-5.74%"
"11/30/2025","27.37","27.33","27.50","27.20","3.34M","-0.04%"
"11/27/2025","27.38","27.37","27.40","27.10","879.48K","-0.15%"
"11/26/2025","27.42","27.81","27.98","27.16","2.76M","-2.04%"
"11/25/2025","27.99","27.16","28.19","27.02","1.79M","2.53%"
"11/24/2025","27.30","27.98","28.11","27.14","2.07M","-2.43%"
"11/23/2025","27.98","25.20","28.65","25.20","3.72M","10.90%"
"11/20/2025","25.23","25.33","25.69","25.19","489.88K","-0.39%"
"11/19/2025","25.33","25.02","25.46","24.75","875.98K","1.32%"
"11/18/2025","25.00","25.39","25.69","25.00","444.90K","-1.57%"
"11/17/2025","25.40","25.67","25.74","25.30","992.56K","-0.97%"
"11/16/2025","25.65","25.72","25.94","25.45","1.06M","-0.19%"
"11/13/2025","25.70","25.00","25.75","24.81","1.96M","1.98%"
"11/12/2025","25.20","25.10","25.20","24.85","1.23M","0.88%"
"11/11/2025","24.98","25.97","26.19","24.73","2.76M","-3.29%"
"11/10/2025","25.83","26.64","26.89","25.80","1.45M","-3.00%"
"11/09/2025","26.63","27.20","27.20","26.58","577.51K","-1.41%"
"11/06/2025","27.01","26.35","27.49","26.01","1.20M","1.66%"
"11/05/2025","26.57","26.80","27.10","25.90","706.22K","-0.97%"
"11/04/2025","26.83","26.80","27.24","26.50","654.28K","0.11%"
"11/03/2025","26.80","26.06","26.80","26.06","1.68M","3.04%"
"11/02/2025","26.01","26.50","26.97","26.01","818.20K","-2.22%"
"10/30/2025","26.60","26.90","27.10","26.50","2.88M","-0.75%"
"10/29/2025","26.80","26.73","26.98","25.51","846.56K","0.30%"
"10/28/2025","26.72","26.90","27.00","26.51","1.17M","0.04%"
"10/27/2025","26.71","27.00","27.47","26.25","942.54K","-1.07%"
"10/26/2025","27.00","26.82","27.80","26.62","1.81M","1.16%"
"10/23/2025","26.69","26.32","26.89","26.10","621.53K","1.10%"
"10/22/2025","26.40","26.20","26.47","26.09","626.19K","0.72%"
"10/21/2025","26.21","26.40","26.40","25.78","501.06K","-0.57%"
"10/20/2025","26.36","26.15","26.50","25.90","1.70M","0.65%"
"10/19/2025","26.19","25.60","26.25","25.25","2.31M","2.67%"
"10/16/2025","25.51","25.21","25.80","24.90","2.11M","1.19%"
"10/15/2025","25.21","24.00","25.30","23.99","2.00M","5.09%"
"10/14/2025","23.99","24.00","24.30","23.80","1.11M","0.00%"
"10/13/2025","23.99","23.00","24.30","23.00","2.91M","4.30%"
"10/12/2025","23.00","22.95","23.30","22.95","2.86M","-1.12%"
"10/08/2025","23.26","23.38","23.68","22.95","913.80K","-0.47%"
"10/07/2025","23.37","23.00","23.80","22.91","2.48M","1.61%"
"10/06/2025","23.00","22.60","23.39","22.23","3.61M","2.18%"
"10/05/2025","22.51","21.11","22.90","21.11","3.26M","7.19%"
