"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","34.86","34.80","35.20","34.40","312.90K","0.26%"
"11/30/2025","34.77","34.83","35.20","34.52","229.03K","-0.09%"
"11/27/2025","34.80","34.74","35.25","34.62","369.38K","0.14%"
"11/26/2025","34.75","35.80","35.90","34.71","272.72K","-2.11%"
"11/25/2025","35.50","35.80","36.18","35.08","878.02K","-0.70%"
"11/24/2025","35.75","34.95","36.93","34.95","2.74M","3.23%"
"11/23/2025","34.63","36.26","36.77","34.61","1.20M","0.58%"
"11/20/2025","34.43","35.14","34.43","34.43","","0.00%"
"11/19/2025","34.43","35.14","34.43","34.43","","0.00%"
"11/18/2025","34.43","35.14","34.43","34.43","","0.00%"
"11/17/2025","34.43","35.14","34.43","34.43","","0.00%"
"11/16/2025","34.43","35.14","34.43","34.43","","0.00%"
"11/13/2025","34.43","35.14","35.45","34.26","246.30K","-1.63%"
"11/12/2025","35.00","33.99","35.00","33.82","227.88K","3.09%"
"11/11/2025","33.95","34.61","34.86","33.81","375.23K","-1.68%"
"11/10/2025","34.53","35.36","35.36","34.03","368.89K","-2.35%"
"11/09/2025","35.36","35.51","35.80","34.97","296.07K","-0.34%"
"11/06/2025","35.48","36.39","36.39","35.40","271.27K","-0.98%"
"11/05/2025","35.83","37.37","37.79","35.60","1.39M","-4.10%"
"11/04/2025","37.36","36.00","37.37","35.59","1.50M","4.50%"
"11/03/2025","35.75","34.72","36.50","34.60","2.56M","3.03%"
"11/02/2025","34.70","34.00","35.01","33.84","1.72M","2.66%"
"10/30/2025","33.80","33.15","34.40","33.15","887.72K","2.11%"
"10/29/2025","33.10","33.35","33.50","33.05","225.26K","-0.06%"
"10/28/2025","33.12","33.36","33.77","33.01","253.86K","-0.24%"
"10/27/2025","33.20","33.90","34.04","33.11","641.30K","-0.69%"
"10/26/2025","33.43","32.39","33.95","32.30","1.35M","3.63%"
"10/23/2025","32.26","33.05","33.39","32.05","992.52K","-2.24%"
"10/22/2025","33.00","35.42","36.50","32.75","2.04M","-4.90%"
"10/21/2025","34.70","33.62","35.70","33.46","2.58M","3.92%"
"10/20/2025","33.39","31.50","34.40","31.50","5.01M","6.51%"
"10/19/2025","31.35","31.00","31.47","30.60","194.23K","2.28%"
"10/16/2025","30.65","30.73","30.90","30.60","135.32K","-0.26%"
"10/15/2025","30.73","30.90","31.20","30.71","142.39K","-0.61%"
"10/14/2025","30.92","30.94","31.40","30.90","279.97K","0.36%"
"10/13/2025","30.81","30.87","31.40","30.70","564.24K","0.88%"
"10/12/2025","30.54","29.70","30.90","29.50","788.68K","4.70%"
"10/08/2025","29.17","29.45","29.58","28.85","200.02K","-1.02%"
"10/07/2025","29.47","29.90","30.00","29.41","233.94K","-1.34%"
"10/06/2025","29.87","30.10","30.40","29.70","134.35K","-0.40%"
"10/05/2025","29.99","29.50","30.47","29.40","804.73K","2.25%"
"10/02/2025","29.33","28.89","29.40","28.50","246.75K","2.55%"
"10/01/2025","28.60","29.06","29.30","28.55","175.90K","-1.41%"
"09/30/2025","29.01","29.24","29.48","28.92","182.39K","0.38%"
"09/29/2025","28.90","28.60","29.69","28.55","544.44K","1.33%"
"09/28/2025","28.52","28.39","28.57","28.22","358.96K","2.22%"
"09/25/2025","27.90","28.10","28.20","27.80","231.60K","-0.71%"
"09/24/2025","28.10","27.29","28.12","26.95","365.83K","4.77%"
"09/23/2025","26.82","27.99","27.99","26.47","462.93K","-2.86%"
"09/22/2025","27.61","28.05","28.38","27.30","211.13K","-1.39%"
"09/21/2025","28.00","28.99","29.00","28.00","297.38K","-2.85%"
"09/18/2025","28.82","28.70","29.15","28.56","104.23K","0.84%"
"09/17/2025","28.58","28.70","28.91","28.32","99.16K","-0.17%"
"09/16/2025","28.63","29.60","29.80","28.40","287.64K","-3.28%"
"09/15/2025","29.60","30.00","30.19","29.60","134.37K","-0.77%"
"09/14/2025","29.83","29.87","30.10","29.60","116.33K","1.02%"
"09/11/2025","29.53","30.00","30.14","29.51","136.75K","-0.51%"
"09/10/2025","29.68","29.95","30.00","29.55","92.09K","-0.10%"
"09/09/2025","29.71","30.24","30.28","29.69","228.30K","-0.40%"
"09/08/2025","29.83","29.74","30.48","29.74","221.09K","0.37%"
"09/07/2025","29.72","30.85","31.00","29.65","383.19K","-3.29%"
"09/03/2025","30.73","31.70","31.94","30.72","349.11K","-2.44%"
"09/02/2025","31.50","31.31","32.30","31.10","2.01M","1.32%"
"09/01/2025","31.09","29.39","31.75","29.10","1.12M","5.93%"
"08/31/2025","29.35","29.29","29.60","29.04","185.83K","1.10%"
"08/28/2025","29.03","29.33","29.33","29.01","77.33K","-0.92%"
"08/27/2025","29.30","29.25","29.35","28.90","144.89K","0.86%"
"08/26/2025","29.05","28.93","29.40","28.70","367.39K","1.11%"
"08/25/2025","28.73","29.06","29.10","28.67","237.92K","-0.48%"
"08/24/2025","28.87","29.47","29.60","28.85","497.79K","-0.45%"
"08/21/2025","29.00","29.40","29.80","29.00","217.68K","-0.99%"
"08/20/2025","29.29","30.12","30.40","29.26","385.21K","-2.59%"
"08/19/2025","30.07","30.40","30.40","30.00","149.03K","-0.46%"
