"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","13.900","13.600","13.900","13.490","841.10K","2.43%"
"11/30/2025","13.570","13.800","13.840","13.570","224.83K","-0.95%"
"11/27/2025","13.700","13.700","13.780","13.200","220.29K","0.00%"
"11/26/2025","13.700","13.800","13.980","13.600","228.12K","-1.08%"
"11/25/2025","13.850","14.200","14.220","13.830","265.26K","-1.77%"
"11/24/2025","14.100","14.100","14.410","14.050","496.50K","0.64%"
"11/23/2025","14.010","14.190","14.190","14.000","294.15K","-0.50%"
"11/20/2025","14.080","14.200","14.390","14.050","463.41K","-0.85%"
"11/19/2025","14.200","14.030","14.200","13.910","360.12K","0.92%"
"11/18/2025","14.070","14.260","14.380","14.050","522.69K","-1.75%"
"11/17/2025","14.320","14.420","14.450","14.070","526.43K","-0.56%"
"11/16/2025","14.400","14.500","14.740","14.400","461.49K","-0.48%"
"11/13/2025","14.470","14.660","14.870","14.470","462.53K","0.07%"
"11/12/2025","14.460","14.750","14.850","14.400","308.60K","-1.83%"
"11/11/2025","14.730","14.700","14.980","14.610","556.54K","0.82%"
"11/10/2025","14.610","14.720","14.790","14.420","629.84K","-0.68%"
"11/09/2025","14.710","14.950","15.000","14.700","489.28K","-0.94%"
"11/06/2025","14.850","15.110","15.300","14.800","677.88K","-2.17%"
"11/05/2025","15.180","15.590","15.740","15.010","2.36M","-0.78%"
"11/04/2025","15.300","14.860","15.480","14.740","1.73M","3.31%"
"11/03/2025","14.810","15.050","15.100","14.670","705.81K","-1.33%"
"11/02/2025","15.010","14.980","15.160","14.810","553.93K","0.27%"
"10/30/2025","14.970","14.900","15.440","14.900","2.24M","1.49%"
"10/29/2025","14.750","15.140","15.180","14.550","1.01M","-2.32%"
"10/28/2025","15.100","14.930","15.640","14.900","3.91M","3.35%"
"10/27/2025","14.610","14.140","14.740","13.990","1.66M","4.36%"
"10/26/2025","14.000","14.100","14.200","13.870","495.35K","-0.14%"
"10/23/2025","14.020","14.200","14.250","13.980","435.40K","-0.71%"
"10/22/2025","14.120","14.100","14.390","14.030","794.28K","1.07%"
"10/21/2025","13.970","14.370","14.520","13.950","672.32K","-2.24%"
"10/20/2025","14.290","14.400","14.550","14.260","468.34K","-0.21%"
"10/19/2025","14.320","14.230","14.390","14.230","335.03K","0.77%"
"10/16/2025","14.210","14.300","14.400","14.150","616.96K","0.28%"
"10/15/2025","14.170","14.450","14.650","14.150","893.16K","-1.94%"
"10/14/2025","14.450","14.590","14.940","14.400","1.37M","-0.14%"
"10/13/2025","14.470","14.590","14.720","14.400","1.18M","0.14%"
"10/12/2025","14.450","14.440","15.000","14.260","2.08M","0.77%"
"10/08/2025","14.340","14.700","14.700","14.260","1.05M","-1.78%"
"10/07/2025","14.600","14.250","14.930","14.200","4.10M","4.06%"
"10/06/2025","14.030","14.400","14.400","13.850","1.67M","-1.82%"
"10/05/2025","14.290","13.150","14.450","13.130","5.76M","8.83%"
"10/02/2025","13.130","13.340","13.500","13.110","278.15K","-1.57%"
"10/01/2025","13.340","13.520","13.660","13.230","828.28K","-1.48%"
"09/30/2025","13.540","13.790","13.860","13.470","1.14M","-0.81%"
"09/29/2025","13.650","13.100","13.850","12.900","2.32M","4.52%"
"09/28/2025","13.060","13.140","13.200","12.900","321.73K","0.31%"
"09/25/2025","13.020","12.890","13.200","12.850","381.05K","0.93%"
"09/24/2025","12.900","12.730","13.060","12.700","426.33K","1.42%"
"09/23/2025","12.720","13.260","13.450","12.620","960.01K","-2.97%"
"09/22/2025","13.110","13.400","13.700","13.100","1.46M","-1.06%"
"09/21/2025","13.250","13.500","13.680","13.150","570.14K","-1.05%"
"09/18/2025","13.390","13.360","13.800","13.250","606.88K","0.60%"
"09/17/2025","13.310","13.300","13.660","13.120","232.17K","-0.08%"
"09/16/2025","13.320","13.810","14.000","13.030","726.17K","-3.62%"
"09/15/2025","13.820","14.250","14.420","13.800","686.02K","-2.33%"
"09/14/2025","14.150","14.310","14.900","13.800","1.20M","-0.91%"
"09/11/2025","14.280","14.740","14.930","14.280","839.35K","-2.99%"
"09/10/2025","14.720","14.500","15.100","14.420","1.94M","1.87%"
"09/09/2025","14.450","14.860","15.070","14.060","1.44M","-2.03%"
"09/08/2025","14.750","15.010","15.070","14.600","1.93M","0.27%"
"09/07/2025","14.710","15.020","16.080","14.700","7.00M","-1.93%"
"09/03/2025","15.000","15.200","15.250","14.720","1.19M","-0.40%"
"09/02/2025","15.060","15.470","15.680","14.950","2.00M","-0.40%"
"09/01/2025","15.120","15.400","16.940","14.830","7.42M","-0.33%"
"08/31/2025","15.170","14.400","16.300","14.010","6.88M","6.83%"
"08/28/2025","14.200","13.050","15.320","13.000","5.73M","10.94%"
"08/27/2025","12.800","12.730","13.400","12.700","4.75M","-0.16%"
"08/26/2025","12.820","12.510","13.300","12.350","3.10M","3.22%"
"08/25/2025","12.420","12.190","12.750","11.950","2.77M","2.64%"
"08/24/2025","12.100","11.360","12.290","11.320","2.42M","7.17%"
"08/21/2025","11.290","11.300","11.300","11.120","360.28K","0.09%"
"08/20/2025","11.280","11.690","11.740","11.260","736.28K","-3.18%"
"08/19/2025","11.650","11.800","11.890","11.610","417.25K","-0.77%"
"08/18/2025","11.740","11.850","12.050","11.740","1.70M","0.26%"
"08/17/2025","11.710","11.200","11.750","11.200","1.43M","5.02%"
"08/14/2025","11.150","11.300","11.300","11.010","406.23K","-0.71%"
"08/13/2025","11.230","11.290","11.390","11.130","433.25K","-0.27%"
"08/12/2025","11.260","11.450","11.450","11.160","996.06K","-0.62%"
"08/11/2025","11.330","11.770","12.090","11.290","4.56M","-3.41%"
"08/10/2025","11.730","11.230","11.730","10.950","1.70M","5.11%"
"08/07/2025","11.160","10.950","11.490","10.850","3.05M","3.33%"
"08/06/2025","10.800","10.250","11.190","10.170","3.92M","5.26%"
"08/05/2025","10.260","10.310","10.400","10.250","152.61K","-0.48%"
"08/04/2025","10.310","10.300","10.430","10.280","290.91K","0.68%"
"08/03/2025","10.240","10.060","10.400","10.030","376.67K","1.79%"
"07/31/2025","10.060","10.140","10.140","10.050","117.98K","0.30%"
"07/30/2025","10.030","10.100","10.250","10.010","236.73K","-0.79%"
"07/29/2025","10.110","10.190","10.210","10.100","360.29K","0.10%"
"07/28/2025","10.100","10.170","10.290","10.090","351.64K","-0.59%"
"07/27/2025","10.160","10.210","10.280","10.060","250.03K","-0.39%"
"07/23/2025","10.200","10.250","10.300","10.170","181.64K","-0.10%"
"07/22/2025","10.210","10.290","10.440","10.180","413.58K","-0.68%"
"07/21/2025","10.280","10.450","10.490","10.260","408.28K","-1.06%"
"07/20/2025","10.390","10.330","10.410","10.260","251.49K","0.58%"
"07/17/2025","10.330","10.300","10.500","10.250","687.43K","2.08%"
"07/16/2025","10.120","10.250","10.370","10.020","305.58K","-1.27%"
"07/15/2025","10.250","10.400","10.450","10.110","289.24K","-1.25%"
"07/14/2025","10.380","10.460","10.460","10.300","359.67K","0.39%"
"07/13/2025","10.340","10.430","10.750","10.330","360.32K","-0.19%"
"07/10/2025","10.360","10.500","10.540","10.320","176.44K","-0.77%"
"07/09/2025","10.440","10.420","10.600","10.400","95.32K","-0.48%"
"07/07/2025","10.490","10.690","10.790","10.420","566.59K","-1.13%"
"07/06/2025","10.610","10.540","10.840","10.500","973.16K","1.53%"
"07/02/2025","10.450","10.310","10.670","10.310","1.27M","2.85%"
"07/01/2025","10.160","10.250","10.400","10.110","443.22K","-1.65%"
"06/30/2025","10.330","10.400","10.580","10.230","755.05K","0.19%"
"06/29/2025","10.310","10.490","10.500","10.250","442.28K","2.08%"
"06/25/2025","10.100","10.200","10.200","9.900","430.30K","0.20%"
"06/24/2025","10.080","9.770","10.130","9.770","584.23K","4.67%"
"06/23/2025","9.630","9.500","9.700","9.500","456.61K","2.45%"
"06/22/2025","9.400","9.020","9.430","8.840","258.03K","2.40%"
"06/19/2025","9.180","9.600","9.700","9.160","380.29K","-4.38%"
"06/18/2025","9.600","9.670","9.670","9.370","201.60K","0.63%"
"06/17/2025","9.540","9.800","9.930","9.490","481.45K","-1.14%"
"06/16/2025","9.650","9.810","10.000","9.550","438.03K","-0.72%"
"06/15/2025","9.720","9.630","10.090","9.260","434.92K","-8.47%"
"06/12/2025","10.620","11.030","11.100","10.620","1.04M","-3.89%"
"06/11/2025","11.050","11.280","11.400","11.000","686.41K","-1.69%"
"06/10/2025","11.240","11.380","11.540","11.210","789.75K","-0.09%"
"06/04/2025","11.250","11.430","11.730","11.230","1.60M","-1.32%"
"06/03/2025","11.400","10.950","11.740","10.940","5.19M","4.68%"
"06/02/2025","10.890","11.080","11.100","10.840","721.49K","-0.91%"
"06/01/2025","10.990","10.700","11.050","10.690","896.75K","3.00%"
"05/29/2025","10.670","10.770","10.850","10.620","343.86K","-0.93%"
"05/28/2025","10.770","11.000","11.000","10.680","456.05K","-1.19%"
"05/27/2025","10.900","10.850","10.920","10.810","437.51K","0.74%"
"05/26/2025","10.820","10.930","11.080","10.820","750.67K","-0.46%"
"05/25/2025","10.870","10.910","11.050","10.800","501.54K","0.18%"
"05/22/2025","10.850","10.980","11.050","10.800","405.30K","0.00%"
"05/21/2025","10.850","10.880","11.000","10.730","636.46K","0.28%"
"05/20/2025","10.820","10.970","11.150","10.810","730.18K","-0.37%"
"05/19/2025","10.860","11.180","11.180","10.800","611.61K","-2.51%"
"05/18/2025","11.140","10.800","11.380","10.800","1.81M","3.82%"
"05/15/2025","10.730","10.860","10.940","10.700","290.07K","-1.11%"
"05/14/2025","10.850","10.950","10.980","10.800","420.41K","-0.37%"
"05/13/2025","10.890","11.100","11.220","10.820","746.63K","-1.18%"
"05/12/2025","11.020","11.220","11.320","11.020","631.11K","-1.52%"
"05/11/2025","11.190","11.350","11.590","11.170","1.33M","-0.09%"
"05/08/2025","11.200","11.150","11.450","11.000","1.76M","0.99%"
"05/07/2025","11.090","10.940","11.440","10.870","2.82M","2.40%"
"05/06/2025","10.830","10.910","11.070","10.800","611.85K","0.09%"
"05/05/2025","10.820","11.010","11.190","10.820","651.91K","-1.64%"
"05/04/2025","11.000","10.710","11.230","10.710","1.73M","2.80%"
"04/30/2025","10.700","10.680","10.840","10.610","644.77K","0.19%"
"04/29/2025","10.680","10.980","11.050","10.600","944.06K","-1.11%"
"04/28/2025","10.800","11.190","11.190","10.800","1.20M","-2.00%"
"04/27/2025","11.020","11.000","11.460","10.900","2.39M","0.73%"
"04/23/2025","10.940","10.450","11.200","10.380","2.77M","6.01%"
"04/22/2025","10.320","10.500","10.600","10.310","662.96K","-0.48%"
"04/17/2025","10.370","9.720","10.680","9.660","3.17M","6.80%"
"04/16/2025","9.710","9.720","9.840","9.700","274.12K","-0.41%"
"04/15/2025","9.750","9.900","9.960","9.710","403.24K","-1.42%"
"04/14/2025","9.890","10.000","10.070","9.880","168.17K","-1.10%"
"04/13/2025","10.000","9.960","10.090","9.770","539.39K","2.77%"
"04/10/2025","9.730","9.710","10.180","9.540","1.31M","5.88%"
"04/09/2025","9.190","9.650","9.900","9.150","432.03K","-4.96%"
"04/08/2025","9.670","9.710","9.960","9.630","298.97K","1.04%"
"04/07/2025","9.570","9.500","9.660","9.120","313.89K","-0.10%"
"04/06/2025","9.580","10.000","10.000","9.000","351.47K","-7.08%"
"04/03/2025","10.310","10.560","10.560","10.240","378.94K","-2.27%"
"03/27/2025","10.550","10.560","10.690","10.470","281.80K","0.00%"
"03/26/2025","10.550","10.750","10.770","10.520","329.87K","-0.19%"
"03/25/2025","10.570","10.200","10.800","10.200","1.42M","3.83%"
"03/24/2025","10.180","10.310","10.310","10.150","236.30K","-1.17%"
"03/23/2025","10.300","10.410","10.420","10.100","247.24K","0.39%"
"03/20/2025","10.260","10.310","10.430","10.250","123.03K","-0.39%"
"03/19/2025","10.300","10.400","10.460","10.270","191.18K","-0.19%"
"03/18/2025","10.320","10.220","10.530","10.200","673.18K","1.18%"
"03/17/2025","10.200","10.350","10.440","10.180","399.68K","0.69%"
"03/16/2025","10.130","10.470","10.560","10.000","393.48K","-2.50%"
"03/13/2025","10.390","10.190","10.500","10.150","527.33K","2.36%"
"03/12/2025","10.150","10.150","10.240","10.100","108.36K","0.00%"
"03/11/2025","10.150","10.190","10.220","10.020","199.37K","-0.88%"
"03/10/2025","10.240","10.220","10.300","10.200","200.51K","0.20%"
"03/09/2025","10.220","10.120","10.350","10.120","444.62K","0.99%"
"03/06/2025","10.120","10.310","10.310","10.030","303.63K","-1.08%"
"03/05/2025","10.230","10.310","10.390","10.220","157.64K","-0.97%"
"03/04/2025","10.330","10.420","10.470","10.300","171.77K","-0.86%"
"03/03/2025","10.420","10.850","10.850","10.310","393.80K","-0.86%"
"03/02/2025","10.510","10.780","10.780","10.500","209.92K","-1.50%"
"02/27/2025","10.670","10.680","10.900","10.570","1.22M","1.04%"
"02/26/2025","10.560","10.380","10.700","10.330","1.18M","1.73%"
"02/25/2025","10.380","10.420","10.570","10.330","463.17K","-0.10%"
"02/24/2025","10.390","10.500","10.500","10.370","275.76K","-0.29%"
"02/23/2025","10.420","10.320","10.470","10.270","236.93K","1.07%"
"02/20/2025","10.310","10.310","10.350","10.250","368.96K","0.29%"
"02/19/2025","10.280","10.310","10.460","10.260","313.62K","-0.29%"
"02/18/2025","10.310","10.270","10.350","10.250","143.88K","0.68%"
"02/17/2025","10.240","10.300","10.500","10.220","455.99K","0.29%"
"02/16/2025","10.210","10.300","10.300","10.180","352.86K","0.49%"
"02/13/2025","10.160","10.340","10.400","10.120","225.34K","-0.29%"
"02/12/2025","10.190","10.490","10.490","10.050","246.85K","-2.67%"
"02/11/2025","10.470","10.850","10.930","10.350","455.21K","-3.41%"
"02/10/2025","10.840","10.890","11.150","10.810","786.80K","0.37%"
"02/09/2025","10.800","10.930","11.240","10.800","729.09K","-0.92%"
"02/06/2025","10.900","10.840","11.050","10.810","555.77K","0.83%"
"02/05/2025","10.810","10.830","11.150","10.600","620.70K","-0.09%"
"02/04/2025","10.820","10.900","11.050","10.800","435.21K","-0.09%"
"02/03/2025","10.830","10.990","11.030","10.810","549.10K","-1.81%"
"02/02/2025","11.030","11.400","11.440","10.990","1.01M","-2.13%"
"01/30/2025","11.270","11.320","11.670","11.150","2.12M","1.08%"
"01/29/2025","11.150","10.760","11.460","10.650","4.18M","4.40%"
"01/28/2025","10.680","10.290","10.870","10.280","1.52M","3.99%"
"01/27/2025","10.270","10.690","10.700","10.240","361.22K","-3.11%"
"01/26/2025","10.600","10.740","10.830","10.580","438.91K","0.00%"
"01/23/2025","10.600","10.790","10.930","10.570","527.78K","-1.12%"
"01/22/2025","10.720","10.890","11.080","10.700","1.19M","-0.46%"
"01/21/2025","10.770","10.520","11.200","10.500","1.91M","3.46%"
"01/20/2025","10.410","10.460","10.870","10.380","727.54K","-0.19%"
"01/19/2025","10.430","10.580","10.750","10.360","738.81K","-1.04%"
"01/16/2025","10.540","10.840","11.000","10.430","751.29K","-1.50%"
"01/15/2025","10.700","10.800","10.950","10.480","930.24K","0.85%"
"01/14/2025","10.610","11.010","11.200","10.010","2.60M","-2.93%"
"01/13/2025","10.930","9.910","11.560","9.900","7.03M","10.52%"
"01/12/2025","9.890","10.120","10.120","9.810","359.40K","-2.47%"
"01/09/2025","10.140","10.150","10.250","9.900","638.95K","1.71%"
"01/08/2025","9.970","9.780","10.200","9.560","1.04M","3.32%"
"01/06/2025","9.650","9.900","9.900","9.590","288.23K","-2.03%"
"01/05/2025","9.850","9.960","9.990","9.800","331.63K","0.82%"
"01/02/2025","9.770","9.340","9.800","9.320","317.52K","6.08%"
"12/31/2024","9.210","9.170","9.330","9.130","135.66K","0.44%"
"12/30/2024","9.170","9.610","9.660","9.060","244.13K","-4.08%"
"12/29/2024","9.560","9.860","9.940","9.520","229.48K","-2.75%"
"12/26/2024","9.830","9.920","10.000","9.700","388.52K","-0.81%"
"12/25/2024","9.910","10.280","10.290","9.900","688.34K","-2.46%"
"12/24/2024","10.160","10.530","10.650","10.040","700.45K","-3.51%"
"12/23/2024","10.530","10.970","11.170","10.500","653.37K","-3.31%"
"12/22/2024","10.890","10.800","10.890","10.700","447.61K","1.78%"
"12/19/2024","10.700","10.690","10.790","10.010","321.45K","-0.19%"
"12/18/2024","10.720","11.000","11.100","10.700","331.58K","-2.19%"
"12/17/2024","10.960","10.870","11.100","10.870","268.18K","0.92%"
"12/16/2024","10.860","10.920","11.050","10.810","198.79K","-0.37%"
"12/15/2024","10.900","11.100","11.100","10.860","214.44K","-0.82%"
"12/12/2024","10.990","11.020","11.200","10.960","409.51K","0.37%"
"12/11/2024","10.950","11.010","11.180","10.880","502.13K","-0.54%"
"12/10/2024","11.010","11.280","11.300","11.000","486.59K","-2.48%"
"12/09/2024","11.290","11.410","11.500","11.270","283.17K","-0.79%"
"12/08/2024","11.380","11.410","11.560","11.350","618.30K","0.09%"
"12/05/2024","11.370","11.440","11.580","11.320","574.15K","0.18%"
"12/04/2024","11.350","11.510","11.600","11.300","527.31K","-1.05%"
"12/03/2024","11.470","11.260","11.730","11.260","1.51M","1.96%"
"12/02/2024","11.250","11.350","11.420","11.230","408.36K","-0.79%"
"12/01/2024","11.340","11.400","11.590","11.320","320.13K","-0.44%"
"11/28/2024","11.390","11.350","11.500","11.150","580.94K","0.26%"
"11/27/2024","11.360","11.600","11.900","11.340","2.01M","-1.13%"
"11/26/2024","11.490","11.400","11.750","11.400","1.11M","1.50%"
"11/25/2024","11.320","11.620","11.700","11.270","783.82K","-2.08%"
"11/24/2024","11.560","11.490","11.810","11.400","1.81M","1.85%"
"11/21/2024","11.350","10.980","11.600","10.890","1.76M","4.22%"
"11/20/2024","10.890","11.190","11.190","10.830","414.87K","-1.80%"
"11/19/2024","11.090","11.190","11.200","11.000","433.24K","-0.36%"
"11/18/2024","11.130","11.470","11.500","11.070","475.73K","-2.45%"
"11/17/2024","11.410","11.390","11.570","11.380","695.94K","0.80%"
"11/14/2024","11.320","11.420","11.600","11.310","835.53K","-0.61%"
"11/13/2024","11.390","11.350","11.650","11.260","2.14M","1.70%"
"11/12/2024","11.200","11.240","11.270","11.110","417.67K","0.45%"
"11/11/2024","11.150","11.200","11.260","11.090","391.31K","0.18%"
"11/10/2024","11.130","11.280","11.300","11.050","552.63K","0.00%"
"11/07/2024","11.130","11.490","11.490","11.130","1.19M","-2.28%"
"11/06/2024","11.390","11.020","11.390","11.000","1.15M","3.73%"
"11/05/2024","10.980","11.120","11.140","10.930","350.06K","-0.45%"
"11/04/2024","11.030","11.240","11.290","11.000","557.14K","-1.25%"
"11/03/2024","11.170","11.200","11.410","11.120","404.51K","0.36%"
"10/31/2024","11.130","11.300","11.310","11.090","368.55K","-0.36%"
"10/30/2024","11.170","11.180","11.250","11.070","441.74K","0.72%"
"10/29/2024","11.090","11.370","11.450","11.030","449.57K","-1.51%"
"10/28/2024","11.260","11.290","11.500","11.200","726.99K","0.45%"
"10/27/2024","11.210","11.250","11.400","11.120","390.05K","0.00%"
"10/24/2024","11.210","11.510","11.570","11.200","511.38K","-1.84%"
"10/23/2024","11.420","11.400","11.790","11.400","1.49M","0.79%"
"10/22/2024","11.330","11.300","11.400","11.190","819.08K","1.52%"
"10/21/2024","11.160","11.010","11.280","10.760","510.96K","1.45%"
"10/20/2024","11.000","11.260","11.490","10.800","707.40K","-0.99%"
"10/17/2024","11.110","11.320","11.420","11.100","653.58K","-1.42%"
"10/16/2024","11.270","11.200","11.450","11.100","1.64M","3.49%"
"10/15/2024","10.890","10.750","11.100","10.650","802.12K","2.45%"
"10/14/2024","10.630","10.630","10.700","10.490","239.47K","0.00%"
"10/13/2024","10.630","10.670","11.000","10.550","668.27K","0.47%"
"10/10/2024","10.580","10.600","10.700","10.490","603.38K","0.00%"
"10/09/2024","10.580","10.520","10.700","10.410","495.83K","0.76%"
"10/08/2024","10.500","11.070","11.090","10.300","547.17K","-4.20%"
"10/07/2024","10.960","11.160","11.250","10.910","570.83K","-0.81%"
"10/03/2024","11.050","10.980","11.470","10.950","1.52M","1.84%"
"10/02/2024","10.850","11.280","11.320","10.820","833.38K","-4.15%"
"10/01/2024","11.320","11.390","11.650","11.280","1.34M","0.53%"
"09/30/2024","11.260","11.320","11.500","11.230","720.21K","0.00%"
"09/29/2024","11.260","11.460","11.490","11.240","536.81K","-1.57%"
"09/26/2024","11.440","11.590","11.650","11.360","921.51K","-0.61%"
"09/25/2024","11.510","11.800","11.860","11.450","1.18M","-1.71%"
"09/24/2024","11.710","11.640","12.170","11.600","3.48M","3.45%"
"09/23/2024","11.320","11.110","11.500","11.060","1.10M","2.07%"
"09/22/2024","11.090","11.080","11.390","11.080","407.27K","0.09%"
"09/19/2024","11.080","11.220","11.220","11.020","395.46K","0.00%"
"09/18/2024","11.080","10.910","11.350","10.800","1.19M","1.56%"
"09/17/2024","10.910","11.350","11.350","10.910","981.78K","-3.54%"
"09/16/2024","11.310","11.820","11.890","11.300","957.99K","-2.84%"
"09/12/2024","11.640","12.020","12.100","11.600","1.13M","-2.35%"
"09/11/2024","11.920","12.050","12.150","11.860","1.19M","0.08%"
"09/10/2024","11.910","12.470","12.490","11.860","1.41M","-3.33%"
"09/09/2024","12.320","12.590","12.800","12.280","2.85M","-0.81%"
"09/08/2024","12.420","12.150","12.660","12.100","3.59M","2.64%"
"09/05/2024","12.100","12.100","12.470","11.960","2.19M","1.42%"
"09/04/2024","11.930","11.960","12.380","11.800","2.39M","0.25%"
"09/03/2024","11.900","11.650","12.190","11.410","1.79M","3.84%"
"09/02/2024","11.460","11.800","11.880","11.370","645.89K","-2.80%"
"09/01/2024","11.790","11.930","11.990","11.720","667.02K","-0.08%"
"08/29/2024","11.800","11.970","12.190","11.750","1.46M","0.43%"
"08/28/2024","11.750","12.000","12.080","11.700","649.97K","-1.09%"
"08/27/2024","11.880","11.700","12.480","11.650","2.18M","2.15%"
"08/26/2024","11.630","11.970","12.100","11.420","999.51K","-2.27%"
"08/25/2024","11.900","12.450","12.560","11.810","1.60M","-3.49%"
"08/22/2024","12.330","12.980","13.090","12.300","2.30M","-4.42%"
"08/21/2024","12.900","13.300","13.520","12.900","2.81M","-2.49%"
"08/20/2024","13.230","13.970","13.970","13.180","5.40M","-3.64%"
"08/19/2024","13.730","12.870","14.100","12.600","5.09M","7.69%"
"08/18/2024","12.750","12.970","13.190","12.570","1.43M","2.74%"
"08/15/2024","12.410","12.700","12.780","12.330","779.41K","-0.08%"
"08/14/2024","12.420","12.650","12.920","12.260","1.32M","0.32%"
"08/13/2024","12.380","12.880","13.200","12.320","1.03M","-2.37%"
"08/12/2024","12.680","12.380","13.400","12.130","3.02M","3.51%"
"08/11/2024","12.250","12.620","12.930","12.070","2.31M","-2.08%"
"08/08/2024","12.510","11.370","13.500","10.940","4.13M","10.61%"
"08/07/2024","11.310","9.600","11.320","9.500","3.43M","19.81%"
"08/06/2024","9.440","9.400","9.640","9.360","379.58K","0.96%"
"08/05/2024","9.350","9.990","10.000","8.040","347.24K","-6.87%"
"08/04/2024","10.040","10.500","10.500","10.010","492.83K","-5.73%"
"08/01/2024","10.650","10.550","10.930","10.550","812.56K","2.11%"
"07/31/2024","10.430","10.660","10.740","10.410","469.53K","-1.51%"
"07/30/2024","10.590","10.320","10.780","10.170","770.52K","2.92%"
"07/29/2024","10.290","10.320","10.450","10.270","771.32K","1.18%"
"07/28/2024","10.170","10.220","10.360","10.040","596.50K","-0.88%"
"07/24/2024","10.260","10.650","10.700","10.230","404.37K","-2.66%"
"07/23/2024","10.540","10.680","10.800","10.470","327.01K","-0.85%"
"07/22/2024","10.630","10.470","10.990","10.390","1.20M","2.71%"
"07/21/2024","10.350","10.370","10.590","10.140","929.27K","1.47%"
"07/18/2024","10.200","10.000","10.400","9.850","1.07M","5.05%"
"07/17/2024","9.710","9.630","9.800","9.630","298.28K","1.25%"
"07/16/2024","9.590","9.840","9.870","9.570","394.60K","-1.13%"
"07/15/2024","9.700","9.800","9.900","9.580","796.81K","1.89%"
"07/14/2024","9.520","9.990","10.000","9.460","452.13K","-3.15%"
"07/10/2024","9.830","10.290","10.380","9.780","967.27K","-4.38%"
"07/09/2024","10.280","9.450","10.290","9.450","2.15M","9.36%"
"07/08/2024","9.400","9.500","9.680","9.380","387.48K","-0.42%"
"07/07/2024","9.440","9.490","9.630","9.310","427.73K","0.53%"
"07/04/2024","9.390","9.510","9.750","9.320","686.79K","0.11%"
"07/03/2024","9.380","9.260","9.690","9.220","1.26M","2.51%"
"07/02/2024","9.150","9.040","9.440","9.030","709.68K","1.55%"
"07/01/2024","9.010","9.010","9.200","9.000","170.38K","0.33%"
"06/27/2024","8.980","9.170","9.200","8.940","341.43K","-0.11%"
"06/26/2024","8.990","9.250","9.260","8.920","468.43K","-1.64%"
"06/25/2024","9.140","8.890","9.420","8.890","1.19M","3.75%"
"06/24/2024","8.810","8.830","9.100","8.740","306.36K","-0.23%"
"06/23/2024","8.830","8.540","8.900","8.540","105.19K","3.40%"
"06/13/2024","8.540","8.800","8.800","8.510","95.86K","-0.70%"
