"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.100","1.110","1.140","1.100","8.83M","0.00%"
"11/30/2025","1.100","1.090","1.110","1.080","4.49M","1.85%"
"11/27/2025","1.080","1.080","1.090","1.050","2.98M","0.93%"
"11/26/2025","1.070","1.090","1.100","1.070","2.37M","-1.83%"
"11/25/2025","1.090","1.110","1.140","1.090","5.04M","-2.68%"
"11/24/2025","1.120","1.100","1.160","1.100","18.95M","1.82%"
"11/23/2025","1.100","1.090","1.110","1.090","9.72M","0.92%"
"11/20/2025","1.090","1.100","1.110","1.080","5.02M","0.00%"
"11/19/2025","1.090","1.100","1.110","1.070","5.97M","0.93%"
"11/18/2025","1.080","1.110","1.150","1.080","20.08M","-1.82%"
"11/17/2025","1.100","1.100","1.110","1.070","8.74M","0.00%"
"11/16/2025","1.100","1.140","1.140","1.100","6.29M","-1.79%"
"11/13/2025","1.120","1.140","1.160","1.120","6.11M","-1.75%"
"11/12/2025","1.140","1.150","1.160","1.130","6.93M","-0.87%"
"11/11/2025","1.150","1.160","1.180","1.140","10.11M","-0.86%"
"11/10/2025","1.160","1.160","1.170","1.130","7.69M","1.75%"
"11/09/2025","1.140","1.180","1.180","1.130","11.83M","-2.56%"
"11/06/2025","1.170","1.180","1.190","1.160","3.12M","0.00%"
"11/05/2025","1.170","1.200","1.210","1.170","5.22M","-1.68%"
"11/04/2025","1.190","1.200","1.210","1.190","8.27M","-0.83%"
"11/03/2025","1.200","1.210","1.220","1.180","4.37M","0.84%"
"11/02/2025","1.190","1.220","1.230","1.190","10.14M","-1.65%"
"10/30/2025","1.210","1.240","1.250","1.210","9.26M","-2.42%"
"10/29/2025","1.240","1.270","1.270","1.230","7.85M","-1.59%"
"10/28/2025","1.260","1.270","1.310","1.250","33.90M","1.61%"
"10/27/2025","1.240","1.230","1.270","1.230","30.85M","0.81%"
"10/26/2025","1.230","1.180","1.240","1.180","13.50M","4.24%"
"10/23/2025","1.180","1.210","1.220","1.170","7.90M","-2.21%"
"10/22/2025","1.207","1.213","1.220","1.200","9.88M","0.56%"
"10/21/2025","1.200","1.207","1.207","1.193","7.37M","0.00%"
"10/20/2025","1.200","1.213","1.213","1.193","4.86M","-0.55%"
"10/19/2025","1.207","1.207","1.220","1.207","3.85M","0.56%"
"10/16/2025","1.200","1.213","1.227","1.193","8.30M","-0.55%"
"10/15/2025","1.207","1.227","1.233","1.200","18.20M","-1.09%"
"10/14/2025","1.220","1.200","1.267","1.193","32.87M","2.23%"
"10/13/2025","1.193","1.200","1.207","1.193","4.98M","0.56%"
"10/12/2025","1.187","1.207","1.207","1.187","3.61M","-0.56%"
"10/08/2025","1.193","1.200","1.213","1.187","3.01M","-0.56%"
"10/07/2025","1.200","1.200","1.207","1.180","3.00M","0.56%"
"10/06/2025","1.193","1.220","1.227","1.193","4.64M","-1.65%"
"10/05/2025","1.213","1.200","1.240","1.193","7.15M","2.25%"
"10/02/2025","1.187","1.200","1.207","1.187","2.94M","-0.56%"
"10/01/2025","1.193","1.207","1.213","1.193","3.37M","-0.56%"
"09/30/2025","1.200","1.220","1.233","1.200","10.63M","-1.10%"
"09/29/2025","1.213","1.193","1.220","1.187","7.11M","2.25%"
"09/28/2025","1.187","1.233","1.240","1.187","30.80M","-2.73%"
"09/25/2025","1.220","1.233","1.240","1.220","11.80M","-0.54%"
"09/24/2025","1.227","1.227","1.240","1.220","1.80M","-1.08%"
"09/23/2025","1.240","1.267","1.267","1.227","5.04M","-2.11%"
"09/22/2025","1.267","1.287","1.293","1.253","13.33M","0.00%"
"09/21/2025","1.267","1.273","1.300","1.260","31.08M","0.00%"
"09/18/2025","1.267","1.247","1.273","1.233","22.94M","1.06%"
"09/17/2025","1.253","1.220","1.253","1.207","11.34M","1.62%"
"09/16/2025","1.233","1.233","1.240","1.200","18.32M","-0.54%"
