"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","12.01","11.75","12.30","11.60","642.42K","2.65%"
"11/30/2025","11.70","11.70","11.75","11.50","525.48K","0.00%"
"11/27/2025","11.70","11.13","11.70","11.12","173.14K","5.50%"
"11/26/2025","11.09","11.77","11.78","11.01","935.77K","-4.40%"
"11/25/2025","11.60","11.90","11.90","11.51","166.29K","-2.77%"
"11/24/2025","11.93","11.44","11.95","11.44","3.72M","3.74%"
"11/23/2025","11.50","11.88","11.88","11.40","183.06K","-2.71%"
"11/20/2025","11.82","11.70","11.88","11.48","1.17M","1.03%"
"11/19/2025","11.70","11.60","11.70","11.43","280.13K","0.95%"
"11/18/2025","11.59","11.70","11.70","11.40","323.94K","-0.94%"
"11/17/2025","11.70","11.28","11.70","11.20","1.37M","5.41%"
"11/16/2025","11.10","11.45","11.47","11.05","2.49M","-1.77%"
"11/13/2025","11.30","11.46","11.48","11.05","270.23K","1.53%"
"11/12/2025","11.13","11.42","11.60","11.00","739.63K","-2.45%"
"11/11/2025","11.41","11.60","11.90","11.22","955.65K","-2.06%"
"11/10/2025","11.65","11.52","11.97","11.52","1.35M","0.87%"
"11/09/2025","11.55","11.20","11.60","11.15","208.52K","4.05%"
"11/06/2025","11.10","11.85","11.87","11.05","701.85K","-5.13%"
"11/05/2025","11.70","12.23","12.29","11.66","1.92M","-4.80%"
"11/04/2025","12.29","12.25","12.46","11.75","1.05M","0.49%"
"11/03/2025","12.23","12.65","12.65","12.16","975.91K","-2.55%"
"11/02/2025","12.55","12.50","12.70","12.00","432.65K","0.40%"
"10/30/2025","12.50","12.50","12.70","12.43","393.41K","0.00%"
"10/29/2025","12.50","12.55","12.59","12.42","538.24K","-0.40%"
"10/28/2025","12.55","12.79","12.79","12.50","134.31K","-1.95%"
"10/27/2025","12.80","12.80","12.90","12.69","1.68M","0.39%"
"10/26/2025","12.75","12.60","12.85","12.02","446.00K","0.47%"
"10/23/2025","12.69","12.55","12.89","12.00","1.22M","-0.86%"
"10/22/2025","12.80","12.70","12.93","12.33","502.99K","-0.08%"
"10/21/2025","12.81","12.97","13.00","12.65","353.09K","-0.85%"
"10/20/2025","12.92","12.95","13.00","12.61","719.78K","0.39%"
"10/19/2025","12.87","11.90","12.98","11.70","2.05M","9.91%"
"10/16/2025","11.71","11.70","11.84","11.55","932.05K","0.09%"
"10/15/2025","11.70","11.61","11.70","11.40","526.24K","0.86%"
"10/14/2025","11.60","11.72","11.99","11.55","338.53K","-1.02%"
"10/13/2025","11.72","11.49","11.83","11.15","1.08M","2.00%"
"10/12/2025","11.49","11.40","11.49","11.00","421.81K","1.23%"
"10/08/2025","11.35","11.22","11.37","11.12","529.61K","0.53%"
"10/07/2025","11.29","11.37","11.39","11.20","207.05K","0.44%"
"10/06/2025","11.24","11.12","11.37","11.10","2.53M","0.99%"
"10/05/2025","11.13","11.35","11.40","10.95","178.38K","-0.62%"
"10/02/2025","11.20","11.25","11.39","11.10","1.19M","-0.44%"
"10/01/2025","11.25","11.00","11.45","11.00","2.61M","2.55%"
"09/30/2025","10.97","10.75","11.10","10.75","2.22M","1.67%"
"09/29/2025","10.79","10.70","10.80","10.60","2.21M","0.19%"
"09/28/2025","10.77","10.68","10.80","10.50","307.51K","0.84%"
"09/25/2025","10.68","10.52","11.00","10.39","532.22K","1.33%"
"09/24/2025","10.54","10.30","10.70","10.00","557.51K","3.13%"
"09/23/2025","10.22","10.20","10.35","10.03","352.90K","-0.29%"
"09/22/2025","10.25","10.15","10.35","9.96","202.63K","1.08%"
"09/21/2025","10.14","9.76","10.35","9.76","757.43K","2.22%"
"09/18/2025","9.92","9.75","10.08","9.75","629.64K","1.74%"
"09/17/2025","9.75","9.60","9.97","9.60","1.35M","1.46%"
"09/16/2025","9.61","9.60","9.68","9.50","147.08K","0.00%"
"09/15/2025","9.61","9.48","9.68","9.48","398.89K","1.37%"
"09/14/2025","9.48","9.60","9.70","9.46","179.37K","-1.25%"
"09/11/2025","9.60","9.66","9.74","9.50","190.31K","-0.62%"
"09/10/2025","9.66","9.30","9.70","9.04","1.52M","2.11%"
"09/09/2025","9.46","9.30","9.55","9.12","840.50K","1.72%"
"09/08/2025","9.30","9.15","9.39","9.01","470.59K","2.42%"
"09/07/2025","9.08","9.45","9.80","9.05","463.86K","-2.37%"
"09/03/2025","9.30","9.29","9.44","8.50","2.42M","0.32%"
"09/02/2025","9.27","8.88","9.34","8.73","4.23M","6.43%"
"09/01/2025","8.71","8.65","8.94","8.60","856.32K","1.28%"
"08/31/2025","8.60","8.76","9.09","8.60","1.03M","-1.83%"
"08/28/2025","8.76","8.86","8.86","8.63","129.85K","-1.13%"
"08/27/2025","8.86","8.80","8.90","8.63","231.26K","0.11%"
"08/26/2025","8.85","8.70","8.85","8.50","688.76K","1.72%"
"08/25/2025","8.70","8.35","9.00","8.33","1.02M","4.07%"
"08/24/2025","8.36","8.35","8.45","8.30","188.61K","0.12%"
"08/21/2025","8.35","8.28","8.45","8.10","344.73K","0.60%"
"08/20/2025","8.30","8.30","8.58","8.07","1.51M","-1.78%"
"08/19/2025","8.45","8.58","8.60","8.40","250.43K","-1.86%"
"08/18/2025","8.61","8.35","8.63","8.26","1.28M","3.49%"
"08/17/2025","8.32","8.31","8.35","8.20","390.07K","0.12%"
"08/14/2025","8.31","8.18","8.35","8.18","79.23K","0.24%"
"08/13/2025","8.29","8.27","8.30","8.17","232.57K","1.22%"
"08/12/2025","8.19","8.17","8.29","8.15","69.96K","-0.12%"
"08/11/2025","8.20","8.35","8.35","8.17","101.25K","-0.85%"
"08/10/2025","8.27","8.29","8.38","8.22","492.91K","-0.24%"
"08/07/2025","8.29","8.20","8.30","8.10","521.42K","1.47%"
"08/06/2025","8.17","8.21","8.25","8.15","85.27K","-0.37%"
"08/05/2025","8.20","8.21","8.21","8.14","338.91K","0.12%"
"08/04/2025","8.19","8.21","8.21","8.10","281.16K","0.86%"
"08/03/2025","8.12","8.25","8.26","8.01","138.16K","-1.58%"
"07/31/2025","8.25","8.19","8.25","8.05","162.84K","0.61%"
"07/30/2025","8.20","8.20","8.22","8.02","359.17K","0.00%"
"07/29/2025","8.20","8.12","8.20","7.95","518.12K","1.36%"
"07/28/2025","8.09","8.05","8.15","7.93","438.97K","0.75%"
"07/27/2025","8.03","8.05","8.10","7.98","339.25K","0.75%"
"07/23/2025","7.97","8.05","8.12","7.91","597.81K","0.38%"
"07/22/2025","7.94","8.27","8.39","7.90","919.46K","-4.11%"
"07/21/2025","8.28","8.31","8.50","8.25","678.77K","0.00%"
"07/20/2025","8.28","8.12","8.35","8.12","198.26K","1.72%"
"07/17/2025","8.14","8.15","8.20","8.10","68.09K","0.25%"
"07/16/2025","8.12","8.18","8.20","8.08","113.20K","-0.25%"
"07/15/2025","8.14","8.18","8.25","8.11","133.18K","0.37%"
"07/14/2025","8.11","8.18","8.25","8.05","354.16K","-0.49%"
"07/13/2025","8.15","8.38","8.38","8.07","391.62K","-2.63%"
"07/10/2025","8.37","8.10","8.37","8.10","400.90K","4.62%"
"07/09/2025","8.00","8.39","8.50","7.95","462.89K","-4.42%"
"07/07/2025","8.37","8.49","8.50","8.35","295.08K","-1.30%"
"07/06/2025","8.48","8.49","8.60","8.35","190.23K","-0.12%"
"07/02/2025","8.49","8.49","8.49","8.22","1.82M","1.07%"
"07/01/2025","8.40","8.70","8.70","8.36","881.45K","-3.45%"
"06/30/2025","8.70","8.50","8.70","8.31","2.64M","2.47%"
"06/29/2025","8.49","8.20","8.49","8.15","3.04M","4.17%"
