"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","107.79","107.77","108.00","107.00","1.70M","0.08%"
"11/30/2025","107.70","107.59","107.99","107.00","1.24M","0.17%"
"11/27/2025","107.52","106.00","107.75","105.87","1.21M","1.63%"
"11/26/2025","105.80","107.91","108.00","105.00","1.37M","-1.89%"
"11/25/2025","107.84","105.01","108.00","105.00","2.67M","3.19%"
"11/24/2025","104.51","106.56","107.40","104.51","7.80M","-1.91%"
"11/23/2025","106.55","106.10","107.75","106.03","1.39M","0.50%"
"11/20/2025","106.02","106.99","106.99","106.02","2.34M","-0.45%"
"11/19/2025","106.50","107.08","107.85","106.42","2.35M","-0.47%"
"11/18/2025","107.00","108.50","109.50","106.73","2.07M","-1.34%"
"11/17/2025","108.45","110.00","110.00","107.60","3.73M","-1.39%"
"11/16/2025","109.98","108.67","110.00","108.67","1.06M","1.36%"
"11/13/2025","108.50","110.50","110.50","108.50","1.60M","-1.71%"
"11/12/2025","110.39","110.20","111.30","109.82","3.16M","0.17%"
"11/11/2025","110.20","110.11","111.60","109.60","4.02M","0.08%"
"11/10/2025","110.11","111.51","111.70","109.25","3.27M","-1.25%"
"11/09/2025","111.50","110.00","111.70","109.31","1.48M","2.28%"
"11/06/2025","109.01","106.85","110.00","106.50","5.49M","1.97%"
"11/05/2025","106.90","107.00","107.50","105.50","1.55M","-0.09%"
"11/04/2025","107.00","107.01","108.30","106.00","5.01M","0.95%"
"11/03/2025","105.99","104.12","105.99","103.56","2.02M","1.91%"
"11/02/2025","104.00","105.00","105.69","104.00","1.03M","-1.41%"
"10/30/2025","105.49","105.00","105.49","104.00","1.64M","0.89%"
"10/29/2025","104.56","105.55","106.00","104.00","1.34M","-0.80%"
"10/28/2025","105.40","104.83","105.80","104.51","1.70M","0.61%"
"10/27/2025","104.76","105.00","106.20","104.05","2.12M","-0.23%"
"10/26/2025","105.00","104.00","105.16","103.85","1.28M","1.09%"
"10/23/2025","103.87","105.00","105.00","103.00","1.12M","-0.28%"
"10/22/2025","104.16","104.25","105.02","104.10","1.97M","0.09%"
"10/21/2025","104.07","106.00","106.18","104.00","1.56M","-1.18%"
"10/20/2025","105.31","105.27","107.15","105.07","9.64M","0.25%"
"10/19/2025","105.05","105.32","106.00","104.56","340.52K","-0.19%"
"10/16/2025","105.25","105.95","106.50","105.25","2.64M","-0.71%"
"10/15/2025","106.00","105.00","106.00","104.57","1.05M","1.39%"
"10/14/2025","104.55","104.20","105.40","104.20","866.33K","0.42%"
"10/13/2025","104.11","104.25","105.70","104.11","3.95M","0.06%"
"10/12/2025","104.05","105.90","105.90","104.05","1.41M","-1.75%"
"10/08/2025","105.90","104.50","105.90","104.00","791.05K","0.86%"
"10/07/2025","105.00","104.55","105.50","104.01","670.65K","0.43%"
"10/06/2025","104.55","105.05","105.60","103.80","2.25M","-0.48%"
"10/05/2025","105.05","103.29","105.90","103.02","1.61M","1.70%"
"10/02/2025","103.29","102.16","103.40","102.00","1.18M","1.25%"
"10/01/2025","102.01","100.95","103.20","100.30","2.30M","1.00%"
"09/30/2025","101.00","99.21","101.00","99.06","4.08M","1.25%"
"09/29/2025","99.75","99.50","99.90","98.60","2.59M","0.35%"
"09/28/2025","99.40","97.94","100.00","97.50","1.73M","1.95%"
"09/25/2025","97.50","98.50","99.00","97.50","1.35M","-1.27%"
"09/24/2025","98.75","95.99","99.00","95.71","1.82M","3.18%"
"09/23/2025","95.71","96.49","96.55","95.37","1.19M","-0.30%"
"09/22/2025","96.00","97.10","97.65","94.98","3.99M","-1.03%"
"09/21/2025","97.00","99.00","99.00","97.00","651.95K","-2.00%"
"09/18/2025","98.98","98.30","99.10","97.80","3.48M","0.59%"
"09/17/2025","98.40","97.69","98.70","97.01","2.20M","1.43%"
"09/16/2025","97.01","98.00","98.70","97.01","3.21M","-0.95%"
"09/15/2025","97.94","96.51","97.99","96.50","2.39M","1.49%"
"09/14/2025","96.50","95.97","97.00","95.97","1.15M","0.53%"
"09/11/2025","95.99","95.00","96.00","94.06","1.18M","1.17%"
"09/10/2025","94.88","94.00","95.20","93.10","911.23K","0.94%"
"09/09/2025","94.00","95.90","96.20","93.30","2.71M","-1.96%"
"09/08/2025","95.88","94.60","95.98","94.16","4.66M","1.89%"
"09/07/2025","94.10","96.00","96.24","94.10","401.76K","-1.98%"
"09/03/2025","96.00","96.00","96.00","95.30","1.68M","0.00%"
"09/02/2025","96.00","95.50","96.00","94.60","1.48M","1.04%"
"09/01/2025","95.01","96.55","97.00","94.30","6.49M","-1.55%"
"08/31/2025","96.51","97.15","97.62","95.99","685.12K","-0.64%"
"08/28/2025","97.13","97.99","98.98","97.00","1.42M","-0.88%"
"08/27/2025","97.99","97.22","98.10","96.60","1.34M","1.02%"
"08/26/2025","97.00","99.09","100.00","97.00","12.83M","-2.04%"
"08/25/2025","99.02","98.52","99.40","98.52","694.53K","0.52%"
"08/24/2025","98.51","99.00","99.49","98.23","644.81K","-0.49%"
"08/21/2025","99.00","99.49","100.20","99.00","1.80M","-0.51%"
"08/20/2025","99.51","100.98","101.11","99.10","1.82M","-1.46%"
"08/19/2025","100.98","100.01","101.01","99.81","4.96M","1.39%"
"08/18/2025","99.60","99.99","101.50","99.60","5.11M","-0.40%"
"08/17/2025","100.00","98.37","100.00","98.20","416.56K","1.73%"
"08/14/2025","98.30","99.83","99.83","98.30","1.20M","-1.55%"
"08/13/2025","99.85","99.50","99.90","98.80","1.55M","0.35%"
"08/12/2025","99.50","99.80","99.80","98.11","1.41M","0.51%"
"08/11/2025","99.00","100.08","100.89","98.81","4.56M","-1.01%"
"08/10/2025","100.01","100.00","102.00","99.55","1.10M","-0.09%"
"08/07/2025","100.10","99.50","100.90","99.33","2.49M","0.60%"
"08/06/2025","99.50","97.90","99.80","97.90","2.12M","1.63%"
"08/05/2025","97.90","95.61","97.90","95.61","6.27M","2.41%"
"08/04/2025","95.60","93.50","95.90","93.45","1.94M","2.25%"
"08/03/2025","93.50","94.00","94.20","92.76","501.86K","-0.64%"
"07/31/2025","94.10","94.00","95.20","94.00","1.85M","-0.21%"
"07/30/2025","94.30","93.69","94.99","93.69","2.90M","0.64%"
"07/29/2025","93.70","94.90","95.30","93.70","4.83M","-1.26%"
"07/28/2025","94.90","94.98","95.00","94.45","5.36M","-0.09%"
