"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","4.70","4.70","4.75","4.70","219.98K","-0.42%"
"11/30/2025","4.72","4.69","4.78","4.69","298.47K","0.64%"
"11/27/2025","4.69","4.67","4.71","4.58","347.03K","1.96%"
"11/26/2025","4.60","4.68","4.72","4.57","507.50K","-1.29%"
"11/25/2025","4.66","4.81","4.83","4.65","407.77K","-2.71%"
"11/24/2025","4.79","4.88","4.88","4.77","380.51K","-0.62%"
"11/23/2025","4.82","4.81","4.91","4.80","1.28M","0.42%"
"11/20/2025","4.80","4.85","4.92","4.80","946.85K","-1.03%"
"11/19/2025","4.85","4.91","4.91","4.80","948.45K","0.00%"
"11/18/2025","4.85","5.01","5.06","4.85","1.74M","-3.19%"
"11/17/2025","5.01","5.00","5.10","4.95","3.63M","1.01%"
"11/16/2025","4.96","5.26","5.32","4.91","6.34M","-5.52%"
"11/13/2025","5.25","5.12","5.35","5.10","2.85M","2.34%"
"11/12/2025","5.13","5.22","5.22","5.13","1.31M","-0.97%"
"11/11/2025","5.18","5.10","5.26","5.10","1.75M","1.57%"
"11/10/2025","5.10","5.16","5.23","5.05","2.97M","-0.78%"
"11/09/2025","5.14","5.06","5.34","5.00","9.10M","4.90%"
"11/06/2025","4.90","4.89","5.12","4.89","10.65M","1.66%"
"11/05/2025","4.82","4.84","5.04","4.76","9.68M","-0.21%"
"11/04/2025","4.83","4.94","4.94","4.82","1.27M","-1.63%"
"11/03/2025","4.91","4.85","4.94","4.80","2.93M","1.87%"
"11/02/2025","4.82","4.82","4.86","4.68","3.22M","0.42%"
"10/30/2025","4.80","4.86","4.96","4.78","3.73M","-2.04%"
"10/29/2025","4.90","4.81","4.91","4.76","1.75M","2.08%"
"10/28/2025","4.80","4.94","4.94","4.78","2.43M","-1.64%"
"10/27/2025","4.88","4.84","5.15","4.80","16.83M","1.67%"
"10/26/2025","4.80","4.79","4.80","4.71","1.26M","0.63%"
"10/23/2025","4.77","4.83","4.85","4.70","1.83M","-0.83%"
"10/22/2025","4.81","4.88","4.90","4.74","2.92M","-0.82%"
