"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","21.67","22.21","22.28","21.57","138.17K","-1.41%"
"11/30/2025","21.98","21.45","22.15","21.11","234.00K","4.77%"
"11/27/2025","20.98","21.90","21.99","20.00","399.45K","-4.11%"
"11/26/2025","21.88","21.75","22.33","21.54","104.17K","1.02%"
"11/25/2025","21.66","22.05","22.30","21.12","1.59M","-2.52%"
"11/24/2025","22.22","22.51","22.51","22.03","274.67K","-1.29%"
"11/23/2025","22.51","22.80","22.94","22.45","106.10K","-1.70%"
"11/20/2025","22.90","22.92","23.00","22.60","1.55M","-0.09%"
"11/19/2025","22.92","22.90","22.99","22.80","2.17M","-0.09%"
"11/18/2025","22.94","23.00","23.13","22.73","55.68K","-0.22%"
"11/17/2025","22.99","23.16","23.19","22.86","350.79K","-0.48%"
"11/16/2025","23.10","22.97","23.12","22.60","541.81K","0.79%"
"11/13/2025","22.92","22.92","22.98","22.72","949.07K","0.00%"
"11/12/2025","22.92","22.80","22.98","22.65","363.04K","0.53%"
"11/11/2025","22.80","22.51","23.19","22.51","2.91M","0.97%"
"11/10/2025","22.58","22.25","22.70","22.21","410.25K","1.67%"
"11/09/2025","22.21","22.00","22.40","21.86","806.45K","0.91%"
"11/06/2025","22.01","21.40","22.19","21.40","1.92M","2.99%"
"11/05/2025","21.37","21.50","21.93","21.30","977.17K","-0.60%"
"11/04/2025","21.50","21.20","21.68","21.11","884.17K","1.37%"
"11/03/2025","21.21","21.02","21.22","20.87","778.39K","0.90%"
"11/02/2025","21.02","21.11","21.50","20.70","1.17M","0.05%"
"10/30/2025","21.01","20.70","21.17","20.38","1.24M","1.99%"
"10/29/2025","20.60","20.37","20.70","20.30","304.48K","1.08%"
"10/28/2025","20.38","20.54","20.59","20.25","182.23K","-1.02%"
"10/27/2025","20.59","20.80","20.80","20.22","250.57K","-0.91%"
"10/26/2025","20.78","20.30","20.78","20.05","2.09M","3.28%"
"10/23/2025","20.12","19.85","20.18","19.83","3.75M","1.51%"
"10/22/2025","19.82","19.50","19.82","19.35","2.47M","1.69%"
"10/21/2025","19.49","19.25","19.68","19.25","642.71K","1.25%"
"10/20/2025","19.25","19.00","19.33","18.99","481.01K","1.58%"
"10/19/2025","18.95","18.80","19.00","18.71","262.77K","1.01%"
"10/16/2025","18.76","18.64","18.85","18.61","653.91K","0.64%"
"10/15/2025","18.64","18.80","18.85","18.60","250.58K","-0.59%"
"10/14/2025","18.75","18.87","18.90","18.70","108.36K","0.43%"
"10/13/2025","18.67","18.77","18.95","18.64","274.20K","-0.05%"
"10/12/2025","18.68","19.00","19.00","18.66","141.75K","-1.53%"
"10/08/2025","18.97","18.84","19.00","18.75","263.84K","0.42%"
"10/07/2025","18.89","18.75","19.02","18.63","435.79K","0.59%"
"10/06/2025","18.78","18.74","18.80","18.56","366.71K","0.54%"
"10/05/2025","18.68","18.65","18.74","18.54","121.43K","0.27%"
"10/02/2025","18.63","18.60","18.71","18.54","81.65K","0.05%"
"10/01/2025","18.62","18.73","18.75","18.50","367.77K","0.05%"
"09/30/2025","18.61","18.65","18.75","18.44","524.72K","0.05%"
"09/29/2025","18.60","18.64","18.65","18.44","658.98K","-0.05%"
"09/28/2025","18.61","18.35","18.64","18.23","560.67K","1.92%"
"09/25/2025","18.26","18.60","18.64","18.15","307.25K","-1.08%"
"09/24/2025","18.46","18.45","18.59","18.21","252.48K","0.60%"
"09/23/2025","18.35","18.20","18.44","18.12","840.31K","0.77%"
"09/22/2025","18.21","18.11","18.42","18.11","344.40K","-0.05%"
"09/21/2025","18.22","18.48","18.48","18.21","43.16K","-0.55%"
"09/18/2025","18.32","18.39","18.60","18.20","360.03K","-0.43%"
"09/17/2025","18.40","18.37","18.43","18.07","195.79K","1.10%"
"09/16/2025","18.20","18.48","18.48","18.01","373.75K","-1.57%"
"09/15/2025","18.49","17.90","18.50","17.90","527.61K","3.01%"
"09/14/2025","17.95","18.13","18.13","17.75","114.30K","-0.44%"
"09/11/2025","18.03","17.82","18.10","17.76","422.58K","1.35%"
"09/10/2025","17.79","17.79","17.90","17.70","98.17K","0.06%"
"09/09/2025","17.78","18.00","18.07","17.74","677.24K","-0.45%"
"09/08/2025","17.86","18.10","18.20","17.80","124.86K","-1.38%"
"09/07/2025","18.11","18.00","18.16","17.85","230.62K","0.72%"
"09/03/2025","17.98","18.10","18.43","17.80","928.14K","-0.88%"
"09/02/2025","18.14","18.40","18.46","18.00","710.85K","-0.60%"
"09/01/2025","18.25","18.45","18.64","18.25","132.74K","-0.82%"
"08/31/2025","18.40","18.55","18.74","18.39","171.53K","-1.18%"
"08/28/2025","18.62","18.80","18.84","18.52","84.56K","-0.27%"
"08/27/2025","18.67","18.50","18.72","18.46","398.03K","0.92%"
"08/26/2025","18.50","18.55","18.70","18.46","875.88K","-0.27%"
"08/25/2025","18.55","18.49","18.80","18.49","837.21K","0.32%"
"08/24/2025","18.49","18.45","18.71","18.40","476.26K","0.43%"
"08/21/2025","18.41","18.50","18.74","18.38","636.90K","-0.49%"
"08/20/2025","18.50","19.15","19.25","18.46","1.88M","-3.44%"
"08/19/2025","19.16","19.16","19.28","19.03","1.62M","0.05%"
"08/18/2025","19.15","18.81","19.20","18.81","1.15M","1.00%"
