"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","46.66","47.05","47.24","46.52","72.70K","-0.74%"
"11/30/2025","47.01","47.41","47.41","46.90","55.54K","-0.49%"
"11/27/2025","47.24","46.49","47.47","46.06","81.82K","1.99%"
"11/26/2025","46.32","46.79","46.80","46.08","88.11K","-0.60%"
"11/25/2025","46.60","47.00","47.19","46.60","141.43K","-0.81%"
"11/24/2025","46.98","47.40","47.50","46.96","147.65K","-0.57%"
"11/23/2025","47.25","46.99","47.50","46.98","67.31K","0.55%"
"11/20/2025","46.99","47.61","47.92","46.90","194.92K","-1.03%"
"11/19/2025","47.48","47.99","48.45","47.20","82.22K","-1.02%"
"11/18/2025","47.97","48.86","48.99","47.91","312.62K","-1.82%"
"11/17/2025","48.86","48.60","49.25","47.99","312.12K","0.66%"
"11/16/2025","48.54","48.53","48.91","48.40","73.28K","0.02%"
"11/13/2025","48.53","48.83","49.38","48.50","117.07K","-0.06%"
"11/12/2025","48.56","49.16","49.49","48.50","119.85K","0.89%"
"11/11/2025","48.13","48.45","49.15","48.00","207.74K","-1.03%"
"11/10/2025","48.63","48.62","49.40","48.45","102.13K","0.02%"
"11/09/2025","48.62","49.00","49.70","48.60","201.13K","-0.76%"
"11/06/2025","48.99","48.00","49.15","47.02","309.97K","2.06%"
"11/05/2025","48.00","48.70","48.80","47.98","253.51K","-1.36%"
"11/04/2025","48.66","48.70","48.99","48.50","166.49K","0.02%"
"11/03/2025","48.65","49.47","49.47","48.50","266.01K","-1.16%"
"11/02/2025","49.22","50.02","50.20","49.10","248.37K","-1.56%"
"10/30/2025","50.00","50.51","50.95","49.92","335.88K","-0.99%"
"10/29/2025","50.50","50.90","50.90","49.00","1.87M","-6.22%"
"10/28/2025","53.85","54.47","54.49","53.30","260.29K","-0.48%"
"10/27/2025","54.11","54.21","54.88","54.00","446.76K","0.22%"
"10/26/2025","53.99","53.89","54.75","53.55","1.07M","1.28%"
"10/23/2025","53.31","52.60","53.67","52.50","450.60K","1.58%"
"10/22/2025","52.48","52.30","52.92","52.12","134.73K","0.19%"
"10/21/2025","52.38","52.99","53.00","52.16","128.23K","-1.17%"
"10/20/2025","53.00","53.29","53.45","52.80","177.08K","-0.15%"
"10/19/2025","53.08","53.01","53.80","52.96","213.02K","0.23%"
