"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.780","1.730","1.790","1.690","38.69M","2.89%"
"11/30/2025","1.730","1.750","1.760","1.720","12.04M","-1.14%"
"11/27/2025","1.750","1.770","1.770","1.730","9.61M","-0.57%"
"11/26/2025","1.760","1.770","1.780","1.750","9.33M","0.00%"
"11/25/2025","1.760","1.800","1.810","1.750","12.16M","-1.68%"
"11/24/2025","1.790","1.760","1.810","1.730","22.48M","2.29%"
"11/23/2025","1.750","1.830","1.830","1.750","26.09M","-4.37%"
"11/20/2025","1.830","1.780","1.830","1.760","26.89M","2.81%"
"11/19/2025","1.780","1.840","1.840","1.740","41.23M","-2.73%"
"11/18/2025","1.830","1.880","1.880","1.830","8.49M","-2.14%"
"11/17/2025","1.870","1.870","1.880","1.850","18.23M","0.54%"
"11/16/2025","1.860","1.880","1.920","1.860","16.46M","-1.06%"
"11/13/2025","1.880","1.900","1.900","1.850","30.75M","-0.53%"
"11/12/2025","1.890","1.920","1.950","1.880","34.43M","-1.05%"
"11/11/2025","1.910","1.970","1.980","1.890","46.05M","-2.55%"
"11/10/2025","1.960","1.950","1.980","1.930","41.29M","1.55%"
"11/09/2025","1.930","1.980","1.990","1.920","30.72M","-2.53%"
"11/06/2025","1.980","1.910","2.050","1.840","72.34M","4.58%"
"11/05/2025","1.893","1.953","1.960","1.893","33.83M","-2.74%"
"11/04/2025","1.947","1.900","1.947","1.900","38.26M","2.10%"
"11/03/2025","1.907","1.887","1.907","1.867","30.14M","0.70%"
"11/02/2025","1.893","1.927","1.933","1.880","18.69M","-1.39%"
"10/30/2025","1.920","1.860","1.920","1.860","46.44M","3.23%"
"10/29/2025","1.860","1.833","1.880","1.827","31.08M","1.82%"
"10/28/2025","1.827","1.860","1.860","1.813","23.90M","-0.72%"
"10/27/2025","1.840","1.873","1.873","1.840","9.77M","-1.08%"
"10/26/2025","1.860","1.813","1.867","1.813","27.02M","2.95%"
"10/23/2025","1.807","1.820","1.827","1.800","7.33M","0.00%"
"10/22/2025","1.807","1.820","1.820","1.800","14.97M","-0.73%"
"10/21/2025","1.820","1.820","1.827","1.787","11.20M","0.00%"
"10/20/2025","1.820","1.833","1.833","1.787","15.15M","-0.36%"
"10/19/2025","1.827","1.827","1.847","1.807","24.40M","0.37%"
"10/16/2025","1.820","1.747","1.833","1.747","63.20M","4.20%"
"10/15/2025","1.747","1.733","1.767","1.727","21.15M","1.16%"
"10/14/2025","1.727","1.780","1.787","1.727","24.57M","-2.63%"
"10/13/2025","1.773","1.793","1.800","1.747","33.32M","-0.75%"
"10/12/2025","1.787","1.753","1.800","1.740","31.27M","1.52%"
"10/08/2025","1.760","1.693","1.773","1.687","55.81M","3.94%"
"10/07/2025","1.693","1.693","1.700","1.660","22.53M","0.00%"
"10/06/2025","1.693","1.720","1.727","1.693","20.85M","-1.17%"
"10/05/2025","1.713","1.713","1.740","1.707","21.22M","0.39%"
"10/02/2025","1.707","1.707","1.713","1.680","12.19M","0.39%"
"10/01/2025","1.700","1.707","1.733","1.693","18.26M","-0.39%"
"09/30/2025","1.707","1.693","1.720","1.693","24.74M","1.19%"
"09/29/2025","1.687","1.687","1.700","1.680","23.35M","0.40%"
"09/28/2025","1.680","1.647","1.680","1.640","49.12M","2.44%"
"09/25/2025","1.640","1.667","1.680","1.633","27.51M","-0.81%"
"09/24/2025","1.653","1.633","1.653","1.613","12.58M","2.06%"
"09/23/2025","1.620","1.607","1.687","1.600","69.25M","1.25%"
"09/22/2025","1.600","1.613","1.627","1.580","9.82M","-0.83%"
"09/21/2025","1.613","1.660","1.667","1.607","14.68M","-2.02%"
"09/18/2025","1.647","1.613","1.647","1.607","19.56M","2.07%"
"09/17/2025","1.613","1.587","1.633","1.567","30.02M","2.11%"
"09/16/2025","1.580","1.613","1.620","1.553","45.01M","-2.07%"
"09/15/2025","1.613","1.660","1.667","1.613","28.19M","-2.42%"
"09/14/2025","1.653","1.693","1.700","1.640","18.02M","-1.98%"
"09/11/2025","1.687","1.707","1.713","1.667","15.46M","0.00%"
"09/10/2025","1.687","1.640","1.707","1.620","57.54M","2.43%"
"09/09/2025","1.647","1.693","1.700","1.620","47.82M","-1.98%"
"09/08/2025","1.680","1.687","1.720","1.673","9.80M","0.00%"
"09/07/2025","1.680","1.747","1.760","1.667","35.49M","-3.82%"
"09/03/2025","1.747","1.793","1.793","1.727","15.06M","-2.60%"
"09/02/2025","1.793","1.727","1.813","1.727","36.95M","4.26%"
"09/01/2025","1.720","1.707","1.727","1.693","11.57M","1.57%"
"08/31/2025","1.693","1.727","1.747","1.667","22.57M","-1.17%"
"08/28/2025","1.713","1.767","1.780","1.667","32.94M","-2.28%"
"08/27/2025","1.753","1.787","1.793","1.720","34.87M","-0.75%"
"08/26/2025","1.767","1.900","1.907","1.767","45.86M","-7.02%"
"08/25/2025","1.900","1.920","1.933","1.893","8.38M","-0.35%"
"08/24/2025","1.907","1.887","1.933","1.887","31.32M","1.06%"
"08/21/2025","1.887","1.880","1.893","1.867","8.00M","1.07%"
"08/20/2025","1.867","1.907","1.940","1.867","16.34M","-1.75%"
"08/19/2025","1.900","1.920","1.933","1.900","11.30M","-0.70%"
"08/18/2025","1.913","1.953","1.973","1.913","17.40M","-1.71%"
"08/17/2025","1.947","1.880","1.947","1.873","17.60M","4.29%"
"08/14/2025","1.867","1.880","1.887","1.833","15.26M","-0.36%"
"08/13/2025","1.873","1.920","1.927","1.873","14.56M","-2.09%"
"08/12/2025","1.913","1.940","1.960","1.907","22.01M","-1.03%"
"08/11/2025","1.933","1.960","1.967","1.927","12.71M","-1.02%"
"08/10/2025","1.953","1.953","1.973","1.947","7.50M","0.00%"
"08/07/2025","1.953","1.933","1.967","1.913","27.82M","1.38%"
"08/06/2025","1.927","1.980","1.987","1.927","25.70M","-2.36%"
"08/05/2025","1.973","1.960","2.007","1.947","30.39M","1.37%"
"08/04/2025","1.947","1.980","1.993","1.933","31.92M","-1.68%"
"08/03/2025","1.980","2.013","2.033","1.953","25.82M","-2.30%"
"07/31/2025","2.027","2.053","2.053","1.987","30.34M","-0.33%"
"07/30/2025","2.033","2.160","2.173","2.000","39.50M","-5.57%"
"07/29/2025","2.153","2.167","2.207","2.153","16.40M","-0.31%"
"07/28/2025","2.160","2.113","2.227","2.100","100.63M","2.86%"
"07/27/2025","2.100","2.100","2.107","2.073","5.65M","0.64%"
"07/23/2025","2.087","2.100","2.113","2.060","8.79M","-0.63%"
"07/22/2025","2.100","2.120","2.127","2.060","11.82M","-0.63%"
"07/21/2025","2.113","2.160","2.200","2.113","29.13M","-1.86%"
"07/20/2025","2.153","2.073","2.153","2.073","38.18M","4.19%"
"07/17/2025","2.067","2.027","2.073","2.027","24.98M","2.31%"
"07/16/2025","2.020","2.093","2.113","2.013","27.80M","-3.19%"
"07/15/2025","2.087","2.100","2.113","2.073","15.56M","-0.32%"
"07/14/2025","2.093","2.073","2.127","2.013","18.13M","0.96%"
"07/13/2025","2.073","2.120","2.140","2.067","8.19M","-2.20%"
"07/10/2025","2.120","2.133","2.147","2.113","10.76M","-0.93%"
"07/09/2025","2.140","2.133","2.153","2.100","19.14M","-0.93%"
"07/07/2025","2.160","2.173","2.180","2.107","39.42M","-0.31%"
"07/06/2025","2.167","2.047","2.193","2.047","91.92M","6.91%"
"07/02/2025","2.027","2.047","2.067","2.020","41.77M","0.00%"
"07/01/2025","2.027","1.933","2.067","1.933","113.01M","5.56%"
"06/30/2025","1.920","1.913","1.947","1.880","35.75M","0.35%"
"06/29/2025","1.913","1.900","1.953","1.880","58.29M","1.06%"
"06/25/2025","1.893","1.860","1.900","1.840","39.20M","2.53%"
"06/24/2025","1.847","1.893","1.893","1.820","81.28M","-1.07%"
"06/23/2025","1.867","1.787","1.880","1.780","98.65M","4.48%"
"06/22/2025","1.787","1.667","1.800","1.633","74.05M","6.35%"
"06/19/2025","1.680","1.720","1.747","1.680","25.71M","-2.33%"
"06/18/2025","1.720","1.747","1.773","1.713","57.95M","-1.15%"
"06/17/2025","1.740","1.680","1.787","1.680","121.36M","3.16%"
"06/16/2025","1.687","1.707","1.727","1.660","22.22M","-1.17%"
"06/15/2025","1.707","1.633","1.727","1.573","49.75M","-1.92%"
"06/12/2025","1.740","1.707","1.753","1.673","93.62M","1.95%"
"06/11/2025","1.707","1.673","1.720","1.660","53.38M","2.81%"
"06/10/2025","1.660","1.653","1.700","1.647","45.64M","1.22%"
"06/04/2025","1.640","1.620","1.680","1.620","47.64M","1.23%"
"06/03/2025","1.620","1.600","1.633","1.580","23.47M","2.10%"
"06/02/2025","1.587","1.600","1.607","1.553","31.52M","-0.83%"
"06/01/2025","1.600","1.640","1.647","1.600","34.96M","-2.04%"
"05/29/2025","1.633","1.680","1.693","1.620","31.86M","-2.78%"
"05/28/2025","1.680","1.713","1.733","1.660","66.55M","-1.95%"
"05/27/2025","1.713","1.613","1.727","1.593","60.60M","6.20%"
"05/26/2025","1.613","1.640","1.647","1.607","11.39M","-1.22%"
"05/25/2025","1.633","1.633","1.647","1.627","8.01M","0.41%"
"05/22/2025","1.627","1.633","1.640","1.613","12.36M","-0.41%"
"05/21/2025","1.633","1.673","1.673","1.633","14.49M","-2.00%"
"05/20/2025","1.667","1.633","1.667","1.620","13.28M","2.04%"
"05/19/2025","1.633","1.653","1.653","1.613","15.37M","-0.81%"
"05/18/2025","1.647","1.667","1.667","1.633","13.48M","-0.40%"
"05/15/2025","1.653","1.667","1.680","1.640","9.98M","-0.80%"
"05/14/2025","1.667","1.693","1.700","1.647","16.67M","-1.19%"
"05/13/2025","1.687","1.653","1.713","1.647","20.84M","2.85%"
"05/12/2025","1.640","1.687","1.693","1.640","18.33M","-1.99%"
"05/11/2025","1.673","1.720","1.720","1.673","14.71M","-2.33%"
"05/08/2025","1.713","1.713","1.720","1.687","11.25M","0.78%"
"05/07/2025","1.700","1.733","1.793","1.680","45.29M","-1.92%"
"05/06/2025","1.733","1.740","1.753","1.727","9.95M","-0.38%"
"05/05/2025","1.740","1.767","1.767","1.733","21.11M","-0.76%"
"05/04/2025","1.753","1.773","1.780","1.747","8.85M","-0.38%"
"04/30/2025","1.760","1.780","1.800","1.733","46.95M","-0.75%"
"04/29/2025","1.773","1.753","1.780","1.727","33.98M","1.53%"
"04/28/2025","1.747","1.780","1.793","1.747","23.54M","-1.50%"
"04/27/2025","1.773","1.800","1.807","1.773","26.34M","-0.75%"
"04/23/2025","1.787","1.800","1.820","1.780","14.17M","-0.37%"
"04/22/2025","1.793","1.800","1.840","1.787","18.72M","-0.37%"
"04/17/2025","1.800","1.793","1.800","1.760","11.35M","0.37%"
"04/16/2025","1.793","1.833","1.860","1.780","19.64M","-2.18%"
