"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","16.20","16.30","16.30","16.00","1.17M","0.00%"
"11/30/2025","16.20","15.88","16.25","15.60","2.34M","3.85%"
"11/27/2025","15.60","15.10","15.94","14.80","2.65M","3.31%"
"11/26/2025","15.10","15.55","15.60","15.00","2.69M","-2.89%"
"11/25/2025","15.55","15.80","15.95","15.52","2.32M","-1.58%"
"11/24/2025","15.80","16.00","16.25","15.51","9.73M","-1.56%"
"11/23/2025","16.05","16.26","16.45","16.05","494.12K","-1.47%"
"11/20/2025","16.29","16.70","16.70","16.21","804.41K","-2.34%"
"11/19/2025","16.68","16.40","16.70","16.02","3.01M","2.33%"
"11/18/2025","16.30","16.19","16.49","15.65","5.21M","0.25%"
"11/17/2025","16.26","16.62","16.69","16.00","3.64M","-1.99%"
"11/16/2025","16.59","16.30","16.60","16.18","2.33M","2.98%"
"11/13/2025","16.11","15.65","16.39","15.65","7.57M","3.40%"
"11/12/2025","15.58","15.42","16.04","15.42","7.32M","1.04%"
"11/11/2025","15.42","15.52","15.57","15.32","2.46M","-0.52%"
"11/10/2025","15.50","15.40","15.67","15.17","4.06M","0.65%"
"11/09/2025","15.40","14.77","15.40","14.75","8.14M","4.41%"
"11/06/2025","14.75","14.45","14.81","14.14","6.81M","1.72%"
"11/05/2025","14.50","14.81","15.00","14.40","3.67M","-2.09%"
"11/04/2025","14.81","14.78","15.00","14.76","3.16M","0.34%"
"11/03/2025","14.76","14.70","14.89","14.54","4.72M","1.10%"
"11/02/2025","14.60","14.40","14.70","14.25","3.05M","1.81%"
"10/30/2025","14.34","13.83","14.54","13.83","6.22M","3.24%"
"10/29/2025","13.89","14.20","14.20","13.88","2.34M","-1.49%"
"10/28/2025","14.10","14.25","14.41","13.86","2.73M","-0.91%"
"10/27/2025","14.23","14.16","14.39","13.91","3.75M","0.64%"
"10/26/2025","14.14","13.37","14.15","13.30","16.25M","6.32%"
"10/23/2025","13.30","13.09","13.34","13.02","1.95M","1.14%"
"10/22/2025","13.15","13.21","13.26","13.07","1.04M","-0.38%"
"10/21/2025","13.20","13.43","13.44","13.13","1.75M","-1.49%"
"10/20/2025","13.40","13.40","13.46","13.25","4.97M","0.37%"
"10/19/2025","13.35","13.00","13.40","12.93","4.48M","2.93%"
"10/16/2025","12.97","13.04","13.10","12.91","4.99M","-0.31%"
"10/15/2025","13.01","13.05","13.10","13.00","4.84M","0.00%"
"10/14/2025","13.01","12.94","13.13","12.87","7.04M","1.17%"
"10/13/2025","12.86","12.60","12.86","12.35","8.44M","2.06%"
"10/12/2025","12.60","12.70","12.70","12.55","1.65M","-0.79%"
"10/08/2025","12.70","12.90","12.93","12.68","3.68M","-1.17%"
"10/07/2025","12.85","12.78","12.85","12.70","2.86M","1.10%"
"10/06/2025","12.71","12.80","12.88","12.63","4.59M","-0.70%"
"10/05/2025","12.80","12.91","12.95","12.74","2.10M","0.00%"
"10/02/2025","12.80","12.86","13.02","12.71","2.94M","-0.39%"
"10/01/2025","12.85","13.00","13.20","12.80","10.15M","0.39%"
"09/30/2025","12.80","12.58","12.80","12.41","3.76M","1.83%"
"09/29/2025","12.57","12.69","12.81","12.54","4.11M","-0.95%"
"09/28/2025","12.69","12.50","12.80","12.50","4.09M","1.85%"
"09/25/2025","12.46","12.40","12.70","12.40","2.78M","0.48%"
"09/24/2025","12.40","12.42","12.53","12.33","745.83K","0.00%"
"09/23/2025","12.40","12.00","12.55","11.95","5.62M","3.94%"
"09/22/2025","11.93","12.10","12.14","11.90","958.48K","-1.40%"
"09/21/2025","12.10","12.15","12.15","11.98","1.55M","0.83%"
"09/18/2025","12.00","11.97","12.25","11.90","2.25M","0.33%"
"09/17/2025","11.96","12.00","12.08","11.90","1.29M","-0.33%"
"09/16/2025","12.00","12.36","12.38","12.00","2.29M","-2.44%"
"09/15/2025","12.30","12.62","12.68","12.27","2.79M","-2.54%"
"09/14/2025","12.62","12.75","12.75","12.60","855.65K","-0.94%"
"09/11/2025","12.74","12.50","12.74","12.48","1.66M","2.25%"
"09/10/2025","12.46","12.29","12.52","12.21","1.33M","1.55%"
"09/09/2025","12.27","12.42","12.54","12.17","1.82M","-0.89%"
"09/08/2025","12.38","12.86","13.12","12.38","4.28M","-3.81%"
"09/07/2025","12.87","13.20","13.20","12.82","843.24K","-1.61%"
"09/03/2025","13.08","13.28","13.39","12.95","2.09M","-1.65%"
"09/02/2025","13.30","13.48","13.54","13.30","576.46K","-1.04%"
"09/01/2025","13.44","13.42","13.65","13.22","1.24M","0.15%"
"08/31/2025","13.42","13.90","14.00","13.15","1.17M","-3.38%"
"08/28/2025","13.89","13.72","13.90","13.68","1.39M","1.39%"
"08/27/2025","13.70","13.91","13.91","13.68","1.60M","-1.08%"
"08/26/2025","13.85","14.19","14.20","13.85","1.96M","-1.63%"
"08/25/2025","14.08","13.97","14.23","13.96","4.61M","0.93%"
"08/24/2025","13.95","13.65","13.97","13.60","2.76M","2.57%"
"08/21/2025","13.60","13.63","13.80","13.51","1.02M","-0.22%"
"08/20/2025","13.63","13.78","13.96","13.60","1.03M","-1.02%"
"08/19/2025","13.77","13.70","13.83","13.61","1.21M","1.25%"
"08/18/2025","13.60","13.99","13.99","13.58","1.20M","-2.51%"
"08/17/2025","13.95","14.00","14.03","13.70","1.46M","0.00%"
"08/14/2025","13.95","14.17","14.35","13.76","3.87M","-1.48%"
"08/13/2025","14.16","14.12","14.50","13.95","4.25M","0.35%"
"08/12/2025","14.11","14.22","14.25","13.95","2.68M","-0.77%"
"08/11/2025","14.22","13.98","14.23","13.71","4.86M","1.94%"
"08/10/2025","13.95","13.91","14.30","13.88","6.57M","0.94%"
"08/07/2025","13.82","13.00","14.00","12.96","7.19M","6.31%"
"08/06/2025","13.00","13.00","13.05","12.86","2.52M","0.00%"
"08/05/2025","13.00","12.84","13.10","12.63","3.20M","1.25%"
"08/04/2025","12.84","12.35","12.85","12.35","3.54M","3.97%"
"08/03/2025","12.35","12.19","12.35","12.12","1.28M","1.23%"
"07/31/2025","12.20","12.04","12.20","11.91","755.52K","2.52%"
"07/30/2025","11.90","12.39","12.39","11.87","899.61K","-3.25%"
"07/29/2025","12.30","12.12","12.30","12.07","925.99K","2.16%"
"07/28/2025","12.04","12.40","12.48","12.02","1.19M","-2.82%"
"07/27/2025","12.39","12.35","12.39","12.18","1.35M","0.73%"
"07/23/2025","12.30","12.31","12.40","12.21","783.51K","0.24%"
"07/22/2025","12.27","12.49","12.55","12.26","734.39K","-1.52%"
"07/21/2025","12.46","12.18","12.46","12.11","2.29M","2.89%"
"07/20/2025","12.11","12.14","12.28","12.05","1.14M","-0.16%"
"07/17/2025","12.13","12.25","12.30","12.13","625.26K","0.00%"
"07/16/2025","12.13","12.23","12.55","12.05","4.15M","-0.82%"
"07/15/2025","12.23","12.30","12.40","12.21","1.03M","-0.49%"
"07/14/2025","12.29","12.30","12.40","12.14","609.17K","0.82%"
"07/13/2025","12.19","12.56","12.60","12.15","758.49K","-2.79%"
