"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","15.24","15.22","15.45","15.21","489.45K","0.26%"
"11/30/2025","15.20","15.11","15.47","15.04","1.67M","0.66%"
"11/27/2025","15.10","14.90","15.10","14.75","1.42M","1.27%"
"11/26/2025","14.91","15.00","15.29","14.90","612.74K","-0.53%"
"11/25/2025","14.99","15.49","15.57","14.92","1.97M","-2.66%"
"11/24/2025","15.40","15.62","15.77","15.39","649.95K","-1.47%"
"11/23/2025","15.63","15.85","15.86","15.60","500.26K","-1.51%"
"11/20/2025","15.87","15.83","16.00","15.72","1.54M","-0.19%"
"11/19/2025","15.90","15.97","16.11","15.80","769.25K","-0.25%"
"11/18/2025","15.94","16.31","16.50","15.88","2.25M","-2.92%"
"11/17/2025","16.42","16.35","16.44","16.22","999.29K","0.24%"
"11/16/2025","16.38","16.49","16.50","16.21","1.68M","0.31%"
"11/13/2025","16.33","16.70","16.80","16.32","4.00M","-1.98%"
"11/12/2025","16.66","16.98","17.15","16.50","3.06M","-1.88%"
"11/11/2025","16.98","16.61","17.20","16.60","7.50M","2.85%"
"11/10/2025","16.51","16.70","16.80","16.50","1.56M","-0.90%"
"11/09/2025","16.66","16.79","16.88","16.46","4.00M","0.91%"
"11/06/2025","16.51","17.55","17.80","16.51","7.70M","-5.93%"
"11/05/2025","17.55","16.67","17.60","16.60","9.67M","6.36%"
"11/04/2025","16.50","16.47","16.75","16.10","5.39M","0.30%"
"11/03/2025","16.45","16.07","16.60","15.90","5.59M","2.75%"
"11/02/2025","16.01","16.10","16.50","15.93","4.88M","0.82%"
"10/30/2025","15.88","15.54","15.99","15.36","2.84M","3.52%"
"10/29/2025","15.34","15.30","15.68","15.29","1.35M","0.92%"
"10/28/2025","15.20","15.50","15.50","15.20","644.73K","-1.36%"
"10/27/2025","15.41","15.72","15.90","15.36","799.56K","-1.72%"
"10/26/2025","15.68","15.85","16.20","15.50","2.33M","-0.44%"
"10/23/2025","15.75","14.61","16.40","14.61","5.96M","7.80%"
"10/22/2025","14.61","14.80","14.90","14.40","1.52M","-1.15%"
"10/21/2025","14.78","15.20","15.27","14.73","768.52K","-2.51%"
"10/20/2025","15.16","15.30","15.44","15.15","346.66K","-0.92%"
"10/19/2025","15.30","15.46","15.50","15.25","182.80K","-0.65%"
"10/16/2025","15.40","15.41","15.60","15.32","156.12K","0.33%"
"10/15/2025","15.35","15.81","15.86","15.27","405.41K","-2.72%"
"10/14/2025","15.78","15.58","16.00","15.50","782.51K","1.68%"
"10/13/2025","15.52","15.20","15.63","15.20","2.04M","2.65%"
"10/12/2025","15.12","15.46","15.46","14.91","8.84M","-1.95%"
"10/08/2025","15.42","15.11","15.49","15.00","305.48K","2.12%"
"10/07/2025","15.10","15.19","15.22","14.94","415.06K","-0.66%"
"10/06/2025","15.20","15.30","15.39","15.11","200.73K","0.60%"
"10/05/2025","15.11","15.20","15.50","15.07","515.56K","0.27%"
"10/02/2025","15.07","15.30","15.58","14.90","828.29K","-2.71%"
"10/01/2025","15.49","15.63","15.63","15.16","843.23K","-0.45%"
"09/30/2025","15.56","15.07","15.59","15.06","1.88M","3.53%"
"09/29/2025","15.03","14.40","15.10","14.31","1.53M","4.38%"
"09/28/2025","14.40","14.80","14.90","14.30","542.03K","-3.29%"
"09/25/2025","14.89","14.25","14.90","14.15","404.35K","2.20%"
"09/24/2025","14.57","13.82","14.60","13.80","1.01M","5.43%"
"09/23/2025","13.82","14.00","14.10","13.79","86.46K","-1.29%"
"09/22/2025","14.00","13.98","14.13","13.85","531.10K","0.65%"
"09/21/2025","13.91","14.23","14.25","13.85","387.75K","-1.21%"
"09/18/2025","14.08","14.20","14.30","13.63","2.20M","2.10%"
"09/17/2025","13.79","13.74","14.41","13.67","393.43K","0.58%"
"09/16/2025","13.71","13.89","13.92","13.54","229.40K","-1.31%"
"09/15/2025","13.89","13.98","13.98","13.86","234.63K","0.00%"
"09/14/2025","13.89","13.72","13.97","13.69","228.00K","1.49%"
"09/11/2025","13.69","13.79","13.79","13.68","203.90K","0.05%"
"09/10/2025","13.68","13.61","13.71","13.54","325.52K","0.43%"
"09/09/2025","13.62","14.02","14.02","13.54","1.05M","-1.42%"
"09/08/2025","13.82","13.90","14.04","13.77","190.41K","-0.47%"
"09/07/2025","13.88","14.12","14.26","13.83","316.18K","-0.99%"
"09/03/2025","14.02","14.23","14.47","13.84","208.89K","-1.43%"
"09/02/2025","14.23","14.25","14.52","13.94","304.03K","2.36%"
"09/01/2025","13.90","14.11","14.11","13.89","180.69K","-0.88%"
"08/31/2025","14.02","14.36","14.41","13.91","266.04K","-2.23%"
"08/28/2025","14.34","14.41","14.47","14.30","119.93K","0.10%"
"08/27/2025","14.33","14.37","14.52","14.26","282.86K","-0.10%"
"08/26/2025","14.34","13.87","14.63","13.87","1.91M","3.41%"
"08/25/2025","13.87","13.86","14.01","13.83","551.81K","0.05%"
"08/24/2025","13.86","13.79","13.96","13.64","818.17K","1.82%"
"08/21/2025","13.62","13.68","13.83","13.61","271.57K","-0.37%"
"08/20/2025","13.67","13.76","13.82","13.62","441.14K","-0.69%"
"08/19/2025","13.76","13.63","14.05","13.55","1.00M","1.34%"
"08/18/2025","13.58","13.60","13.67","13.54","529.42K","0.59%"
"08/17/2025","13.50","13.45","13.54","13.41","278.23K","0.16%"
"08/14/2025","13.48","13.48","13.50","13.37","6.55M","0.27%"
"08/13/2025","13.44","13.43","13.51","13.40","2.28M","-0.16%"
"08/12/2025","13.46","13.46","13.52","13.38","5.00M","0.00%"
"08/11/2025","13.46","13.54","13.56","13.37","1.20M","0.00%"
"08/10/2025","13.46","13.53","13.57","13.45","951.84K","0.00%"
"08/07/2025","13.46","13.54","13.57","13.41","2.12M","-0.11%"
"08/06/2025","13.48","13.53","13.54","13.39","336.54K","-0.32%"
"08/05/2025","13.52","13.63","13.63","13.51","400.89K","-0.11%"
"08/04/2025","13.54","13.62","13.68","13.48","129.22K","-0.53%"
"08/03/2025","13.61","13.61","13.75","13.51","122.14K","0.00%"
"07/31/2025","13.61","13.49","13.67","13.46","372.45K","1.30%"
"07/30/2025","13.43","13.33","13.49","13.33","168.00K","0.54%"
"07/29/2025","13.36","13.34","13.41","13.34","62.58K","0.16%"
"07/28/2025","13.34","13.54","13.56","13.28","190.00K","-1.13%"
"07/27/2025","13.49","13.43","13.54","13.43","135.15K","0.54%"
"07/23/2025","13.42","13.67","13.67","13.40","106.97K","-1.02%"
"07/22/2025","13.56","13.55","13.59","13.46","190.59K","0.65%"
"07/21/2025","13.47","13.61","13.61","13.43","179.90K","-0.64%"
"07/20/2025","13.56","13.56","13.67","13.47","198.40K","-0.05%"
"07/17/2025","13.56","13.51","13.59","13.45","510.95K","0.11%"
"07/16/2025","13.55","13.67","13.68","13.54","64.37K","0.11%"
"07/15/2025","13.54","13.61","13.68","13.48","132.77K","-0.16%"
"07/14/2025","13.56","13.48","13.80","13.39","290.16K","0.49%"
"07/13/2025","13.49","13.54","13.72","13.47","129.00K","-0.59%"
"07/10/2025","13.57","13.81","13.81","13.54","99.61K","-0.27%"
"07/09/2025","13.61","13.62","13.77","13.54","38.87K","0.00%"
"07/07/2025","13.61","13.71","13.83","13.61","186.98K","-0.95%"
"07/06/2025","13.74","13.83","13.86","13.70","119.76K","-0.63%"
"07/02/2025","13.83","13.83","13.96","13.70","397.33K","0.00%"
"07/01/2025","13.83","13.83","14.04","13.64","1.61M","-0.05%"
"06/30/2025","13.83","13.75","14.07","13.59","484.70K","0.58%"
"06/29/2025","13.75","14.12","14.12","13.68","1.11M","-2.58%"
"06/25/2025","14.12","13.13","14.12","12.93","954.71K","7.54%"
"06/24/2025","13.13","12.85","13.24","12.84","442.66K","2.21%"
"06/23/2025","12.84","12.68","12.87","12.68","224.09K","1.55%"
"06/22/2025","12.65","12.31","12.68","12.30","278.71K","1.88%"
"06/19/2025","12.41","12.53","13.08","12.35","200.00K","-2.07%"
"06/18/2025","12.68","12.70","13.10","12.24","147.88K","2.35%"
"06/17/2025","12.39","13.28","13.28","12.37","319.40K","-5.34%"
"06/16/2025","13.08","12.57","13.46","12.57","187.70K","0.17%"
"06/15/2025","13.06","13.16","13.16","12.78","421.69K","-4.37%"
"06/12/2025","13.66","13.83","13.90","13.59","534.19K","-1.21%"
"06/11/2025","13.83","13.51","13.97","13.51","1.04M","3.04%"
"06/10/2025","13.42","13.59","13.64","13.38","147.15K","0.11%"
"06/04/2025","13.40","13.64","13.64","13.37","112.78K","0.05%"
"06/03/2025","13.40","13.40","13.44","13.35","131.27K","1.04%"
"06/02/2025","13.26","13.46","13.70","13.24","299.09K","-1.62%"
"06/01/2025","13.48","13.53","13.72","13.40","41.15K","-0.54%"
"05/29/2025","13.55","13.57","13.75","13.50","28.29K","-0.05%"
"05/28/2025","13.56","13.83","13.83","13.44","144.06K","-1.48%"
"05/27/2025","13.76","13.78","13.82","13.49","277.12K","-0.16%"
"05/26/2025","13.78","13.67","13.85","13.50","551.73K","0.96%"
"05/25/2025","13.65","13.46","13.68","13.35","284.38K","0.91%"
"05/22/2025","13.53","13.46","13.53","13.28","217.04K","1.42%"
"05/21/2025","13.34","13.46","13.46","13.23","44.16K","0.22%"
"05/20/2025","13.31","13.28","13.46","13.16","103.28K","0.22%"
"05/19/2025","13.28","13.39","13.39","13.28","95.23K","-0.82%"
"05/18/2025","13.39","13.47","13.66","13.39","206.51K","-0.49%"
"05/15/2025","13.46","13.53","13.54","13.37","203.12K","0.16%"
"05/14/2025","13.43","13.54","13.61","13.33","57.59K","-0.22%"
"05/13/2025","13.46","13.46","13.54","13.46","169.13K","0.05%"
"05/12/2025","13.46","13.48","13.68","13.43","241.78K","-0.64%"
"05/11/2025","13.54","13.50","13.79","13.48","57.61K","0.98%"
"05/08/2025","13.41","13.57","13.70","13.41","189.60K","-1.39%"
"05/07/2025","13.60","13.68","13.83","13.55","447.58K","0.27%"
"05/06/2025","13.56","13.70","13.83","13.54","488.75K","-0.90%"
