"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","26.74","27.20","27.20","26.65","4.36M","0.15%"
"11/30/2025","26.70","26.90","27.21","26.63","6.44M","-0.37%"
"11/27/2025","26.80","26.60","26.95","26.41","3.18M","1.13%"
"11/26/2025","26.50","26.80","27.20","26.35","1.77M","-0.38%"
"11/25/2025","26.60","27.53","27.60","26.60","5.24M","-2.56%"
"11/24/2025","27.30","26.98","27.55","26.81","12.67M","1.83%"
"11/23/2025","26.81","26.62","27.07","26.14","6.00M","1.17%"
"11/20/2025","26.50","26.87","27.10","26.22","6.09M","-0.93%"
"11/19/2025","26.75","27.69","27.69","26.75","5.90M","-2.55%"
"11/18/2025","27.45","28.38","28.38","27.45","1.37M","-2.49%"
"11/17/2025","28.15","27.69","28.35","27.55","4.16M","1.99%"
"11/16/2025","27.60","28.07","28.19","27.50","3.46M","-1.39%"
"11/13/2025","27.99","28.70","28.85","27.86","4.61M","-2.34%"
"11/12/2025","28.66","29.20","29.47","28.32","4.86M","-1.75%"
"11/11/2025","29.17","29.76","29.80","29.15","2.56M","-1.98%"
"11/10/2025","29.76","29.55","30.10","29.45","11.72M","1.05%"
"11/09/2025","29.45","28.71","29.50","28.71","10.94M","2.97%"
"11/06/2025","28.60","28.70","28.80","28.45","4.85M","0.00%"
"11/05/2025","28.60","28.78","28.79","28.41","2.76M","0.03%"
"11/04/2025","28.59","28.60","29.10","28.50","5.60M","0.32%"
"11/03/2025","28.50","28.53","28.90","28.40","2.65M","0.00%"
"11/02/2025","28.50","28.21","28.78","28.21","664.10K","1.24%"
"10/30/2025","28.15","28.82","29.00","28.02","5.14M","-2.29%"
"10/29/2025","28.81","28.85","29.00","28.62","1.09M","-0.66%"
"10/28/2025","29.00","29.26","29.40","28.81","8.42M","-0.89%"
"10/27/2025","29.26","29.22","29.55","29.07","2.88M","0.21%"
"10/26/2025","29.20","28.95","29.66","28.90","10.13M","1.39%"
"10/23/2025","28.80","28.73","29.05","28.00","25.54M","0.31%"
"10/22/2025","28.71","29.20","29.45","28.44","2.78M","-2.68%"
"10/21/2025","29.50","29.71","29.89","29.16","7.10M","-1.34%"
"10/20/2025","29.90","29.90","30.00","29.60","6.75M","0.34%"
"10/19/2025","29.80","29.78","30.00","29.15","3.73M","0.03%"
"10/16/2025","29.79","28.90","29.88","28.84","9.22M","2.65%"
"10/15/2025","29.02","28.90","29.09","28.66","5.51M","0.76%"
"10/14/2025","28.80","27.97","28.80","27.95","19.26M","3.23%"
"10/13/2025","27.90","27.32","27.90","27.01","17.34M","2.16%"
"10/12/2025","27.31","27.40","27.50","26.93","3.83M","-0.07%"
"10/08/2025","27.33","26.80","27.49","26.61","7.37M","2.13%"
"10/07/2025","26.76","26.81","27.03","26.69","3.29M","0.04%"
"10/06/2025","26.75","26.70","27.20","26.70","10.22M","0.56%"
"10/05/2025","26.60","26.37","26.80","26.35","872.51K","1.14%"
"10/02/2025","26.30","26.70","26.90","26.28","4.63M","-1.16%"
"10/01/2025","26.61","26.88","27.00","26.45","3.19M","-0.67%"
"09/30/2025","26.79","26.66","27.30","26.66","5.76M","0.53%"
"09/29/2025","26.65","26.74","27.09","26.60","10.65M","-0.19%"
"09/28/2025","26.70","26.30","26.95","26.10","12.85M","1.91%"
"09/25/2025","26.20","26.31","26.39","26.16","2.95M","0.00%"
"09/24/2025","26.20","26.09","26.27","25.81","2.45M","0.77%"
"09/23/2025","26.00","26.10","26.20","25.86","3.59M","-0.19%"
"09/22/2025","26.05","26.10","26.30","25.61","18.32M","-0.57%"
"09/21/2025","26.20","26.24","26.47","25.90","1.66M","-0.72%"
"09/18/2025","26.39","25.18","26.39","25.18","15.67M","4.68%"
"09/17/2025","25.21","25.10","25.25","24.90","951.92K","0.44%"
"09/16/2025","25.10","25.50","25.70","24.82","2.89M","-1.30%"
