"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","23.08","22.95","23.79","22.60","529.69K","0.57%"
"11/30/2025","22.95","22.51","22.95","22.35","640.16K","1.95%"
"11/27/2025","22.51","22.33","22.65","22.10","1.38M","1.95%"
"11/26/2025","22.08","22.06","22.74","22.00","1.76M","0.27%"
"11/25/2025","22.02","23.30","23.50","21.51","1.08M","-4.84%"
"11/24/2025","23.14","23.40","23.79","23.09","1.86M","-0.30%"
"11/23/2025","23.21","23.49","23.94","23.07","241.98K","-1.11%"
"11/20/2025","23.47","23.48","24.00","23.02","625.90K","0.56%"
"11/19/2025","23.34","23.21","23.99","23.00","375.90K","0.34%"
"11/18/2025","23.26","23.50","23.79","23.17","104.91K","-1.02%"
"11/17/2025","23.50","24.00","24.19","20.57","961.21K","-2.08%"
"11/16/2025","24.00","23.90","24.20","23.86","501.57K","0.21%"
"11/13/2025","23.95","24.23","24.39","23.90","312.01K","-0.17%"
"11/12/2025","23.99","23.10","24.50","23.10","1.45M","4.30%"
"11/11/2025","23.00","22.90","23.49","22.81","3.04M","0.92%"
"11/10/2025","22.79","23.00","23.03","22.05","929.06K","-0.91%"
"11/09/2025","23.00","23.04","23.10","22.80","1.39M","-0.17%"
"11/06/2025","23.04","23.00","23.15","22.50","600.26K","0.39%"
"11/05/2025","22.95","23.10","23.50","22.89","1.30M","-0.86%"
"11/04/2025","23.15","23.04","23.39","23.01","219.75K","0.65%"
"11/03/2025","23.00","23.46","23.55","22.85","432.98K","-1.96%"
"11/02/2025","23.46","23.73","23.97","23.07","273.11K","-0.97%"
"10/30/2025","23.69","24.00","24.22","23.50","5.69M","-1.29%"
"10/29/2025","24.00","23.59","24.29","23.59","303.11K","1.74%"
"10/28/2025","23.59","24.45","25.39","23.55","1.84M","-3.28%"
"10/27/2025","24.39","23.93","24.45","23.50","3.95M","2.01%"
"10/26/2025","23.91","23.71","24.00","23.41","938.99K","0.84%"
"10/23/2025","23.71","23.60","24.20","23.60","895.91K","0.76%"
