"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","200.11","199.98","204.00","198.51","338.37K","0.56%"
"11/30/2025","199.00","196.01","204.48","196.01","684.45K","3.65%"
"11/27/2025","192.00","183.00","196.00","182.95","490.65K","4.92%"
"11/26/2025","183.00","187.90","189.30","182.05","369.61K","-2.14%"
"11/25/2025","187.01","192.01","192.39","186.75","216.66K","-2.35%"
"11/24/2025","191.51","193.00","195.35","191.50","185.54K","0.11%"
"11/23/2025","191.30","191.80","196.44","189.05","322.91K","0.10%"
"11/20/2025","191.10","197.50","197.98","191.00","255.91K","-2.83%"
"11/19/2025","196.66","199.99","200.99","196.66","126.33K","-1.18%"
"11/18/2025","199.00","202.70","204.00","197.00","635.90K","-1.73%"
"11/17/2025","202.50","214.09","215.90","202.00","452.67K","-5.41%"
"11/16/2025","214.09","212.00","220.94","211.01","355.23K","0.99%"
"11/13/2025","212.00","211.97","212.87","208.21","385.57K","0.66%"
"11/12/2025","210.61","210.50","213.94","210.07","134.76K","0.10%"
"11/11/2025","210.40","214.21","218.00","210.37","185.72K","-1.69%"
"11/10/2025","214.01","218.17","221.00","213.05","503.16K","-1.76%"
"11/09/2025","217.85","211.00","219.00","211.00","598.94K","4.33%"
"11/06/2025","208.80","201.03","209.90","200.00","400.56K","3.87%"
"11/05/2025","201.03","203.10","205.00","201.00","422.12K","-1.07%"
"11/04/2025","203.20","206.01","208.35","202.00","169.90K","-1.12%"
"11/03/2025","205.51","200.22","208.40","198.00","301.03K","2.73%"
"11/02/2025","200.05","206.00","208.20","200.01","194.07K","-2.89%"
"10/30/2025","206.00","205.00","209.00","201.80","460.57K","0.54%"
"10/29/2025","204.89","195.00","206.00","193.13","764.77K","5.61%"
"10/28/2025","194.00","191.71","195.89","187.05","533.58K","1.25%"
"10/27/2025","191.60","203.50","204.00","191.60","638.72K","-5.85%"
"10/26/2025","203.50","209.00","210.00","202.00","377.09K","-0.73%"
"10/23/2025","205.00","195.02","212.00","192.55","1.01M","4.54%"
"10/22/2025","196.10","184.10","205.00","182.55","846.91K","6.52%"
"10/21/2025","184.10","184.61","188.50","181.00","390.33K","-0.27%"
"10/20/2025","184.60","181.99","189.00","180.27","513.89K","1.43%"
"10/19/2025","182.00","174.00","183.60","173.25","459.43K","5.05%"
"10/16/2025","173.25","171.00","178.90","168.50","659.28K","1.32%"
"10/15/2025","171.00","173.89","174.99","170.25","170.69K","-1.72%"
"10/14/2025","174.00","170.90","174.99","168.00","460.02K","-0.68%"
"10/13/2025","175.20","166.00","176.47","166.00","1.09M","6.06%"
"10/12/2025","165.19","165.00","166.50","163.82","226.23K","-0.06%"
"10/09/2025","165.29","165.91","165.29","165.29","100.43K","0.00%"
"10/08/2025","165.29","166.06","166.99","163.66","100.43K","-0.37%"
"10/07/2025","165.91","161.01","168.25","161.01","593.96K","3.25%"
"10/06/2025","160.69","160.80","161.48","159.80","159.52K","0.43%"
"10/05/2025","160.00","157.90","160.84","157.50","296.83K","2.24%"
"10/02/2025","156.50","153.75","157.00","153.02","253.39K","2.29%"
"10/01/2025","153.00","152.51","155.75","151.99","352.86K","0.47%"
"09/30/2025","152.29","152.90","152.99","151.86","149.35K","0.07%"
"09/29/2025","152.19","152.74","153.25","151.00","125.93K","0.12%"
"09/28/2025","152.01","154.70","154.70","152.00","142.22K","-0.83%"
"09/25/2025","153.28","154.90","155.00","152.65","158.96K","-0.55%"
