"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","44.52","45.11","45.70","44.46","94.30K","-1.24%"
"11/30/2025","45.08","44.59","45.16","44.30","128.07K","1.62%"
"11/27/2025","44.36","44.20","44.58","44.00","27.92K","0.50%"
"11/26/2025","44.14","45.20","45.20","44.00","87.93K","-1.01%"
"11/25/2025","44.59","44.54","46.25","44.20","224.66K","0.11%"
"11/24/2025","44.54","44.80","44.80","44.05","93.69K","-0.27%"
"11/23/2025","44.66","44.81","45.00","44.03","64.69K","-0.33%"
"11/20/2025","44.81","45.59","45.70","44.61","97.74K","-1.28%"
"11/19/2025","45.39","45.21","45.70","44.60","90.88K","0.42%"
"11/18/2025","45.20","46.70","47.00","45.20","141.77K","-3.21%"
"11/17/2025","46.70","47.31","47.31","46.61","156.64K","-0.64%"
"11/16/2025","47.00","47.50","47.88","46.77","153.06K","-1.05%"
"11/13/2025","47.50","48.00","48.49","47.31","229.01K","-0.08%"
"11/12/2025","47.54","47.70","48.00","46.93","350.01K","-0.13%"
"11/11/2025","47.60","47.60","48.50","47.56","667.96K","1.28%"
"11/10/2025","47.00","47.69","47.90","46.41","299.80K","-0.42%"
"11/09/2025","47.20","45.60","48.00","45.26","691.06K","3.51%"
"11/06/2025","45.60","46.01","46.79","45.17","121.00K","-0.83%"
"11/05/2025","45.98","46.11","47.10","45.31","574.14K","-0.04%"
"11/04/2025","46.00","44.60","46.50","44.45","601.22K","3.49%"
"11/03/2025","44.45","44.59","44.68","44.10","186.60K","-0.31%"
"11/02/2025","44.59","44.11","44.70","44.00","130.71K","1.27%"
"10/30/2025","44.03","44.20","44.80","44.03","156.67K","-0.47%"
"10/29/2025","44.24","44.27","44.75","44.01","122.31K","0.00%"
"10/28/2025","44.24","44.57","44.90","44.01","123.17K","-0.74%"
"10/27/2025","44.57","43.61","44.90","43.61","298.10K","2.25%"
"10/26/2025","43.59","43.37","43.85","43.25","107.39K","1.00%"
"10/23/2025","43.16","43.40","43.79","43.14","82.25K","-0.55%"
"10/22/2025","43.40","43.45","43.85","43.08","175.45K","-0.07%"
"10/21/2025","43.43","43.75","43.87","43.01","138.19K","-0.71%"
"10/20/2025","43.74","44.00","44.50","43.62","129.64K","-0.57%"
"10/19/2025","43.99","44.44","44.44","43.80","127.54K","0.34%"
"10/16/2025","43.84","43.61","44.05","43.60","114.33K","0.78%"
"10/15/2025","43.50","44.50","44.57","43.50","213.22K","-1.69%"
"10/14/2025","44.25","45.00","45.00","44.00","264.70K","-0.98%"
"10/13/2025","44.69","43.90","45.20","43.84","228.33K","1.64%"
"10/12/2025","43.97","44.30","44.48","43.63","117.82K","-0.70%"
"10/09/2025","44.28","44.40","44.28","44.28","143.47K","0.00%"
"10/08/2025","44.28","44.97","44.97","44.25","143.47K","-0.27%"
"10/07/2025","44.40","43.20","44.97","42.88","461.00K","3.50%"
"10/06/2025","42.90","43.37","43.41","42.73","84.89K","-0.53%"
"10/05/2025","43.13","43.35","43.77","43.10","91.34K","-0.90%"
"10/02/2025","43.52","43.08","44.00","43.05","112.96K","0.51%"
"10/01/2025","43.30","43.02","43.70","42.70","292.88K","0.65%"
