"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.669","0.668","0.670","0.665","198.03K","-0.15%"
"11/30/2025","0.670","0.670","0.672","0.665","286.56K","-0.15%"
"11/27/2025","0.671","0.674","0.677","0.670","321.57K","-0.59%"
"11/26/2025","0.675","0.680","0.680","0.674","202.80K","-0.15%"
"11/25/2025","0.676","0.677","0.681","0.675","124.55K","0.00%"
"11/24/2025","0.676","0.678","0.679","0.675","113.83K","-0.15%"
"11/23/2025","0.677","0.681","0.681","0.676","373.85K","-0.44%"
"11/20/2025","0.680","0.677","0.681","0.676","66.20K","0.29%"
"11/19/2025","0.678","0.680","0.680","0.677","45.98K","-0.15%"
"11/18/2025","0.679","0.680","0.682","0.676","116.00K","0.00%"
"11/17/2025","0.679","0.693","0.693","0.679","1.48M","-1.88%"
"11/16/2025","0.692","0.696","0.696","0.689","324.07K","-0.57%"
"11/13/2025","0.696","0.698","0.698","0.695","69.44K","-0.14%"
"11/12/2025","0.697","0.699","0.699","0.697","177.21K","0.00%"
"11/11/2025","0.697","0.703","0.703","0.696","306.92K","-0.85%"
"11/10/2025","0.703","0.707","0.708","0.702","108.91K","-0.71%"
"11/09/2025","0.708","0.708","0.708","0.706","94.41K","0.00%"
"11/06/2025","0.708","0.708","0.709","0.708","42.80K","0.00%"
"11/05/2025","0.708","0.708","0.709","0.708","48.81K","-0.28%"
"11/04/2025","0.710","0.709","0.710","0.708","139.37K","0.14%"
"11/03/2025","0.709","0.710","0.710","0.709","98.69K","0.00%"
"11/02/2025","0.709","0.709","0.710","0.709","46.98K","0.00%"
"10/30/2025","0.709","0.709","0.710","0.708","186.59K","-0.14%"
"10/29/2025","0.710","0.707","0.710","0.707","78.39K","0.28%"
"10/28/2025","0.708","0.708","0.709","0.707","61.49K","-0.14%"
"10/27/2025","0.709","0.709","0.709","0.707","35.15K","0.14%"
"10/26/2025","0.708","0.710","0.710","0.708","157.40K","-0.14%"
"10/23/2025","0.709","0.710","0.710","0.708","97.19K","-0.14%"
"10/22/2025","0.710","0.709","0.710","0.708","52.37K","0.14%"
"10/21/2025","0.709","0.710","0.710","0.708","165.63K","-0.14%"
"10/20/2025","0.710","0.710","0.712","0.709","125.88K","0.00%"
"10/19/2025","0.710","0.710","0.712","0.709","135.21K","0.00%"
"10/16/2025","0.710","0.711","0.713","0.710","171.04K","-0.14%"
"10/15/2025","0.711","0.712","0.714","0.710","135.93K","-0.28%"
"10/14/2025","0.713","0.712","0.715","0.710","56.87K","0.14%"
"10/13/2025","0.712","0.712","0.714","0.711","85.49K","0.00%"
"10/12/2025","0.712","0.718","0.719","0.712","87.48K","-0.42%"
"10/08/2025","0.715","0.720","0.720","0.715","258.14K","-0.69%"
"10/07/2025","0.720","0.724","0.724","0.719","208.37K","-0.41%"
"10/06/2025","0.723","0.724","0.724","0.722","49.13K","-0.14%"
"10/05/2025","0.724","0.725","0.726","0.723","145.25K","-0.14%"
"10/02/2025","0.725","0.726","0.728","0.725","117.42K","-0.28%"
"10/01/2025","0.727","0.729","0.729","0.726","178.48K","0.14%"
"09/30/2025","0.726","0.727","0.729","0.726","56.41K","0.00%"
"09/29/2025","0.726","0.728","0.729","0.724","242.31K","-0.27%"
"09/28/2025","0.728","0.730","0.730","0.728","65.42K","-0.27%"
"09/25/2025","0.730","0.730","0.731","0.729","120.14K","0.00%"
"09/24/2025","0.730","0.727","0.731","0.727","889.56K","0.41%"
"09/23/2025","0.727","0.726","0.728","0.726","215.44K","-0.14%"
"09/22/2025","0.728","0.727","0.728","0.726","156.16K","0.14%"
"09/21/2025","0.727","0.727","0.728","0.726","126.90K","0.00%"
"09/18/2025","0.727","0.726","0.728","0.726","102.14K","0.14%"
"09/17/2025","0.726","0.725","0.728","0.725","221.02K","0.28%"
"09/16/2025","0.724","0.722","0.725","0.719","351.27K","0.28%"
"09/15/2025","0.722","0.718","0.725","0.718","145.87K","0.56%"
"09/14/2025","0.718","0.717","0.718","0.713","126.35K","0.42%"
"09/11/2025","0.715","0.715","0.716","0.715","113.89K","0.00%"
"09/10/2025","0.715","0.712","0.716","0.711","56.11K","0.28%"
"09/09/2025","0.713","0.717","0.717","0.713","14.68K","-0.14%"
"09/08/2025","0.714","0.718","0.718","0.713","59.15K","-0.42%"
"09/07/2025","0.717","0.715","0.719","0.711","148.69K","0.28%"
"09/03/2025","0.715","0.715","0.716","0.712","540.80K","0.00%"
"09/02/2025","0.715","0.710","0.715","0.708","371.60K","0.70%"
"09/01/2025","0.710","0.710","0.711","0.707","279.04K","0.42%"
"08/31/2025","0.707","0.713","0.714","0.707","188.96K","-0.56%"
"08/28/2025","0.711","0.715","0.717","0.711","111.22K","-0.56%"
"08/27/2025","0.715","0.707","0.716","0.705","463.54K","1.27%"
"08/26/2025","0.706","0.708","0.709","0.706","49.74K","-0.42%"
"08/25/2025","0.709","0.707","0.710","0.706","119.72K","-0.14%"
"08/24/2025","0.710","0.710","0.710","0.707","211.08K","0.00%"
"08/21/2025","0.710","0.711","0.712","0.708","473.61K","0.00%"
"08/20/2025","0.710","0.715","0.720","0.709","514.57K","-0.70%"
"08/19/2025","0.715","0.719","0.719","0.715","395.47K","-0.56%"
"08/18/2025","0.719","0.710","0.719","0.706","769.63K","1.55%"
"08/17/2025","0.708","0.700","0.710","0.700","333.54K","1.87%"
"08/14/2025","0.695","0.704","0.704","0.694","331.59K","-1.28%"
"08/13/2025","0.704","0.695","0.705","0.694","891.35K","1.00%"
"08/12/2025","0.697","0.684","0.697","0.684","681.81K","2.50%"
"08/11/2025","0.680","0.674","0.688","0.674","342.19K","1.19%"
"08/10/2025","0.672","0.666","0.673","0.665","169.90K","1.20%"
"08/07/2025","0.664","0.666","0.666","0.661","15.29K","0.45%"
"08/06/2025","0.661","0.664","0.666","0.661","99.00K","-0.60%"
"08/05/2025","0.665","0.662","0.667","0.662","137.37K","0.61%"
"08/04/2025","0.661","0.663","0.664","0.660","318.53K","0.15%"
"08/03/2025","0.660","0.660","0.662","0.658","57.56K","0.00%"
"07/31/2025","0.660","0.656","0.662","0.655","257.95K","0.46%"
"07/30/2025","0.657","0.657","0.659","0.656","426.43K","-0.15%"
"07/29/2025","0.658","0.655","0.659","0.652","173.35K","0.77%"
"07/28/2025","0.653","0.654","0.656","0.652","269.07K","0.46%"
"07/27/2025","0.650","0.664","0.667","0.649","524.97K","-1.52%"
"07/23/2025","0.660","0.671","0.671","0.655","535.47K","1.06%"
"07/22/2025","0.653","0.652","0.654","0.651","167.28K","0.15%"
"07/21/2025","0.652","0.651","0.653","0.650","81.06K","0.29%"
"07/20/2025","0.650","0.651","0.651","0.648","101.13K","0.00%"
"07/17/2025","0.650","0.648","0.651","0.648","49.20K","0.15%"
"07/16/2025","0.649","0.647","0.652","0.647","226.92K","0.29%"
"07/15/2025","0.647","0.652","0.652","0.647","38.69K","-0.29%"
"07/14/2025","0.649","0.652","0.652","0.645","480.68K","-0.58%"
"07/13/2025","0.653","0.656","0.658","0.653","288.18K","-0.29%"
"07/10/2025","0.655","0.652","0.655","0.652","96.10K","0.88%"
"07/09/2025","0.649","0.650","0.654","0.648","59.07K","-0.15%"
"07/07/2025","0.650","0.646","0.652","0.646","61.52K","0.89%"
"07/06/2025","0.644","0.655","0.655","0.640","287.85K","-1.46%"
"07/02/2025","0.654","0.659","0.661","0.654","173.66K","-0.72%"
"07/01/2025","0.659","0.657","0.662","0.656","115.44K","0.73%"
"06/30/2025","0.654","0.647","0.655","0.647","193.42K","1.03%"
"06/29/2025","0.647","0.647","0.650","0.646","166.95K","0.00%"
"06/25/2025","0.647","0.645","0.647","0.644","71.22K","0.15%"
"06/24/2025","0.646","0.629","0.647","0.629","152.87K","2.72%"
"06/23/2025","0.629","0.627","0.630","0.625","171.47K","0.61%"
"06/22/2025","0.625","0.606","0.627","0.603","86.92K","1.86%"
"06/19/2025","0.614","0.618","0.618","0.601","76.81K","-0.62%"
"06/18/2025","0.618","0.610","0.619","0.597","226.76K","0.78%"
"06/17/2025","0.613","0.630","0.630","0.612","409.02K","-1.68%"
"06/16/2025","0.624","0.632","0.635","0.624","333.88K","-1.95%"
"06/15/2025","0.636","0.644","0.644","0.622","318.37K","-1.91%"
"06/12/2025","0.648","0.657","0.657","0.647","399.00K","-1.30%"
"06/11/2025","0.657","0.657","0.657","0.655","131.66K","0.58%"
"06/10/2025","0.653","0.655","0.657","0.652","125.21K","-0.29%"
"06/04/2025","0.655","0.655","0.657","0.652","120.11K","0.88%"
"06/03/2025","0.649","0.654","0.655","0.649","64.54K","-0.58%"
"06/02/2025","0.653","0.654","0.658","0.650","60.67K","0.00%"
"06/01/2025","0.653","0.657","0.657","0.653","44.58K","0.15%"
"05/29/2025","0.652","0.657","0.659","0.652","158.41K","-0.87%"
"05/28/2025","0.658","0.653","0.662","0.652","150.14K","0.88%"
"05/27/2025","0.652","0.651","0.653","0.650","95.28K","0.15%"
"05/26/2025","0.651","0.651","0.652","0.650","87.18K","0.15%"
"05/25/2025","0.650","0.655","0.655","0.650","116.35K","-0.87%"
