"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","24.20","24.15","24.41","24.11","1.56M","0.29%"
"11/30/2025","24.13","24.14","24.24","23.97","1.34M","0.12%"
"11/27/2025","24.10","24.21","24.30","24.00","1.20M","-0.45%"
"11/26/2025","24.21","24.30","24.43","24.20","978.07K","-0.33%"
"11/25/2025","24.29","24.62","24.72","24.25","5.33M","-1.30%"
"11/24/2025","24.61","25.00","25.00","24.59","947.06K","-0.97%"
"11/23/2025","24.85","24.72","24.90","24.71","671.30K","0.61%"
"11/20/2025","24.70","24.89","25.05","24.70","929.50K","-0.44%"
"11/19/2025","24.81","24.90","25.10","24.75","701.82K","-0.28%"
"11/18/2025","24.88","25.19","25.20","24.86","1.31M","-0.60%"
"11/17/2025","25.03","25.41","25.50","24.93","2.75M","-1.46%"
"11/16/2025","25.40","25.80","25.94","25.19","2.19M","-1.55%"
"11/13/2025","25.80","25.83","25.94","25.76","1.62M","0.00%"
"11/12/2025","25.80","25.60","25.88","25.55","3.15M","0.78%"
"11/11/2025","25.60","25.30","25.61","25.20","1.31M","1.39%"
"11/10/2025","25.25","25.32","25.50","25.00","1.84M","-0.59%"
"11/09/2025","25.40","25.11","25.40","25.04","3.57M","1.60%"
"11/06/2025","25.00","25.53","25.53","25.00","2.56M","-2.08%"
"11/05/2025","25.53","25.81","25.99","25.20","1.80M","-1.08%"
"11/04/2025","25.81","26.03","26.18","25.70","2.54M","-0.73%"
"11/03/2025","26.00","26.01","26.13","25.82","1.58M","0.08%"
"11/02/2025","25.98","26.35","26.36","25.79","1.30M","-0.61%"
"10/30/2025","26.14","25.98","26.40","25.80","3.37M","1.16%"
"10/29/2025","25.84","25.90","26.03","25.39","909.47K","-0.39%"
"10/28/2025","25.94","26.35","26.40","25.88","2.14M","-1.41%"
"10/27/2025","26.31","26.30","26.50","26.26","2.77M","0.19%"
"10/26/2025","26.26","26.23","26.50","26.18","2.23M","0.42%"
"10/23/2025","26.15","26.10","26.35","26.07","2.35M","0.58%"
"10/22/2025","26.00","25.90","26.15","25.80","1.92M","0.42%"
"10/21/2025","25.89","26.00","26.07","25.70","1.31M","-0.08%"
"10/20/2025","25.91","26.11","26.20","25.83","3.13M","-0.73%"
"10/19/2025","26.10","25.95","26.16","25.81","3.43M","0.69%"
"10/16/2025","25.92","25.51","25.97","25.46","4.42M","1.65%"
"10/15/2025","25.50","25.75","25.89","25.47","1.65M","-0.78%"
"10/14/2025","25.70","25.35","25.87","25.30","3.58M","1.94%"
"10/13/2025","25.21","25.25","25.44","25.17","2.31M","0.04%"
"10/12/2025","25.20","25.00","25.39","24.80","2.03M","0.56%"
"10/08/2025","25.06","25.10","25.25","24.85","2.69M","-0.32%"
"10/07/2025","25.14","25.18","25.28","25.00","1.19M","-0.16%"
"10/06/2025","25.18","25.40","25.50","25.15","1.46M","-0.59%"
"10/05/2025","25.33","24.79","25.45","24.79","4.10M","2.22%"
"10/02/2025","24.78","24.86","24.88","24.72","295.85K","-0.40%"
"10/01/2025","24.88","24.85","25.19","24.82","1.41M","0.24%"
"09/30/2025","24.82","24.70","24.89","24.60","1.63M","0.49%"
"09/29/2025","24.70","24.70","24.90","24.51","1.65M","0.41%"
"09/28/2025","24.60","24.15","24.65","24.15","1.85M","2.20%"
"09/25/2025","24.07","24.20","24.30","24.01","317.41K","-0.45%"
"09/24/2025","24.18","23.81","24.40","23.81","627.67K","1.60%"
"09/23/2025","23.80","23.92","24.14","23.80","437.94K","-0.79%"
"09/22/2025","23.99","23.92","24.10","23.80","360.00K","0.33%"
"09/21/2025","23.91","24.00","24.18","23.70","888.70K","0.08%"
"09/18/2025","23.89","23.86","24.25","23.84","364.03K","0.13%"
"09/17/2025","23.86","23.91","24.00","23.78","387.40K","-0.21%"
"09/16/2025","23.91","24.35","24.89","23.77","698.11K","-1.65%"
"09/15/2025","24.31","24.39","24.60","24.13","896.84K","0.12%"
"09/14/2025","24.28","24.01","24.45","23.96","707.09K","1.34%"
"09/11/2025","23.96","24.00","24.17","23.92","283.23K","-0.17%"
"09/10/2025","24.00","23.84","24.00","23.50","606.95K","1.01%"
