"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","26.75","26.70","26.90","26.32","208.47K","1.13%"
"11/30/2025","26.45","26.75","27.00","26.26","436.04K","-0.26%"
"11/27/2025","26.52","27.51","27.98","26.41","563.77K","-3.60%"
"11/26/2025","27.51","27.85","28.20","27.36","232.29K","-1.36%"
"11/25/2025","27.89","28.15","28.69","27.81","377.70K","-0.89%"
"11/24/2025","28.14","28.70","28.75","28.02","535.35K","-1.61%"
"11/23/2025","28.60","29.26","29.39","28.54","269.48K","-1.04%"
"11/20/2025","28.90","29.20","29.59","28.80","264.92K","-0.69%"
"11/19/2025","29.10","29.21","29.60","28.80","224.53K","-0.10%"
"11/18/2025","29.13","29.61","29.93","29.10","289.51K","-1.62%"
"11/17/2025","29.61","30.35","30.80","29.53","977.45K","-1.30%"
"11/16/2025","30.00","29.21","30.01","28.94","1.54M","3.91%"
"11/13/2025","28.87","28.19","29.25","28.15","903.51K","2.67%"
"11/12/2025","28.12","28.50","28.80","28.07","310.18K","-1.19%"
"11/11/2025","28.46","29.11","29.19","28.11","496.15K","-1.86%"
"11/10/2025","29.00","28.90","29.09","28.68","332.11K","0.49%"
"11/09/2025","28.86","29.47","29.59","28.84","468.11K","-1.77%"
"11/06/2025","29.38","29.40","30.48","28.89","1.14M","0.17%"
"11/05/2025","29.33","30.76","31.24","29.33","2.38M","-4.15%"
"11/04/2025","30.60","29.90","30.90","29.63","1.39M","3.73%"
"11/03/2025","29.50","29.68","29.69","29.30","242.39K","0.68%"
"11/02/2025","29.30","29.78","29.90","29.30","405.58K","0.10%"
"10/30/2025","29.27","29.61","29.93","29.12","198.30K","-0.91%"
"10/29/2025","29.54","29.94","29.94","29.51","133.13K","-0.44%"
"10/28/2025","29.67","30.26","30.35","27.65","475.13K","-1.66%"
"10/27/2025","30.17","30.40","30.80","30.15","229.83K","-0.76%"
"10/26/2025","30.40","30.51","30.93","30.26","530.11K","-0.33%"
"10/23/2025","30.50","30.97","30.97","30.22","321.77K","-0.33%"
"10/22/2025","30.60","30.23","31.47","29.85","1.38M","1.19%"
"10/21/2025","30.24","31.43","31.43","29.53","1.32M","-3.97%"
"10/20/2025","31.49","32.15","32.25","25.65","798.87K","-1.59%"
"10/19/2025","32.00","31.47","32.15","31.11","1.58M","1.68%"
"10/16/2025","31.47","31.61","32.13","31.42","795.65K","-0.41%"
"10/15/2025","31.60","32.00","32.00","31.45","351.30K","-0.22%"
"10/14/2025","31.67","31.75","32.35","31.62","721.33K","0.19%"
"10/13/2025","31.61","31.80","32.18","31.33","607.17K","-0.60%"
"10/12/2025","31.80","33.80","33.90","31.80","1.26M","-5.92%"
"10/09/2025","33.80","33.77","33.80","33.80","1.11M","0.00%"
"10/08/2025","33.80","34.14","34.90","33.78","1.11M","0.09%"
"10/07/2025","33.77","35.20","35.20","33.70","572.76K","-3.24%"
"10/06/2025","34.90","35.80","35.80","34.86","397.10K","-2.02%"
"10/05/2025","35.62","35.85","36.00","34.55","1.12M","0.14%"
"10/02/2025","35.57","35.40","36.00","35.13","460.79K","0.25%"
"10/01/2025","35.48","34.43","35.50","34.26","1.23M","3.08%"
"09/30/2025","34.42","33.88","34.50","33.60","538.76K","1.56%"
"09/29/2025","33.89","34.30","34.36","33.25","1.50M","-0.44%"
"09/28/2025","34.04","33.80","34.29","33.45","293.58K","0.62%"
"09/25/2025","33.83","33.10","33.85","32.90","321.24K","3.11%"
"09/24/2025","32.81","32.27","33.49","32.27","332.41K","-0.55%"
"09/23/2025","32.99","33.39","33.39","32.55","161.94K","-1.23%"
"09/22/2025","33.40","33.03","33.50","31.87","350.45K","1.15%"
"09/21/2025","33.02","34.68","34.69","32.85","468.10K","-4.79%"
"09/18/2025","34.68","34.52","34.80","33.70","370.09K","0.52%"
"09/17/2025","34.50","34.10","34.75","33.52","318.51K","1.53%"
"09/16/2025","33.98","35.12","35.45","33.80","415.77K","-3.47%"
"09/15/2025","35.20","36.10","36.24","35.11","470.23K","-2.25%"
"09/14/2025","36.01","36.40","37.19","35.52","1.29M","-0.66%"
"09/11/2025","36.25","35.49","36.25","35.30","2.07M","2.69%"
"09/10/2025","35.30","34.00","35.60","33.30","2.07M","3.52%"
"09/09/2025","34.10","34.40","34.70","34.07","197.18K","-0.87%"
"09/08/2025","34.40","34.32","34.80","34.08","633.05K","-0.81%"
"09/07/2025","34.68","34.93","34.93","34.12","770.53K","-0.32%"
"09/03/2025","34.79","34.02","35.05","33.92","884.89K","2.32%"
"09/02/2025","34.00","34.00","34.69","33.76","648.88K","0.00%"
"09/01/2025","34.00","33.85","34.04","32.60","354.00K","0.65%"
"08/31/2025","33.78","33.23","34.17","33.16","933.23K","1.72%"
"08/28/2025","33.21","33.05","33.63","33.00","588.88K","0.64%"
"08/27/2025","33.00","33.00","33.60","32.88","395.69K","-0.54%"
"08/26/2025","33.18","34.00","34.30","32.90","508.77K","-2.41%"
"08/25/2025","34.00","34.00","34.68","33.91","400.77K","0.00%"
"08/24/2025","34.00","34.99","35.00","33.50","740.88K","-2.86%"
"08/21/2025","35.00","34.42","35.00","34.00","811.85K","0.34%"
"08/20/2025","34.88","35.26","35.84","34.40","640.10K","-0.77%"
"08/19/2025","35.15","35.60","35.80","34.87","832.96K","-0.99%"
"08/18/2025","35.50","34.59","36.00","34.59","4.13M","3.08%"
"08/17/2025","34.44","33.31","34.74","33.03","1.47M","3.42%"
"08/14/2025","33.30","34.05","34.18","33.30","281.00K","-2.15%"
"08/13/2025","34.03","33.99","34.33","33.56","444.09K","1.04%"
"08/12/2025","33.68","34.20","34.70","33.65","425.23K","-2.86%"
"08/11/2025","34.67","34.85","35.34","34.00","855.42K","-0.09%"
"08/10/2025","34.70","35.20","35.20","34.00","1.86M","-1.56%"
"08/07/2025","35.25","35.55","36.30","35.21","1.18M","-0.68%"
"08/06/2025","35.49","34.24","35.72","34.03","2.31M","3.62%"
"08/05/2025","34.25","33.80","34.35","33.62","930.58K","1.63%"
"08/04/2025","33.70","34.25","34.70","33.61","1.08M","-1.35%"
"08/03/2025","34.16","33.50","34.40","33.30","2.11M","2.89%"
"07/31/2025","33.20","32.00","33.30","31.51","567.89K","3.75%"
"07/30/2025","32.00","31.75","32.00","31.30","252.18K","0.79%"
"07/29/2025","31.75","32.29","32.51","31.21","611.56K","-3.35%"
"07/28/2025","32.85","32.87","32.89","32.25","527.36K","-0.03%"
"07/27/2025","32.86","33.93","34.17","32.26","859.66K","-3.15%"
"07/23/2025","33.93","34.10","34.88","33.60","480.77K","-0.15%"
"07/22/2025","33.98","33.75","34.45","33.26","1.00M","1.43%"
