"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","7.610","7.800","7.840","7.600","1.42M","-1.93%"
"11/30/2025","7.760","7.800","7.890","7.730","1.15M","-0.26%"
"11/27/2025","7.780","7.900","7.980","7.730","1.29M","-1.27%"
"11/26/2025","7.880","7.950","8.080","7.860","1.80M","-0.25%"
"11/25/2025","7.900","8.050","8.050","7.800","1.43M","-1.25%"
"11/24/2025","8.000","8.110","8.170","7.990","1.42M","-1.36%"
"11/23/2025","8.110","8.240","8.240","8.100","577.74K","-1.46%"
"11/20/2025","8.230","8.120","8.230","8.110","1.65M","1.86%"
"11/19/2025","8.080","8.100","8.210","8.000","2.11M","-0.62%"
"11/18/2025","8.130","8.170","8.240","8.100","2.10M","0.00%"
"11/17/2025","8.130","8.250","8.300","8.110","807.37K","-1.09%"
"11/16/2025","8.220","8.360","8.400","8.180","1.01M","-1.08%"
"11/13/2025","8.310","8.180","8.350","8.150","1.83M","2.21%"
"11/12/2025","8.130","8.180","8.290","8.070","1.65M","0.00%"
"11/11/2025","8.130","8.440","8.450","8.110","4.08M","-3.44%"
"11/10/2025","8.420","8.630","8.680","8.250","2.56M","-2.21%"
"11/09/2025","8.610","8.800","8.900","8.550","2.75M","-1.37%"
"11/06/2025","8.730","8.980","9.000","8.730","3.16M","-1.69%"
"11/05/2025","8.880","9.290","9.320","8.870","2.99M","-3.37%"
"11/04/2025","9.190","9.100","9.410","9.070","6.49M","2.45%"
"11/03/2025","8.970","8.830","9.110","8.800","3.84M","2.16%"
"11/02/2025","8.780","8.880","8.880","8.670","796.90K","-0.34%"
"10/30/2025","8.810","8.800","8.920","8.700","1.61M","0.11%"
"10/29/2025","8.800","8.820","8.930","8.770","917.78K","-0.90%"
"10/28/2025","8.880","8.930","9.000","8.770","1.16M","-0.22%"
"10/27/2025","8.900","9.100","9.170","8.860","2.00M","-1.00%"
"10/26/2025","8.990","8.900","9.100","8.790","4.68M","2.51%"
"10/23/2025","8.770","8.820","8.940","8.730","1.55M","-0.11%"
"10/22/2025","8.780","8.980","9.010","8.610","931.70K","-2.12%"
"10/21/2025","8.970","9.030","9.100","8.970","1.46M","0.11%"
"10/20/2025","8.960","9.050","9.220","8.960","7.11M","-0.44%"
"10/19/2025","9.000","8.770","9.020","8.750","4.79M","2.74%"
"10/16/2025","8.760","8.850","8.900","8.700","1.25M","-0.90%"
"10/15/2025","8.840","8.850","8.960","8.740","670.55K","0.45%"
"10/14/2025","8.800","8.970","9.020","8.770","3.48M","-1.23%"
"10/13/2025","8.910","9.000","9.020","8.600","1.75M","-0.34%"
"10/12/2025","8.940","9.000","9.050","8.900","399.51K","0.00%"
"10/09/2025","8.940","8.930","8.940","8.940","1.09M","0.00%"
"10/08/2025","8.940","9.000","9.020","8.850","1.09M","0.11%"
"10/07/2025","8.930","9.050","9.150","8.920","2.10M","-0.78%"
"10/06/2025","9.000","9.210","9.240","9.000","2.64M","-2.17%"
"10/05/2025","9.200","9.250","9.350","9.180","2.63M","0.22%"
"10/02/2025","9.180","9.120","9.280","9.060","2.82M","0.88%"
"10/01/2025","9.100","9.130","9.350","9.000","3.62M","0.22%"
"09/30/2025","9.080","9.450","9.490","9.060","6.42M","-3.30%"
"09/29/2025","9.390","9.600","9.690","9.300","2.64M","-2.19%"
"09/28/2025","9.600","9.400","9.670","9.350","2.83M","3.56%"
"09/25/2025","9.270","9.230","9.550","9.160","4.53M","2.21%"
"09/24/2025","9.070","9.050","9.200","8.930","2.63M","0.22%"
"09/23/2025","9.050","9.330","9.430","9.000","1.84M","-2.37%"
"09/22/2025","9.270","9.330","9.600","9.170","3.10M","-1.70%"
"09/21/2025","9.430","9.480","9.700","9.400","9.72M","0.75%"
"09/18/2025","9.360","8.700","9.360","8.600","7.83M","8.84%"
"09/17/2025","8.600","8.500","8.630","8.400","12.43M","1.18%"
"09/16/2025","8.500","8.640","8.740","8.210","3.24M","-0.23%"
"09/15/2025","8.520","8.250","8.670","8.030","34.11M","3.15%"
"09/14/2025","8.260","8.370","8.440","8.250","1.23M","-1.31%"
"09/11/2025","8.370","8.550","8.600","8.300","3.44M","-1.65%"
"09/10/2025","8.510","8.550","8.690","8.400","1.06M","-0.47%"
"09/09/2025","8.550","8.900","8.900","8.440","2.51M","-1.38%"
"09/08/2025","8.670","8.550","8.960","8.540","6.53M","4.21%"
"09/07/2025","8.320","8.320","8.470","8.200","1.64M","3.35%"
"09/03/2025","8.050","8.210","8.340","8.050","499.95K","-1.95%"
"09/02/2025","8.210","8.350","8.400","8.130","525.08K","-0.97%"
"09/01/2025","8.290","8.480","8.480","8.200","2.05M","-0.84%"
"08/31/2025","8.360","8.560","8.700","8.200","1.64M","-1.42%"
"08/28/2025","8.480","8.420","8.620","8.310","8.29M","1.92%"
"08/27/2025","8.320","7.990","8.500","7.950","9.59M","4.00%"
"08/26/2025","8.000","8.080","8.120","7.990","390.93K","-1.48%"
"08/25/2025","8.120","8.070","8.170","7.990","3.14M","1.63%"
"08/24/2025","7.990","8.020","8.090","7.970","1.82M","-0.25%"
"08/21/2025","8.010","8.020","8.120","7.900","388.99K","-0.74%"
"08/20/2025","8.070","8.200","8.280","8.050","969.66K","-1.34%"
"08/19/2025","8.180","8.180","8.270","8.130","808.50K","0.99%"
"08/18/2025","8.100","7.870","8.160","7.860","2.15M","2.92%"
"08/17/2025","7.870","7.970","7.970","7.850","1.26M","0.25%"
"08/14/2025","7.850","7.960","7.960","7.810","227.80K","-0.13%"
"08/13/2025","7.860","8.000","8.100","7.860","809.99K","-2.48%"
"08/12/2025","8.060","8.050","8.100","7.920","419.99K","0.12%"
"08/11/2025","8.050","8.200","8.200","8.050","1.72M","-0.98%"
"08/10/2025","8.130","8.150","8.240","8.110","489.28K","0.12%"
"08/07/2025","8.120","8.200","8.240","8.100","555.21K","-0.37%"
"08/06/2025","8.150","8.090","8.340","8.040","1.73M","0.87%"
"08/05/2025","8.080","8.100","8.180","8.060","484.65K","-0.12%"
"08/04/2025","8.090","8.070","8.150","8.040","1.63M","0.25%"
"08/03/2025","8.070","7.970","8.140","7.970","244.56K","1.25%"
"07/31/2025","7.970","7.940","8.190","7.940","5.56M","0.89%"
"07/30/2025","7.900","7.940","7.980","7.800","5.60M","0.64%"
"07/29/2025","7.850","8.000","8.000","7.810","431.35K","-1.88%"
"07/28/2025","8.000","8.070","8.100","8.000","577.53K","-1.23%"
"07/27/2025","8.100","8.190","8.230","8.040","317.38K","-0.86%"
"07/23/2025","8.170","8.140","8.270","8.120","2.04M","0.49%"
"07/22/2025","8.130","8.230","8.290","8.130","638.14K","-1.22%"
"07/21/2025","8.230","8.320","8.350","8.090","1.43M","-0.48%"
"07/20/2025","8.270","8.310","8.400","8.260","447.60K","-0.12%"
"07/17/2025","8.280","8.330","8.500","8.270","2.51M","-0.12%"
