"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","6.35","6.14","6.39","6.13","3.20M","3.59%"
"11/30/2025","6.13","6.24","6.24","6.12","1.26M","-0.65%"
"11/27/2025","6.17","6.22","6.30","6.15","740.72K","-0.80%"
"11/26/2025","6.22","6.29","6.37","6.20","1.51M","-0.80%"
"11/25/2025","6.27","6.33","6.40","6.26","1.69M","-0.32%"
"11/24/2025","6.29","6.55","6.61","6.29","2.48M","-3.38%"
"11/23/2025","6.51","6.59","6.67","6.51","6.77M","0.00%"
"11/20/2025","6.51","6.28","6.59","6.26","6.90M","4.16%"
"11/19/2025","6.25","6.29","6.35","6.23","2.03M","-0.16%"
"11/18/2025","6.26","6.33","6.43","6.25","3.14M","-1.11%"
"11/17/2025","6.33","6.44","6.47","6.31","2.58M","-1.56%"
"11/16/2025","6.43","6.40","6.51","6.40","2.65M","0.63%"
"11/13/2025","6.39","6.48","6.52","6.38","2.62M","-1.08%"
"11/12/2025","6.46","6.28","6.47","6.28","7.20M","3.03%"
"11/11/2025","6.27","6.30","6.38","6.25","2.66M","-0.32%"
"11/10/2025","6.29","6.46","6.50","6.17","10.64M","-2.48%"
"11/09/2025","6.45","6.65","6.76","6.39","14.88M","-3.01%"
"11/06/2025","6.65","6.71","6.81","6.59","11.88M","-0.75%"
"11/05/2025","6.70","6.89","6.91","6.67","2.93M","-2.05%"
"11/04/2025","6.84","6.81","7.05","6.80","10.47M","0.44%"
"11/03/2025","6.81","6.85","6.86","6.73","2.30M","0.59%"
"11/02/2025","6.77","6.68","6.87","6.60","5.75M","1.04%"
"10/30/2025","6.70","6.71","6.78","6.69","1.55M","-0.15%"
"10/29/2025","6.71","6.75","6.79","6.69","754.46K","-0.59%"
"10/28/2025","6.75","6.87","6.93","6.65","3.62M","-1.46%"
"10/27/2025","6.85","6.88","6.99","6.83","3.33M","0.00%"
"10/26/2025","6.85","6.85","6.92","6.80","3.25M","0.15%"
"10/23/2025","6.84","6.69","6.87","6.62","4.33M","2.24%"
"10/22/2025","6.69","6.83","6.87","6.66","4.60M","-1.76%"
"10/21/2025","6.81","6.94","7.05","6.80","6.86M","-1.73%"
"10/20/2025","6.93","7.15","7.25","6.91","8.94M","-2.39%"
"10/19/2025","7.10","6.78","7.25","6.76","12.57M","5.50%"
"10/16/2025","6.73","6.74","6.98","6.71","9.07M","0.00%"
"10/15/2025","6.73","6.81","6.87","6.73","2.02M","-1.03%"
"10/14/2025","6.80","6.80","6.80","6.65","4.29M","0.59%"
"10/13/2025","6.76","6.85","6.89","6.75","1.41M","-1.17%"
