"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","2.15","2.19","2.20","2.15","1.66M","-1.83%"
"11/30/2025","2.19","2.14","2.21","2.14","2.50M","2.34%"
"11/27/2025","2.14","2.15","2.15","2.13","763.28K","0.47%"
"11/26/2025","2.13","2.14","2.17","2.12","1.82M","-0.47%"
"11/25/2025","2.14","2.20","2.20","2.13","2.02M","-1.38%"
"11/24/2025","2.17","2.18","2.19","2.16","1.44M","0.00%"
"11/23/2025","2.17","2.18","2.19","2.16","1.57M","0.00%"
"11/20/2025","2.17","2.19","2.21","2.17","2.89M","-0.91%"
"11/19/2025","2.19","2.19","2.20","2.17","2.33M","0.46%"
"11/18/2025","2.18","2.21","2.23","2.17","2.91M","-0.91%"
"11/17/2025","2.20","2.21","2.23","2.19","3.79M","0.00%"
"11/16/2025","2.20","2.20","2.24","2.20","6.58M","0.46%"
"11/13/2025","2.19","2.24","2.24","2.18","2.03M","-0.90%"
"11/12/2025","2.21","2.22","2.25","2.20","2.81M","0.00%"
"11/11/2025","2.21","2.20","2.25","2.18","3.40M","0.45%"
"11/10/2025","2.20","2.19","2.21","2.16","1.53M","-0.45%"
"11/09/2025","2.21","2.19","2.22","2.17","2.34M","1.38%"
"11/06/2025","2.18","2.20","2.23","2.18","1.97M","-0.46%"
"11/05/2025","2.19","2.24","2.25","2.19","3.42M","-1.79%"
"11/04/2025","2.23","2.27","2.27","2.22","4.11M","-0.45%"
"11/03/2025","2.24","2.26","2.27","2.22","5.77M","0.45%"
"11/02/2025","2.23","2.24","2.29","2.21","4.14M","0.45%"
"10/30/2025","2.22","2.23","2.26","2.21","3.49M","0.00%"
"10/29/2025","2.22","2.26","2.27","2.22","5.23M","-0.89%"
"10/28/2025","2.24","2.25","2.27","2.19","9.37M","0.00%"
"10/27/2025","2.24","2.30","2.32","2.24","6.87M","-2.18%"
"10/26/2025","2.29","2.31","2.34","2.27","9.09M","0.88%"
"10/23/2025","2.27","2.23","2.37","2.22","20.78M","3.18%"
"10/22/2025","2.20","2.15","2.27","2.14","13.90M","2.33%"
"10/21/2025","2.15","2.17","2.19","2.13","4.59M","-0.92%"
"10/20/2025","2.17","2.22","2.22","2.16","4.28M","-1.81%"
"10/19/2025","2.21","2.18","2.23","2.17","10.15M","1.84%"
"10/16/2025","2.17","2.20","2.22","2.17","4.67M","-0.91%"
"10/15/2025","2.19","2.13","2.20","2.13","10.44M","3.30%"
"10/14/2025","2.12","2.13","2.17","2.11","5.02M","0.00%"
"10/13/2025","2.12","2.13","2.15","2.09","3.72M","-0.47%"
"10/12/2025","2.13","2.14","2.17","2.12","3.85M","0.00%"
