"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","6.280","6.400","6.400","6.260","732.04K","-0.95%"
"11/30/2025","6.340","6.490","6.490","6.310","287.20K","-1.09%"
"11/27/2025","6.410","6.400","6.440","6.250","393.72K","1.91%"
"11/26/2025","6.290","6.450","6.510","6.030","539.36K","-1.72%"
"11/25/2025","6.400","6.730","6.800","6.400","1.10M","-4.48%"
"11/24/2025","6.700","7.100","7.150","6.610","3.78M","-6.03%"
"11/23/2025","7.130","7.150","7.200","7.050","4.01M","0.42%"
"11/20/2025","7.100","6.970","7.300","6.850","3.43M","1.87%"
"11/19/2025","6.970","6.760","6.980","6.630","3.02M","5.45%"
"11/18/2025","6.610","6.770","6.850","6.610","757.23K","-1.20%"
"11/17/2025","6.690","6.720","6.800","6.550","2.76M","-0.45%"
"11/16/2025","6.720","6.950","6.990","6.720","2.21M","-2.04%"
"11/13/2025","6.860","7.000","7.000","6.850","1.03M","-1.58%"
"11/12/2025","6.970","6.920","7.100","6.810","7.13M","1.01%"
"11/11/2025","6.900","6.700","6.900","6.660","3.97M","3.92%"
"11/10/2025","6.640","6.640","6.860","6.580","10.54M","0.30%"
"11/09/2025","6.620","6.600","6.740","6.580","1.44M","-0.75%"
"11/06/2025","6.670","6.780","6.780","6.560","888.45K","-1.62%"
"11/05/2025","6.780","6.720","6.820","6.410","2.46M","0.89%"
"11/04/2025","6.720","6.780","6.940","6.700","3.42M","-0.15%"
"11/03/2025","6.730","6.780","6.860","6.660","1.40M","0.00%"
"11/02/2025","6.730","6.790","6.950","6.660","2.32M","-1.32%"
"10/30/2025","6.820","6.580","6.830","6.530","8.67M","4.44%"
"10/29/2025","6.530","6.500","6.620","6.470","2.03M","0.31%"
"10/28/2025","6.510","6.640","6.700","6.430","7.45M","-1.96%"
"10/27/2025","6.640","6.270","6.650","6.270","9.38M","5.90%"
"10/26/2025","6.270","6.050","6.350","6.010","5.33M","4.33%"
"10/23/2025","6.010","6.000","6.180","6.000","8.45M","0.17%"
"10/22/2025","6.000","5.830","6.060","5.760","10.61M","3.27%"
"10/21/2025","5.810","5.720","5.900","5.720","7.24M","1.40%"
"10/20/2025","5.730","5.690","5.740","5.610","1.96M","1.78%"
