"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","26.45","26.85","27.00","26.20","578.63K","0.08%"
"11/30/2025","26.43","26.40","27.30","26.01","889.50K","0.92%"
"11/27/2025","26.19","27.02","27.90","26.00","1.15M","-1.91%"
"11/26/2025","26.70","24.59","28.89","23.75","2.91M","8.45%"
"11/25/2025","24.62","22.98","25.19","22.51","2.84M","9.42%"
"11/24/2025","22.50","21.31","23.30","20.25","2.73M","6.08%"
"11/23/2025","21.21","21.50","22.90","20.67","2.49M","3.51%"
"11/20/2025","20.49","18.60","20.90","18.25","2.55M","11.30%"
"11/19/2025","18.41","16.90","18.89","16.71","1.82M","9.58%"
"11/18/2025","16.80","17.30","17.45","16.71","440.12K","-2.78%"
"11/17/2025","17.28","15.25","17.28","15.25","1.29M","13.61%"
"11/16/2025","15.21","15.54","15.55","15.10","83.82K","-0.39%"
"11/13/2025","15.27","15.57","15.60","15.27","130.52K","-1.99%"
"11/12/2025","15.58","15.60","15.68","15.23","120.16K","0.78%"
"11/11/2025","15.46","15.51","15.69","15.40","150.72K","-0.26%"
"11/10/2025","15.50","15.97","15.97","15.41","112.11K","-1.15%"
"11/09/2025","15.68","15.88","15.93","15.60","130.04K","1.03%"
"11/06/2025","15.52","15.83","15.97","15.45","317.54K","-1.90%"
"11/05/2025","15.82","16.21","16.47","15.80","186.95K","-2.22%"
"11/04/2025","16.18","16.72","16.80","16.03","183.65K","-2.76%"
"11/03/2025","16.64","16.20","16.72","15.99","353.73K","4.07%"
"11/02/2025","15.99","16.10","16.10","15.67","105.45K","1.07%"
"10/30/2025","15.82","15.61","16.20","15.50","297.29K","1.15%"
"10/29/2025","15.64","15.84","16.09","15.55","139.02K","-1.26%"
"10/28/2025","15.84","16.37","16.37","15.62","176.98K","-2.58%"
"10/27/2025","16.26","16.60","16.72","16.20","403.63K","-2.69%"
"10/26/2025","16.71","17.05","17.20","16.59","707.40K","-1.99%"
"10/23/2025","17.05","17.11","17.20","16.90","401.91K","-0.47%"
"10/22/2025","17.13","17.45","17.46","17.10","199.43K","-0.52%"
"10/21/2025","17.22","17.33","17.50","17.16","278.79K","-0.98%"
"10/20/2025","17.39","17.15","17.43","17.13","266.92K","1.05%"
"10/19/2025","17.21","17.17","17.47","17.08","183.89K","0.35%"
