"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.190","1.220","1.220","1.180","11.40M","-1.65%"
"11/30/2025","1.210","1.250","1.260","1.210","15.27M","-0.82%"
"11/27/2025","1.220","1.180","1.240","1.170","19.85M","3.39%"
"11/26/2025","1.180","1.210","1.220","1.180","15.87M","-2.48%"
"11/25/2025","1.210","1.220","1.250","1.200","16.78M","-0.82%"
"11/24/2025","1.220","1.250","1.260","1.220","19.15M","-2.40%"
"11/23/2025","1.250","1.280","1.290","1.240","17.61M","-1.57%"
"11/20/2025","1.270","1.300","1.330","1.270","35.84M","-1.55%"
"11/19/2025","1.290","1.290","1.320","1.280","27.83M","0.00%"
"11/18/2025","1.290","1.350","1.380","1.280","61.76M","-4.44%"
"11/17/2025","1.350","1.340","1.420","1.280","145.70M","2.27%"
"11/16/2025","1.320","1.230","1.320","1.220","57.31M","7.32%"
"11/13/2025","1.230","1.250","1.260","1.210","17.27M","-1.60%"
"11/12/2025","1.250","1.240","1.280","1.240","24.96M","0.81%"
"11/11/2025","1.240","1.260","1.280","1.230","23.59M","-1.59%"
"11/10/2025","1.260","1.310","1.310","1.250","19.74M","-2.33%"
"11/09/2025","1.290","1.270","1.310","1.250","22.80M","2.38%"
"11/06/2025","1.260","1.270","1.280","1.240","13.80M","-0.79%"
"11/05/2025","1.270","1.290","1.320","1.260","22.17M","-0.78%"
"11/04/2025","1.280","1.350","1.350","1.280","25.49M","-3.76%"
"11/03/2025","1.330","1.230","1.340","1.220","67.57M","8.13%"
"11/02/2025","1.230","1.250","1.260","1.210","10.80M","-0.81%"
"10/30/2025","1.240","1.270","1.270","1.240","10.10M","-1.59%"
"10/29/2025","1.260","1.240","1.290","1.230","25.36M","1.61%"
"10/28/2025","1.240","1.280","1.290","1.230","33.05M","-2.36%"
"10/27/2025","1.270","1.290","1.300","1.250","29.03M","-0.78%"
"10/26/2025","1.280","1.280","1.310","1.230","63.64M","0.79%"
"10/23/2025","1.270","1.130","1.330","1.130","188.46M","14.41%"
"10/22/2025","1.110","1.080","1.140","1.080","36.57M","2.78%"
"10/21/2025","1.080","1.090","1.110","1.070","24.67M","-0.92%"
"10/20/2025","1.090","1.110","1.160","1.080","90.16M","-0.91%"
"10/19/2025","1.100","1.090","1.100","1.080","12.17M","1.85%"
"10/16/2025","1.080","1.060","1.110","1.060","31.51M","2.86%"
"10/15/2025","1.050","1.070","1.070","1.040","33.15M","-0.94%"
"10/14/2025","1.060","1.050","1.070","1.050","6.42M","0.95%"
"10/13/2025","1.050","1.060","1.070","1.040","5.54M","0.00%"
"10/12/2025","1.050","1.030","1.060","1.030","4.16M","1.94%"
"10/08/2025","1.030","1.040","1.050","1.030","2.68M","0.00%"
"10/07/2025","1.030","1.030","1.060","1.020","7.19M","0.00%"
"10/06/2025","1.030","1.030","1.040","1.020","4.14M","0.00%"
"10/05/2025","1.030","1.040","1.050","1.030","2.90M","0.00%"
"10/02/2025","1.030","1.030","1.030","1.010","3.75M","0.98%"
"10/01/2025","1.020","1.030","1.040","1.010","3.36M","-0.97%"
"09/30/2025","1.030","1.040","1.050","1.030","3.99M","-0.96%"
"09/29/2025","1.040","1.040","1.060","1.040","5.31M","0.00%"
"09/28/2025","1.040","1.040","1.060","1.030","4.54M","0.00%"
"09/25/2025","1.040","0.990","1.060","0.970","16.51M","6.12%"
"09/24/2025","0.980","0.990","1.000","0.970","6.56M","0.00%"
"09/23/2025","0.980","0.980","1.000","0.970","7.21M","1.03%"
"09/22/2025","0.970","1.000","1.000","0.960","8.24M","-3.00%"
"09/21/2025","1.000","1.020","1.030","1.000","2.25M","-1.96%"
"09/18/2025","1.020","1.030","1.040","1.020","1.49M","-0.97%"
"09/17/2025","1.030","1.010","1.030","1.000","3.20M","1.98%"
"09/16/2025","1.010","1.040","1.040","1.000","3.80M","-1.94%"
"09/15/2025","1.030","1.060","1.060","1.030","3.60M","-2.83%"
"09/14/2025","1.060","1.070","1.070","1.050","3.02M","0.00%"
"09/11/2025","1.060","1.070","1.080","0.930","7.17M","-0.93%"
"09/10/2025","1.070","1.070","1.080","1.060","2.91M","0.00%"
"09/09/2025","1.070","1.080","1.100","1.060","8.48M","-0.93%"
"09/08/2025","1.080","1.080","1.090","1.070","4.56M","0.93%"
"09/07/2025","1.070","1.070","1.090","1.060","6.48M","0.00%"
"09/03/2025","1.070","1.070","1.080","1.060","4.73M","0.00%"
"09/02/2025","1.070","1.080","1.080","1.070","4.15M","0.00%"
"09/01/2025","1.070","1.090","1.090","1.060","7.83M","-0.93%"
"08/31/2025","1.080","1.100","1.110","1.070","11.91M","-0.92%"
"08/28/2025","1.090","1.080","1.130","1.080","25.52M","0.93%"
"08/27/2025","1.080","1.080","1.090","1.070","4.45M","0.93%"
"08/26/2025","1.070","1.070","1.090","1.060","9.62M","0.00%"
"08/25/2025","1.070","1.080","1.080","1.060","3.88M","0.00%"
"08/24/2025","1.070","1.080","1.090","1.070","6.32M","0.00%"
"08/21/2025","1.070","1.080","1.080","1.060","2.71M","0.00%"
"08/20/2025","1.070","1.070","1.100","1.060","10.63M","0.00%"
"08/19/2025","1.070","1.090","1.090","1.070","4.27M","-0.93%"
"08/18/2025","1.080","1.100","1.110","1.080","4.51M","-1.82%"
"08/17/2025","1.100","1.080","1.130","1.060","20.96M","2.80%"
"08/14/2025","1.070","1.080","1.080","1.050","7.69M","0.00%"
"08/13/2025","1.070","1.090","1.100","1.070","5.29M","-1.83%"
"08/12/2025","1.090","1.110","1.110","1.080","5.27M","-0.91%"
"08/11/2025","1.100","1.120","1.120","1.090","9.88M","-1.79%"
"08/10/2025","1.120","1.100","1.130","1.090","17.39M","2.75%"
"08/07/2025","1.090","1.070","1.100","1.060","9.28M","1.87%"
"08/06/2025","1.070","1.080","1.090","1.070","7.94M","-0.93%"
"08/05/2025","1.080","1.110","1.110","1.070","10.86M","-1.82%"
"08/04/2025","1.100","1.080","1.100","1.070","21.85M","2.80%"
"08/03/2025","1.070","1.040","1.090","1.030","21.07M","3.88%"
"07/31/2025","1.030","1.030","1.040","1.020","2.85M","0.00%"
"07/30/2025","1.030","1.050","1.060","1.020","8.84M","0.00%"
"07/29/2025","1.030","1.070","1.070","1.030","14.93M","-2.83%"
"07/28/2025","1.060","1.030","1.080","1.010","20.67M","3.92%"
"07/27/2025","1.020","1.030","1.040","1.020","3.96M","-0.97%"
"07/23/2025","1.030","1.030","1.040","1.010","6.73M","0.00%"
"07/22/2025","1.030","1.040","1.050","1.020","3.39M","-0.96%"
