"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","76.78","76.20","77.50","76.20","141.51K","1.01%"
"11/30/2025","76.01","76.60","77.89","76.00","127.41K","-0.68%"
"11/27/2025","76.53","76.80","77.75","76.42","128.97K","-0.23%"
"11/26/2025","76.71","75.61","78.86","75.61","319.17K","1.55%"
"11/25/2025","75.54","76.06","76.60","75.20","150.35K","-0.63%"
"11/24/2025","76.02","76.76","77.00","76.02","154.32K","-0.67%"
"11/23/2025","76.53","76.69","78.00","76.53","153.02K","-0.22%"
"11/20/2025","76.70","77.45","77.47","76.50","155.08K","-0.39%"
"11/19/2025","77.00","77.00","77.45","76.61","157.28K","0.00%"
"11/18/2025","77.00","79.30","79.60","77.00","253.27K","-2.53%"
"11/17/2025","79.00","78.11","79.50","77.90","334.70K","1.32%"
"11/16/2025","77.97","80.00","80.00","77.80","641.99K","-2.29%"
"11/13/2025","79.80","81.33","81.80","79.05","358.18K","-1.57%"
"11/12/2025","81.07","81.00","81.70","80.72","395.88K","0.45%"
"11/11/2025","80.71","81.90","82.00","80.26","319.02K","0.07%"
"11/10/2025","80.65","82.50","83.18","80.51","750.38K","-1.78%"
"11/09/2025","82.11","80.50","83.50","80.10","2.06M","3.82%"
"11/06/2025","79.09","75.49","82.99","75.00","2.57M","5.44%"
"11/05/2025","75.01","75.21","75.90","74.83","376.19K","-0.07%"
"11/04/2025","75.06","75.96","76.00","75.03","77.68K","-1.20%"
"11/03/2025","75.97","75.74","75.98","75.00","200.98K","1.13%"
"11/02/2025","75.12","75.95","76.19","75.11","67.47K","-0.98%"
"10/30/2025","75.86","76.00","76.50","75.41","48.38K","-0.13%"
"10/29/2025","75.96","76.35","76.74","75.53","74.44K","-0.04%"
"10/28/2025","75.99","76.99","77.00","75.90","257.56K","-0.95%"
"10/27/2025","76.72","76.20","76.96","76.20","85.97K","0.68%"
"10/26/2025","76.20","76.95","77.49","75.80","168.35K","-0.97%"
"10/23/2025","76.95","77.25","77.80","76.91","130.89K","-0.34%"
"10/22/2025","77.21","77.37","78.40","77.15","154.90K","-0.19%"
"10/21/2025","77.36","77.41","77.97","77.10","163.51K","-0.18%"
"10/20/2025","77.50","80.00","82.99","77.10","363.95K","-0.12%"
"10/19/2025","77.59","77.50","77.59","77.59","","0.00%"
"10/16/2025","77.59","77.50","78.49","77.26","215.12K","0.12%"
"10/15/2025","77.50","76.77","77.77","76.05","229.03K","1.15%"
"10/14/2025","76.62","78.00","78.48","76.60","102.16K","-1.49%"
"10/13/2025","77.78","78.12","79.00","77.14","301.22K","-0.36%"
"10/12/2025","78.06","76.01","79.00","75.80","619.01K","2.07%"
"10/08/2025","76.48","75.87","76.66","75.10","214.66K","0.86%"
"10/07/2025","75.83","75.18","76.76","75.02","371.01K","0.85%"
"10/06/2025","75.19","74.42","75.53","74.03","238.33K","1.03%"
"10/05/2025","74.42","74.40","74.80","74.11","56.62K","0.54%"
"10/02/2025","74.02","74.20","74.40","73.72","144.75K","0.24%"
"10/01/2025","73.84","74.00","74.49","73.70","53.48K","-0.08%"
"09/30/2025","73.90","74.56","74.89","73.90","177.27K","-0.58%"
"09/29/2025","74.33","72.90","75.10","72.90","400.35K","1.98%"
"09/28/2025","72.89","73.01","73.45","72.77","77.92K","0.28%"
"09/25/2025","72.69","74.00","74.00","72.40","504.25K","-0.94%"
"09/24/2025","73.38","73.56","74.27","73.28","97.03K","-0.23%"
"09/23/2025","73.55","73.00","74.23","72.90","389.36K","0.77%"
"09/22/2025","72.99","73.34","73.87","72.95","87.15K","-0.71%"
"09/21/2025","73.51","74.00","74.00","73.21","54.15K","-0.62%"
"09/18/2025","73.97","73.51","74.45","73.20","163.99K","0.61%"
"09/17/2025","73.52","73.50","73.90","73.25","145.60K","-0.14%"
"09/16/2025","73.62","74.24","74.96","73.52","97.41K","-0.58%"
"09/15/2025","74.05","74.91","75.00","73.81","166.26K","-1.15%"
"09/14/2025","74.91","75.00","75.18","74.24","371.31K","0.19%"
"09/11/2025","74.77","74.90","75.48","74.50","128.43K","0.11%"
"09/10/2025","74.69","75.00","75.02","74.60","192.05K","-0.43%"
"09/09/2025","75.01","75.08","75.48","75.00","167.91K","0.01%"
"09/08/2025","75.00","75.11","75.60","75.00","141.90K","-0.15%"
"09/07/2025","75.11","75.01","75.60","75.01","48.64K","0.15%"
"09/03/2025","75.00","74.75","75.00","74.50","93.75K","0.74%"
"09/02/2025","74.45","75.00","75.49","74.02","209.66K","-0.20%"
"09/01/2025","74.60","74.92","75.50","74.51","204.87K","-0.40%"
"08/31/2025","74.90","75.45","76.00","74.60","78.98K","-0.21%"
"08/28/2025","75.06","75.20","76.25","74.81","161.77K","0.08%"
"08/27/2025","75.00","74.60","75.49","74.50","324.81K","0.66%"
"08/26/2025","74.51","75.20","75.60","74.51","579.72K","-0.79%"
"08/25/2025","75.10","76.11","76.86","75.00","348.92K","-1.05%"
"08/24/2025","75.90","77.11","77.49","75.85","127.71K","-1.43%"
"08/21/2025","77.00","77.31","77.50","76.51","167.28K","-0.28%"
"08/20/2025","77.22","79.50","79.50","77.00","190.53K","-2.31%"
"08/19/2025","79.05","78.60","79.73","78.50","72.18K","0.64%"
"08/18/2025","78.55","80.50","80.75","78.55","341.50K","-2.18%"
"08/17/2025","80.30","80.35","81.30","79.62","399.09K","-0.02%"
"08/14/2025","80.32","79.22","82.00","78.11","504.30K","1.41%"
"08/13/2025","79.20","78.74","79.50","78.05","336.45K","0.58%"
"08/12/2025","78.74","79.39","79.60","78.02","240.84K","-0.33%"
"08/11/2025","79.00","76.00","79.94","75.50","913.52K","3.95%"
"08/10/2025","76.00","74.80","76.48","74.70","358.81K","1.86%"
"08/07/2025","74.61","75.13","75.50","74.61","68.13K","-0.68%"
"08/06/2025","75.12","74.70","75.50","74.70","186.30K","0.79%"
"08/05/2025","74.53","74.58","74.74","74.21","133.72K","0.04%"
"08/04/2025","74.50","74.48","74.80","74.21","222.53K","0.28%"
"08/03/2025","74.29","74.60","75.00","74.21","97.34K","-0.27%"
"07/31/2025","74.49","74.20","74.55","74.10","57.50K","0.44%"
"07/30/2025","74.16","74.35","74.96","74.02","144.70K","-0.16%"
"07/29/2025","74.28","74.36","74.99","74.06","60.78K","0.38%"
"07/28/2025","74.00","76.21","77.00","74.00","267.75K","-2.84%"
"07/27/2025","76.16","76.67","77.15","76.01","51.70K","-0.64%"
"07/23/2025","76.65","76.89","77.00","75.52","364.52K","0.13%"
"07/22/2025","76.55","76.65","77.15","76.30","88.60K","-0.07%"
"07/21/2025","76.60","77.89","77.89","76.60","119.19K","-0.98%"
"07/20/2025","77.36","77.60","77.79","77.22","57.22K","-0.25%"
"07/17/2025","77.55","77.49","78.20","77.21","179.61K","0.45%"
"07/16/2025","77.20","75.90","78.79","75.90","894.79K","1.85%"
"07/15/2025","75.80","76.00","76.73","75.70","204.90K","0.24%"
"07/14/2025","75.62","76.00","76.25","75.55","60.36K","-0.15%"
"07/13/2025","75.73","75.96","76.48","75.60","51.67K","-0.22%"
"07/10/2025","75.90","75.75","76.85","75.75","50.54K","0.20%"
"07/09/2025","75.75","76.76","77.50","75.50","214.43K","-1.32%"
"07/07/2025","76.76","77.53","77.58","76.15","70.62K","-1.06%"
"07/06/2025","77.58","76.34","78.10","76.01","281.12K","1.50%"
"07/02/2025","76.43","75.02","76.60","75.02","270.36K","1.91%"
"07/01/2025","75.00","75.50","77.15","74.00","509.56K","-0.09%"
"06/30/2025","75.07","76.81","76.89","74.85","307.74K","-1.46%"
