"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","8.180","8.220","8.310","8.140","3.00M","-0.12%"
"11/30/2025","8.190","8.300","8.350","8.140","2.14M","-0.97%"
"11/27/2025","8.270","8.310","8.380","8.150","2.26M","-0.72%"
"11/26/2025","8.330","8.440","8.530","8.270","2.42M","-0.24%"
"11/25/2025","8.350","8.670","8.800","8.250","4.55M","-4.24%"
"11/24/2025","8.720","8.800","8.860","8.650","1.72M","-0.91%"
"11/23/2025","8.800","8.890","8.920","8.760","2.21M","-0.11%"
"11/20/2025","8.810","9.360","9.540","8.800","11.50M","-4.24%"
"11/19/2025","9.200","8.800","9.370","8.740","10.79M","4.55%"
"11/18/2025","8.800","8.850","9.000","8.730","2.14M","-0.56%"
"11/17/2025","8.850","9.070","9.200","8.700","8.25M","-1.45%"
"11/16/2025","8.980","8.440","9.040","8.440","21.45M","7.54%"
"11/13/2025","8.350","8.170","8.390","8.160","4.71M","2.45%"
"11/12/2025","8.150","8.190","8.250","8.120","2.20M","-0.37%"
"11/11/2025","8.180","8.210","8.310","8.170","2.47M","0.00%"
"11/10/2025","8.180","8.170","8.330","8.140","2.09M","0.37%"
"11/09/2025","8.150","8.260","8.300","8.140","3.21M","-1.21%"
"11/06/2025","8.250","8.400","8.450","8.200","3.20M","-1.67%"
"11/05/2025","8.390","8.620","8.690","8.330","6.22M","-1.41%"
"11/04/2025","8.510","8.550","8.580","8.410","6.79M","0.24%"
"11/03/2025","8.490","8.300","8.610","8.280","11.94M","2.78%"
"11/02/2025","8.260","8.280","8.350","8.150","4.11M","0.73%"
"10/30/2025","8.200","8.300","8.400","8.180","3.40M","-1.09%"
"10/29/2025","8.290","8.550","8.560","8.290","11.63M","-1.89%"
"10/28/2025","8.450","7.940","8.450","7.850","16.44M","6.56%"
"10/27/2025","7.930","8.020","8.040","7.920","1.36M","-0.38%"
"10/26/2025","7.960","8.000","8.060","7.950","1.78M","0.76%"
"10/23/2025","7.900","7.860","8.040","7.860","2.30M","0.51%"
"10/22/2025","7.860","7.900","7.930","7.800","1.18M","0.26%"
"10/21/2025","7.840","7.970","8.030","7.760","2.77M","-1.38%"
"10/20/2025","7.950","8.050","8.140","7.910","7.54M","-0.63%"
"10/19/2025","8.000","7.800","8.100","7.800","11.21M","3.63%"
"10/16/2025","7.720","7.570","7.800","7.570","3.32M","1.98%"
"10/15/2025","7.570","7.610","7.650","7.500","1.36M","-0.39%"
"10/14/2025","7.600","7.680","7.680","7.590","938.76K","-0.52%"
"10/13/2025","7.640","7.640","7.700","7.550","1.76M","0.13%"
"10/12/2025","7.630","7.700","7.750","7.630","970.07K","-0.91%"
"10/08/2025","7.700","7.720","7.800","7.650","1.45M","0.00%"
"10/07/2025","7.700","7.800","7.850","7.680","3.29M","0.65%"
"10/06/2025","7.650","7.550","7.650","7.490","1.64M","1.73%"
"10/05/2025","7.520","7.530","7.570","7.470","1.40M","0.67%"
"10/02/2025","7.470","7.600","7.600","7.420","1.58M","-1.19%"
"10/01/2025","7.560","7.630","7.660","7.510","1.15M","-0.26%"
"09/30/2025","7.580","7.550","7.700","7.540","1.44M","0.66%"
"09/29/2025","7.530","7.610","7.650","7.500","860.21K","-0.92%"
"09/28/2025","7.600","7.490","7.670","7.430","2.63M","2.56%"
"09/25/2025","7.410","7.450","7.510","7.400","1.65M","0.14%"
"09/24/2025","7.400","7.410","7.440","7.360","331.36K","0.54%"
"09/23/2025","7.360","7.420","7.480","7.350","824.89K","0.00%"
"09/22/2025","7.360","7.400","7.450","7.300","1.70M","-0.54%"
"09/21/2025","7.400","7.580","7.660","7.400","1.94M","-2.37%"
"09/18/2025","7.580","7.610","7.700","7.560","1.59M","-0.39%"
"09/17/2025","7.610","7.610","7.660","7.560","685.48K","0.13%"
"09/16/2025","7.600","7.810","7.840","7.550","2.41M","-2.44%"
"09/15/2025","7.790","7.900","7.950","7.770","1.36M","-1.14%"
"09/14/2025","7.880","7.830","8.070","7.740","3.95M","0.90%"
"09/11/2025","7.810","7.900","7.920","7.700","1.63M","-0.64%"
