"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","2.690","2.690","2.720","2.680","1.46M","0.00%"
"11/30/2025","2.690","2.690","2.710","2.670","1.65M","0.00%"
"11/27/2025","2.690","2.680","2.690","2.670","1.43M","0.37%"
"11/26/2025","2.680","2.690","2.740","2.670","3.18M","-0.37%"
"11/25/2025","2.690","2.710","2.730","2.680","1.38M","-0.74%"
"11/24/2025","2.710","2.670","2.710","2.670","719.32K","1.50%"
"11/23/2025","2.670","2.720","2.720","2.670","2.06M","-1.11%"
"11/20/2025","2.700","2.720","2.730","2.690","1.43M","-0.74%"
"11/19/2025","2.720","2.710","2.740","2.700","2.02M","0.37%"
"11/18/2025","2.710","2.750","2.760","2.700","2.24M","-1.45%"
"11/17/2025","2.750","2.770","2.810","2.750","2.43M","-0.72%"
"11/16/2025","2.770","2.790","2.800","2.760","3.40M","-0.36%"
"11/13/2025","2.780","2.820","2.830","2.760","3.55M","-1.07%"
"11/12/2025","2.810","2.830","2.840","2.790","1.42M","-0.35%"
"11/11/2025","2.820","2.830","2.860","2.810","1.85M","0.00%"
"11/10/2025","2.820","2.860","2.870","2.810","2.12M","-1.05%"
"11/09/2025","2.850","2.920","2.940","2.850","7.11M","-0.35%"
"11/06/2025","2.860","2.790","2.960","2.770","17.49M","3.25%"
"11/05/2025","2.770","2.790","2.810","2.760","1.46M","-1.07%"
"11/04/2025","2.800","2.820","2.830","2.780","4.59M","0.00%"
"11/03/2025","2.800","2.810","2.840","2.790","1.82M","-0.36%"
"11/02/2025","2.810","2.840","2.870","2.800","1.84M","-0.35%"
"10/30/2025","2.820","2.810","2.860","2.790","2.79M","0.71%"
"10/29/2025","2.800","2.820","2.830","2.770","2.12M","-0.71%"
"10/28/2025","2.820","2.840","2.850","2.790","1.60M","0.00%"
"10/27/2025","2.820","2.900","2.900","2.810","4.60M","-2.08%"
"10/26/2025","2.880","2.880","2.930","2.850","4.82M","1.05%"
"10/23/2025","2.850","2.840","2.930","2.840","5.15M","1.06%"
"10/22/2025","2.820","2.810","2.940","2.810","6.92M","0.71%"
"10/21/2025","2.800","2.800","2.830","2.740","4.38M","0.72%"
"10/20/2025","2.780","2.910","2.930","2.780","5.80M","-4.47%"
"10/19/2025","2.910","2.770","3.040","2.760","16.39M","5.82%"
"10/16/2025","2.750","2.690","2.780","2.680","6.82M","3.00%"
"10/15/2025","2.670","2.680","2.690","2.670","1.65M","-0.37%"
"10/14/2025","2.680","2.690","2.700","2.670","1.71M","0.00%"
"10/13/2025","2.680","2.690","2.710","2.670","1.24M","-0.37%"
"10/12/2025","2.690","2.700","2.700","2.660","1.47M","0.75%"
"10/08/2025","2.670","2.690","2.690","2.660","766.49K","0.00%"
"10/07/2025","2.670","2.680","2.710","2.660","893.14K","0.00%"
"10/06/2025","2.670","2.700","2.700","2.670","1.12M","-1.11%"
"10/05/2025","2.700","2.710","2.720","2.680","929.48K","0.00%"
"10/02/2025","2.700","2.700","2.710","2.680","935.33K","0.75%"
"10/01/2025","2.680","2.710","2.720","2.670","928.32K","-0.74%"
"09/30/2025","2.700","2.720","2.730","2.700","1.24M","0.00%"
"09/29/2025","2.700","2.680","2.710","2.660","1.28M","1.12%"
"09/28/2025","2.670","2.650","2.680","2.640","675.15K","1.14%"
"09/25/2025","2.640","2.630","2.640","2.630","235.65K","0.76%"
"09/24/2025","2.620","2.630","2.640","2.610","444.94K","-0.38%"
"09/23/2025","2.630","2.620","2.650","2.620","341.36K","-0.38%"
"09/22/2025","2.640","2.640","2.640","2.610","563.24K","0.38%"
"09/21/2025","2.630","2.620","2.660","2.620","472.88K","0.77%"
"09/18/2025","2.610","2.620","2.640","2.610","360.00K","-0.38%"
