"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","15.45","15.59","15.75","15.36","4.04M","-0.32%"
"11/30/2025","15.50","15.00","15.51","15.00","4.85M","3.68%"
"11/27/2025","14.95","14.80","14.97","14.64","11.17M","2.12%"
"11/26/2025","14.64","14.89","15.15","14.60","3.21M","-0.95%"
"11/25/2025","14.78","15.10","15.26","14.77","4.23M","-1.47%"
"11/24/2025","15.00","15.40","15.49","15.00","12.53M","-2.41%"
"11/23/2025","15.37","15.40","15.60","15.31","2.42M","0.46%"
"11/20/2025","15.30","15.58","15.79","15.30","7.40M","-1.61%"
"11/19/2025","15.55","15.54","15.75","15.31","9.16M","0.26%"
"11/18/2025","15.51","15.96","15.99","15.49","8.89M","-2.82%"
"11/17/2025","15.96","15.80","16.10","15.74","16.50M","1.66%"
"11/16/2025","15.70","15.30","15.73","15.15","16.76M","3.15%"
"11/13/2025","15.22","15.17","15.42","15.00","25.14M","0.33%"
"11/12/2025","15.17","15.27","15.35","14.98","18.90M","0.13%"
"11/11/2025","15.15","15.58","15.64","15.15","7.61M","-2.26%"
"11/10/2025","15.50","16.08","16.10","15.29","16.94M","-3.13%"
"11/09/2025","16.00","15.50","16.10","15.50","10.86M","4.03%"
"11/06/2025","15.38","14.32","15.50","14.31","20.31M","7.55%"
"11/05/2025","14.30","14.60","14.65","14.30","5.00M","-1.85%"
"11/04/2025","14.57","14.34","14.57","14.33","8.78M","1.89%"
"11/03/2025","14.30","14.55","14.63","14.20","7.20M","-1.04%"
"11/02/2025","14.45","14.76","14.79","14.38","2.44M","-1.03%"
"10/30/2025","14.60","14.60","14.90","14.50","68.47M","0.21%"
"10/29/2025","14.57","14.65","14.67","14.50","1.45M","-0.21%"
"10/28/2025","14.60","14.66","14.70","14.48","2.53M","-0.41%"
"10/27/2025","14.66","14.37","14.70","14.35","16.62M","2.02%"
"10/26/2025","14.37","14.40","14.47","14.32","2.94M","-0.21%"
"10/23/2025","14.40","14.30","14.47","14.22","5.83M","0.70%"
"10/22/2025","14.30","14.37","14.40","14.23","5.06M","-0.07%"
"10/21/2025","14.31","14.29","14.40","14.26","15.07M","0.42%"
"10/20/2025","14.25","14.38","14.40","14.25","3.46M","-0.77%"
"10/19/2025","14.36","14.37","14.43","14.28","4.89M","0.21%"
"10/16/2025","14.33","14.30","14.41","14.23","15.92M","0.56%"
"10/15/2025","14.25","14.47","14.49","13.90","21.44M","-1.04%"
"10/14/2025","14.40","14.60","14.73","14.40","8.01M","-1.37%"
"10/13/2025","14.60","14.68","14.70","14.36","4.25M","-0.61%"
"10/12/2025","14.69","14.59","14.70","14.40","3.42M","-0.20%"
"10/08/2025","14.72","14.61","14.74","14.39","2.62M","0.82%"
"10/07/2025","14.60","14.78","14.82","14.51","2.03M","-1.22%"
"10/06/2025","14.78","14.62","14.97","14.41","2.72M","1.16%"
"10/05/2025","14.61","14.53","14.73","14.52","1.81M","0.69%"
"10/02/2025","14.51","14.30","14.70","14.18","11.48M","2.18%"
"10/01/2025","14.20","14.29","14.43","14.10","6.58M","0.00%"
"09/30/2025","14.20","14.39","14.55","14.08","4.56M","-0.49%"
"09/29/2025","14.27","13.89","14.30","13.82","9.73M","2.66%"
"09/28/2025","13.90","13.85","13.96","13.71","1.36M","0.72%"
"09/25/2025","13.80","13.77","13.90","13.75","2.11M","0.36%"
"09/24/2025","13.75","13.80","13.98","13.69","2.30M","-0.58%"
"09/23/2025","13.83","13.52","13.98","13.52","5.88M","2.67%"
"09/22/2025","13.47","13.51","13.80","13.40","6.48M","-0.22%"
