"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.591","0.606","0.608","0.588","12.53M","-2.48%"
"11/30/2025","0.606","0.605","0.617","0.599","13.20M","1.17%"
"11/27/2025","0.599","0.584","0.609","0.584","10.98M","2.92%"
"11/26/2025","0.582","0.585","0.588","0.580","6.00M","-0.51%"
"11/25/2025","0.585","0.605","0.608","0.583","14.22M","-2.99%"
"11/24/2025","0.603","0.621","0.621","0.603","16.24M","-2.90%"
"11/23/2025","0.621","0.630","0.634","0.621","14.62M","-1.11%"
"11/20/2025","0.628","0.628","0.642","0.620","28.80M","0.96%"
"11/19/2025","0.622","0.611","0.624","0.609","20.76M","1.80%"
"11/18/2025","0.611","0.635","0.637","0.610","29.97M","-3.17%"
"11/17/2025","0.631","0.637","0.642","0.620","97.61M","0.00%"
"11/16/2025","0.631","0.592","0.638","0.590","118.67M","6.95%"
"11/13/2025","0.590","0.600","0.603","0.590","9.65M","-0.34%"
"11/12/2025","0.592","0.593","0.606","0.592","14.79M","0.00%"
"11/11/2025","0.592","0.595","0.597","0.590","8.67M","0.00%"
"11/10/2025","0.592","0.604","0.605","0.590","16.38M","-1.50%"
"11/09/2025","0.601","0.573","0.613","0.573","58.86M","4.89%"
"11/06/2025","0.573","0.578","0.583","0.571","18.70M","-0.69%"
"11/05/2025","0.577","0.594","0.598","0.575","27.93M","-2.53%"
"11/04/2025","0.592","0.603","0.609","0.592","64.21M","-0.17%"
"11/03/2025","0.593","0.574","0.598","0.566","43.78M","3.85%"
"11/02/2025","0.571","0.573","0.580","0.563","12.19M","-0.17%"
"10/30/2025","0.572","0.575","0.579","0.572","11.52M","-0.52%"
"10/29/2025","0.575","0.577","0.588","0.575","19.50M","-0.17%"
"10/28/2025","0.576","0.587","0.587","0.574","12.98M","-1.54%"
"10/27/2025","0.585","0.592","0.595","0.584","28.55M","0.34%"
"10/26/2025","0.583","0.591","0.595","0.580","40.75M","-0.34%"
"10/23/2025","0.585","0.561","0.615","0.561","196.76M","5.03%"
"10/22/2025","0.557","0.544","0.576","0.544","35.35M","2.39%"
"10/21/2025","0.544","0.553","0.553","0.543","8.81M","-1.09%"
"10/20/2025","0.550","0.550","0.561","0.547","15.46M","0.55%"
"10/19/2025","0.547","0.534","0.555","0.534","21.85M","2.63%"
"10/16/2025","0.533","0.528","0.544","0.526","25.94M","1.91%"
"10/15/2025","0.523","0.530","0.530","0.520","15.74M","-0.38%"
"10/14/2025","0.525","0.528","0.533","0.525","9.91M","0.19%"
"10/13/2025","0.524","0.518","0.529","0.517","3.00M","0.77%"
"10/12/2025","0.520","0.520","0.522","0.513","3.70M","-0.19%"
"10/09/2025","0.521","0.523","0.521","0.521","3.81M","0.00%"
"10/08/2025","0.521","0.525","0.526","0.520","3.81M","-0.38%"
"10/07/2025","0.523","0.525","0.526","0.522","3.13M","0.19%"
"10/06/2025","0.522","0.522","0.527","0.521","3.83M","0.19%"
"10/05/2025","0.521","0.520","0.530","0.520","8.74M","0.39%"
"10/02/2025","0.519","0.529","0.529","0.518","6.13M","-0.95%"
"10/01/2025","0.524","0.527","0.530","0.524","4.03M","-0.19%"
"09/30/2025","0.525","0.533","0.533","0.524","10.02M","-0.76%"
"09/29/2025","0.529","0.530","0.533","0.527","4.90M","0.38%"
"09/28/2025","0.527","0.532","0.534","0.525","16.03M","-0.94%"
"09/25/2025","0.532","0.547","0.548","0.525","36.45M","-1.85%"
"09/24/2025","0.542","0.529","0.543","0.526","5.83M","2.65%"
"09/23/2025","0.528","0.525","0.534","0.525","2.98M","0.76%"
"09/22/2025","0.524","0.533","0.533","0.522","2.86M","-0.57%"
"09/21/2025","0.527","0.538","0.543","0.522","5.43M","-1.31%"
"09/18/2025","0.534","0.542","0.546","0.533","5.11M","-1.11%"
"09/17/2025","0.540","0.551","0.551","0.535","7.51M","-1.46%"
"09/16/2025","0.548","0.571","0.575","0.545","13.87M","-3.86%"
"09/15/2025","0.570","0.575","0.583","0.568","9.83M","-0.87%"
"09/14/2025","0.575","0.580","0.584","0.573","9.78M","-0.35%"
"09/11/2025","0.577","0.580","0.585","0.576","6.38M","0.00%"
"09/10/2025","0.577","0.582","0.594","0.575","16.69M","-0.52%"
"09/09/2025","0.580","0.577","0.599","0.577","22.51M","0.52%"
"09/08/2025","0.577","0.569","0.590","0.569","11.55M","1.94%"
