"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","86.97","88.60","88.99","86.91","109.16K","-1.88%"
"11/30/2025","88.64","89.80","89.88","88.50","31.37K","-1.47%"
"11/27/2025","89.96","89.70","90.00","87.50","52.87K","1.08%"
"11/26/2025","89.00","89.96","89.96","87.31","30.29K","-1.08%"
"11/25/2025","89.97","86.21","89.97","86.13","64.04K","3.89%"
"11/24/2025","86.60","87.00","87.00","86.00","71.35K","-0.22%"
"11/23/2025","86.79","87.46","88.60","85.99","36.46K","-0.77%"
"11/20/2025","87.46","89.25","89.40","87.15","68.44K","-1.29%"
"11/19/2025","88.60","88.50","90.00","87.04","157.16K","0.66%"
"11/18/2025","88.02","86.85","88.45","85.60","109.77K","1.09%"
"11/17/2025","87.07","89.94","89.95","87.02","81.37K","-3.26%"
"11/16/2025","90.00","89.86","90.50","88.52","99.05K","0.56%"
"11/13/2025","89.50","91.35","91.39","88.00","104.54K","-2.15%"
"11/12/2025","91.47","89.94","91.50","89.02","119.67K","1.66%"
"11/11/2025","89.98","88.75","90.19","87.00","2.31M","1.44%"
"11/10/2025","88.70","85.00","88.90","85.00","114.38K","4.35%"
"11/09/2025","85.00","83.00","86.00","82.85","158.82K","2.34%"
"11/06/2025","83.06","84.77","84.77","81.52","92.15K","-0.75%"
"11/05/2025","83.69","84.72","85.50","83.55","74.29K","-1.13%"
"11/04/2025","84.65","86.00","86.99","84.61","67.98K","-1.57%"
"11/03/2025","86.00","86.00","86.00","85.00","34.00K","0.16%"
"11/02/2025","85.86","84.11","86.48","83.75","72.68K","2.72%"
"10/30/2025","83.59","85.00","86.00","82.21","2.18M","-1.64%"
"10/29/2025","84.98","85.75","86.96","84.50","39.22K","-0.28%"
"10/28/2025","85.22","83.48","87.70","82.50","146.25K","2.08%"
"10/27/2025","83.48","81.88","83.50","80.30","102.93K","2.78%"
"10/26/2025","81.22","81.92","82.00","80.66","59.82K","0.69%"
"10/23/2025","80.66","79.30","81.84","79.30","46.34K","0.77%"
"10/22/2025","80.04","80.05","80.70","79.22","58.52K","-0.01%"
"10/21/2025","80.05","80.00","81.00","79.05","106.06K","0.11%"
"10/20/2025","79.96","81.49","81.49","78.61","83.68K","0.18%"
"10/19/2025","79.82","80.00","81.36","79.26","34.35K","-0.68%"
"10/16/2025","80.37","75.69","81.50","75.46","437.03K","6.51%"
"10/15/2025","75.46","74.05","76.06","74.00","47.41K","1.25%"
"10/14/2025","74.53","73.49","75.49","73.02","112.03K","2.10%"
"10/13/2025","73.00","71.52","73.88","71.51","101.79K","1.80%"
"10/12/2025","71.71","72.32","73.00","71.35","72.31K","-0.71%"
"10/08/2025","72.22","71.11","72.72","71.11","27.54K","1.78%"
"10/07/2025","70.96","71.00","72.00","70.61","55.02K","0.34%"
"10/06/2025","70.72","70.54","71.94","70.26","60.74K","0.73%"
"10/05/2025","70.21","68.36","70.50","68.10","146.21K","2.92%"
"10/02/2025","68.22","67.59","68.44","67.00","94.00K","1.46%"
"10/01/2025","67.24","67.12","67.99","66.71","43.97K","0.28%"
"09/30/2025","67.05","66.70","67.33","66.70","123.07K","0.31%"
"09/29/2025","66.84","66.10","66.95","65.50","425.98K","1.12%"
"09/28/2025","66.10","65.30","67.45","65.30","98.52K","1.69%"
"09/25/2025","65.00","63.40","65.34","62.72","1.56M","3.67%"
"09/24/2025","62.70","62.95","63.40","62.40","2.27M","0.58%"
"09/23/2025","62.34","63.00","63.99","62.28","22.31K","-0.54%"
"09/22/2025","62.68","62.70","62.90","62.05","18.82K","1.13%"
"09/21/2025","61.98","62.90","62.90","61.51","48.68K","-1.09%"
"09/18/2025","62.66","62.75","63.00","62.55","11.53K","0.21%"
"09/17/2025","62.53","62.55","62.80","61.55","26.75K","-0.30%"
"09/16/2025","62.72","63.00","63.70","62.58","29.46K","-0.32%"
"09/15/2025","62.92","62.50","63.47","62.36","21.25K","0.77%"
"09/14/2025","62.44","62.97","63.95","62.02","23.30K","-0.79%"
"09/11/2025","62.94","62.20","63.99","62.20","17.60K","0.91%"
"09/10/2025","62.37","62.50","63.00","61.80","58.38K","-0.70%"
"09/09/2025","62.81","63.99","63.99","62.75","32.08K","-1.44%"
"09/08/2025","63.73","63.50","64.49","63.25","47.13K","0.38%"
"09/07/2025","63.49","63.74","64.00","63.26","122.51K","-0.39%"
"09/03/2025","63.74","64.50","65.10","63.71","209.58K","-1.71%"
"09/02/2025","64.85","64.59","65.00","63.55","202.75K","0.40%"
"09/01/2025","64.59","64.99","64.99","64.00","39.72K","-0.63%"
"08/31/2025","65.00","65.10","65.46","64.00","107.29K","0.06%"
"08/28/2025","64.96","64.90","65.10","64.00","66.50K","1.11%"
"08/27/2025","64.25","63.70","65.00","63.52","82.38K","0.91%"
"08/26/2025","63.67","63.50","64.30","63.50","36.66K","-0.39%"
"08/25/2025","63.92","63.25","64.40","63.13","28.96K","1.06%"
"08/24/2025","63.25","63.84","64.00","63.06","26.42K","0.14%"
"08/21/2025","63.16","63.99","64.47","63.00","25.16K","-1.03%"
"08/20/2025","63.82","64.00","64.93","63.53","29.96K","-0.28%"
