"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","14.410","14.500","14.900","14.380","1.35M","-0.07%"
"11/30/2025","14.420","14.690","14.760","14.350","987.92K","-0.83%"
"11/27/2025","14.540","14.670","14.840","14.500","884.36K","-0.55%"
"11/26/2025","14.620","14.710","15.000","14.550","390.87K","-0.54%"
"11/25/2025","14.700","15.340","15.630","14.700","1.27M","-2.91%"
"11/24/2025","15.140","14.500","15.790","14.420","5.46M","4.99%"
"11/23/2025","14.420","14.300","14.670","14.270","210.01K","1.69%"
"11/20/2025","14.180","14.300","14.470","14.110","458.87K","-0.84%"
"11/19/2025","14.300","14.350","14.650","14.260","575.39K","-0.14%"
"11/18/2025","14.320","14.710","14.880","14.260","1.37M","-3.05%"
"11/17/2025","14.770","14.950","15.050","14.700","1.05M","-1.60%"
"11/16/2025","15.010","15.070","15.310","14.800","495.68K","-0.40%"
"11/13/2025","15.070","15.250","15.430","15.000","285.55K","-1.95%"
"11/12/2025","15.370","15.260","15.400","15.000","371.53K","1.25%"
"11/11/2025","15.180","15.330","15.700","15.100","2.29M","-0.78%"
"11/10/2025","15.300","14.740","15.390","14.400","1.80M","4.79%"
"11/09/2025","14.600","14.750","14.850","14.350","642.76K","-0.14%"
"11/06/2025","14.620","14.460","14.700","14.420","397.31K","1.39%"
"11/05/2025","14.420","14.940","14.950","14.400","492.19K","-3.22%"
"11/04/2025","14.900","15.200","15.250","14.700","1.48M","-0.33%"
"11/03/2025","14.950","14.410","15.080","14.300","1.88M","3.60%"
"11/02/2025","14.430","14.350","14.700","14.250","610.11K","0.28%"
"10/30/2025","14.390","14.800","14.800","14.270","1.64M","-2.77%"
"10/29/2025","14.800","15.100","15.130","14.780","542.23K","-1.33%"
"10/28/2025","15.000","15.200","15.370","14.910","984.01K","-1.12%"
"10/27/2025","15.170","15.090","15.260","15.020","2.02M","0.66%"
"10/26/2025","15.070","15.520","15.550","15.000","1.02M","-2.71%"
"10/23/2025","15.490","15.700","15.900","15.480","436.49K","-2.15%"
"10/22/2025","15.830","16.100","16.100","15.110","539.75K","-1.25%"
"10/21/2025","16.030","16.400","16.460","15.970","653.65K","-1.60%"
"10/20/2025","16.290","16.390","16.500","16.200","1.29M","-0.67%"
"10/19/2025","16.400","16.560","16.640","16.360","351.47K","-0.97%"
"10/16/2025","16.560","16.680","16.680","16.430","100.06K","-0.24%"
"10/15/2025","16.600","16.650","16.730","16.300","507.89K","-0.24%"
"10/14/2025","16.640","16.660","16.800","16.600","472.44K","0.00%"
"10/13/2025","16.640","16.510","17.350","16.370","1.69M","0.97%"
"10/12/2025","16.480","16.500","16.600","16.150","502.91K","-1.02%"
"10/08/2025","16.650","16.700","16.780","16.380","430.33K","0.12%"
"10/07/2025","16.630","16.210","16.790","16.130","1.63M","2.97%"
"10/06/2025","16.150","16.210","16.490","16.050","483.22K","-0.25%"
"10/05/2025","16.190","16.600","16.850","16.110","502.92K","-2.00%"
"10/02/2025","16.520","17.590","18.000","16.500","1.31M","-2.19%"
"10/01/2025","16.890","16.647","16.994","16.538","556.82K","1.78%"
"09/30/2025","16.595","16.619","16.676","16.462","884.02K","0.10%"
"09/29/2025","16.578","16.578","16.821","16.474","473.10K","0.00%"
"09/28/2025","16.578","16.763","16.763","16.422","339.50K","0.46%"
"09/25/2025","16.503","16.561","16.763","16.422","1.21M","-42.12%"
"09/24/2025","28.510","28.800","29.250","28.450","327.52K","-0.38%"
"09/23/2025","28.620","29.280","29.500","28.540","508.78K","-2.25%"
"09/22/2025","29.280","30.700","30.750","29.000","293.13K","-1.98%"
"09/21/2025","29.870","29.500","31.300","29.410","502.33K","1.95%"
"09/18/2025","29.300","29.950","29.950","29.220","552.28K","0.27%"
"09/17/2025","29.220","29.950","29.950","29.030","98.78K","-0.98%"
"09/16/2025","29.510","30.500","30.800","28.500","363.68K","-2.22%"
"09/15/2025","30.180","31.250","31.790","30.120","435.29K","-3.39%"
"09/14/2025","31.240","32.350","32.670","31.000","929.30K","-3.31%"
"09/11/2025","32.310","32.650","33.200","32.150","1.40M","-0.55%"
"09/10/2025","32.490","31.810","33.000","31.270","2.15M","6.49%"
"09/09/2025","30.510","29.800","30.740","29.350","843.57K","3.81%"
"09/08/2025","29.390","29.500","29.950","29.200","466.37K","0.62%"
"09/07/2025","29.210","30.280","30.280","29.000","271.29K","-1.58%"
"09/03/2025","29.680","29.500","30.550","29.250","220.18K","0.61%"
"09/02/2025","29.500","29.340","29.900","29.000","322.47K","1.62%"
"09/01/2025","29.030","28.760","29.400","28.730","418.81K","-0.17%"
"08/31/2025","29.080","29.520","30.180","28.770","146.52K","-1.36%"
"08/28/2025","29.480","29.210","29.690","29.000","402.96K","1.66%"
"08/27/2025","29.000","28.920","29.400","28.920","190.71K","0.14%"
"08/26/2025","28.960","30.150","30.480","28.000","320.72K","-3.47%"
"08/25/2025","30.000","29.460","30.400","29.350","981.96K","2.63%"
"08/24/2025","29.230","29.230","29.600","29.100","158.69K","0.07%"
"08/21/2025","29.210","29.980","29.980","29.010","131.44K","-1.42%"
"08/20/2025","29.630","30.310","31.000","29.100","769.94K","-1.98%"
"08/19/2025","30.230","28.600","30.500","28.600","845.24K","5.74%"
"08/18/2025","28.590","28.100","28.700","27.900","1.08M","2.07%"
"08/17/2025","28.010","28.060","28.850","27.900","768.38K","0.76%"
"08/14/2025","27.800","27.160","28.330","27.100","894.13K","2.58%"
"08/13/2025","27.100","26.480","27.480","26.450","753.36K","2.34%"
"08/12/2025","26.480","26.260","26.500","26.020","360.87K","1.07%"
"08/11/2025","26.200","26.620","26.680","26.100","665.55K","-0.76%"
"08/10/2025","26.400","26.200","26.750","26.200","235.53K","0.53%"
"08/07/2025","26.260","26.490","26.490","26.010","380.59K","0.34%"
"08/06/2025","26.170","26.620","26.620","25.910","609.49K","-0.91%"
"08/05/2025","26.410","26.350","26.650","26.250","625.41K","0.88%"
"08/04/2025","26.180","25.160","26.300","25.160","1.42M","4.10%"
"08/03/2025","25.150","24.990","25.300","24.500","594.37K","2.24%"
"07/31/2025","24.600","24.650","24.840","24.200","293.00K","-0.12%"
"07/30/2025","24.630","24.310","24.990","24.200","726.99K","1.73%"
"07/29/2025","24.210","24.400","24.600","24.000","265.82K","-0.70%"
"07/28/2025","24.380","25.500","25.500","24.350","315.86K","-3.45%"
"07/27/2025","25.250","25.580","25.880","25.020","438.88K","0.52%"
"07/23/2025","25.120","24.700","25.500","24.600","1.23M","2.20%"
"07/22/2025","24.580","23.990","24.690","23.990","307.49K","2.46%"
"07/21/2025","23.990","24.000","24.350","23.800","201.31K","0.88%"
"07/20/2025","23.780","23.700","24.500","23.500","236.26K","0.38%"
"07/17/2025","23.690","24.210","24.480","23.510","561.32K","-2.07%"
"07/16/2025","24.190","24.800","24.950","24.010","323.13K","-1.27%"
"07/15/2025","24.500","23.950","25.700","23.950","2.09M","2.38%"
"07/14/2025","23.930","24.360","24.450","23.550","499.87K","-0.62%"
"07/13/2025","24.080","22.900","24.190","22.900","1.09M","5.99%"
"07/10/2025","22.720","22.910","23.300","22.720","630.44K","-0.61%"
"07/09/2025","22.860","22.650","22.900","22.020","808.98K","0.97%"
"07/07/2025","22.640","22.950","22.950","22.600","632.89K","-0.66%"
"07/06/2025","22.790","22.880","23.300","22.700","224.29K","0.31%"
"07/02/2025","22.720","23.180","23.180","22.510","1.07M","-0.61%"
"07/01/2025","22.860","23.120","23.720","22.610","403.56K","-1.08%"
"06/30/2025","23.110","22.110","23.750","22.060","1.09M","4.76%"
"06/29/2025","22.060","23.000","23.090","22.010","596.76K","-2.90%"
"06/25/2025","22.720","23.000","23.600","22.470","616.00K","-0.74%"
"06/24/2025","22.890","22.500","23.330","22.500","1.62M","1.73%"
"06/23/2025","22.500","22.950","23.500","22.400","605.61K","-1.96%"
"06/22/2025","22.950","21.950","23.700","20.030","593.92K","1.95%"
"06/19/2025","22.510","23.410","23.700","22.000","850.45K","-4.09%"
"06/18/2025","23.470","23.110","24.370","22.120","1.20M","2.00%"
"06/17/2025","23.010","23.610","27.000","22.700","2.61M","0.04%"
"06/16/2025","23.000","19.170","23.040","19.100","1.14M","19.79%"
"06/15/2025","19.200","19.490","19.500","18.900","261.02K","-4.48%"
"06/12/2025","20.100","19.850","21.250","19.600","1.09M","1.46%"
"06/11/2025","19.810","20.190","20.190","19.580","53.34K","-0.05%"
"06/10/2025","19.820","19.750","20.510","19.500","104.58K","0.35%"
"06/04/2025","19.750","20.510","20.510","19.520","229.94K","-1.79%"
"06/03/2025","20.110","20.990","21.000","20.080","119.31K","-1.90%"
"06/02/2025","20.500","20.950","21.290","20.200","225.29K","-2.15%"
"06/01/2025","20.950","21.510","21.990","20.530","1.78M","-2.56%"
"05/29/2025","21.500","20.510","21.800","20.510","986.96K","4.83%"
"05/28/2025","20.510","20.550","20.690","20.300","249.68K","-0.05%"
"05/27/2025","20.520","20.490","20.550","20.150","652.23K","2.55%"
"05/26/2025","20.010","19.110","20.500","19.110","457.60K","5.32%"
"05/25/2025","19.000","18.690","19.010","18.620","760.85K","2.04%"
"05/22/2025","18.620","18.600","18.840","18.550","558.13K","0.11%"
"05/21/2025","18.600","18.610","18.920","18.270","66.97K","0.87%"
"05/20/2025","18.440","18.420","18.990","18.400","295.28K","0.11%"
"05/19/2025","18.420","19.100","19.100","18.110","62.53K","-3.51%"
"05/18/2025","19.090","19.500","19.680","19.010","67.86K","-0.73%"
"05/15/2025","19.230","19.300","20.000","19.010","1.10M","-0.21%"
"05/14/2025","19.270","19.250","19.490","19.080","34.26K","-0.46%"
"05/13/2025","19.360","19.240","19.640","19.160","266.84K","0.62%"
"05/12/2025","19.240","19.690","19.700","19.050","359.64K","-1.48%"
"05/11/2025","19.530","19.750","19.800","19.460","24.92K","-0.71%"
"05/08/2025","19.670","19.890","19.900","19.350","881.06K","-0.30%"
"05/07/2025","19.730","19.820","19.990","19.350","41.67K","-0.75%"
"05/06/2025","19.880","19.830","20.240","19.600","427.82K","-0.75%"
"05/05/2025","20.030","20.100","20.350","20.000","78.28K","0.00%"
"05/04/2025","20.030","20.020","20.380","20.010","302.74K","0.05%"
"04/30/2025","20.020","20.100","20.500","20.000","1.08M","-0.50%"
"04/29/2025","20.120","20.310","20.600","20.010","54.65K","-1.23%"
"04/28/2025","20.370","20.500","20.680","20.250","405.02K","2.57%"
"04/27/2025","19.860","19.740","20.480","19.720","379.68K","0.91%"
"04/23/2025","19.680","19.920","20.050","19.230","511.49K","0.51%"
"04/22/2025","19.580","19.930","20.000","19.500","110.94K","-1.51%"
"04/17/2025","19.880","19.700","20.330","19.700","362.03K","0.91%"
"04/16/2025","19.700","19.400","19.750","19.000","976.45K","2.39%"
"04/15/2025","19.240","19.350","19.430","19.210","356.03K","0.26%"
"04/14/2025","19.190","19.560","19.800","19.170","385.24K","-1.64%"
"04/13/2025","19.510","19.540","20.240","19.140","582.88K","0.26%"
"04/10/2025","19.460","19.400","19.680","18.830","799.41K","4.23%"
"04/09/2025","18.670","19.260","19.950","18.010","1.46M","-2.76%"
"04/08/2025","19.200","20.290","20.740","19.150","595.72K","-3.57%"
"04/07/2025","19.910","20.300","20.450","19.510","839.70K","-2.11%"
"04/06/2025","20.340","20.900","21.480","19.800","326.42K","-6.53%"
"04/03/2025","21.760","22.000","22.770","21.330","429.54K","-3.42%"
"03/27/2025","22.530","21.400","23.100","21.300","1.39M","7.29%"
"03/26/2025","21.000","19.070","21.500","19.070","663.06K","10.12%"
"03/25/2025","19.070","19.720","20.800","19.010","185.60K","-5.31%"
"03/24/2025","20.140","20.600","20.990","19.900","445.62K","-2.23%"
"03/23/2025","20.600","17.720","21.000","17.710","573.08K","15.54%"
"03/20/2025","17.830","17.090","18.000","17.000","1.26M","4.94%"
"03/19/2025","16.990","17.000","17.200","16.810","223.96K","0.41%"
"03/18/2025","16.920","16.710","17.000","16.030","1.04M","1.32%"
"03/17/2025","16.700","17.090","17.440","16.630","154.81K","-2.22%"
"03/16/2025","17.080","17.360","17.590","16.320","238.41K","-2.01%"
"03/13/2025","17.430","17.030","17.600","16.590","741.79K","2.35%"
"03/12/2025","17.030","16.510","17.990","16.000","852.35K","3.27%"
"03/11/2025","16.490","15.400","16.490","14.640","837.33K","6.73%"
"03/10/2025","15.450","15.850","16.850","15.310","1.02M","-2.77%"
"03/09/2025","15.890","14.200","16.460","13.900","1.35M","12.14%"
"03/06/2025","14.170","13.110","14.490","13.110","1.47M","7.27%"
"03/05/2025","13.210","13.180","13.290","13.000","216.66K","1.62%"
"03/04/2025","13.000","13.330","13.400","13.000","282.08K","-2.48%"
"03/03/2025","13.330","13.450","13.450","13.250","124.83K","-0.30%"
"03/02/2025","13.370","13.300","13.500","13.300","126.25K","-0.22%"
"02/27/2025","13.400","13.300","13.490","13.300","448.27K","0.45%"
"02/26/2025","13.340","13.440","13.550","13.250","230.14K","-0.52%"
"02/25/2025","13.410","13.510","13.740","13.250","233.07K","-1.47%"
"02/24/2025","13.610","13.210","13.930","13.100","799.18K","3.26%"
"02/23/2025","13.180","13.410","13.410","13.100","678.08K","-2.01%"
"02/20/2025","13.450","12.240","13.690","11.800","3.91M","11.16%"
"02/19/2025","12.100","12.030","12.230","12.000","351.60K","0.58%"
"02/18/2025","12.030","11.720","12.120","11.610","713.02K","2.30%"
"02/17/2025","11.760","11.650","11.900","11.460","212.56K","0.94%"
"02/16/2025","11.650","11.740","11.880","11.570","126.72K","0.00%"
"02/13/2025","11.650","11.610","11.800","11.300","292.61K","0.09%"
"02/12/2025","11.640","11.650","11.650","11.120","490.34K","-0.17%"
"02/11/2025","11.660","11.940","11.940","11.610","212.60K","-2.35%"
"02/10/2025","11.940","12.100","12.130","11.770","249.30K","-0.50%"
"02/09/2025","12.000","12.000","12.190","11.930","232.64K","-1.56%"
"02/06/2025","12.190","12.110","12.190","11.870","405.86K","0.99%"
"02/05/2025","12.070","11.500","12.290","11.500","1.36M","2.29%"
"02/04/2025","11.800","11.780","11.810","11.300","614.34K","0.08%"
"02/03/2025","11.790","12.030","12.170","9.810","800.22K","-2.00%"
"02/02/2025","12.030","12.100","12.200","11.800","372.93K","-0.66%"
"01/30/2025","12.110","12.210","12.400","12.010","582.65K","0.08%"
"01/29/2025","12.100","12.200","12.500","12.000","1.26M","0.00%"
"01/28/2025","12.100","11.830","12.300","11.810","1.42M","2.46%"
"01/27/2025","11.810","12.170","12.380","11.800","1.24M","-3.04%"
"01/26/2025","12.180","12.260","12.650","12.110","1.90M","-0.57%"
"01/23/2025","12.250","11.250","12.250","11.200","4.73M","8.89%"
"01/22/2025","11.250","11.350","11.450","11.120","1.18M","0.36%"
"01/21/2025","11.210","11.510","11.750","11.180","1.55M","-2.52%"
"01/20/2025","11.500","11.530","11.620","11.120","2.04M","0.70%"
"01/19/2025","11.420","11.800","11.930","11.400","3.19M","-2.97%"
"01/16/2025","11.770","10.400","11.990","10.350","5.71M","13.72%"
"01/15/2025","10.350","10.020","10.400","10.000","782.42K","3.71%"
"01/14/2025","9.980","10.130","10.190","9.700","609.34K","-0.99%"
"01/13/2025","10.080","10.300","10.700","10.010","1.56M","-1.66%"
"01/12/2025","10.250","9.900","10.290","9.700","864.72K","3.54%"
"01/09/2025","9.900","10.000","10.080","9.820","215.34K","-0.90%"
"01/08/2025","9.990","10.070","10.100","9.900","183.33K","-0.70%"
"01/06/2025","10.060","10.110","10.150","10.010","142.48K","-0.49%"
"01/05/2025","10.110","10.100","10.200","10.060","114.90K","0.10%"
"01/02/2025","10.100","9.880","10.270","9.800","304.86K","3.91%"
"12/31/2024","9.720","9.630","9.890","9.630","96.53K","1.04%"
"12/30/2024","9.620","9.800","9.900","9.530","227.69K","-2.73%"
"12/29/2024","9.890","10.030","10.130","9.830","281.98K","-1.98%"
"12/26/2024","10.090","10.080","10.200","10.000","157.32K","0.10%"
"12/25/2024","10.080","10.100","10.110","9.940","202.54K","0.40%"
"12/24/2024","10.040","10.080","10.140","9.950","192.23K","-0.40%"
"12/23/2024","10.080","10.200","10.370","10.010","405.20K","-1.27%"
"12/22/2024","10.210","10.410","10.410","10.100","177.70K","0.10%"
"12/19/2024","10.200","10.180","10.300","10.000","286.52K","0.10%"
"12/18/2024","10.190","10.300","10.510","10.100","243.68K","-1.07%"
"12/17/2024","10.300","10.350","10.400","10.280","243.92K","-1.44%"
"12/16/2024","10.450","10.380","10.500","10.350","194.32K","0.97%"
"12/15/2024","10.350","10.400","10.540","10.300","219.88K","-0.29%"
"12/12/2024","10.380","10.500","10.500","10.350","321.57K","0.00%"
"12/11/2024","10.380","10.530","10.570","10.300","391.23K","-0.95%"
"12/10/2024","10.480","10.660","10.770","10.410","349.06K","-1.87%"
"12/09/2024","10.680","10.550","11.050","10.530","816.50K","1.33%"
"12/08/2024","10.540","10.600","10.670","10.510","278.06K","0.19%"
"12/05/2024","10.520","10.680","10.800","10.500","481.66K","-0.47%"
"12/04/2024","10.570","10.530","10.890","10.400","594.17K","1.73%"
"12/03/2024","10.390","10.370","10.600","10.210","423.03K","0.19%"
"12/02/2024","10.370","10.450","10.530","10.330","157.25K","-0.67%"
"12/01/2024","10.440","10.400","10.650","10.320","303.17K","-0.10%"
"11/28/2024","10.450","10.210","10.470","10.000","583.02K","0.38%"
"11/27/2024","10.410","10.700","10.720","10.250","455.63K","-2.44%"
"11/26/2024","10.670","10.790","10.790","10.640","476.22K","-0.65%"
"11/25/2024","10.740","10.910","11.000","10.720","463.57K","-1.47%"
"11/24/2024","10.900","11.010","11.250","10.900","956.01K","-0.09%"
"11/21/2024","10.910","10.880","11.100","10.720","884.42K","1.39%"
"11/20/2024","10.760","11.000","11.050","10.600","1.16M","-1.37%"
"11/19/2024","10.910","11.200","11.360","10.850","1.65M","-2.24%"
"11/18/2024","11.160","10.990","11.750","10.950","4.36M","2.48%"
"11/17/2024","10.890","10.560","11.100","10.450","2.23M","3.62%"
"11/14/2024","10.510","10.400","10.670","10.240","1.11M","1.45%"
"11/13/2024","10.360","10.220","10.410","10.150","336.26K","1.17%"
"11/12/2024","10.240","10.320","10.380","10.120","219.04K","-0.78%"
"11/11/2024","10.320","10.420","10.490","10.280","431.32K","-0.77%"
"11/10/2024","10.400","10.330","10.540","10.270","704.90K","1.46%"
"11/07/2024","10.250","10.150","10.270","10.080","414.13K","1.79%"
"11/06/2024","10.070","10.190","10.190","9.960","353.22K","1.72%"
"11/05/2024","9.900","10.100","10.140","9.900","589.76K","-1.98%"
"11/04/2024","10.100","10.250","10.290","10.060","611.49K","-1.17%"
"11/03/2024","10.220","10.400","10.450","10.210","318.03K","-0.29%"
"10/31/2024","10.250","10.260","10.360","10.110","284.57K","0.49%"
"10/30/2024","10.200","10.290","10.390","10.160","218.64K","-0.78%"
"10/29/2024","10.280","10.470","10.580","10.210","397.10K","-0.96%"
"10/28/2024","10.380","10.550","10.670","10.350","407.49K","-1.98%"
"10/27/2024","10.590","10.490","10.650","10.430","893.87K","1.15%"
"10/24/2024","10.470","10.480","10.690","10.280","1.58M","-0.19%"
"10/23/2024","10.490","9.940","10.500","9.940","3.09M","5.96%"
"10/22/2024","9.900","9.700","9.990","9.680","420.05K","2.48%"
"10/21/2024","9.660","9.640","9.720","9.400","495.90K","0.21%"
"10/20/2024","9.640","9.800","9.870","9.600","440.91K","-1.33%"
"10/17/2024","9.770","9.970","9.970","9.730","429.14K","-0.71%"
"10/16/2024","9.840","9.800","10.140","9.770","1.58M","1.13%"
"10/15/2024","9.730","9.710","9.880","9.670","435.79K","0.72%"
"10/14/2024","9.660","9.700","9.840","9.600","380.14K","-0.10%"
"10/13/2024","9.670","9.710","10.270","9.650","1.24M","-0.21%"
"10/10/2024","9.690","9.820","9.830","9.650","411.57K","-0.41%"
"10/09/2024","9.730","9.880","9.960","9.680","603.80K","0.00%"
"10/08/2024","9.730","10.100","10.160","9.600","779.13K","-3.18%"
"10/07/2024","10.050","10.220","10.420","10.020","1.20M","-1.66%"
"10/03/2024","10.220","10.000","10.770","10.000","2.71M","2.10%"
"10/02/2024","10.010","10.500","10.570","9.990","1.60M","-4.76%"
"10/01/2024","10.510","10.740","10.800","10.510","1.08M","-1.50%"
"09/30/2024","10.670","10.900","10.900","10.660","1.12M","-0.93%"
"09/29/2024","10.770","10.980","11.100","10.670","1.68M","-0.92%"
"09/26/2024","10.870","11.090","11.140","10.860","1.27M","-1.63%"
"09/25/2024","11.050","11.200","11.230","10.930","1.45M","-0.36%"
"09/24/2024","11.090","11.100","11.610","10.970","4.04M","0.27%"
"09/23/2024","11.060","11.410","11.410","11.000","1.75M","-2.81%"
"09/22/2024","11.380","11.600","11.890","11.260","2.72M","1.25%"
"09/19/2024","11.240","10.960","11.750","10.150","4.93M","4.56%"
"09/18/2024","10.750","11.050","11.200","10.660","1.13M","-2.71%"
"09/17/2024","11.050","12.180","12.200","10.890","2.28M","-8.68%"
"09/16/2024","12.100","12.250","12.250","11.250","3.68M","8.62%"
"09/12/2024","11.140","11.140","11.140","11.140","316.46K","9.97%"
"09/11/2024","10.130","9.310","10.130","9.310","1.57M","9.99%"
"09/10/2024","9.210","9.200","9.440","8.920","833.68K","0.77%"
"09/09/2024","9.140","9.170","9.660","8.930","1.27M","-0.11%"
"09/08/2024","9.150","9.400","9.450","9.100","512.17K","-2.66%"
"09/05/2024","9.400","9.500","9.540","9.350","240.87K","-0.42%"
"09/04/2024","9.440","9.450","9.610","9.200","310.61K","-0.42%"
"09/03/2024","9.480","9.650","9.650","9.460","489.44K","-0.94%"
"09/02/2024","9.570","9.880","9.890","9.480","629.04K","-2.35%"
"09/01/2024","9.800","9.900","9.900","9.600","277.36K","0.62%"
"08/29/2024","9.740","9.800","9.960","9.710","403.02K","0.41%"
"08/28/2024","9.700","9.560","9.880","9.450","398.81K","1.57%"
"08/27/2024","9.550","9.890","9.900","9.450","383.32K","-1.44%"
"08/26/2024","9.690","10.030","10.100","9.650","258.22K","-2.91%"
"08/25/2024","9.980","9.900","10.190","9.900","365.22K","0.50%"
"08/22/2024","9.930","10.490","10.490","9.900","763.03K","-5.07%"
"08/21/2024","10.460","10.700","10.750","10.410","281.24K","-2.24%"
"08/20/2024","10.700","10.740","10.940","10.600","618.37K","-1.02%"
"08/19/2024","10.810","11.000","11.170","10.670","666.73K","-1.37%"
"08/18/2024","10.960","10.810","11.200","10.480","662.74K","3.49%"
"08/15/2024","10.590","11.210","11.500","10.470","313.75K","-5.11%"
"08/14/2024","11.160","11.970","12.100","10.860","295.15K","-4.04%"
"08/13/2024","11.630","11.830","12.000","11.500","437.55K","-1.88%"
"08/12/2024","11.853","12.000","12.000","11.703","356.27K","-1.19%"
"08/11/2024","11.997","11.690","12.000","11.590","476.31K","3.54%"
"08/08/2024","11.587","11.933","12.120","11.503","853.70K","-2.61%"
"08/07/2024","11.897","11.330","11.900","11.233","777.35K","6.19%"
"08/06/2024","11.203","11.163","11.417","11.037","183.86K","0.06%"
"08/05/2024","11.197","10.837","11.290","10.433","744.83K","1.42%"
"08/04/2024","11.040","11.067","11.450","10.703","510.47K","-3.80%"
"08/01/2024","11.477","11.667","11.833","11.000","368.16K","-0.32%"
"07/31/2024","11.513","11.133","11.560","11.010","512.47K","3.79%"
"07/30/2024","11.093","10.830","11.133","10.640","664.65K","3.39%"
"07/29/2024","10.730","11.170","11.170","10.663","840.50K","5.64%"
"07/28/2024","10.157","9.953","10.467","9.950","674.56K","4.03%"
"07/24/2024","9.763","9.930","9.947","9.760","274.71K","-0.61%"
"07/23/2024","9.823","9.737","10.000","9.673","359.67K","0.89%"
"07/22/2024","9.737","9.687","9.850","9.687","226.75K","0.03%"
"07/21/2024","9.733","9.797","9.990","9.667","247.85K","0.41%"
"07/18/2024","9.693","9.800","9.833","9.603","378.25K","-1.09%"
"07/17/2024","9.800","9.963","10.000","9.717","321.31K","-1.64%"
"07/16/2024","9.963","10.097","10.100","9.750","358.47K","0.50%"
"07/15/2024","9.913","9.667","10.113","9.510","728.54K","3.80%"
"07/14/2024","9.550","9.400","9.927","9.333","866.85K","2.32%"
