"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","11.050","11.200","11.250","10.970","1.67M","-1.34%"
"11/30/2025","11.200","11.150","11.200","11.000","4.12M","1.63%"
"11/27/2025","11.020","10.750","11.200","10.650","5.13M","2.99%"
"11/26/2025","10.700","11.010","11.100","10.670","2.91M","-2.82%"
"11/25/2025","11.010","11.190","11.300","10.810","5.91M","-1.61%"
"11/24/2025","11.190","11.500","11.500","11.080","1.40M","-2.01%"
"11/23/2025","11.420","11.350","11.580","11.200","6.11M","1.96%"
"11/20/2025","11.200","11.000","11.320","11.000","9.85M","2.28%"
"11/19/2025","10.950","10.820","10.990","10.820","2.43M","1.39%"
"11/18/2025","10.800","10.740","10.920","10.720","5.21M","0.93%"
"11/17/2025","10.700","10.640","10.750","10.510","5.69M","1.23%"
"11/16/2025","10.570","10.650","10.670","10.440","2.86M","-0.28%"
"11/13/2025","10.600","10.550","10.600","10.470","1.68M","0.86%"
"11/12/2025","10.510","10.680","10.740","10.440","5.26M","-1.22%"
"11/11/2025","10.640","11.100","11.100","10.560","11.38M","-3.71%"
"11/10/2025","11.050","11.250","11.250","11.010","4.51M","-0.90%"
"11/09/2025","11.150","11.350","11.400","11.150","2.43M","-1.33%"
"11/06/2025","11.300","11.150","11.340","11.110","6.08M","1.35%"
"11/05/2025","11.150","11.200","11.250","11.100","4.36M","-0.09%"
"11/04/2025","11.160","11.340","11.340","11.150","3.81M","-1.24%"
"11/03/2025","11.300","11.260","11.360","11.130","1.87M","0.44%"
"11/02/2025","11.250","11.250","11.300","11.130","4.50M","0.27%"
"10/30/2025","11.220","11.380","11.430","11.200","3.34M","-1.41%"
"10/29/2025","11.380","11.360","11.430","11.290","449.57K","0.26%"
"10/28/2025","11.350","11.490","11.500","11.300","2.32M","-0.79%"
"10/27/2025","11.440","11.300","11.470","11.250","3.82M","1.24%"
"10/26/2025","11.300","11.370","11.390","11.240","4.08M","-0.79%"
"10/23/2025","11.390","11.160","11.400","11.140","4.47M","2.15%"
"10/22/2025","11.150","11.340","11.380","11.140","8.51M","-1.33%"
"10/21/2025","11.300","11.480","11.530","11.270","6.95M","-1.31%"
"10/20/2025","11.450","11.420","11.530","11.200","4.12M","0.62%"
"10/19/2025","11.380","11.430","11.600","11.330","4.12M","-0.26%"
"10/16/2025","11.410","11.490","11.760","11.040","21.26M","-0.61%"
"10/15/2025","11.480","11.620","11.710","11.260","2.30M","-1.20%"
"10/14/2025","11.620","11.810","12.140","11.500","3.01M","-2.35%"
"10/13/2025","11.900","11.610","12.300","11.610","4.87M","1.10%"
"10/12/2025","11.770","11.670","11.780","11.450","1.47M","0.86%"
"10/09/2025","11.670","11.600","11.670","11.670","2.97M","0.00%"
"10/08/2025","11.670","11.610","11.750","11.550","2.97M","0.60%"
"10/07/2025","11.600","11.440","11.740","11.400","7.53M","1.75%"
"10/06/2025","11.400","11.350","11.470","11.290","2.42M","0.44%"
"10/05/2025","11.350","11.450","11.490","11.280","2.63M","-1.30%"
"10/02/2025","11.500","11.400","11.660","11.120","4.51M","1.14%"
"10/01/2025","11.370","11.060","11.600","11.060","9.20M","2.80%"
"09/30/2025","11.060","10.980","11.180","10.820","4.99M","0.91%"
"09/29/2025","10.960","10.910","10.990","10.720","1.72M","0.46%"
"09/28/2025","10.910","10.850","10.920","10.690","937.79K","1.02%"
"09/25/2025","10.800","10.960","10.980","10.760","2.13M","-1.55%"
"09/24/2025","10.970","10.660","11.000","10.600","5.35M","3.00%"
"09/23/2025","10.650","11.000","11.210","10.600","8.09M","-2.29%"
"09/22/2025","10.900","10.650","11.100","10.650","11.64M","2.64%"
"09/21/2025","10.620","10.310","10.670","10.310","4.65M","3.31%"
"09/18/2025","10.280","10.310","10.500","10.260","2.81M","-0.19%"
"09/17/2025","10.300","10.260","10.400","10.250","1.41M","0.49%"
"09/16/2025","10.250","10.490","10.530","10.230","2.43M","-1.54%"
"09/15/2025","10.410","10.640","10.680","10.350","4.53M","-1.98%"
"09/14/2025","10.620","10.360","10.700","10.350","3.74M","1.24%"
"09/11/2025","10.490","10.580","10.590","10.410","1.99M","-0.10%"
"09/10/2025","10.500","10.270","10.600","10.210","2.45M","2.44%"
"09/09/2025","10.250","10.390","10.460","10.200","1.32M","-1.25%"
"09/08/2025","10.380","10.580","10.620","10.310","2.25M","-1.61%"
"09/07/2025","10.550","10.220","10.640","10.150","3.96M","3.94%"
"09/03/2025","10.150","10.600","11.010","10.110","9.00M","-4.06%"
"09/02/2025","10.580","10.350","10.620","10.320","1.60M","1.83%"
"09/01/2025","10.390","10.280","10.490","10.000","5.78M","1.76%"
"08/31/2025","10.210","10.820","10.880","10.100","3.24M","-5.29%"
"08/28/2025","10.780","10.660","10.820","10.590","2.72M","1.22%"
"08/27/2025","10.650","10.520","10.670","10.370","3.25M","1.43%"
"08/26/2025","10.500","10.750","10.900","10.500","5.20M","-1.96%"
"08/25/2025","10.710","10.760","10.810","10.700","2.44M","0.00%"
"08/24/2025","10.710","10.690","11.030","10.690","7.75M","0.19%"
"08/21/2025","10.690","10.550","10.900","10.550","5.96M","0.85%"
"08/20/2025","10.600","10.750","10.850","10.520","5.40M","-1.85%"
"08/19/2025","10.800","10.800","10.900","10.780","1.09M","0.00%"
"08/18/2025","10.800","11.050","11.130","10.750","2.62M","-2.09%"
"08/17/2025","11.030","10.600","11.090","10.540","4.74M","3.96%"
"08/14/2025","10.610","10.600","10.700","10.460","2.92M","-0.84%"
"08/13/2025","10.700","10.700","10.900","10.550","4.49M","0.00%"
"08/12/2025","10.700","10.590","11.000","10.590","8.25M","0.94%"
"08/11/2025","10.600","10.250","10.680","10.250","14.46M","3.92%"
"08/10/2025","10.200","10.150","10.330","10.150","1.22M","0.49%"
"08/07/2025","10.150","10.150","10.250","10.110","1.27M","0.00%"
"08/06/2025","10.150","10.300","10.330","10.100","1.35M","-0.98%"
"08/05/2025","10.250","10.040","10.250","10.000","1.76M","2.30%"
"08/04/2025","10.020","9.950","10.050","9.920","1.02M","0.70%"
"08/03/2025","9.950","10.000","10.070","9.900","857.44K","-0.50%"
"07/31/2025","10.000","10.110","10.250","9.900","3.33M","1.01%"
"07/30/2025","9.900","10.310","10.380","9.700","8.71M","-3.88%"
"07/29/2025","10.300","10.260","10.300","10.110","4.95M","0.29%"
"07/28/2025","10.270","10.300","10.460","10.200","6.50M","-0.68%"
"07/27/2025","10.340","10.350","10.440","10.280","3.29M","-0.10%"
"07/23/2025","10.350","10.250","10.380","10.130","4.12M","1.17%"
"07/22/2025","10.230","10.350","10.440","10.100","5.47M","-0.97%"
"07/21/2025","10.330","10.030","10.470","10.030","28.45M","3.30%"
"07/20/2025","10.000","9.670","10.000","9.670","19.63M","3.41%"
"07/17/2025","9.670","9.600","9.700","9.510","5.63M","0.73%"
"07/16/2025","9.600","9.550","9.750","9.550","7.67M","0.73%"
"07/15/2025","9.530","9.510","9.670","9.440","4.42M","0.32%"
"07/14/2025","9.500","9.500","9.520","9.370","3.74M","0.00%"
"07/13/2025","9.500","9.490","9.540","9.410","2.68M","0.32%"
"07/10/2025","9.470","9.520","9.570","9.400","2.83M","-0.32%"
"07/09/2025","9.500","9.470","9.690","9.330","3.36M","0.00%"
"07/07/2025","9.500","9.630","9.750","9.450","2.81M","-1.25%"
"07/06/2025","9.620","9.210","9.620","9.210","11.43M","4.68%"
"07/02/2025","9.190","9.110","9.300","9.110","3.99M","1.10%"
"07/01/2025","9.090","9.140","9.370","8.980","8.46M","-0.55%"
"06/30/2025","9.140","9.400","9.470","9.090","5.44M","-2.77%"
"06/29/2025","9.400","9.520","9.650","9.310","5.77M","-0.74%"
"06/25/2025","9.470","9.300","9.520","9.060","5.55M","2.27%"
"06/24/2025","9.260","8.950","9.280","8.900","7.68M","6.44%"
"06/23/2025","8.700","8.760","8.950","8.520","5.03M","-0.57%"
"06/22/2025","8.750","8.300","8.870","8.170","4.82M","4.17%"
"06/19/2025","8.400","8.520","8.590","8.200","1.54M","-1.41%"
"06/18/2025","8.520","8.620","8.620","8.370","1.37M","0.00%"
"06/17/2025","8.520","8.750","8.800","8.400","2.61M","-2.07%"
"06/16/2025","8.700","8.890","9.030","8.660","2.61M","-2.14%"
"06/15/2025","8.890","8.700","9.090","8.500","5.50M","-3.68%"
"06/12/2025","9.230","9.330","9.330","9.100","5.32M","-1.07%"
"06/11/2025","9.330","9.520","9.570","9.310","4.02M","-1.27%"
"06/10/2025","9.450","9.280","9.600","9.210","9.70M","1.83%"
"06/04/2025","9.280","9.240","9.330","9.230","1.80M","0.43%"
"06/03/2025","9.240","9.400","9.480","9.190","3.44M","-1.39%"
"06/02/2025","9.370","9.160","9.390","9.160","2.99M","2.29%"
"06/01/2025","9.160","9.330","9.370","9.090","4.09M","-1.51%"
"05/29/2025","9.300","9.510","9.600","9.280","5.95M","-1.38%"
"05/28/2025","9.430","9.570","9.780","9.400","15.71M","-0.74%"
"05/27/2025","9.500","9.400","9.700","9.250","13.09M","2.15%"
"05/26/2025","9.300","9.540","9.570","9.250","11.79M","-2.11%"
"05/25/2025","9.500","9.750","9.800","9.500","5.10M","-2.56%"
"05/22/2025","9.750","9.900","9.900","9.510","10.62M","-1.52%"
"05/21/2025","9.900","10.060","10.140","9.800","5.13M","-1.00%"
"05/20/2025","10.000","9.410","10.000","9.410","14.72M","6.27%"
"05/19/2025","9.410","9.450","9.500","9.350","5.69M","0.21%"
"05/18/2025","9.390","9.570","9.640","9.390","9.39M","-1.16%"
"05/15/2025","9.500","9.700","9.800","9.400","10.11M","-2.06%"
"05/14/2025","9.700","9.540","9.750","9.280","13.70M","2.11%"
"05/13/2025","9.500","9.250","9.720","9.250","15.99M","2.81%"
"05/12/2025","9.240","9.210","9.340","9.070","8.49M","0.87%"
"05/11/2025","9.160","9.040","9.320","9.040","9.55M","1.78%"
"05/08/2025","9.000","9.140","9.320","8.840","8.22M","-1.53%"
"05/07/2025","9.140","9.200","9.410","9.080","10.81M","-0.65%"
"05/06/2025","9.200","9.200","9.280","9.040","8.94M","0.00%"
"05/05/2025","9.200","8.850","9.300","8.800","16.95M","4.07%"
"05/04/2025","8.840","8.850","8.900","8.750","3.06M","0.34%"
"04/30/2025","8.810","8.870","8.900","8.770","4.38M","-0.45%"
"04/29/2025","8.850","8.940","9.000","8.820","1.85M","-0.90%"
"04/28/2025","8.930","9.010","9.100","8.900","5.90M","-0.78%"
"04/27/2025","9.000","8.900","9.120","8.890","5.23M","1.35%"
"04/23/2025","8.880","9.010","9.060","8.850","4.55M","-0.11%"
"04/22/2025","8.890","8.810","9.180","8.810","10.76M","1.02%"
"04/17/2025","8.800","9.080","9.150","8.720","12.94M","-3.08%"
"04/16/2025","9.080","9.450","9.470","9.000","9.83M","-3.40%"
"04/15/2025","9.400","9.530","9.620","9.180","4.10M","-1.16%"
"04/14/2025","9.510","9.600","9.800","9.500","3.77M","-0.73%"
"04/13/2025","9.580","9.500","9.660","9.320","6.49M","1.48%"
"04/10/2025","9.440","9.360","9.580","9.250","8.81M","6.67%"
"04/09/2025","8.850","8.870","9.230","8.650","9.88M","0.57%"
"04/08/2025","8.800","8.850","8.970","8.800","1.88M","0.00%"
"04/07/2025","8.800","8.560","9.010","8.260","9.78M","2.33%"
"04/06/2025","8.600","8.650","8.800","8.200","6.50M","-3.91%"
"04/03/2025","8.950","8.870","8.990","8.650","2.29M","0.90%"
"03/27/2025","8.870","8.730","8.980","8.650","1.93M","1.60%"
"03/26/2025","8.730","8.620","8.730","8.410","4.16M","1.28%"
"03/25/2025","8.620","8.460","9.000","8.460","9.49M","1.41%"
"03/24/2025","8.500","8.550","8.640","8.270","4.15M","-0.12%"
