"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.405","0.412","0.421","0.402","72.40M","-1.46%"
"11/30/2025","0.411","0.395","0.415","0.393","107.60M","5.12%"
"11/27/2025","0.391","0.396","0.398","0.389","50.71M","0.26%"
"11/26/2025","0.390","0.395","0.403","0.385","65.05M","-1.52%"
"11/25/2025","0.396","0.414","0.424","0.395","64.01M","-4.81%"
"11/24/2025","0.416","0.416","0.437","0.415","105.06M","1.46%"
"11/23/2025","0.410","0.415","0.419","0.399","57.29M","-0.49%"
"11/20/2025","0.412","0.402","0.426","0.402","134.83M","3.00%"
"11/19/2025","0.400","0.385","0.418","0.380","248.26M","5.54%"
"11/18/2025","0.379","0.368","0.385","0.367","169.67M","4.12%"
"11/17/2025","0.364","0.356","0.364","0.353","34.57M","2.82%"
"11/16/2025","0.354","0.350","0.355","0.347","22.65M","2.31%"
"11/13/2025","0.346","0.343","0.358","0.343","47.96M","1.17%"
"11/12/2025","0.342","0.343","0.348","0.341","9.95M","0.29%"
"11/11/2025","0.341","0.344","0.350","0.340","19.31M","-0.87%"
"11/10/2025","0.344","0.349","0.349","0.340","11.11M","-1.15%"
"11/09/2025","0.348","0.347","0.352","0.344","17.65M","0.58%"
"11/06/2025","0.346","0.342","0.350","0.340","22.68M","1.47%"
"11/05/2025","0.341","0.355","0.355","0.335","24.77M","-3.40%"
"11/04/2025","0.353","0.352","0.359","0.351","10.26M","0.86%"
"11/03/2025","0.350","0.352","0.355","0.346","15.34M","-0.28%"
"11/02/2025","0.351","0.362","0.363","0.351","25.04M","-2.50%"
"10/30/2025","0.360","0.358","0.367","0.358","26.29M","0.56%"
"10/29/2025","0.358","0.367","0.369","0.358","40.04M","-1.65%"
"10/28/2025","0.364","0.356","0.369","0.352","109.54M","2.82%"
"10/27/2025","0.354","0.348","0.356","0.347","36.20M","2.31%"
"10/26/2025","0.346","0.344","0.349","0.343","10.81M","1.17%"
"10/23/2025","0.342","0.344","0.344","0.340","12.84M","0.00%"
"10/22/2025","0.342","0.345","0.349","0.338","12.93M","-0.87%"
"10/21/2025","0.345","0.348","0.350","0.341","14.24M","-0.86%"
"10/20/2025","0.348","0.352","0.356","0.347","50.64M","0.00%"
"10/19/2025","0.348","0.347","0.353","0.347","18.44M","0.29%"
"10/16/2025","0.347","0.357","0.358","0.345","45.46M","-2.25%"
"10/15/2025","0.355","0.336","0.356","0.332","56.47M","6.29%"
"10/14/2025","0.334","0.337","0.337","0.333","17.46M","-0.30%"
"10/13/2025","0.335","0.338","0.339","0.334","12.52M","-0.59%"
"10/12/2025","0.337","0.340","0.342","0.336","7.77M","-0.88%"
