"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","37.23","38.37","38.50","37.00","86.66K","-2.51%"
"11/30/2025","38.19","38.50","38.50","37.76","33.18K","0.24%"
"11/27/2025","38.10","37.00","39.77","37.00","1.23M","2.31%"
"11/26/2025","37.24","37.00","37.50","36.32","141.59K","0.59%"
"11/25/2025","37.02","37.50","37.95","36.16","60.09K","-1.39%"
"11/24/2025","37.54","38.70","38.98","37.00","127.28K","-3.69%"
"11/23/2025","38.98","37.50","39.50","37.01","1.12M","4.67%"
"11/20/2025","37.24","38.00","38.29","36.90","210.54K","-1.97%"
"11/19/2025","37.99","36.90","38.22","36.80","561.13K","2.98%"
"11/18/2025","36.89","37.00","37.30","36.80","80.28K","0.24%"
"11/17/2025","36.80","37.00","37.00","36.60","196.43K","0.38%"
"11/16/2025","36.66","37.00","37.40","36.61","75.61K","-0.87%"
"11/13/2025","36.98","38.67","38.80","36.25","347.55K","-4.12%"
"11/12/2025","38.57","38.00","39.50","37.50","861.45K","1.96%"
"11/11/2025","37.83","37.77","38.40","37.35","544.25K","0.16%"
"11/10/2025","37.77","37.70","38.50","37.45","1.07M","0.59%"
"11/09/2025","37.55","37.05","37.70","37.00","994.07K","1.35%"
"11/06/2025","37.05","35.50","37.25","34.30","1.02M","4.84%"
"11/05/2025","35.34","34.90","37.00","34.40","1.08M","2.43%"
"11/04/2025","34.50","34.30","35.25","34.30","316.14K","0.85%"
"11/03/2025","34.21","34.00","34.33","33.25","159.91K","1.03%"
"11/02/2025","33.86","34.02","34.02","33.62","92.91K","-0.15%"
"10/30/2025","33.91","33.70","34.32","33.70","191.84K","0.47%"
"10/29/2025","33.75","33.95","34.24","33.61","83.52K","-0.03%"
"10/28/2025","33.76","34.50","34.65","33.15","223.80K","-0.74%"
"10/27/2025","34.01","35.70","36.23","33.50","467.54K","-4.36%"
"10/26/2025","35.56","34.52","36.10","34.52","682.16K","5.05%"
"10/23/2025","33.85","33.10","35.31","32.85","1.13M","1.96%"
"10/22/2025","33.20","33.17","33.95","33.05","173.40K","0.18%"
"10/21/2025","33.14","32.94","33.30","32.53","198.15K","0.61%"
"10/20/2025","32.94","33.62","34.00","31.80","267.60K","-2.02%"
"10/19/2025","33.62","33.89","34.00","33.19","565.80K","-0.83%"
"10/16/2025","33.90","33.99","35.00","33.06","1.52M","-0.32%"
"10/15/2025","34.01","32.48","34.50","32.30","2.00M","5.20%"
"10/14/2025","32.33","32.81","33.25","32.15","1.12M","-1.43%"
"10/13/2025","32.80","30.70","33.50","30.70","2.45M","6.84%"
"10/12/2025","30.70","29.12","30.70","29.00","592.62K","6.23%"
"10/08/2025","28.90","29.10","29.79","28.83","434.36K","0.35%"
"10/07/2025","28.80","29.35","29.48","28.75","375.18K","-0.83%"
"10/06/2025","29.04","28.25","30.00","28.20","541.47K","3.13%"
"10/05/2025","28.16","28.15","28.25","27.80","83.90K","1.62%"
"10/02/2025","27.71","28.05","28.30","27.51","149.25K","-1.21%"
"10/01/2025","28.05","27.80","28.49","27.80","151.97K","0.29%"
"09/30/2025","27.97","28.53","28.70","27.83","436.61K","-1.69%"
"09/29/2025","28.45","28.56","28.78","28.25","124.72K","-0.18%"
"09/28/2025","28.50","29.03","29.10","28.50","124.10K","-0.63%"
"09/25/2025","28.68","28.53","29.16","28.53","103.49K","-0.55%"
"09/24/2025","28.84","29.00","29.20","28.75","94.07K","-0.31%"
"09/23/2025","28.93","29.36","29.80","28.75","426.45K","-0.28%"
"09/22/2025","29.01","28.42","29.98","28.36","421.50K","2.15%"
"09/21/2025","28.40","28.99","29.19","28.25","206.92K","-1.08%"
"09/18/2025","28.71","29.03","29.39","28.60","188.44K","-0.86%"
"09/17/2025","28.96","29.05","29.70","28.87","278.50K","-1.53%"
"09/16/2025","29.41","30.93","30.95","29.16","405.35K","-4.98%"
"09/15/2025","30.95","30.60","31.75","30.50","787.89K","0.13%"
"09/14/2025","30.91","31.10","31.98","30.50","516.90K","-0.32%"
"09/11/2025","31.01","32.60","32.90","30.92","1.14M","-4.41%"
"09/10/2025","32.44","29.55","32.45","29.50","1.97M","9.78%"
"09/09/2025","29.55","29.01","30.15","28.56","1.50M","2.25%"
"09/08/2025","28.90","28.80","29.60","28.22","1.15M","1.40%"
"09/07/2025","28.50","25.74","29.00","25.60","2.70M","12.03%"
"09/03/2025","25.44","25.30","26.50","25.25","534.83K","0.87%"
"09/02/2025","25.22","25.50","25.89","25.20","189.34K","0.64%"
"09/01/2025","25.06","25.52","25.98","25.01","333.50K","-0.91%"
"08/31/2025","25.29","26.00","26.00","25.15","143.75K","-1.33%"
"08/28/2025","25.63","26.00","26.38","25.60","203.02K","-0.66%"
"08/27/2025","25.80","25.80","26.45","25.50","176.92K","0.55%"
"08/26/2025","25.66","26.39","26.89","25.03","679.13K","-0.74%"
"08/25/2025","25.85","25.35","26.58","25.33","1.48M","2.17%"
"08/24/2025","25.30","24.63","25.30","24.33","1.12M","2.72%"
"08/21/2025","24.63","24.60","24.94","24.58","83.09K","0.20%"
"08/20/2025","24.58","24.86","25.14","24.52","222.92K","-0.32%"
"08/19/2025","24.66","24.66","25.00","24.62","123.90K","0.16%"
"08/18/2025","24.62","25.05","25.17","24.62","195.77K","-1.52%"
"08/17/2025","25.00","25.00","25.20","24.84","230.83K","0.28%"
"08/14/2025","24.93","24.94","25.25","24.50","372.21K","1.18%"
"08/13/2025","24.64","24.75","25.21","24.37","340.76K","0.57%"
"08/12/2025","24.50","24.99","25.14","24.33","174.93K","-1.29%"
"08/11/2025","24.82","24.85","25.39","24.64","479.32K","1.18%"
"08/10/2025","24.53","23.86","24.70","23.75","552.08K","2.89%"
"08/07/2025","23.84","24.05","24.20","23.73","80.04K","0.29%"
"08/06/2025","23.77","23.50","24.09","23.28","251.84K","1.54%"
"08/05/2025","23.41","23.36","23.73","23.25","336.91K","0.26%"
"08/04/2025","23.35","23.49","23.65","23.22","118.97K","0.60%"
"08/03/2025","23.21","22.99","23.77","22.71","164.39K","-0.77%"
"07/31/2025","23.39","23.59","23.86","23.32","148.67K","0.73%"
"07/30/2025","23.22","24.07","24.66","23.11","187.06K","-3.33%"
"07/29/2025","24.02","24.89","24.90","24.00","169.54K","-2.32%"
"07/28/2025","24.59","25.56","25.56","24.50","157.47K","-3.15%"
"07/27/2025","25.39","25.55","26.24","25.25","397.77K","0.08%"
"07/23/2025","25.37","26.28","26.30","25.20","500.88K","-3.35%"
"07/22/2025","26.25","24.96","26.59","24.85","2.30M","5.72%"
"07/21/2025","24.83","24.00","24.99","24.00","545.97K","3.93%"
"07/20/2025","23.89","23.84","24.30","23.80","35.29K","0.21%"
"07/17/2025","23.84","24.23","24.30","23.80","42.52K","-0.67%"
"07/16/2025","24.00","24.06","24.46","23.88","93.23K","-0.79%"
"07/15/2025","24.19","24.40","24.50","24.16","57.16K","-0.94%"
"07/14/2025","24.42","24.20","24.46","24.18","61.33K","0.87%"
"07/13/2025","24.21","24.30","24.50","24.07","116.90K","-0.21%"
"07/10/2025","24.26","23.77","24.60","23.77","152.11K","2.06%"
"07/09/2025","23.77","23.71","23.93","23.50","41.16K","-0.13%"
"07/07/2025","23.80","23.96","23.98","23.50","121.03K","-0.67%"
"07/06/2025","23.96","23.69","24.10","23.50","64.84K","1.57%"
"07/02/2025","23.59","23.59","23.71","23.10","52.72K","0.81%"
"07/01/2025","23.40","23.50","23.74","23.25","126.24K","-0.55%"
"06/30/2025","23.53","23.50","23.78","23.30","56.02K","0.99%"
