"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","18.550","18.800","19.000","18.500","293.38K","-1.90%"
"11/30/2025","18.910","19.200","19.280","18.800","339.16K","-1.41%"
"11/27/2025","19.180","19.130","19.400","18.950","238.02K","0.26%"
"11/26/2025","19.130","19.250","19.650","19.110","189.73K","0.58%"
"11/25/2025","19.020","19.900","20.100","19.020","1.16M","-2.86%"
"11/24/2025","19.580","18.690","19.850","18.500","1.88M","4.76%"
"11/23/2025","18.690","18.740","18.740","18.450","404.81K","0.05%"
"11/20/2025","18.680","18.340","18.680","18.010","345.72K","2.30%"
"11/19/2025","18.260","18.150","18.540","18.100","225.39K","0.61%"
"11/18/2025","18.150","18.100","18.250","17.950","489.82K","0.28%"
"11/17/2025","18.100","18.500","18.500","18.060","1.20M","-2.11%"
"11/16/2025","18.490","18.980","19.100","18.470","707.74K","-2.43%"
"11/13/2025","18.950","19.100","19.100","18.900","628.71K","0.16%"
"11/12/2025","18.920","19.170","19.180","18.910","929.87K","-1.05%"
"11/11/2025","19.120","19.100","19.190","18.950","729.25K","0.10%"
"11/10/2025","19.100","19.290","19.500","18.910","1.07M","-0.83%"
"11/09/2025","19.260","19.230","19.390","19.060","1.54M","0.26%"
"11/06/2025","19.210","19.850","19.880","19.010","1.49M","-3.03%"
"11/05/2025","19.810","20.000","20.100","19.700","450.14K","-0.80%"
"11/04/2025","19.970","20.350","20.400","19.950","2.08M","-1.63%"
"11/03/2025","20.300","20.330","20.430","19.910","841.93K","1.00%"
"11/02/2025","20.100","20.470","20.600","19.860","885.25K","-1.33%"
"10/30/2025","20.370","20.350","20.600","20.220","802.54K","0.79%"
"10/29/2025","20.210","20.400","20.400","20.100","260.16K","0.05%"
"10/28/2025","20.200","20.390","20.450","20.070","882.30K","-0.83%"
"10/27/2025","20.370","20.410","20.490","20.300","925.39K","-0.20%"
"10/26/2025","20.410","20.550","20.590","20.300","484.88K","-0.44%"
"10/23/2025","20.500","20.570","20.570","20.350","345.28K","-0.05%"
"10/22/2025","20.510","20.730","20.840","20.320","504.99K","-0.68%"
"10/21/2025","20.650","20.380","20.950","20.380","926.38K","1.47%"
"10/20/2025","20.350","20.400","20.650","20.210","348.21K","0.20%"
"10/19/2025","20.310","20.300","20.650","20.300","370.13K","0.30%"
"10/16/2025","20.250","20.470","20.500","20.010","389.17K","-0.44%"
"10/15/2025","20.340","20.500","20.700","20.150","943.78K","-0.83%"
"10/14/2025","20.510","20.800","21.000","20.500","478.33K","-0.49%"
"10/13/2025","20.610","19.900","21.500","19.850","3.12M","3.78%"
"10/12/2025","19.860","19.900","19.990","19.520","474.90K","-0.55%"
"10/09/2025","19.970","20.140","19.970","19.970","1.06M","0.00%"
"10/08/2025","19.970","20.270","20.410","19.920","1.06M","-0.84%"
"10/07/2025","20.140","19.720","20.300","19.440","1.83M","3.60%"
"10/06/2025","19.440","19.750","19.750","19.430","515.87K","-1.22%"
"10/05/2025","19.680","19.830","19.890","19.110","1.14M","-0.66%"
"10/02/2025","19.810","21.350","21.350","19.810","2.53M","-7.21%"
"10/01/2025","21.350","21.730","22.000","21.120","916.74K","-1.70%"
"09/30/2025","21.720","21.250","21.720","20.920","2.37M","3.43%"
"09/29/2025","21.000","19.910","21.000","19.910","1.56M","5.00%"
"09/28/2025","20.000","20.100","20.150","19.850","625.09K","-0.50%"
"09/25/2025","20.100","20.100","20.200","19.970","1.27M","1.26%"
"09/24/2025","19.850","19.890","20.110","19.800","835.87K","-0.15%"
"09/23/2025","19.880","19.880","20.420","19.720","2.21M","0.40%"
"09/22/2025","19.800","20.500","20.650","19.670","1.66M","-2.89%"
"09/21/2025","20.390","20.500","20.710","20.190","944.04K","-0.54%"
"09/18/2025","20.500","20.890","20.950","20.260","1.85M","-1.20%"
"09/17/2025","20.750","21.430","21.750","20.570","2.01M","-2.58%"
