"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","6.020","6.100","6.160","6.010","4.08M","-0.99%"
"11/30/2025","6.080","6.080","6.090","5.990","2.55M","0.66%"
"11/27/2025","6.040","6.130","6.200","5.990","6.28M","-1.15%"
"11/26/2025","6.110","6.050","6.210","6.010","8.39M","1.16%"
"11/25/2025","6.040","6.140","6.180","6.030","2.13M","-1.63%"
"11/24/2025","6.140","6.190","6.290","6.130","3.28M","-0.81%"
"11/23/2025","6.190","6.300","6.300","6.170","2.19M","-0.96%"
"11/20/2025","6.250","6.380","6.380","6.230","4.15M","-1.88%"
"11/19/2025","6.370","6.290","6.370","6.120","10.60M","0.95%"
"11/18/2025","6.310","6.480","6.550","6.270","5.54M","-2.62%"
"11/17/2025","6.480","6.600","6.610","6.460","3.03M","-1.22%"
"11/16/2025","6.560","6.550","6.650","6.480","4.18M","0.15%"
"11/13/2025","6.550","6.670","6.730","6.450","9.85M","-1.50%"
"11/12/2025","6.650","6.520","6.700","6.490","7.03M","2.15%"
"11/11/2025","6.510","6.560","6.600","6.500","1.99M","-0.61%"
"11/10/2025","6.550","6.510","6.630","6.420","6.30M","0.61%"
"11/09/2025","6.510","6.620","6.630","6.470","7.73M","-1.21%"
"11/06/2025","6.590","6.660","6.700","6.560","3.74M","-0.90%"
"11/05/2025","6.650","6.630","6.730","6.530","7.65M","0.76%"
"11/04/2025","6.600","6.830","6.930","6.570","11.27M","-3.37%"
"11/03/2025","6.830","6.730","6.840","6.620","8.29M","1.79%"
"11/02/2025","6.710","6.900","6.930","6.690","4.99M","-2.61%"
"10/30/2025","6.890","6.970","6.980","6.870","7.90M","-0.72%"
"10/29/2025","6.940","7.090","7.100","6.930","7.22M","-1.84%"
"10/28/2025","7.070","7.030","7.180","6.930","12.36M","0.86%"
"10/27/2025","7.010","7.190","7.240","7.000","8.49M","-1.82%"
"10/26/2025","7.140","6.880","7.220","6.850","17.88M","4.23%"
"10/23/2025","6.850","6.910","6.920","6.760","3.80M","-0.44%"
"10/22/2025","6.880","6.920","7.000","6.780","8.59M","0.00%"
"10/21/2025","6.880","6.760","7.000","6.640","20.07M","1.93%"
"10/20/2025","6.750","6.880","6.900","6.690","8.98M","-1.46%"
"10/19/2025","6.850","6.480","6.880","6.390","28.70M","6.37%"
"10/16/2025","6.440","6.330","6.540","6.320","14.12M","1.58%"
"10/15/2025","6.340","6.100","6.340","6.070","14.53M","3.59%"
"10/14/2025","6.120","6.030","6.180","5.960","13.39M","-3.32%"
"10/13/2025","6.330","6.310","6.410","6.260","11.71M","0.80%"
"10/12/2025","6.280","6.180","6.390","6.090","10.91M","2.95%"
"10/09/2025","6.100","6.250","6.100","6.100","5.95M","0.00%"
"10/08/2025","6.100","6.260","6.270","6.100","5.95M","-2.40%"
"10/07/2025","6.250","6.290","6.340","6.250","4.49M","-0.32%"
"10/06/2025","6.270","6.390","6.390","6.240","5.58M","-1.42%"
"10/05/2025","6.360","6.400","6.440","6.330","5.39M","0.16%"
"10/02/2025","6.350","6.300","6.430","6.260","11.11M","1.28%"
"10/01/2025","6.270","6.390","6.440","6.240","5.63M","-1.10%"
"09/30/2025","6.340","6.340","6.450","6.300","15.86M","0.32%"
"09/29/2025","6.320","6.540","6.550","6.320","10.43M","-2.77%"
"09/28/2025","6.500","6.650","6.700","6.440","11.31M","-1.52%"
"09/25/2025","6.600","6.370","6.620","6.350","20.58M","4.60%"
"09/24/2025","6.310","6.270","6.320","6.180","3.84M","1.28%"
"09/23/2025","6.230","6.390","6.450","6.210","7.08M","-1.89%"
"09/22/2025","6.350","6.500","6.530","6.300","9.13M","-2.01%"
"09/21/2025","6.480","6.140","6.490","6.130","16.93M","6.40%"
"09/18/2025","6.090","6.290","6.330","6.070","7.05M","-2.40%"
"09/17/2025","6.240","6.170","6.270","6.080","6.89M","0.97%"
"09/16/2025","6.180","6.320","6.390","6.080","12.56M","-2.37%"
"09/15/2025","6.330","6.530","6.580","6.260","10.11M","-2.91%"
"09/14/2025","6.520","6.340","6.620","6.330","24.51M","3.99%"
"09/11/2025","6.270","5.990","6.270","5.940","30.43M","5.73%"
"09/10/2025","5.930","5.740","6.020","5.670","23.49M","3.31%"
"09/09/2025","5.740","5.460","5.790","5.460","13.54M","5.32%"
"09/08/2025","5.450","5.480","5.500","5.420","4.84M","0.37%"
"09/07/2025","5.430","5.330","5.460","5.190","7.20M","2.07%"
"09/03/2025","5.320","5.370","5.380","5.300","1.76M","-0.75%"
"09/02/2025","5.360","5.440","5.470","5.340","3.57M","0.37%"
"09/01/2025","5.340","5.340","5.430","5.290","6.36M","-0.19%"
"08/31/2025","5.350","5.500","5.530","5.300","4.00M","-2.55%"
"08/28/2025","5.490","5.540","5.610","5.450","4.39M","-0.18%"
"08/27/2025","5.500","5.470","5.530","5.350","5.83M","0.73%"
"08/26/2025","5.460","5.660","5.670","5.460","4.58M","-2.85%"
"08/25/2025","5.620","5.770","5.800","5.610","6.72M","-2.26%"
"08/24/2025","5.750","5.750","5.900","5.720","9.76M","1.77%"
"08/21/2025","5.650","5.610","5.690","5.490","4.68M","0.89%"
"08/20/2025","5.600","5.800","5.800","5.580","5.44M","-2.27%"
"08/19/2025","5.730","5.710","5.820","5.690","6.36M","0.17%"
"08/18/2025","5.720","5.830","5.880","5.720","7.22M","-1.55%"
"08/17/2025","5.810","5.600","5.820","5.550","13.72M","3.75%"
"08/14/2025","5.600","5.710","5.740","5.550","12.37M","-0.53%"
"08/13/2025","5.630","5.390","5.660","5.380","22.42M","5.04%"
"08/12/2025","5.360","5.320","5.420","5.270","5.21M","0.37%"
"08/11/2025","5.340","5.470","5.480","5.300","6.71M","-2.02%"
"08/10/2025","5.450","5.480","5.570","5.390","11.66M","0.74%"
"08/07/2025","5.410","5.290","5.410","5.220","11.27M","2.85%"
"08/06/2025","5.260","5.320","5.400","5.260","8.06M","0.00%"
"08/05/2025","5.260","5.250","5.320","5.180","6.38M","0.77%"
"08/04/2025","5.220","5.290","5.320","5.180","5.44M","-0.76%"
"08/03/2025","5.260","5.250","5.360","5.220","4.77M","0.77%"
"07/31/2025","5.220","5.330","5.350","5.160","8.67M","0.38%"
"07/30/2025","5.200","5.020","5.280","4.990","9.08M","4.00%"
"07/29/2025","5.000","5.040","5.060","4.950","2.50M","-0.60%"
"07/28/2025","5.030","5.140","5.140","5.020","1.73M","-1.18%"
"07/27/2025","5.090","5.160","5.180","5.080","3.21M","0.20%"
"07/23/2025","5.080","5.100","5.110","5.030","2.73M","0.00%"
"07/22/2025","5.080","5.110","5.160","5.070","2.91M","-0.20%"
"07/21/2025","5.090","5.060","5.180","5.050","4.28M","0.79%"
"07/20/2025","5.050","5.060","5.100","5.040","1.90M","0.20%"
"07/17/2025","5.040","5.080","5.090","5.040","1.26M","-0.20%"
"07/16/2025","5.050","5.100","5.110","5.020","1.65M","-0.20%"
