"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","12.730","12.740","13.100","12.700","700.11K","0.16%"
"11/30/2025","12.710","12.680","12.990","12.570","375.64K","1.27%"
"11/27/2025","12.550","12.680","12.770","12.450","535.74K","-0.95%"
"11/26/2025","12.670","12.850","12.960","12.660","841.24K","-0.39%"
"11/25/2025","12.720","13.130","13.260","12.710","1.35M","-3.34%"
"11/24/2025","13.160","13.660","13.800","13.150","3.58M","-3.24%"
"11/23/2025","13.600","12.770","13.690","12.760","4.97M","6.83%"
"11/20/2025","12.730","12.750","13.120","12.720","692.96K","0.08%"
"11/19/2025","12.720","12.710","12.780","12.610","202.68K","0.24%"
"11/18/2025","12.690","12.810","12.900","12.660","369.15K","-0.55%"
"11/17/2025","12.760","12.700","12.790","12.600","341.34K","0.47%"
"11/16/2025","12.700","12.890","12.900","12.670","332.43K","-0.86%"
"11/13/2025","12.810","13.000","13.000","12.570","634.40K","-1.08%"
"11/12/2025","12.950","12.720","13.100","12.720","563.99K","1.97%"
"11/11/2025","12.700","12.930","12.940","12.690","382.36K","-1.09%"
"11/10/2025","12.840","13.000","13.160","12.660","675.26K","-0.85%"
"11/09/2025","12.950","13.130","13.300","12.900","576.97K","-0.61%"
"11/06/2025","13.030","13.080","13.240","12.900","803.19K","0.15%"
"11/05/2025","13.010","13.380","13.530","13.000","958.10K","-2.40%"
"11/04/2025","13.330","13.610","13.630","13.320","833.20K","-1.26%"
"11/03/2025","13.500","13.540","13.630","13.350","794.75K","0.30%"
"11/02/2025","13.460","13.440","13.750","13.360","975.86K","0.98%"
"10/30/2025","13.330","13.290","13.500","13.250","749.46K","0.45%"
"10/29/2025","13.270","13.510","13.520","13.250","643.18K","-1.34%"
"10/28/2025","13.450","13.650","13.700","13.330","1.06M","-1.10%"
"10/27/2025","13.600","14.100","14.100","13.550","2.07M","-1.59%"
"10/26/2025","13.820","13.800","14.420","13.650","4.39M","0.51%"
"10/23/2025","13.750","13.740","13.820","13.300","2.21M","1.03%"
"10/22/2025","13.610","14.300","14.370","13.510","4.17M","-2.65%"
"10/21/2025","13.980","12.770","13.990","12.700","5.74M","9.82%"
"10/20/2025","12.730","12.960","13.050","12.720","1.24M","-0.39%"
"10/19/2025","12.780","12.860","12.990","12.730","981.26K","0.24%"
"10/16/2025","12.750","12.680","12.920","12.620","930.47K","0.55%"
"10/15/2025","12.680","12.840","12.940","12.670","733.37K","-0.63%"
"10/14/2025","12.760","13.100","13.150","12.750","1.34M","-1.85%"
"10/13/2025","13.000","12.700","13.200","12.700","2.02M","2.28%"
"10/12/2025","12.710","12.840","13.100","12.540","1.85M","-1.01%"
"10/08/2025","12.840","13.160","13.420","12.780","3.75M","-1.68%"
"10/07/2025","13.060","12.990","13.660","12.910","8.98M","3.24%"
"10/06/2025","12.650","12.200","12.700","12.070","3.15M","4.12%"
"10/05/2025","12.150","11.800","12.310","11.740","1.96M","3.76%"
"10/02/2025","11.710","12.100","12.190","11.700","1.25M","-2.42%"
"10/01/2025","12.000","12.370","12.400","11.910","1.51M","-2.44%"
"09/30/2025","12.300","12.750","12.830","12.150","2.75M","-2.84%"
"09/29/2025","12.660","12.490","12.910","12.360","5.64M","2.01%"
"09/28/2025","12.410","12.270","12.740","12.260","6.10M","3.59%"
"09/25/2025","11.980","11.600","12.110","11.520","2.58M","4.08%"
"09/24/2025","11.510","11.390","11.600","11.300","445.57K","1.77%"
"09/23/2025","11.310","11.550","11.690","11.300","748.51K","-1.22%"
"09/22/2025","11.450","11.400","11.900","11.260","1.62M","0.88%"
"09/21/2025","11.350","11.540","11.700","11.320","595.02K","-0.79%"
"09/18/2025","11.440","11.550","11.740","11.440","653.95K","0.35%"
"09/17/2025","11.400","11.390","11.580","11.200","562.21K","0.09%"
"09/16/2025","11.390","11.890","11.940","11.310","853.28K","-3.88%"
"09/15/2025","11.850","12.100","12.280","11.830","724.17K","-1.66%"
"09/14/2025","12.050","12.250","12.330","12.000","921.38K","-1.39%"
"09/11/2025","12.220","12.380","12.690","12.150","2.63M","-0.24%"
"09/10/2025","12.250","11.980","12.350","11.820","1.59M","2.34%"
"09/09/2025","11.970","12.150","12.370","11.930","1.80M","-0.58%"
"09/08/2025","12.040","11.840","12.390","11.770","1.59M","2.47%"
"09/07/2025","11.750","12.040","12.240","11.610","936.59K","-2.41%"
"09/03/2025","12.040","12.410","12.410","11.950","2.12M","-2.75%"
"09/02/2025","12.380","12.790","13.200","12.250","4.70M","-1.12%"
"09/01/2025","12.520","11.480","12.800","11.480","5.48M","10.21%"
"08/31/2025","11.360","12.400","12.490","11.110","3.25M","-7.19%"
"08/28/2025","12.240","11.120","12.250","11.040","4.37M","10.17%"
"08/27/2025","11.110","11.350","11.470","11.100","1.08M","-2.11%"
"08/26/2025","11.350","12.000","12.000","11.350","3.95M","-4.30%"
"08/25/2025","11.860","12.390","12.600","11.500","2.35M","-3.66%"
"08/24/2025","12.310","12.350","12.450","12.110","1.15M","0.49%"
"08/21/2025","12.250","12.360","12.470","12.150","920.26K","-0.81%"
"08/20/2025","12.350","12.650","12.970","12.340","3.30M","-1.20%"
"08/19/2025","12.500","12.010","12.650","12.010","2.97M","4.87%"
"08/18/2025","11.920","11.750","12.300","11.710","1.81M","2.14%"
"08/17/2025","11.670","11.740","11.900","11.630","598.39K","-0.60%"
"08/14/2025","11.740","12.000","12.130","11.580","1.09M","-2.09%"
"08/13/2025","11.990","12.500","12.550","11.850","1.94M","-3.31%"
"08/12/2025","12.400","12.210","12.690","12.130","3.49M","2.06%"
"08/11/2025","12.150","12.750","12.800","12.100","2.17M","-4.33%"
"08/10/2025","12.700","12.670","13.550","12.650","3.59M","0.24%"
"08/07/2025","12.670","12.800","13.450","12.530","6.09M","2.01%"
"08/06/2025","12.420","10.360","12.420","10.320","15.47M","20.00%"
"08/05/2025","10.350","10.410","10.540","10.350","802.75K","0.00%"
"08/04/2025","10.350","10.310","10.690","10.300","1.65M","0.49%"
"08/03/2025","10.300","10.200","10.350","10.000","327.97K","0.98%"
"07/31/2025","10.200","10.050","10.210","9.900","291.47K","2.00%"
"07/30/2025","10.000","10.100","10.270","9.990","205.39K","-1.38%"
"07/29/2025","10.140","10.050","10.280","10.050","129.25K","0.40%"
"07/28/2025","10.100","10.300","10.360","10.070","130.74K","-1.66%"
"07/27/2025","10.270","10.390","10.390","10.100","164.39K","0.20%"
"07/23/2025","10.250","10.350","10.350","10.180","252.80K","-0.97%"
"07/22/2025","10.350","10.310","10.400","10.250","304.98K","0.39%"
"07/21/2025","10.310","10.520","10.590","10.280","366.76K","-1.62%"
"07/20/2025","10.480","10.300","10.590","10.250","766.43K","1.85%"
"07/17/2025","10.290","10.410","10.410","10.210","446.32K","0.10%"
"07/16/2025","10.280","10.410","10.650","10.270","1.60M","-1.25%"
"07/15/2025","10.410","10.210","10.480","10.200","929.84K","1.86%"
"07/14/2025","10.220","10.390","10.420","10.200","400.85K","-0.49%"
"07/13/2025","10.270","10.490","10.500","10.250","312.97K","-0.68%"
"07/10/2025","10.340","10.190","10.530","10.190","1.28M","1.77%"
"07/09/2025","10.160","10.230","10.370","10.150","554.00K","-0.97%"
"07/07/2025","10.260","10.550","10.650","10.220","898.22K","-2.47%"
"07/06/2025","10.520","10.290","10.550","10.110","1.12M","2.24%"
"07/02/2025","10.290","10.280","10.420","10.160","358.17K","1.68%"
"07/01/2025","10.120","10.060","10.570","10.060","1.30M","0.60%"
"06/30/2025","10.060","10.190","10.330","10.000","664.83K","-1.18%"
"06/29/2025","10.180","10.200","10.360","10.120","522.58K","0.79%"
"06/25/2025","10.100","9.600","10.160","9.470","1.44M","5.32%"
"06/24/2025","9.590","9.600","9.740","9.450","798.19K","1.27%"
"06/23/2025","9.470","9.200","9.650","9.200","638.83K","2.93%"
"06/22/2025","9.200","8.600","9.450","8.120","1.07M","6.73%"
"06/19/2025","8.620","9.080","9.080","8.450","216.36K","-3.15%"
"06/18/2025","8.900","8.870","8.970","8.500","133.63K","0.56%"
"06/17/2025","8.850","9.120","9.180","8.810","252.15K","-2.75%"
"06/16/2025","9.100","9.100","9.190","9.050","217.47K","1.34%"
"06/15/2025","8.980","9.210","9.210","8.430","491.72K","-7.99%"
"06/12/2025","9.760","10.100","10.140","9.740","539.72K","-3.37%"
"06/11/2025","10.100","10.180","10.230","10.050","359.27K","0.00%"
"06/10/2025","10.100","10.120","10.180","10.050","324.66K","0.20%"
"06/04/2025","10.080","10.200","10.250","10.050","286.24K","0.00%"
"06/03/2025","10.080","10.220","10.250","10.020","397.49K","-1.27%"
"06/02/2025","10.210","9.980","10.400","9.950","581.05K","2.20%"
"06/01/2025","9.990","10.100","10.200","9.960","329.36K","0.00%"
"05/29/2025","9.990","10.190","10.210","9.900","834.27K","-1.96%"
"05/28/2025","10.190","10.500","10.510","10.170","907.77K","-2.58%"
"05/27/2025","10.460","10.550","10.690","10.450","672.03K","-0.76%"
"05/26/2025","10.540","10.450","10.720","10.440","488.93K","0.19%"
"05/25/2025","10.520","10.790","10.790","10.450","341.87K","-0.75%"
"05/22/2025","10.600","10.490","10.720","10.260","785.87K","1.53%"
"05/21/2025","10.440","10.600","10.620","10.380","590.83K","-1.51%"
"05/20/2025","10.600","10.850","10.880","10.570","658.59K","-1.03%"
"05/19/2025","10.710","10.870","11.110","10.660","1.16M","-1.47%"
"05/18/2025","10.870","10.900","11.440","10.750","2.15M","-0.18%"
"05/15/2025","10.890","10.480","10.890","10.100","1.43M","5.22%"
"05/14/2025","10.350","10.600","10.600","10.230","963.56K","-1.43%"
"05/13/2025","10.500","10.880","11.050","10.300","1.10M","-2.05%"
"05/12/2025","10.720","10.850","11.070","10.650","1.36M","-1.20%"
"05/11/2025","10.850","11.470","11.500","10.820","3.12M","-4.15%"
