"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","10.66","10.89","10.93","10.60","2.58M","-1.30%"
"11/30/2025","10.80","10.25","10.80","10.25","6.05M","7.36%"
"11/27/2025","10.06","10.00","10.23","9.80","1.39M","1.00%"
"11/26/2025","9.96","10.00","10.18","9.88","1.25M","-0.50%"
"11/25/2025","10.01","10.26","10.32","10.00","864.09K","-2.05%"
"11/24/2025","10.22","10.31","10.41","10.21","596.29K","-0.87%"
"11/23/2025","10.31","10.45","10.54","10.31","868.70K","-0.58%"
"11/20/2025","10.37","10.52","10.61","10.30","1.98M","-0.67%"
"11/19/2025","10.44","10.51","10.58","10.34","823.27K","0.19%"
"11/18/2025","10.42","10.00","10.64","10.00","3.76M","4.20%"
"11/17/2025","10.00","10.33","10.36","9.93","2.13M","-2.91%"
"11/16/2025","10.30","10.50","10.51","10.30","748.73K","-1.15%"
"11/13/2025","10.42","10.41","10.53","10.37","1.04M","0.39%"
"11/12/2025","10.38","10.41","10.55","10.31","625.97K","-0.57%"
"11/11/2025","10.44","10.69","10.79","10.36","1.85M","-1.51%"
"11/10/2025","10.60","10.65","10.70","10.44","885.88K","0.38%"
"11/09/2025","10.56","10.70","10.83","10.55","1.33M","-0.85%"
"11/06/2025","10.65","10.79","10.88","10.59","1.37M","-1.48%"
"11/05/2025","10.81","11.17","11.17","10.66","2.21M","-2.26%"
"11/04/2025","11.06","11.20","11.20","11.06","1.02M","-1.25%"
"11/03/2025","11.20","11.31","11.34","11.16","826.85K","-0.88%"
"11/02/2025","11.30","11.26","11.40","11.23","906.55K","0.00%"
"10/30/2025","11.30","11.40","11.42","11.26","771.81K","-0.88%"
"10/29/2025","11.40","11.49","11.54","11.33","2.22M","-0.26%"
"10/28/2025","11.43","11.28","11.56","11.27","4.04M","1.42%"
"10/27/2025","11.27","11.35","11.41","11.25","2.04M","-0.53%"
"10/26/2025","11.33","11.29","11.40","11.23","1.29M","0.27%"
"10/23/2025","11.30","11.47","11.57","11.20","1.95M","-1.22%"
"10/22/2025","11.44","11.54","11.72","11.43","601.48K","-0.78%"
"10/21/2025","11.53","11.58","11.59","11.48","723.52K","0.26%"
"10/20/2025","11.50","11.71","11.80","11.49","1.04M","-1.54%"
"10/19/2025","11.68","11.62","11.81","11.62","1.91M","0.95%"
"10/16/2025","11.57","11.44","11.60","11.40","1.33M","1.67%"
"10/15/2025","11.38","11.59","11.61","11.37","929.81K","-1.04%"
"10/14/2025","11.50","11.42","11.70","11.35","2.01M","0.79%"
"10/13/2025","11.41","11.56","11.68","11.33","3.14M","-1.64%"
"10/12/2025","11.60","11.90","11.90","11.54","2.05M","-2.60%"
"10/09/2025","11.91","11.95","11.91","11.91","1.39M","0.00%"
"10/08/2025","11.91","11.98","12.10","11.83","1.39M","-0.33%"
"10/07/2025","11.95","12.05","12.19","11.93","1.62M","-0.83%"
"10/06/2025","12.05","12.20","12.20","11.97","2.03M","-0.99%"
"10/05/2025","12.17","11.90","12.17","11.90","2.60M","2.53%"
"10/02/2025","11.87","11.88","12.16","11.75","6.18M","0.17%"
"10/01/2025","11.85","12.28","12.30","11.81","4.43M","-3.34%"
"09/30/2025","12.26","11.80","12.35","11.76","14.54M","4.34%"
"09/29/2025","11.75","11.60","11.75","11.46","3.95M","2.53%"
"09/28/2025","11.46","11.30","11.50","11.22","3.80M","2.14%"
"09/25/2025","11.22","11.27","11.30","11.05","1.54M","0.27%"
"09/24/2025","11.19","11.00","11.33","11.00","1.21M","1.45%"
"09/23/2025","11.03","11.20","11.22","10.98","1.10M","-1.52%"
"09/22/2025","11.20","11.28","11.34","11.02","858.40K","-0.53%"
"09/21/2025","11.26","11.27","11.50","11.25","1.12M","0.36%"
"09/18/2025","11.22","11.30","11.44","11.17","2.47M","-0.80%"
"09/17/2025","11.31","11.25","11.40","11.20","1.09M","0.53%"
"09/16/2025","11.25","11.43","11.55","11.03","2.34M","-2.17%"
"09/15/2025","11.50","11.79","11.91","11.50","3.99M","-1.71%"
"09/14/2025","11.70","11.60","11.77","11.50","2.94M","1.74%"
"09/11/2025","11.50","11.30","11.57","11.24","3.62M","2.40%"
"09/10/2025","11.23","11.39","11.44","11.18","2.01M","0.27%"
"09/09/2025","11.20","11.20","11.55","11.13","2.46M","-0.09%"
"09/08/2025","11.21","11.29","11.38","11.10","1.83M","-0.27%"
"09/07/2025","11.24","10.91","11.55","10.91","4.43M","2.18%"
"09/03/2025","11.00","11.15","11.15","11.00","1.24M","-0.54%"
"09/02/2025","11.06","11.10","11.20","11.00","1.23M","0.09%"
"09/01/2025","11.05","11.00","11.15","10.91","1.11M","0.36%"
"08/31/2025","11.01","11.20","11.27","10.86","2.59M","-1.70%"
"08/28/2025","11.20","10.99","11.20","10.90","3.46M","3.04%"
"08/27/2025","10.87","11.10","11.20","10.87","2.10M","-1.18%"
"08/26/2025","11.00","11.08","11.17","10.76","4.06M","-0.54%"
"08/25/2025","11.06","11.70","11.75","10.84","9.99M","-4.66%"
"08/24/2025","11.60","11.80","11.94","11.60","1.76M","-1.28%"
"08/21/2025","11.75","11.70","11.97","11.67","2.63M","0.77%"
"08/20/2025","11.66","12.15","12.18","11.64","6.02M","-3.64%"
"08/19/2025","12.10","12.05","12.57","12.02","4.49M","0.58%"
"08/18/2025","12.03","11.42","12.30","11.41","16.13M","5.43%"
"08/17/2025","11.41","11.52","11.65","11.41","2.61M","-0.87%"
"08/14/2025","11.51","11.43","11.52","11.10","3.41M","0.88%"
"08/13/2025","11.41","11.60","11.80","11.37","4.50M","-1.55%"
"08/12/2025","11.59","11.45","11.65","11.33","6.24M","1.67%"
"08/11/2025","11.40","11.01","11.45","10.93","10.10M","4.59%"
"08/10/2025","10.90","10.99","11.10","10.90","3.15M","0.00%"
"08/07/2025","10.90","10.88","11.20","10.83","6.15M","-0.09%"
"08/06/2025","10.91","10.99","11.10","10.81","5.81M","0.28%"
"08/05/2025","10.88","10.60","11.20","10.36","18.08M","3.62%"
"08/04/2025","10.50","10.22","10.56","10.20","7.31M","2.94%"
"08/03/2025","10.20","10.19","10.25","10.04","2.21M","0.49%"
"07/31/2025","10.15","10.00","10.26","9.96","5.83M","2.01%"
