"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","6.94","7.07","7.11","6.92","1.88M","-1.28%"
"11/30/2025","7.03","7.03","7.07","6.98","1.27M","0.29%"
"11/27/2025","7.01","7.03","7.09","7.01","639.39K","-0.28%"
"11/26/2025","7.03","7.06","7.18","7.01","1.36M","-0.14%"
"11/25/2025","7.04","7.04","7.20","7.00","1.00M","0.14%"
"11/24/2025","7.03","7.10","7.10","7.00","1.30M","-0.28%"
"11/23/2025","7.05","7.12","7.19","7.05","612.56K","-0.70%"
"11/20/2025","7.10","7.28","7.28","7.10","1.06M","-1.66%"
"11/19/2025","7.22","7.25","7.27","7.12","550.00K","0.00%"
"11/18/2025","7.22","7.38","7.38","7.21","909.77K","-1.10%"
"11/17/2025","7.30","7.40","7.57","7.30","5.10M","-0.82%"
"11/16/2025","7.36","7.38","7.44","7.30","1.46M","0.82%"
"11/13/2025","7.30","7.24","7.30","7.21","1.38M","1.39%"
"11/12/2025","7.20","7.15","7.20","7.08","688.84K","1.12%"
"11/11/2025","7.12","7.25","7.26","7.12","1.11M","-1.39%"
"11/10/2025","7.22","7.19","7.32","7.15","2.64M","0.42%"
"11/09/2025","7.19","7.15","7.26","7.15","916.94K","1.27%"
"11/06/2025","7.10","7.19","7.27","7.10","2.07M","-0.28%"
"11/05/2025","7.12","7.27","7.34","7.00","2.88M","-2.47%"
"11/04/2025","7.30","7.37","7.43","7.27","2.40M","-0.95%"
"11/03/2025","7.37","7.36","7.37","7.18","2.24M","0.27%"
"11/02/2025","7.35","7.38","7.39","7.27","1.60M","0.14%"
"10/30/2025","7.34","7.31","7.40","7.23","1.90M","0.55%"
"10/29/2025","7.30","7.34","7.37","7.29","3.65M","-0.27%"
"10/28/2025","7.32","7.22","7.33","7.20","4.26M","1.67%"
"10/27/2025","7.20","7.07","7.27","7.05","4.37M","2.13%"
"10/26/2025","7.05","7.11","7.14","7.05","1.25M","-0.56%"
"10/23/2025","7.09","6.90","7.10","6.90","3.87M","2.75%"
"10/22/2025","6.90","7.03","7.04","6.90","3.08M","-1.57%"
"10/21/2025","7.01","7.27","7.27","6.97","6.88M","-3.04%"
"10/20/2025","7.23","7.33","7.37","7.21","1.61M","-0.55%"
"10/19/2025","7.27","7.23","7.31","7.21","2.01M","0.83%"
"10/16/2025","7.21","7.25","7.31","7.15","2.29M","-0.14%"
"10/15/2025","7.22","7.36","7.44","7.18","6.86M","-1.23%"
"10/14/2025","7.31","7.34","7.60","7.31","8.91M","0.27%"
"10/13/2025","7.29","7.38","7.43","7.29","3.75M","-0.14%"
"10/12/2025","7.30","7.20","7.40","7.15","1.93M","0.41%"
"10/08/2025","7.27","7.29","7.33","7.12","2.59M","-0.41%"
"10/07/2025","7.30","7.39","7.58","7.30","3.81M","-1.35%"
"10/06/2025","7.40","7.39","7.70","7.23","7.78M","-0.13%"
"10/05/2025","7.41","6.78","8.00","6.75","7.14M","8.97%"
"10/02/2025","6.80","6.87","6.90","6.63","2.82M","-1.02%"
"10/01/2025","6.87","6.73","6.90","6.68","4.09M","2.08%"
"09/30/2025","6.73","6.57","6.73","6.47","5.48M","2.12%"
"09/29/2025","6.59","6.58","6.66","6.50","3.17M","0.15%"
"09/28/2025","6.58","6.50","6.60","6.48","2.48M","1.86%"
"09/25/2025","6.46","6.55","6.55","6.41","1.51M","-0.62%"
"09/24/2025","6.50","6.49","6.64","6.33","4.91M","0.31%"
"09/23/2025","6.48","6.10","6.49","6.10","2.89M","6.23%"
"09/22/2025","6.10","6.10","6.15","6.01","781.66K","-0.16%"
"09/21/2025","6.11","6.27","6.32","6.09","812.47K","-3.02%"
"09/18/2025","6.30","6.40","6.47","6.25","1.25M","-0.19%"
"09/17/2025","6.31","6.23","6.38","6.14","1.38M","1.54%"
"09/16/2025","6.22","6.30","6.39","6.21","2.05M","-1.65%"
"09/15/2025","6.32","6.38","6.38","6.30","938.40K","-1.13%"
"09/14/2025","6.39","6.38","6.42","6.30","2.25M","0.38%"
"09/11/2025","6.37","6.40","6.46","6.32","1.51M","-0.50%"
"09/10/2025","6.40","6.25","6.42","6.24","3.44M","1.27%"
"09/09/2025","6.32","6.38","6.43","6.24","1.80M","-1.13%"
"09/08/2025","6.39","6.39","6.42","6.33","1.12M","0.38%"
"09/07/2025","6.37","6.40","6.51","6.26","1.97M","-0.50%"
"09/03/2025","6.40","6.50","6.54","6.24","3.19M","-1.23%"
"09/02/2025","6.48","6.40","6.55","6.40","2.56M","2.02%"
"09/01/2025","6.35","6.39","6.44","6.31","2.00M","0.51%"
"08/31/2025","6.32","6.60","6.64","6.32","2.42M","-3.66%"
"08/28/2025","6.56","6.66","6.66","6.52","1.38M","-0.85%"
"08/27/2025","6.62","6.76","6.76","6.54","1.39M","-0.96%"
"08/26/2025","6.68","6.73","6.80","6.66","1.69M","-0.60%"
"08/25/2025","6.72","6.79","6.85","6.70","1.51M","-0.36%"
"08/24/2025","6.74","6.80","6.87","6.72","867.00K","-0.82%"
"08/21/2025","6.80","6.84","6.88","6.66","2.07M","-0.58%"
"08/20/2025","6.84","6.94","7.00","6.80","1.60M","-1.50%"
"08/19/2025","6.94","6.97","7.10","6.94","2.69M","-0.23%"
"08/18/2025","6.96","6.90","7.04","6.90","1.50M","0.81%"
"08/17/2025","6.90","6.95","6.98","6.86","563.57K","-0.69%"
"08/14/2025","6.95","6.86","6.96","6.84","918.77K","1.28%"
"08/13/2025","6.86","7.02","7.06","6.85","1.98M","-1.83%"
"08/12/2025","6.99","6.88","7.09","6.80","5.34M","1.63%"
"08/11/2025","6.88","6.87","6.92","6.81","1.36M","0.12%"
"08/10/2025","6.87","6.96","6.99","6.86","1.24M","-0.92%"
"08/07/2025","6.94","6.86","6.96","6.82","3.10M","1.88%"
"08/06/2025","6.81","6.71","6.84","6.71","2.07M","1.79%"
"08/05/2025","6.69","6.70","6.72","6.65","753.35K","0.48%"
"08/04/2025","6.66","6.77","6.79","6.63","1.97M","-0.95%"
"08/03/2025","6.72","6.60","6.80","6.56","1.26M","1.82%"
"07/31/2025","6.60","6.70","6.70","6.60","1.10M","-0.48%"
"07/30/2025","6.63","6.77","6.88","6.63","3.12M","-1.54%"
"07/29/2025","6.74","6.71","6.74","6.60","7.38M","0.48%"
"07/28/2025","6.70","6.61","6.71","6.60","964.68K","1.70%"
"07/27/2025","6.59","6.72","6.78","6.58","1.58M","-1.32%"
"07/23/2025","6.68","6.74","6.78","6.68","1.17M","-0.60%"
"07/22/2025","6.72","6.87","6.90","6.72","1.72M","-2.21%"
"07/21/2025","6.87","6.89","7.04","6.78","2.93M","0.47%"
"07/20/2025","6.84","6.83","6.92","6.80","1.13M","0.35%"
"07/17/2025","6.82","6.93","7.02","6.82","1.56M","-0.93%"
"07/16/2025","6.88","6.88","6.95","6.80","751.26K","0.00%"
"07/15/2025","6.88","7.02","7.09","6.86","1.93M","-1.38%"
"07/14/2025","6.98","7.04","7.05","6.94","1.48M","-0.91%"
"07/13/2025","7.04","7.16","7.22","7.02","1.80M","-1.68%"
"07/10/2025","7.16","6.96","7.17","6.96","5.61M","4.56%"
"07/09/2025","6.85","6.87","6.96","6.76","1.61M","-0.47%"
"07/07/2025","6.88","6.89","6.96","6.81","1.50M","0.00%"
"07/06/2025","6.88","6.88","6.98","6.80","2.89M","1.06%"
"07/02/2025","6.81","6.53","6.91","6.53","7.92M","4.42%"
"07/01/2025","6.52","6.49","6.65","6.41","2.67M","0.87%"
"06/30/2025","6.46","6.60","6.60","6.45","864.43K","-2.06%"
"06/29/2025","6.60","6.56","6.66","6.56","1.91M","0.86%"
"06/25/2025","6.54","6.52","6.62","6.40","2.72M","0.37%"
"06/24/2025","6.52","6.32","6.52","6.32","3.13M","4.35%"
"06/23/2025","6.25","6.02","6.30","6.01","2.90M","4.69%"
"06/22/2025","5.97","5.71","6.01","5.62","2.42M","3.04%"
"06/19/2025","5.79","5.80","5.86","5.68","2.23M","0.42%"
"06/18/2025","5.77","5.70","5.86","5.57","2.69M","1.26%"
"06/17/2025","5.70","6.03","6.10","5.70","3.07M","-5.57%"
"06/16/2025","6.03","6.12","6.27","6.00","2.65M","-0.66%"
"06/15/2025","6.07","6.16","6.16","5.72","2.64M","-6.06%"
"06/12/2025","6.46","6.72","6.72","6.46","2.64M","-3.81%"
"06/11/2025","6.72","6.54","6.72","6.54","4.07M","2.82%"
"06/10/2025","6.54","6.46","6.54","6.43","1.15M","2.12%"
"06/04/2025","6.40","6.44","6.46","6.38","803.18K","-0.50%"
"06/03/2025","6.43","6.37","6.44","6.37","1.15M","1.01%"
"06/02/2025","6.37","6.49","6.50","6.29","1.35M","-1.00%"
"06/01/2025","6.43","6.47","6.55","6.40","3.39M","0.25%"
"05/29/2025","6.42","6.60","6.64","6.38","4.26M","-2.43%"
"05/28/2025","6.58","6.74","6.79","6.54","3.56M","-1.56%"
"05/27/2025","6.68","6.54","6.86","6.50","10.98M","2.20%"
"05/26/2025","6.54","6.67","6.74","6.48","4.30M","-0.97%"
"05/25/2025","6.60","6.54","6.67","6.51","4.81M","1.60%"
