"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.22","1.28","1.31","1.21","38.00M","-3.94%"
"11/30/2025","1.27","1.30","1.33","1.26","35.07M","-2.31%"
"11/27/2025","1.30","1.22","1.34","1.22","58.00M","6.56%"
"11/26/2025","1.22","1.26","1.38","1.21","80.89M","-3.17%"
"11/25/2025","1.26","1.37","1.37","1.21","48.52M","-6.67%"
"11/24/2025","1.35","1.26","1.42","1.17","123.73M","8.87%"
"11/23/2025","1.24","1.09","1.24","1.07","75.84M","19.00%"
"11/20/2025","1.04","1.06","1.19","1.02","65.59M","3.68%"
"11/19/2025","1.00","0.83","1.00","0.81","45.15M","19.93%"
"11/18/2025","0.84","0.90","0.92","0.83","38.98M","-7.71%"
"11/17/2025","0.91","1.02","1.02","0.89","36.29M","7.08%"
"11/16/2025","0.85","0.85","0.85","0.85","562.70K","20.00%"
"11/13/2025","0.71","0.71","0.73","0.69","15.92M","-0.92%"
"11/12/2025","0.71","0.71","0.75","0.69","41.40M","0.00%"
"11/11/2025","0.71","0.73","0.74","0.69","34.89M","-1.52%"
"11/10/2025","0.72","0.77","0.78","0.72","65.47M","-7.04%"
"11/09/2025","0.77","0.82","0.82","0.77","30.40M","-79.07%"
"11/06/2025","3.70","3.88","3.95","3.55","12.22M","-4.64%"
"11/05/2025","3.88","3.71","4.11","3.71","18.84M","8.38%"
"11/04/2025","3.58","3.76","3.76","3.58","2.84M","-3.50%"
"11/03/2025","3.71","3.63","3.81","3.61","11.51M","3.06%"
"11/02/2025","3.60","3.61","3.66","3.48","6.36M","-0.83%"
"10/30/2025","3.63","3.25","3.79","3.24","20.87M","11.69%"
"10/29/2025","3.25","3.31","3.34","3.19","933.54K","-1.81%"
"10/28/2025","3.31","3.37","3.39","3.28","1.72M","-1.49%"
"10/27/2025","3.36","3.40","3.42","3.35","552.65K","-0.59%"
"10/26/2025","3.38","3.37","3.40","3.32","558.14K","0.90%"
"10/23/2025","3.35","3.37","3.42","3.33","609.56K","-0.89%"
"10/22/2025","3.38","3.44","3.47","3.36","1.61M","-0.59%"
"10/21/2025","3.40","3.48","3.57","3.40","4.03M","-1.73%"
"10/20/2025","3.46","3.50","3.54","3.43","2.91M","-1.14%"
"10/19/2025","3.50","3.32","3.61","3.29","9.68M","6.71%"
"10/16/2025","3.28","3.34","3.35","3.27","1.83M","-0.61%"
"10/15/2025","3.30","3.31","3.36","3.30","1.04M","0.00%"
"10/14/2025","3.30","3.32","3.38","3.27","2.47M","0.00%"
"10/13/2025","3.30","3.28","3.39","3.25","3.32M","1.54%"
"10/12/2025","3.25","3.38","3.41","3.00","3.82M","-3.27%"
"10/08/2025","3.36","3.37","3.43","3.33","6.83M","0.90%"
"10/07/2025","3.33","3.46","3.60","3.31","11.99M","-3.20%"
"10/06/2025","3.44","3.36","3.73","3.30","26.13M","1.47%"
"10/05/2025","3.39","3.40","3.61","3.31","22.13M","4.63%"
"10/02/2025","3.24","2.71","3.24","2.62","22.81M","20.00%"
"10/01/2025","2.70","2.84","2.86","2.69","11.74M","-4.93%"
"09/30/2025","2.84","2.97","3.00","2.78","5.95M","-3.07%"
"09/29/2025","2.93","2.98","3.05","2.93","6.57M","-0.68%"
"09/28/2025","2.95","2.95","3.02","2.94","3.03M","0.00%"
"09/25/2025","2.95","2.98","3.02","2.92","3.53M","0.00%"
"09/24/2025","2.95","2.97","3.00","2.85","2.55M","-0.67%"
"09/23/2025","2.97","3.03","3.04","2.97","3.21M","-1.33%"
"09/22/2025","3.01","3.02","3.06","2.94","5.51M","0.00%"
"09/21/2025","3.01","3.03","3.10","3.00","8.31M","-0.66%"
"09/18/2025","3.03","3.02","3.13","3.01","8.69M","1.00%"
"09/17/2025","3.00","3.03","3.08","2.97","9.61M","0.00%"
"09/16/2025","3.00","3.26","3.27","2.93","17.96M","-7.98%"
"09/15/2025","3.26","3.20","3.33","3.14","13.22M","0.62%"
"09/14/2025","3.24","3.34","3.37","3.17","13.44M","-3.28%"
"09/11/2025","3.35","3.21","3.36","3.11","14.72M","4.69%"
"09/10/2025","3.20","3.38","3.43","3.17","9.92M","-5.33%"
"09/09/2025","3.38","3.60","3.61","3.38","4.03M","-6.11%"
"09/08/2025","3.60","3.58","3.68","3.45","6.09M","0.28%"
"09/07/2025","3.59","3.49","3.63","3.37","12.24M","1.41%"
"09/03/2025","3.54","3.20","3.54","3.10","14.58M","11.67%"
"09/02/2025","3.17","3.30","3.37","3.15","6.03M","-4.23%"
"09/01/2025","3.31","3.40","3.59","3.28","20.60M","1.22%"
"08/31/2025","3.27","2.96","3.27","2.96","15.94M","11.22%"
"08/28/2025","2.94","3.06","3.23","2.89","19.30M","-2.33%"
"08/27/2025","3.01","3.01","3.39","2.81","36.26M","1.35%"
"08/26/2025","2.97","2.55","2.97","2.52","32.51M","19.76%"
"08/25/2025","2.48","2.08","2.48","2.08","25.28M","19.81%"
"08/24/2025","2.07","2.10","2.11","2.07","2.01M","0.00%"
"08/21/2025","2.07","2.06","2.10","2.05","2.53M","0.98%"
"08/20/2025","2.05","2.09","2.10","2.05","3.50M","-1.44%"
"08/19/2025","2.08","2.10","2.11","2.08","2.40M","-0.95%"
"08/18/2025","2.10","2.15","2.16","2.09","6.55M","-2.33%"
"08/17/2025","2.15","2.16","2.17","2.12","1.90M","0.00%"
"08/14/2025","2.15","2.17","2.19","2.13","1.55M","-0.92%"
"08/13/2025","2.17","2.18","2.23","2.14","4.11M","0.46%"
"08/12/2025","2.16","2.11","2.21","2.10","10.81M","2.86%"
"08/11/2025","2.10","2.14","2.14","2.09","1.32M","-0.47%"
"08/10/2025","2.11","2.12","2.14","2.11","1.27M","0.00%"
"08/07/2025","2.11","2.10","2.13","2.10","1.13M","0.48%"
"08/06/2025","2.10","2.13","2.15","2.10","1.47M","-0.94%"
"08/05/2025","2.12","2.10","2.13","2.10","3.13M","1.44%"
"08/04/2025","2.09","2.11","2.12","2.08","3.59M","0.00%"
"08/03/2025","2.09","2.12","2.13","2.07","1.10M","-0.95%"
"07/31/2025","2.11","2.10","2.12","2.05","2.36M","2.43%"
"07/30/2025","2.06","2.12","2.13","2.06","1.23M","-2.37%"
"07/29/2025","2.11","2.06","2.12","2.05","4.15M","2.93%"
"07/28/2025","2.05","2.11","2.12","2.04","2.18M","-2.84%"
"07/27/2025","2.11","2.15","2.16","2.09","3.47M","-0.94%"
"07/23/2025","2.13","2.21","2.24","2.13","2.48M","-3.62%"
"07/22/2025","2.21","2.25","2.29","2.20","2.80M","-1.78%"
"07/21/2025","2.25","2.25","2.29","2.22","2.09M","1.35%"
"07/20/2025","2.22","2.23","2.27","2.21","1.66M","0.00%"
"07/17/2025","2.22","2.23","2.28","2.21","2.30M","0.45%"
"07/16/2025","2.21","2.25","2.27","2.20","2.46M","-1.34%"
"07/15/2025","2.24","2.29","2.30","2.24","1.97M","-2.18%"
"07/14/2025","2.29","2.20","2.49","2.19","11.29M","4.09%"
"07/13/2025","2.20","2.23","2.24","2.20","1.36M","-0.45%"
"07/10/2025","2.21","2.20","2.25","2.18","2.55M","0.91%"
"07/09/2025","2.19","2.18","2.22","2.15","3.59M","1.86%"
"07/07/2025","2.15","2.15","2.20","2.14","2.61M","0.47%"
"07/06/2025","2.14","2.10","2.15","2.10","1.02M","1.90%"
"07/02/2025","2.10","2.09","2.11","2.08","731.51K","0.48%"
"07/01/2025","2.09","2.12","2.14","2.08","626.40K","-1.42%"
"06/30/2025","2.12","2.13","2.14","2.10","1.90M","-0.47%"
"06/29/2025","2.13","2.12","2.16","2.11","1.69M","0.47%"
"06/25/2025","2.12","2.11","2.13","2.08","1.18M","1.44%"
"06/24/2025","2.09","2.07","2.12","2.05","1.65M","3.98%"
"06/23/2025","2.01","2.03","2.04","1.99","1.15M","0.50%"
"06/22/2025","2.00","1.96","2.00","1.94","1.50M","2.04%"
"06/19/2025","1.96","2.00","2.05","1.95","1.12M","-2.00%"
"06/18/2025","2.00","1.96","2.02","1.94","870.20K","2.04%"
"06/17/2025","1.96","2.07","2.09","1.96","3.43M","-5.31%"
"06/16/2025","2.07","2.08","2.14","2.06","1.27M","-0.48%"
"06/15/2025","2.08","2.10","2.10","1.93","2.33M","-5.02%"
"06/12/2025","2.19","2.28","2.28","2.16","3.33M","-3.95%"
"06/11/2025","2.28","2.32","2.35","2.26","5.39M","-0.87%"
"06/10/2025","2.30","2.29","2.35","2.27","6.01M","1.77%"
"06/04/2025","2.26","2.20","2.31","2.20","11.05M","2.73%"
"06/03/2025","2.20","2.17","2.20","2.17","1.69M","1.38%"
"06/02/2025","2.17","2.18","2.22","2.16","4.20M","-0.46%"
"06/01/2025","2.18","2.16","2.21","2.15","4.28M","1.40%"
"05/29/2025","2.15","2.18","2.18","2.14","1.22M","-0.92%"
"05/28/2025","2.17","2.18","2.20","2.17","2.35M","-0.46%"
"05/27/2025","2.18","2.16","2.19","2.13","2.62M","0.46%"
"05/26/2025","2.17","2.19","2.21","2.16","2.45M","-0.46%"
"05/25/2025","2.18","2.20","2.20","2.16","1.50M","-0.91%"
"05/22/2025","2.20","2.20","2.21","2.18","1.81M","0.46%"
"05/21/2025","2.19","2.19","2.21","2.18","1.41M","0.46%"
"05/20/2025","2.18","2.17","2.21","2.17","1.79M","0.46%"
"05/19/2025","2.17","2.20","2.21","2.16","1.63M","-1.81%"
"05/18/2025","2.21","2.26","2.26","2.19","2.92M","-1.78%"
"05/15/2025","2.25","2.28","2.29","2.24","3.85M","-1.32%"
"05/14/2025","2.28","2.31","2.34","2.24","5.05M","-0.87%"
"05/13/2025","2.30","2.30","2.35","2.27","12.09M","1.32%"
"05/12/2025","2.27","2.23","2.32","2.22","10.83M","1.34%"
"05/11/2025","2.24","2.20","2.25","2.19","3.76M","2.75%"
"05/08/2025","2.18","2.18","2.20","2.14","2.97M","0.46%"
"05/07/2025","2.17","2.22","2.26","2.16","4.84M","-2.69%"
"05/06/2025","2.23","2.26","2.28","2.21","4.35M","-0.89%"
"05/05/2025","2.25","2.25","2.28","2.21","7.70M","0.90%"
"05/04/2025","2.23","2.19","2.24","2.19","5.70M","2.29%"
"04/30/2025","2.18","2.20","2.21","2.18","2.86M","-0.91%"
"04/29/2025","2.20","2.24","2.26","2.19","4.57M","-1.79%"
"04/28/2025","2.24","2.19","2.28","2.19","16.14M","2.28%"
"04/27/2025","2.19","2.19","2.21","2.16","5.03M","1.39%"
"04/23/2025","2.16","2.15","2.18","2.13","4.43M","1.41%"
"04/22/2025","2.13","2.14","2.16","2.12","2.36M","0.00%"
"04/17/2025","2.13","2.16","2.16","2.12","3.42M","-0.93%"
"04/16/2025","2.15","2.17","2.22","2.14","9.06M","-0.92%"
"04/15/2025","2.17","2.10","2.24","2.10","30.67M","3.83%"
"04/14/2025","2.09","2.12","2.14","2.07","4.71M","0.48%"
"04/13/2025","2.08","2.08","2.12","2.07","3.14M","0.48%"
"04/10/2025","2.07","1.94","2.10","1.93","11.41M","7.81%"
"04/09/2025","1.92","2.00","2.00","1.91","1.02M","-3.03%"
"04/08/2025","1.98","1.97","2.01","1.97","1.68M","1.54%"
"04/07/2025","1.95","1.91","1.96","1.89","1.40M","1.04%"
"04/06/2025","1.93","1.98","1.98","1.92","1.63M","-4.93%"
"04/03/2025","2.03","2.02","2.04","2.01","422.52K","-0.98%"
"03/27/2025","2.05","2.04","2.07","2.02","1.15M","0.99%"
"03/26/2025","2.03","2.06","2.08","2.02","960.19K","-1.46%"
"03/25/2025","2.06","2.04","2.09","1.99","1.29M","0.98%"
"03/24/2025","2.04","2.08","2.08","2.03","810.22K","-1.45%"
"03/23/2025","2.07","2.08","2.12","2.05","1.09M","-0.48%"
"03/20/2025","2.08","2.09","2.09","2.06","928.78K","0.00%"
"03/19/2025","2.08","2.08","2.16","2.05","2.56M","0.00%"
"03/18/2025","2.08","2.10","2.11","2.06","1.04M","-0.48%"
"03/17/2025","2.09","2.09","2.11","2.06","1.43M","0.48%"
"03/16/2025","2.08","2.06","2.15","2.06","13.02M","0.97%"
"03/13/2025","2.06","2.05","2.06","2.02","1.46M","0.00%"
"03/12/2025","2.06","2.02","2.07","2.01","1.96M","2.49%"
"03/11/2025","2.01","2.03","2.06","2.01","2.29M","-2.90%"
"03/10/2025","2.07","2.09","2.09","2.02","3.99M","-0.48%"
"03/09/2025","2.08","2.10","2.10","2.06","1.83M","-0.95%"
"03/06/2025","2.10","2.05","2.10","2.03","1.18M","2.44%"
"03/05/2025","2.05","2.07","2.08","2.04","2.75M","-0.97%"
"03/04/2025","2.07","2.08","2.10","2.06","618.75K","-0.48%"
"03/03/2025","2.08","2.11","2.11","2.08","2.49M","-0.48%"
"03/02/2025","2.09","2.12","2.13","2.07","1.30M","-1.42%"
"02/27/2025","2.12","2.09","2.12","2.07","2.85M","0.95%"
"02/26/2025","2.10","2.14","2.22","2.07","1.95M","-1.87%"
"02/25/2025","2.14","2.09","2.14","2.06","6.54M","1.90%"
"02/24/2025","2.10","2.09","2.10","2.05","1.44M","1.45%"
"02/23/2025","2.07","2.05","2.12","2.02","5.62M","1.47%"
"02/20/2025","2.04","2.05","2.06","2.02","2.10M","-0.49%"
"02/19/2025","2.05","2.07","2.08","2.02","3.05M","-0.49%"
"02/18/2025","2.06","1.97","2.07","1.95","7.52M","5.10%"
"02/17/2025","1.96","1.95","1.97","1.93","1.62M","1.03%"
"02/16/2025","1.94","1.93","1.98","1.93","2.53M","2.11%"
"02/13/2025","1.90","1.88","1.92","1.85","2.84M","2.70%"
"02/12/2025","1.85","1.90","1.90","1.78","2.78M","-2.63%"
"02/11/2025","1.90","1.97","1.98","1.86","4.23M","-3.06%"
"02/10/2025","1.96","2.01","2.02","1.94","3.21M","-1.51%"
"02/09/2025","1.99","2.03","2.04","1.98","2.04M","-1.49%"
"02/06/2025","2.02","2.04","2.05","2.02","1.67M","-0.49%"
"02/05/2025","2.03","2.06","2.06","2.02","1.51M","-0.49%"
"02/04/2025","2.04","2.06","2.06","2.02","2.19M","0.00%"
"02/03/2025","2.04","2.11","2.12","2.04","4.26M","-2.86%"
"02/02/2025","2.10","2.14","2.14","2.10","3.52M","-0.94%"
"01/30/2025","2.12","2.17","2.18","2.12","2.89M","-1.40%"
"01/29/2025","2.15","2.16","2.17","2.13","2.26M","0.94%"
"01/28/2025","2.13","2.13","2.16","2.10","2.67M","0.95%"
"01/27/2025","2.11","2.16","2.17","2.11","4.22M","-1.86%"
"01/26/2025","2.15","2.19","2.20","2.15","3.48M","-2.27%"
"01/23/2025","2.20","2.22","2.23","2.14","3.90M","-0.45%"
"01/22/2025","2.21","2.25","2.26","2.19","5.68M","0.45%"
"01/21/2025","2.20","2.16","2.24","2.16","11.14M","2.33%"
"01/20/2025","2.15","2.15","2.21","2.15","6.52M","0.00%"
"01/19/2025","2.15","2.15","2.18","2.13","5.14M","0.47%"
"01/16/2025","2.14","2.18","2.18","2.12","3.24M","-0.93%"
"01/15/2025","2.16","2.22","2.22","2.15","7.24M","-2.26%"
"01/14/2025","2.21","2.15","2.21","2.09","6.90M","2.31%"
"01/13/2025","2.16","2.15","2.19","2.11","3.36M","0.47%"
"01/12/2025","2.15","2.15","2.19","2.11","2.53M","-2.27%"
"01/09/2025","2.20","2.23","2.27","2.15","3.88M","-1.35%"
"01/08/2025","2.23","2.27","2.27","2.13","7.47M","-1.33%"
"01/06/2025","2.26","2.37","2.38","2.26","11.93M","-3.83%"
"01/05/2025","2.35","2.34","2.37","2.33","7.16M","0.43%"
"01/02/2025","2.34","2.33","2.35","2.32","2.46M","0.86%"
"12/31/2024","2.32","2.37","2.39","2.32","4.42M","-2.11%"
"12/30/2024","2.37","2.38","2.39","2.33","3.18M","-0.84%"
"12/29/2024","2.39","2.40","2.41","2.35","3.54M","-0.42%"
"12/26/2024","2.40","2.40","2.41","2.33","3.61M","0.00%"
"12/25/2024","2.40","2.41","2.46","2.39","7.93M","-0.83%"
"12/24/2024","2.42","2.40","2.44","2.38","6.66M","1.26%"
"12/23/2024","2.39","2.56","2.57","2.39","8.41M","-6.27%"
"12/22/2024","2.55","2.55","2.57","2.52","3.20M","0.79%"
"12/19/2024","2.53","2.59","2.60","2.53","6.89M","-2.69%"
"12/18/2024","2.60","2.62","2.67","2.59","17.39M","-0.76%"
"12/17/2024","2.62","2.58","2.63","2.57","3.90M","0.77%"
"12/16/2024","2.60","2.63","2.63","2.58","5.00M","-0.76%"
"12/15/2024","2.62","2.60","2.64","2.56","8.20M","0.38%"
"12/12/2024","2.61","2.66","2.66","2.57","8.16M","-1.14%"
"12/11/2024","2.64","2.66","2.70","2.62","14.00M","-0.75%"
"12/10/2024","2.66","2.56","2.67","2.56","24.39M","3.91%"
"12/09/2024","2.56","2.62","2.63","2.52","13.24M","-1.16%"
"12/08/2024","2.59","2.47","2.60","2.46","18.89M","4.86%"
"12/05/2024","2.47","2.52","2.52","2.43","7.41M","-0.40%"
"12/04/2024","2.48","2.44","2.54","2.43","9.70M","2.48%"
"12/03/2024","2.42","2.44","2.45","2.39","3.79M","0.00%"
"12/02/2024","2.42","2.39","2.44","2.39","4.65M","1.26%"
"12/01/2024","2.39","2.42","2.43","2.36","5.40M","-0.42%"
"11/28/2024","2.40","2.42","2.42","2.32","4.22M","-0.83%"
"11/27/2024","2.42","2.49","2.51","2.38","7.33M","-2.81%"
"11/26/2024","2.49","2.46","2.55","2.42","17.78M","2.47%"
"11/25/2024","2.43","2.38","2.48","2.37","15.89M","2.53%"
"11/24/2024","2.37","2.40","2.40","2.35","2.98M","0.42%"
"11/21/2024","2.36","2.44","2.46","2.35","5.30M","-1.67%"
"11/20/2024","2.40","2.40","2.48","2.37","11.10M","1.27%"
"11/19/2024","2.37","2.39","2.42","2.32","5.87M","0.00%"
"11/18/2024","2.37","2.42","2.43","2.36","3.39M","-1.66%"
"11/17/2024","2.41","2.34","2.47","2.34","9.53M","4.33%"
"11/14/2024","2.31","2.31","2.36","2.30","3.39M","-0.86%"
"11/13/2024","2.33","2.40","2.40","2.31","5.61M","-2.51%"
"11/12/2024","2.39","2.44","2.44","2.34","7.57M","-1.24%"
"11/11/2024","2.42","2.43","2.48","2.37","11.37M","-0.82%"
"11/10/2024","2.44","2.32","2.44","2.32","15.58M","8.44%"
"11/07/2024","2.25","2.25","2.26","2.17","8.50M","0.90%"
"11/06/2024","2.23","2.27","2.34","2.23","9.57M","0.45%"
"11/05/2024","2.22","2.13","2.29","2.12","17.35M","4.72%"
"11/04/2024","2.12","2.12","2.16","2.08","4.87M","-0.93%"
"11/03/2024","2.14","2.02","2.17","2.02","16.64M","7.00%"
"10/31/2024","2.00","1.93","2.09","1.92","19.20M","4.17%"
"10/30/2024","1.92","1.82","1.97","1.81","15.44M","6.67%"
"10/29/2024","1.80","1.76","1.82","1.74","2.76M","2.86%"
"10/28/2024","1.75","1.75","1.77","1.73","569.98K","0.57%"
"10/27/2024","1.74","1.74","1.76","1.72","647.54K","0.58%"
"10/24/2024","1.73","1.74","1.76","1.72","515.07K","-0.57%"
"10/23/2024","1.74","1.76","1.78","1.73","857.71K","0.00%"
"10/22/2024","1.74","1.75","1.77","1.73","1.28M","0.00%"
"10/21/2024","1.74","1.72","1.75","1.70","549.22K","1.16%"
"10/20/2024","1.72","1.80","1.81","1.69","1.19M","-3.37%"
"10/17/2024","1.78","1.82","1.84","1.77","1.05M","-1.11%"
"10/16/2024","1.80","1.81","1.86","1.80","2.64M","0.56%"
"10/15/2024","1.79","1.75","1.84","1.73","3.30M","4.07%"
"10/14/2024","1.72","1.73","1.75","1.71","560.28K","-1.15%"
"10/13/2024","1.74","1.74","1.77","1.72","583.81K","0.00%"
"10/10/2024","1.74","1.76","1.78","1.70","1.00M","0.00%"
"10/09/2024","1.74","1.72","1.77","1.72","1.03M","1.16%"
"10/08/2024","1.72","1.82","1.82","1.69","1.68M","-5.49%"
"10/07/2024","1.82","1.81","1.83","1.81","567.17K","0.00%"
"10/03/2024","1.82","1.81","1.83","1.80","1.01M","1.11%"
"10/02/2024","1.80","1.85","1.85","1.79","2.67M","-2.70%"
"10/01/2024","1.85","1.88","1.91","1.85","2.85M","-1.07%"
"09/30/2024","1.87","1.83","1.92","1.83","3.79M","2.19%"
"09/29/2024","1.83","1.85","1.85","1.83","432.91K","0.00%"
"09/26/2024","1.83","1.87","1.88","1.83","1.92M","-1.08%"
"09/25/2024","1.85","1.81","1.89","1.79","3.97M","3.35%"
"09/24/2024","1.79","1.83","1.85","1.78","1.56M","-1.65%"
"09/23/2024","1.82","1.82","1.90","1.81","5.32M","2.82%"
"09/22/2024","1.77","1.74","1.80","1.72","1.29M","2.31%"
"09/19/2024","1.73","1.74","1.74","1.71","567.44K","0.58%"
"09/18/2024","1.72","1.72","1.74","1.71","607.99K","0.00%"
"09/17/2024","1.72","1.74","1.75","1.72","344.95K","-1.15%"
"09/16/2024","1.74","1.74","1.77","1.73","961.09K","0.58%"
"09/12/2024","1.73","1.74","1.75","1.71","522.67K","0.58%"
"09/11/2024","1.72","1.73","1.76","1.69","1.29M","-1.71%"
"09/10/2024","1.75","1.79","1.79","1.73","1.07M","-1.13%"
"09/09/2024","1.77","1.78","1.79","1.76","929.11K","0.00%"
"09/08/2024","1.77","1.80","1.80","1.76","685.32K","-1.12%"
"09/05/2024","1.79","1.82","1.85","1.78","1.86M","-1.10%"
"09/04/2024","1.81","1.74","1.86","1.73","3.17M","2.26%"
"09/03/2024","1.77","1.70","1.80","1.67","5.50M","5.36%"
"09/02/2024","1.68","1.69","1.72","1.67","863.56K","-0.59%"
"09/01/2024","1.69","1.69","1.70","1.68","831.89K","0.60%"
"08/29/2024","1.68","1.69","1.70","1.68","483.63K","-0.59%"
"08/28/2024","1.69","1.70","1.70","1.68","462.20K","0.00%"
"08/27/2024","1.69","1.70","1.70","1.68","332.20K","-0.59%"
"08/26/2024","1.70","1.70","1.72","1.69","806.16K","0.00%"
"08/25/2024","1.70","1.70","1.72","1.69","1.01M","0.00%"
"08/22/2024","1.70","1.73","1.73","1.70","1.17M","-0.58%"
"08/21/2024","1.71","1.67","1.75","1.66","2.73M","3.01%"
"08/20/2024","1.66","1.68","1.69","1.65","507.46K","0.00%"
"08/19/2024","1.66","1.70","1.72","1.65","926.66K","-2.35%"
"08/18/2024","1.70","1.65","1.71","1.65","1.66M","3.03%"
"08/15/2024","1.65","1.63","1.68","1.61","1.61M","1.23%"
"08/14/2024","1.63","1.63","1.66","1.63","587.70K","0.00%"
"08/13/2024","1.63","1.66","1.67","1.62","1.22M","-1.81%"
"08/12/2024","1.66","1.67","1.69","1.65","1.17M","0.00%"
"08/11/2024","1.66","1.65","1.68","1.64","776.93K","1.22%"
"08/08/2024","1.64","1.67","1.67","1.62","1.20M","-1.20%"
"08/07/2024","1.66","1.63","1.67","1.63","1.77M","2.47%"
"08/06/2024","1.62","1.63","1.67","1.61","1.33M","0.62%"
"08/05/2024","1.61","1.71","1.71","1.58","4.82M","-5.85%"
"08/04/2024","1.71","1.67","1.73","1.60","4.53M","1.91%"
"08/01/2024","1.68","1.72","1.73","1.67","4.43M","-2.44%"
"07/31/2024","1.72","1.74","1.74","1.72","3.05M","-0.92%"
"07/30/2024","1.74","1.76","1.77","1.73","2.97M","-1.42%"
"07/29/2024","1.76","1.81","1.82","1.75","3.71M","-2.22%"
"07/28/2024","1.80","1.79","1.82","1.78","1.83M","0.67%"
"07/24/2024","1.79","1.82","1.83","1.78","2.67M","-0.89%"
"07/23/2024","1.80","1.83","1.84","1.80","1.94M","-0.77%"
"07/22/2024","1.82","1.83","1.85","1.82","1.34M","-0.38%"
"07/21/2024","1.83","1.82","1.83","1.79","2.38M","1.39%"
"07/18/2024","1.80","1.79","1.83","1.78","2.49M","1.29%"
