"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","4.26","4.33","4.37","4.22","5.02M","-1.39%"
"11/30/2025","4.32","4.31","4.38","4.30","2.14M","0.70%"
"11/27/2025","4.29","4.29","4.32","4.28","3.92M","0.23%"
"11/26/2025","4.28","4.31","4.36","4.28","2.32M","-0.47%"
"11/25/2025","4.30","4.35","4.42","4.29","3.34M","-1.15%"
"11/24/2025","4.35","4.50","4.50","4.35","5.55M","-2.68%"
"11/23/2025","4.47","4.38","4.48","4.35","9.47M","2.29%"
"11/20/2025","4.37","4.39","4.45","4.36","3.94M","0.23%"
"11/19/2025","4.36","4.35","4.39","4.33","2.34M","0.69%"
"11/18/2025","4.33","4.46","4.48","4.33","4.90M","-2.70%"
"11/17/2025","4.45","4.42","4.51","4.42","7.92M","0.91%"
"11/16/2025","4.41","4.42","4.48","4.39","7.75M","0.00%"
"11/13/2025","4.41","4.36","4.43","4.35","7.75M","1.61%"
"11/12/2025","4.34","4.31","4.36","4.31","3.76M","0.70%"
"11/11/2025","4.31","4.28","4.36","4.26","4.81M","0.94%"
"11/10/2025","4.27","4.30","4.31","4.25","2.65M","-0.47%"
"11/09/2025","4.29","4.32","4.32","4.29","2.76M","-0.23%"
"11/06/2025","4.30","4.31","4.33","4.27","5.21M","0.23%"
"11/05/2025","4.29","4.32","4.35","4.26","5.35M","-0.46%"
"11/04/2025","4.31","4.29","4.34","4.28","2.66M","0.94%"
"11/03/2025","4.27","4.28","4.34","4.24","3.51M","0.23%"
"11/02/2025","4.26","4.30","4.32","4.24","1.58M","-0.93%"
"10/30/2025","4.30","4.34","4.35","4.29","1.23M","-1.15%"
"10/29/2025","4.35","4.33","4.36","4.28","1.66M","0.46%"
"10/28/2025","4.33","4.33","4.35","4.27","1.69M","0.23%"
"10/27/2025","4.32","4.31","4.37","4.30","5.15M","0.47%"
"10/26/2025","4.30","4.28","4.33","4.27","5.01M","0.94%"
"10/23/2025","4.26","4.24","4.30","4.22","2.99M","0.71%"
"10/22/2025","4.23","4.22","4.26","4.22","2.26M","0.24%"
"10/21/2025","4.22","4.25","4.26","4.22","1.85M","-0.71%"
"10/20/2025","4.25","4.33","4.34","4.22","4.23M","-1.39%"
"10/19/2025","4.31","4.24","4.32","4.24","6.34M","2.13%"
"10/16/2025","4.22","4.17","4.22","4.16","4.06M","1.44%"
"10/15/2025","4.16","4.13","4.16","4.12","2.53M","0.97%"
"10/14/2025","4.12","4.15","4.18","4.12","4.25M","-0.48%"
"10/13/2025","4.14","4.15","4.17","4.12","2.08M","0.24%"
"10/12/2025","4.13","4.12","4.14","4.10","1.60M","0.24%"
"10/08/2025","4.12","4.14","4.15","4.11","1.70M","-0.24%"
"10/07/2025","4.13","4.16","4.16","4.13","1.41M","-0.48%"
"10/06/2025","4.15","4.17","4.18","4.13","1.36M","-0.24%"
"10/05/2025","4.16","4.14","4.17","4.13","1.45M","1.22%"
"10/02/2025","4.11","4.14","4.15","4.10","1.03M","-0.24%"
"10/01/2025","4.12","4.16","4.18","4.10","1.83M","-0.48%"
"09/30/2025","4.14","4.16","4.18","4.13","1.40M","0.00%"
"09/29/2025","4.14","4.16","4.18","4.14","1.29M","-0.24%"
"09/28/2025","4.15","4.13","4.16","4.10","1.56M","1.22%"
"09/25/2025","4.10","4.10","4.11","4.08","681.68K","-0.24%"
"09/24/2025","4.11","4.07","4.11","4.03","1.66M","1.48%"
"09/23/2025","4.05","4.07","4.11","4.04","1.41M","0.00%"
"09/22/2025","4.05","4.08","4.09","4.04","880.60K","-0.25%"
"09/21/2025","4.06","4.05","4.13","4.03","2.44M","1.25%"
"09/18/2025","4.01","4.15","4.16","4.01","2.57M","-2.43%"
"09/17/2025","4.11","4.12","4.13","4.07","2.30M","-0.24%"
"09/16/2025","4.12","4.15","4.20","4.11","2.50M","-0.72%"
"09/15/2025","4.15","4.21","4.25","4.14","2.97M","-2.12%"
"09/14/2025","4.24","4.13","4.25","4.12","4.51M","3.16%"
"09/11/2025","4.11","4.12","4.15","4.10","2.41M","0.24%"
"09/10/2025","4.10","4.12","4.15","4.09","2.09M","-0.24%"
"09/09/2025","4.11","4.17","4.18","4.11","2.91M","-0.96%"
"09/08/2025","4.15","4.20","4.21","4.13","4.25M","-0.72%"
"09/07/2025","4.18","4.21","4.24","4.18","2.32M","-0.24%"
"09/03/2025","4.19","4.24","4.25","4.18","4.36M","-0.71%"
"09/02/2025","4.22","4.27","4.28","4.20","2.64M","-0.71%"
"09/01/2025","4.25","4.22","4.26","4.19","2.47M","0.95%"
"08/31/2025","4.21","4.34","4.35","4.18","3.40M","-2.09%"
"08/28/2025","4.30","4.30","4.31","4.23","4.14M","0.94%"
"08/27/2025","4.26","4.27","4.28","4.24","1.30M","0.24%"
"08/26/2025","4.25","4.30","4.32","4.25","2.39M","-0.70%"
"08/25/2025","4.28","4.30","4.34","4.26","3.12M","0.00%"
"08/24/2025","4.28","4.30","4.30","4.25","2.09M","0.23%"
"08/21/2025","4.27","4.32","4.32","4.26","2.30M","-0.23%"
"08/20/2025","4.28","4.30","4.36","4.28","3.25M","-0.23%"
"08/19/2025","4.29","4.35","4.35","4.28","1.84M","-0.69%"
"08/18/2025","4.32","4.35","4.39","4.32","2.53M","-0.46%"
"08/17/2025","4.34","4.32","4.34","4.19","5.51M","0.70%"
"08/14/2025","4.31","4.37","4.39","4.26","2.73M","-1.60%"
"08/13/2025","4.38","4.54","4.54","4.36","5.89M","-3.10%"
"08/12/2025","4.52","4.55","4.56","4.48","2.90M","-0.22%"
"08/11/2025","4.53","4.56","4.57","4.52","1.44M","-0.44%"
"08/10/2025","4.55","4.57","4.59","4.52","2.85M","0.00%"
"08/07/2025","4.55","4.54","4.58","4.53","1.25M","0.44%"
"08/06/2025","4.53","4.60","4.62","4.52","1.98M","-0.88%"
"08/05/2025","4.57","4.59","4.64","4.57","1.88M","0.66%"
"08/04/2025","4.54","4.56","4.60","4.54","1.57M","0.22%"
"08/03/2025","4.53","4.60","4.62","4.53","1.55M","-1.31%"
"07/31/2025","4.59","4.60","4.65","4.56","1.97M","-0.22%"
"07/30/2025","4.60","4.59","4.60","4.47","2.34M","0.88%"
"07/29/2025","4.56","4.56","4.58","4.51","1.25M","0.22%"
"07/28/2025","4.55","4.70","4.70","4.54","3.42M","-2.78%"
"07/27/2025","4.68","4.71","4.75","4.68","4.19M","-0.43%"
"07/23/2025","4.70","4.68","4.70","4.60","4.07M","1.08%"
"07/22/2025","4.65","4.78","4.80","4.63","9.33M","-2.72%"
"07/21/2025","4.78","4.85","4.90","4.74","7.24M","-1.24%"
"07/20/2025","4.84","4.80","4.89","4.75","6.17M","1.04%"
"07/17/2025","4.79","4.72","4.81","4.72","3.70M","1.70%"
"07/16/2025","4.71","4.79","4.80","4.71","3.00M","-1.88%"
"07/15/2025","4.80","4.76","4.83","4.71","10.14M","1.69%"
"07/14/2025","4.72","4.79","4.80","4.72","3.42M","-1.46%"
"07/13/2025","4.79","4.81","4.87","4.72","7.03M","-0.21%"
"07/10/2025","4.80","4.64","4.80","4.61","17.81M","3.67%"
"07/09/2025","4.63","4.50","4.63","4.50","8.21M","1.98%"
"07/07/2025","4.54","4.54","4.56","4.49","3.53M","0.00%"
"07/06/2025","4.54","4.56","4.58","4.53","2.87M","-0.22%"
"07/02/2025","4.55","4.54","4.63","4.51","6.35M","0.22%"
"07/01/2025","4.54","4.54","4.55","4.47","3.67M","0.00%"
"06/30/2025","4.54","4.56","4.58","4.46","5.01M","-0.22%"
"06/29/2025","4.55","4.49","4.56","4.44","6.90M","1.79%"
"06/25/2025","4.47","4.42","4.48","4.38","5.64M","1.36%"
"06/24/2025","4.41","4.29","4.41","4.26","5.47M","4.75%"
"06/23/2025","4.21","4.12","4.25","4.11","4.62M","2.68%"
"06/22/2025","4.10","4.01","4.11","3.92","3.69M","1.23%"
"06/19/2025","4.05","4.13","4.16","4.02","3.49M","-1.94%"
"06/18/2025","4.13","4.17","4.19","4.08","2.52M","-0.96%"
"06/17/2025","4.17","4.24","4.25","4.16","4.13M","-1.65%"
"06/16/2025","4.24","4.26","4.30","4.23","2.75M","0.24%"
"06/15/2025","4.23","4.40","4.40","4.15","5.74M","-6.00%"
"06/12/2025","4.50","4.63","4.63","4.48","5.17M","-3.02%"
"06/11/2025","4.64","4.64","4.75","4.63","14.43M","0.22%"
"06/10/2025","4.63","4.56","4.65","4.55","6.01M","1.98%"
"06/04/2025","4.54","4.55","4.57","4.51","2.86M","0.00%"
"06/03/2025","4.54","4.55","4.56","4.47","5.11M","0.22%"
"06/02/2025","4.53","4.61","4.63","4.47","4.65M","-1.52%"
"06/01/2025","4.60","4.61","4.67","4.57","6.53M","0.00%"
"05/29/2025","4.60","4.66","4.68","4.55","11.28M","-1.08%"
"05/28/2025","4.65","4.50","4.65","4.49","20.76M","3.33%"
"05/27/2025","4.50","4.42","4.50","4.38","11.02M","-1.75%"
"05/26/2025","4.58","4.58","4.63","4.56","6.81M","0.00%"
"05/25/2025","4.58","4.62","4.66","4.58","5.76M","-0.22%"
"05/22/2025","4.59","4.54","4.59","4.50","9.06M","1.77%"
"05/21/2025","4.51","4.52","4.56","4.50","6.03M","0.45%"
"05/20/2025","4.49","4.47","4.51","4.46","1.71M","0.22%"
"05/19/2025","4.48","4.51","4.53","4.47","3.23M","-1.10%"
"05/18/2025","4.53","4.60","4.60","4.53","2.64M","-0.44%"
"05/15/2025","4.55","4.60","4.62","4.54","1.70M","-0.66%"
"05/14/2025","4.58","4.65","4.65","4.58","2.09M","-1.08%"
