"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1.640","1.700","1.710","1.620","34.38M","-3.53%"
"11/30/2025","1.700","1.710","1.760","1.680","26.40M","-0.58%"
"11/27/2025","1.710","1.750","1.750","1.700","22.87M","-2.29%"
"11/26/2025","1.750","1.670","1.790","1.650","59.26M","6.06%"
"11/25/2025","1.650","1.740","1.740","1.650","33.35M","-5.17%"
"11/24/2025","1.740","1.790","1.810","1.700","26.20M","-2.79%"
"11/23/2025","1.790","1.810","1.870","1.790","54.05M","-0.56%"
"11/20/2025","1.800","1.710","1.830","1.710","131.81M","6.51%"
"11/19/2025","1.690","1.660","1.690","1.630","21.43M","2.42%"
"11/18/2025","1.650","1.670","1.690","1.640","19.45M","-0.60%"
"11/17/2025","1.660","1.640","1.660","1.620","21.83M","1.84%"
"11/16/2025","1.630","1.700","1.720","1.630","24.10M","-4.12%"
"11/13/2025","1.700","1.760","1.760","1.690","34.83M","-2.86%"
"11/12/2025","1.750","1.760","1.790","1.750","13.15M","-1.13%"
"11/11/2025","1.770","1.780","1.800","1.740","17.46M","0.57%"
"11/10/2025","1.760","1.790","1.810","1.730","32.77M","-1.68%"
"11/09/2025","1.790","1.780","1.850","1.760","43.58M","1.70%"
"11/06/2025","1.760","1.850","1.890","1.750","30.22M","-4.90%"
"11/05/2025","1.851","1.903","1.903","1.844","41.05M","-2.42%"
"11/04/2025","1.897","1.851","1.916","1.851","46.55M","2.85%"
"11/03/2025","1.844","1.903","1.910","1.844","39.24M","-2.43%"
"11/02/2025","1.890","1.982","2.002","1.890","67.04M","-3.36%"
"10/30/2025","1.956","1.942","1.982","1.936","53.68M","1.02%"
"10/29/2025","1.936","1.942","1.956","1.910","48.38M","0.34%"
"10/28/2025","1.929","2.034","2.041","1.923","105.89M","-4.55%"
"10/27/2025","2.021","2.034","2.074","2.002","215.02M","0.65%"
"10/26/2025","2.008","1.870","2.008","1.870","120.05M","8.13%"
"10/23/2025","1.857","1.897","1.929","1.844","88.74M","-1.39%"
"10/22/2025","1.883","1.857","1.942","1.844","171.61M","2.87%"
"10/21/2025","1.831","1.805","1.831","1.785","41.25M","2.20%"
"10/20/2025","1.792","1.851","1.851","1.785","37.08M","-2.50%"
"10/19/2025","1.837","1.837","1.870","1.824","71.91M","1.82%"
"10/16/2025","1.805","1.805","1.857","1.778","94.76M","0.73%"
"10/15/2025","1.792","1.818","1.837","1.765","73.07M","-0.73%"
"10/14/2025","1.805","1.844","1.864","1.798","101.59M","-1.08%"
"10/13/2025","1.824","1.746","1.877","1.739","166.85M","4.91%"
"10/12/2025","1.739","1.870","1.877","1.726","107.11M","-6.03%"
"10/08/2025","1.851","1.870","1.923","1.831","172.20M","-0.35%"
"10/07/2025","1.857","1.837","1.877","1.798","112.79M","1.43%"
"10/06/2025","1.831","1.916","1.969","1.824","198.83M","-3.79%"
"10/05/2025","1.903","1.765","2.067","1.719","189.67M","10.27%"
"10/02/2025","1.726","1.739","1.811","1.673","153.87M","-0.38%"
"10/01/2025","1.732","1.785","1.785","1.628","193.58M","-1.86%"
"09/30/2025","1.765","1.647","1.857","1.641","310.04M","11.16%"
"09/29/2025","1.588","1.345","1.588","1.345","383.45M","19.80%"
"09/28/2025","1.326","1.411","1.523","1.280","360.62M","4.12%"
"09/25/2025","1.273","1.142","1.313","1.142","308.52M","12.14%"
"09/24/2025","1.135","1.122","1.142","1.116","8.98M","1.17%"
"09/23/2025","1.122","1.148","1.148","1.109","21.68M","-1.16%"
"09/22/2025","1.135","1.070","1.155","1.070","46.84M","6.79%"
"09/21/2025","1.063","1.083","1.083","1.057","5.15M","-0.61%"
"09/18/2025","1.070","1.070","1.083","1.063","2.99M","0.00%"
"09/17/2025","1.070","1.076","1.076","1.057","1.53M","-0.61%"
"09/16/2025","1.076","1.109","1.109","1.063","4.54M","-2.38%"
"09/15/2025","1.102","1.102","1.116","1.089","13.68M","0.60%"
"09/14/2025","1.096","1.109","1.129","1.096","6.18M","-1.18%"
"09/11/2025","1.109","1.096","1.109","1.089","4.71M","2.42%"
"09/10/2025","1.083","1.083","1.096","1.063","3.97M","0.00%"
"09/09/2025","1.083","1.096","1.102","1.057","9.84M","-1.20%"
"09/08/2025","1.096","1.122","1.122","1.083","15.24M","-1.76%"
"09/07/2025","1.116","1.148","1.148","1.109","7.20M","-1.73%"
"09/03/2025","1.135","1.142","1.148","1.135","5.19M","-0.57%"
"09/02/2025","1.142","1.155","1.162","1.135","8.47M","-0.57%"
"09/01/2025","1.148","1.135","1.162","1.122","15.38M","1.74%"
"08/31/2025","1.129","1.175","1.181","1.129","11.36M","-2.82%"
"08/28/2025","1.162","1.135","1.175","1.122","26.64M","3.51%"
"08/27/2025","1.122","1.135","1.135","1.116","8.71M","-0.58%"
"08/26/2025","1.129","1.155","1.162","1.122","15.02M","-1.15%"
"08/25/2025","1.142","1.129","1.155","1.122","18.00M","1.75%"
"08/24/2025","1.122","1.129","1.135","1.116","9.23M","0.00%"
"08/21/2025","1.122","1.135","1.142","1.116","8.02M","-1.16%"
"08/20/2025","1.135","1.168","1.175","1.129","17.71M","-1.70%"
"08/19/2025","1.155","1.168","1.194","1.148","35.26M","1.15%"
"08/18/2025","1.142","1.142","1.162","1.129","11.15M","1.75%"
