"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.416","0.411","0.417","0.408","522.34K","0.73%"
"11/30/2025","0.413","0.400","0.413","0.400","869.47K","3.25%"
"11/27/2025","0.400","0.388","0.403","0.387","1.70M","3.09%"
"11/26/2025","0.388","0.379","0.389","0.378","1.22M","3.19%"
"11/25/2025","0.376","0.375","0.379","0.375","77.56K","0.27%"
"11/24/2025","0.375","0.378","0.380","0.375","129.88K","-0.79%"
"11/23/2025","0.378","0.379","0.379","0.377","23.35K","0.53%"
"11/20/2025","0.376","0.375","0.377","0.375","820.68K","0.27%"
"11/19/2025","0.375","0.379","0.380","0.375","309.13K","-1.32%"
"11/18/2025","0.380","0.379","0.384","0.379","385.15K","0.00%"
"11/17/2025","0.380","0.377","0.381","0.375","1.45M","1.88%"
"11/16/2025","0.373","0.374","0.378","0.372","175.54K","-0.80%"
"11/13/2025","0.376","0.376","0.378","0.375","88.91K","0.00%"
"11/12/2025","0.376","0.372","0.380","0.372","268.88K","1.08%"
"11/11/2025","0.372","0.371","0.376","0.371","333.16K","0.27%"
"11/10/2025","0.371","0.368","0.372","0.367","251.88K","0.54%"
"11/09/2025","0.369","0.369","0.370","0.368","19.65K","0.00%"
"11/06/2025","0.369","0.372","0.372","0.369","69.24K","-0.27%"
"11/05/2025","0.370","0.374","0.374","0.370","540.82K","-0.80%"
"11/04/2025","0.373","0.374","0.374","0.372","48.90K","0.00%"
"11/03/2025","0.373","0.375","0.375","0.372","139.38K","-0.53%"
"11/02/2025","0.375","0.375","0.377","0.374","78.53K","0.00%"
"10/30/2025","0.375","0.375","0.378","0.375","268.98K","0.00%"
"10/29/2025","0.375","0.372","0.376","0.372","32.57K","0.81%"
"10/28/2025","0.372","0.377","0.378","0.372","273.85K","-1.06%"
"10/27/2025","0.376","0.373","0.380","0.372","966.69K","0.53%"
"10/26/2025","0.374","0.375","0.375","0.373","41.12K","-0.27%"
"10/23/2025","0.375","0.377","0.378","0.375","48.84K","-0.79%"
"10/22/2025","0.378","0.375","0.378","0.370","368.94K","0.80%"
"10/21/2025","0.375","0.374","0.376","0.372","152.96K","0.00%"
"10/20/2025","0.375","0.377","0.377","0.373","157.01K","-0.53%"
"10/19/2025","0.377","0.379","0.380","0.377","242.47K","-0.26%"
"10/16/2025","0.378","0.378","0.380","0.376","779.74K","0.00%"
"10/15/2025","0.378","0.376","0.382","0.370","894.88K","0.53%"
"10/14/2025","0.376","0.378","0.380","0.376","71.39K","-0.79%"
"10/13/2025","0.379","0.380","0.382","0.378","285.61K","-0.26%"
"10/12/2025","0.380","0.378","0.381","0.377","375.92K","0.80%"
"10/08/2025","0.377","0.374","0.379","0.373","422.48K","0.80%"
"10/07/2025","0.374","0.370","0.379","0.370","619.95K","1.08%"
"10/06/2025","0.370","0.370","0.372","0.366","961.96K","-0.27%"
"10/05/2025","0.371","0.370","0.372","0.370","341.46K","0.27%"
"10/02/2025","0.370","0.370","0.370","0.365","523.58K","0.82%"
"10/01/2025","0.367","0.370","0.371","0.366","316.25K","-0.27%"
"09/30/2025","0.368","0.363","0.371","0.361","1.32M","1.38%"
"09/29/2025","0.363","0.363","0.364","0.362","187.62K","0.28%"
"09/28/2025","0.362","0.367","0.367","0.362","246.26K","-1.36%"
"09/25/2025","0.367","0.366","0.369","0.366","333.38K","0.27%"
"09/24/2025","0.366","0.363","0.369","0.363","159.95K","0.27%"
"09/23/2025","0.365","0.363","0.369","0.363","111.93K","0.00%"
"09/22/2025","0.365","0.369","0.369","0.360","424.01K","-1.35%"
"09/21/2025","0.370","0.363","0.374","0.360","671.16K","1.65%"
"09/18/2025","0.364","0.360","0.365","0.360","238.42K","0.83%"
"09/17/2025","0.361","0.361","0.363","0.358","104.57K","-0.55%"
"09/16/2025","0.363","0.353","0.364","0.343","1.46M","2.25%"
"09/15/2025","0.355","0.360","0.360","0.350","363.21K","-0.56%"
"09/14/2025","0.357","0.360","0.360","0.354","187.91K","-0.56%"
"09/11/2025","0.359","0.359","0.360","0.356","95.38K","0.56%"
"09/10/2025","0.357","0.359","0.360","0.356","54.28K","-0.83%"
"09/09/2025","0.360","0.349","0.360","0.349","536.24K","2.86%"
